DATE,EVENT,CATEGORY,LOCATION,LATITUDE,LONGITUDE,DISPOSITION (STATUS)
9/1/2021,PETTY THEFT – ALL OTHER,THEFT/BURGLARY,"ACKERMAN UNION
308 WESTWOOD PZ",34.070418,-118.4441451,OPEN CASE
9/1/2021,"POSSESS UNLAWFUL PARAPHERNALIA
(2) POSSESS CONTROLLED SUBSTANCE",DRUG/CONTROLLED SUBSTANCE,3755 MENTONE AVE,34.0207139,-118.4061097,CLOSED: SUBJECT ARRESTED
9/1/2021,PETTY THEFT – SHOPLIFTING,THEFT/BURGLARY,"ACKERMAN UNION
308 WESTWOOD PZ",34.070418,-118.4441451,CLOSED: SUBJECT ARRESTED
9/2/2021,"POSSESS CONTROLLED SUBSTANCE
(2) POSSESS UNLAWFUL PARAPHERNALIA
(3) WARRANT ARREST",DRUG/CONTROLLED SUBSTANCE,2713 FEDERAL AVE,34.0260053,-118.4393878,CLOSED: SUBJECT ARRESTED
9/2/2021,"TRANSIT FAILS TO REGISTER WHEN RELEASED FROM CUSTODY
(2) WARRANT ARREST",OTHER/MULTIPLE,"ENGINEERING 4
420 WESTWOOD PZ",34.0687994,-118.4440275,CLOSED: SUBJECT ARRESTED
9/2/2021,LOST PROPERTY REPORT,OTHER/MULTIPLE,1000-BLOCK GAYLEY AVE,34.0619489,-118.4476382,OPEN CASE
9/2/2021,BURGLARY – NON-FORCED ENTRY (NOT HOT PROWL),THEFT/BURGLARY,"SYCAMORE COURT
925 WEYBURN TER",34.0621787,-118.4490299,CLOSED: NO FURTHER ACTION
9/3/2021,"TRESPASS: OCCUPY PROPERTY WITHOUT CONSENT
(2) FALSE IDENTIFICATION TO SPECIFIC PEACE OFFICERS","TRESPASSING
OTHER/MULTIPLE",1000-BLOCK GAYLEY AVE,34.0619489,-118.4476382,CLOSED: SUBJECT ARRESTED
9/3/2021,BURGLARY – FROM MOTOR VEHICLE,THEFT/BURGLARY,"PARKING STRUCTURE 7
336 CHARLES E YOUNG DR N",34.0730424,-118.4469012,CLOSED: NO FURTHER ACTION
9/3/2021,"OBSTRUCT/RESIST EXECUTIVE OFCR – AGG INJ – HANDS/FISTS/FEET
(2) BATTERY
(3) TRESPASS: OCCUPY PROPERTY WITHOUT CONSENT","ASSAULT/BATTERY
TRESPASSING
OTHER/MULTIPLE",825 WEYBURN TER,34.0621111,-118.450844,CLOSED: SUBJECT ARRESTED
9/4/2021,BURGLARY – FORCED ENTRY (NOT HOT PROWL),THEFT/BURGLARY,"ROSE APARTMENTS 
11130 ROSE AVE",34.0211372,-118.4231888,CLOSED: NO FURTHER ACTION
9/4/2021,PETTY THEFT – ALL OTHER,THEFT/BURGLARY,"MARGAN APARTMENTS
885 LEVERING AVE",34.0633372,-118.4493954,OPEN CASE
9/4/2021,GRAND THEFT – FROM MOTOR VEHICLE,THEFT/BURGLARY,"WEYBURN COMMONS
11020 WEYBURN DR",34.0615041,-118.4488659,OPEN CASE
9/5/2021,"ASSAULT
(2) TRESPASS: REFUSE TO LEAVE PROPERTY","ASSAULT/BATTERY
TRESPASSING
OTHER/MULTIPLE","RRMC ER
757 WESTWOOD PZ",34.0653012,-118.4466623,CLOSED: SUBJECT ARRESTED
9/6/2021,"ASSAULT
(2) TRESPASS: REFUSE TO LEAVE PROPERTY","ASSAULT/BATTERY
TRESPASSING
OTHER/MULTIPLE","UCLA SANTA MONICA HOSPITAL
1260 16TH ST",34.0266664,-118.4864778,CLOSED: SUBJECT ARRESTED
9/6/2021,THREATEN CRIME W/ INTENT TO TERRORIZE – SIMPLE ASSAULT,"OTHER/MULTIPLE
ASSAULT/BATTERY","CEDAR BLUFF
301 CHARLES E YOUNG DR W",34.0714634,-118.4495632,OPEN CASE
9/6/2021,"POSSESS UNLAWFUL PARAPHERNALIA
(2) POSSESS CONTROLLED SUBSTANCE",DRUG/CONTROLLED SUBSTANCE,679 GAYLEY AVE,34.0659715,-118.4479348,CLOSED: SUBJECT ARRESTED
9/7/2021,PETTY THEFT – ALL OTHER,THEFT/BURGLARY,"MENTONE APARTMENTS
3777 MENTONE AVE",34.0200955,-118.4059956,CLOSED: NO FURTHER ACTION
9/7/2021,GRAND THEFT – ALL OTHER,THEFT/BURGLARY,"VENICE BARRY APARTMENTS
11811 VENICE BLVD",34.0080956,-118.4262805,OPEN CASE
9/7/2021,PETTY THEFT – BICYCLES,THEFT/BURGLARY,1001 TIVERTON AVE,34.0614353,-118.4432899,CLOSED: NO FURTHER ACTION
9/7/2021,"POSSESS CONTROLLED SUBSTANCE
(2) WARRANT ARREST",THEFT/BURGLARY,SAWTELLE BLVD/VENICE BLVD,34.0115151,-118.4198052,CLOSED: SUBJECT ARRESTED
9/8/2021,CA REGS: VIOLATE CURFEW,OTHER/MULTIPLE,"PARKING STRUCTURE 3
215 CHARLES E YOUNG DR N",34.0771178,-118.4399532,CLOSED: SUBJECT ARRESTED
9/8/2021,GRAND THEFT: CARGO EXCEEDS $950,THEFT/BURGLARY,"SCHOOL OF DENTISTRY
714 TIVERTON AVE",34.066336,-118.4419807,CLOSED: NO FURTHER ACTION
9/8/2021,GRAND THEFT – FROM BUILDING,THEFT/BURGLARY,"SCHOOL OF DENTISTRY
714 TIVERTON AVE",34.066336,-118.4419807,OPEN CASE
9/8/2021,BURGLARY – NON-FORCED ENTRY (NOT HOT PROWL),THEFT/BURGLARY,"GEFFEN ACADEMY AT UCLA
11000 KINROSS AVE",34.0593564,-118.4469321,OPEN CASE
9/9/2021,POSSESS UNLAWFUL PARAPHERNALIA,DRUG/CONTROLLED SUBSTANCE,11299 VENICE BLVD/SAWTELLE BLVD,34.0115151,-118.4198052,CLOSED: SUBJECT ARRESTED
9/9/2021,GRAND THEFT – ALL OTHER,THEFT/BURGLARY,"433 MIDVALE APARTMENTS
433 MIDVALE",34.0695065,-118.4529591,CLOSED: NO FURTHER ACTION
9/9/2021,"GRAND THEFT – MOTOR VEH PARTS
(2) TAMPER WITH VEHICLE","THEFT/BURGLARY
VANDALISM
OTHER/MULTIPLE","TRIANGLE FRATERNITY
519 LANDFAIR AVE",34.0678443,-118.4506818,OPEN CASE
9/9/2021,"PETTY THEFT – ALL OTHER
(2) THEFT OF ELDER/DEPENDENT ADULT BY CARETAKER","THEFT/BURGLARY
OTHER/MULTIPLE",100-BLOCK MEDICAL PZ,34.06547903,-118.4460844,OPEN CASE
9/10/2021,"TAMPER/ETC WITH FIRE ALARM/ETC
(2) VANDALISM: DAMAGE PROPERTY",VANDALISM,"FRANZ HALL
502 PORTOLA PZ",34.0696422,-118.4412792,CLOSED: SUBJECT ARRESTED
