Name ,Address,Latitude,Longitude,ConstructionYear,RetrofitYear,SeismicRating,,,,,,,,,,,,,,,,,,,,,
De Neve Commons,"351 Charles E. Young Drive West, Los Angeles, CA 90024",34.0703263,-118.4501344,2002,-,III,,,,,,,,,,,,,,,,,,,,,
De Neve C,"301 Charles E. Young Drive West, Los Angeles, CA 90095",34.0714634,-118.4495632,2000,-,III,,,,,,,,,,,,,,,,,,,,,
De Neve D,"321 Charles E. Young Drive West, Los Angeles, CA 90024",34.0712134,-118.4495423,2000,-,III,,,,,,,,,,,,,,,,,,,,,
De Neve E (Evergreen Residential Building),"331 Charles E. Young Drive West, Los Angeles, CA 90024",34.0706705,-118.4512233,2000,-,III,,,,,,,,,,,,,,,,,,,,,
De Neve F (Firgrove Residential Building),"381 Charles E. Young Drive West, Los Angeles, CA 90024",34.0702328,-118.4509723,2000,-,III,,,,,,,,,,,,,,,,,,,,,
UCLA School of Dentistry – North Wing,"714 Tiverton Avenue, Los Angeles, CA 90024",34.0660175,-118.4418606,1966,2001,IV,,,,,,,,,,,,,,,,,,,,,
UCLA School of Dentistry – South Wing,"714 Tiverton Avenue, Los Angeles, CA 90024",34.0660175,-118.4418606,1966,2017,III,,,,,,,,,,,,,,,,,,,,,
Facilities Management Building (Building 2),"731 Charles E. Young Drive South, Los Angeles, CA 90095",34.0672582,-118.4461552,1994,-,IV,,,,,,,,,,,,,,,,,,,,,
Facilities Management Building E (Building 3),"731 Charles E. Young Drive South, Los Angeles, CA 90095",34.0672582,-118.4461552,1994,-,III,,,,,,,,,,,,,,,,,,,,,
Facilities Management Building – CoGen W (Building 1),"731 Charles E. Young Drive South, Los Angeles, CA 90095",34.0672582,-118.4461552,1994,-,IV,,,,,,,,,,,,,,,,,,,,,
Facilies Management Building – CoGen E (Building 5),"731 Charles E. Young Drive South, Los Angeles, CA 90095",34.0672582,-118.4461552,1994,-,III,,,,,,,,,,,,,,,,,,,,,
Facilities Management Building – ESB (Building 4),"731 Charles E. Young Drive South, Los Angeles, CA 90095",34.0672582,-118.4461552,1994,-,III,,,,,,,,,,,,,,,,,,,,,
Faculty Center,"480 Charles E. Young Drive East, Los Angeles, CA 90024",34.0703209,-118.4392384,1959,,V,,,,,,,,,,,,,,,,,,,,,
La Kretz Botany Building,"618 Charles E. Young Drive South, Los Angeles, CA 90095",34.0668155,-118.4411305,1959,-,V,,,,,,,,,,,,,,,,,,,,,
Murphy Hall (Main Building),"410 Charles E Young Dr E, Los Angeles, CA 90095",34.0716091,-118.4387084,1937,-,V,,,,,,,,,,,,,,,,,,,,,
Murphy Hall (West),"410 Charles E Young Dr E, Los Angeles, CA 90095",34.0716091,-118.4387084,1950,-,V,,,,,,,,,,,,,,,,,,,,,
Murphy Hall (East),"410 Charles E Young Dr E, Los Angeles, CA 90095",34.0716091,-118.4387084,1964,-,V,,,,,,,,,,,,,,,,,,,,,
Powell Library (Main),"10740 Dickson Ct, Los Angeles, CA 90095",34.0716126,-118.4421809,1930,1996,V,,,,,,,,,,,,,,,,,,,,,
Powell Library (East Wing),"10740 Dickson Ct, Los Angeles, CA 90095",34.0716126,-118.4421809,1947,1996,V,,,,,,,,,,,,,,,,,,,,,
