LoanRange,BusinessName,JobsRetained,long,lat
$5-10 million,"WOOD, SMITH, HENNING & BERMAN LLP",NA,-118.445973,34.057997
$2-5 million,"ARMAND HAMMER ART MUSEUM AND CULTURAL CENTER, INC.",173,-118.44376,34.05906
$2-5 million,GREEN HASSON & JANKS LLP,146,-118.44718,34.05747
$2-5 million,IRONGATE AZREP BW LLC,324,-118.44254,34.05934
$2-5 million,"LAMONICA'S PIZZA DOUGH INTERNATIONAL, LLC",163,-118.44686,34.06093
$2-5 million,"MICHELMAN & ROBINSON, LLP",116,-118.44283,34.05885
$2-5 million,PACREP HOLDINGS LLC,285,-118.44254,34.05934
$2-5 million,SINAI TEMPLE,487,-118.42904,34.0666
$2-5 million,SINGER LEWAK LLP,291,-118.445973,34.057997
$2-5 million,UNITED MEDICAL IMAGING INC,445,-118.437533,34.050676
$2-5 million,WAIKIKI INVESTORS LLC,324,-118.44254,34.05934
$1-2 million,"DMAI, INC.",68,-118.4452,34.05822
$1-2 million,"DRINKS HOLDINGS, INC.",62,-118.44419,34.05848
$1-2 million,ENTERTAINMENT INDUSTRY FOUNDATION,63,-118.44283,34.05885
$1-2 million,JACOBY & MEYERS ATTORNEYS LLP,136,-118.44419,34.05848
$1-2 million,"MAC FOODS GROUP, LLC",375,-118.445973,34.057997
$1-2 million,MAR VISTA ENTERTAINMENT LLC,63,-118.44254,34.05934
$1-2 million,"ORIGINATE, INC",48,-118.441394,34.059227
$1-2 million,SUNBIT INC,NA,-118.4452,34.05822
"$350,000-1 million","A MI JAPANESE RESTAURANT, INC",59,-118.44651,34.061561
"$350,000-1 million","AD.NET, INC.",27,-118.44418,34.06074
"$350,000-1 million","ARIXA CAPITAL ADVISORS, LLC",23,-118.445973,34.057997
"$350,000-1 million",BACKSTAGE EMPLOYMENT & REFERRAL INC.,54,-118.442,34.05907
"$350,000-1 million","BEMEL, ROSS & AVEDON LLP",26,-118.44283,34.05885
"$350,000-1 million","BERGMAN DACEY GOLDSMITH, A PROFESSIONAL LAW CORPORATION",20,-118.4429,34.05846
"$350,000-1 million",CAPPELLO GLOBAL LLC,60,-118.44711,34.0577
"$350,000-1 million","CLEMENTINE FOODS, LLC",75,-118.420874,34.060289
"$350,000-1 million","CORDAY PRODUCTIONS, INC.",199,-118.45,34.06
"$350,000-1 million",COUNTRY CLUB HOTEL LLC,80,-118.441394,34.059227
"$350,000-1 million","DE CASTRO, WEST, CHODOROW, MENDLER & GLICKFELD, INC.",25,-118.445973,34.057997
"$350,000-1 million",FORD E C INC,NA,-118.441394,34.059227
"$350,000-1 million","FRANTIC, INC",23,-118.44711,34.0577
"$350,000-1 million","FRESH CORN GRILL, INC.",0,-118.442921,34.05758
"$350,000-1 million",FRESHLUNCHES INC,85,-118.440281,34.050785
"$350,000-1 million","GAME PLAY NETWORK, INC",37,-118.442,34.05907
"$350,000-1 million","GEFFEN PLAYHOUSE, INC.",69,-118.44437,34.06349
"$350,000-1 million",HELNGO 8750 LLC,84,-118.444761,34.06092
"$350,000-1 million","HOFFMAN, SABBAN & WATENMAKER, A PROFESSIONAL CORPORATION",27,-118.44283,34.05885
"$350,000-1 million","INDIVEST, INCORPORATED",24,-118.44254,34.05934
"$350,000-1 million","JAMES CAPITAL ADVISORS, INC",21,-118.445973,34.057997
"$350,000-1 million",JG MARTELL GROUP INC,47,-118.44254,34.05934
