LoanRange,BusinessName,Address,JobsRetained,long,lat
$5-10 million,"WOOD, SMITH, HENNING & BERMAN LLP",10960 WILSHIRE BLVD Fl 18,,-118.445973,34.057997
$2-5 million,"ARMAND HAMMER ART MUSEUM AND CULTURAL CENTER, INC.",10899 WILSHIRE BLVD,173,-118.44376,34.05906
$2-5 million,GREEN HASSON & JANKS LLP,10990 WILSHIRE BLVD.,146,-118.44718,34.05747
$2-5 million,IRONGATE AZREP BW LLC,10877 WILSHIRE BLVD Suite 2300,324,-118.44254,34.05934
$2-5 million,"LAMONICA'S PIZZA DOUGH INTERNATIONAL, LLC",1066 Gayley Ave,163,-118.44686,34.06093
$2-5 million,"MICHELMAN & ROBINSON, LLP",10880 WILSHIRE BLVD FL 19,116,-118.44283,34.05885
$2-5 million,PACREP HOLDINGS LLC,"10880 Wilshire Blvd, Suite 2222",285,-118.44283,34.05885
$2-5 million,SINAI TEMPLE,10400 Wilshire Blvd,487,-118.42904,34.0666
$2-5 million,SINGERLEWAK LLP,"10960 WILSHIRE BLVD, #700",291,-118.44615,34.05755
$2-5 million,UNITED MEDICAL IMAGING INC,1762 WESTWOOD BLVD #230,445,-118.437533,34.050676
$2-5 million,WAIKIKI INVESTORS LLC,10877 Wilshire Blvd Suite 2300,324,-118.44254,34.05934
$1-2 million,"DMAI, INC.",10940 Wilshire Blvd Ste 1100,68,-118.4452,34.05822
$1-2 million,ENTERTAINMENT INDUSTRY FOUNDATION,10880 WILSHIRE BLVD STE 1400,63,-118.44283,34.05885
$1-2 million,JACOBY & MEYERS ATTORNEYS LLP,10900 WILSHIRE BLVD 15th Floor,136,-118.44419,34.05848
$1-2 million,"MAC FOODS GROUP, LLC",10960 Wilshire Blvd,375,-118.445973,34.057997
$1-2 million,MAR VISTA ENTERTAINMENT LLC,10877 Wilshire Boulevard,63,-118.44254,34.05934
$1-2 million,"ORIGINATE, INC",10850 WILSHIRE BLVD STE 600,48,-118.441394,34.059227
