"LoanRange","BusinessName","Address","JobsRetained"
"$5-10 million","WOOD, SMITH, HENNING & BERMAN LLP","10960 WILSHIRE BLVD Fl 18",NA
"$2-5 million","ARMAND HAMMER ART MUSEUM AND CULTURAL CENTER, INC.","10899 WILSHIRE BLVD",173
"$2-5 million","GREEN HASSON & JANKS LLP","10990 WILSHIRE BLVD.",146
"$2-5 million","IRONGATE AZREP BW LLC","10877 WILSHIRE BLVD Suite 2300",324
"$2-5 million","LAMONICA'S PIZZA DOUGH INTERNATIONAL, LLC","1066 Gayley Ave",163
"$2-5 million","MICHELMAN & ROBINSON, LLP","10880 WILSHIRE BLVD FL 19",116
"$2-5 million","PACREP HOLDINGS LLC","10877 Wilshire Blvd, Suite 2300",285
"$2-5 million","SINAI TEMPLE","10400 Wilshire Blvd",487
"$2-5 million","SINGER LEWAK LLP","10960 WILSHIRE BLVD, #700",291
"$2-5 million","UNITED MEDICAL IMAGING INC","1762 WESTWOOD BLVD #230",445
"$2-5 million","WAIKIKI INVESTORS LLC","10877 Wilshire Blvd Suite 2300",324
"$1-2 million","DMAI, INC.","10940 Wilshire Blvd Ste 1100",68
"$1-2 million","DRINKS HOLDINGS, INC.","10900 Wilshire Blvd. Suite 1600",62
"$1-2 million","ENTERTAINMENT INDUSTRY FOUNDATION","10880 WILSHIRE BLVD STE 1400",63
"$1-2 million","JACOBY & MEYERS ATTORNEYS LLP","10900 WILSHIRE BLVD 15th Floor",136
"$1-2 million","MAC FOODS GROUP, LLC","10960 Wilshire Blvd",375
"$1-2 million","MAR VISTA ENTERTAINMENT LLC","10877 Wilshire Boulevard",63
"$1-2 million","ORIGINATE, INC","10850 WILSHIRE BLVD STE 600",48
"$1-2 million","SUNBIT INC","10940 WILSHIRE BLVD STE 1850",NA
"$350,000-1 million","A MI JAPANESE RESTAURANT, INC","1051 BROXTON AVE",59
"$350,000-1 million","AD.NET, INC.","1100 GLENDON AVE Suite 1200",27
"$350,000-1 million","ARIXA CAPITAL ADVISORS, LLC","10960 WILSHIRE BLVD",23
"$350,000-1 million","BACKSTAGE EMPLOYMENT & REFERRAL INC.","c/o T&L 10866 Wilshire Blvd. Ste 1100",54
"$350,000-1 million","BEMEL, ROSS & AVEDON LLP","10880 WILSHIRE BLVD Suite 1000",26
"$350,000-1 million","BERGMAN DACEY GOLDSMITH, A PROFESSIONAL LAW CORPORATION","10880 WILSHIRE BLVD",20
"$350,000-1 million","CAPPELLO GLOBAL LLC","10990 Wilshire Blvd., Suite 1200",60
"$350,000-1 million","CLEMENTINE FOODS, LLC","1751 Ensley Avenue",75
"$350,000-1 million","CORDAY PRODUCTIONS, INC.","WILSHIRE BLVD",199
"$350,000-1 million","COUNTRY CLUB HOTEL LLC","10850 Wilshire Blvd",80
"$350,000-1 million","DE CASTRO, WEST, CHODOROW, MENDLER & GLICKFELD, INC.","10960 WILSHIRE BLVD STE 1400",25
"$350,000-1 million","FORD E C INC","10850 WILSHIRE BLVD. SUITE 380",NA
"$350,000-1 million","FRANTIC, INC","10990 WILSHIRE BLVD FL 8",23
"$350,000-1 million","FRESH CORN GRILL, INC.","1266 WESTWOOD BLVD",0
"$350,000-1 million","FRESHER CORN GRILL, INC., A CALIFORNIA CORPORATION","8714 Santa Monica Blvd #100",0
"$350,000-1 million","FRESHLUNCHES INC","1738 kelton ave",85
"$350,000-1 million","GAME PLAY NETWORK, INC","10866 Wilshire Blvd, Suite 700",37
"$350,000-1 million","GEFFEN PLAYHOUSE, INC.","10886 LE CONTE AVE",69
"$350,000-1 million","HELNGO 8750 LLC","10875 Kinross Avenue",84
"$350,000-1 million","HOFFMAN, SABBAN & WATENMAKER, A PROFESSIONAL CORPORATION","10880 WILSHIRE BLVD STE. 2200",27
"$350,000-1 million","INDIVEST, INCORPORATED","10877 WILSHIRE BLVD 300",24
"$350,000-1 million","JAMES CAPITAL ADVISORS, INC","10960 Wilshire Blvd #805",21
"$350,000-1 million","JG MARTELL GROUP INC","10877 Wilshire Blvd, Suite 2300",47
"$350,000-1 million","LEUEN, INC.","10880 WILSHIRE BLVD",82
"$350,000-1 million","MALONEY-SHAMIE VISION INSTITUTE","10921 Wilshire Blvd Suite 900",24
"$350,000-1 million","MCNICHOLAS & MCNICHOLAS, LLP","10866 WILSHIRE BLVD Suite 1400",NA
"$350,000-1 million","MEDCAFE WESTWOOD, LLC","1139 GLENDON AVE",35
"$350,000-1 million","MEDQIA, LLC","18050 WILSHIRE BLVD STE 1170",38
"$350,000-1 million","METALLICA CLUB, INC.","10990 WILSHIRE BLVD 8TH FLLOOR",20
"$350,000-1 million","MYLIFE.COM, INC.","100 GLENDON AVE STE 720",33
"$350,000-1 million","NELSON HARDIMAN LLP","1100 GLENDON AVE Suite 1400",40
"$350,000-1 million","PACIFIC HERITAGE COMMUNITIES CORP.","1263 WESTWOOD BLVD #210",23
"$350,000-1 million","PFC MANAGEMENT LLC","10921 WILSHIRE BLVD ste 700",55
"$350,000-1 million","RBB ARCHITECTS INC","10980 WILSHIRE BOULEVARD",44
"$350,000-1 million","SEA VIEW RESTAURANTS, INC.","10880 WILSHIRE BLVD",123
"$350,000-1 million","SOUTHERN CALIFORNIA TENNIS ASSOCIATION","PO Box 240015",63
"$350,000-1 million","STRATEGIC DEVELOPMENT SOLUTIONS, LLC","1281 Westwood Boulevard",16
"$350,000-1 million","TANNER MAINSTAIN GLYNN & JOHNSON, LLP","10866 WILSHIRE BLVD FL 10",40
"$350,000-1 million","TAYLOR AND LIEBERMAN AAC","10866 WILSHIRE BLVD Ste 1100",28
"$350,000-1 million","THE ROMAN CATHOLIC ARCHBISHOP OF LOS ANGELES","1536 Selby Avenue",64
"$350,000-1 million","THOMAS ST JOHN, INC","10877 WILSHIRE BLVD STE 1550",30
"$350,000-1 million","UNIVERSITY PODIATRY GROUP INC","100 UCLA MEDICAL PLZ STE 460",24
"$350,000-1 million","WJD RESTAURANT GROUP, LLC","1301 WESTWOOD BLVD.",40
"$150,000-350,000","2301 WB BUILDING LLC.","10940 WILSHIRE BLVD SUITE 1225",16
"$150,000-350,000","A NEW START TREATMENT & RECOVERY CTR LLC","1251 Westwood Boulevard",26
"$150,000-350,000","A.G. PROPERTIES, INC.","1324 Warnall Avenue",6
"$150,000-350,000","ADLER-WEINER RESEARCH L.A, INC.","10960 WILSHIRE BLVD #1250",30
"$150,000-350,000","AHDOOT &AMP; WOLFSON, A PROFESSIONAL CORPORATION","10728 Lindbrook Drive",12
"$150,000-350,000","ALL ACCESS MUSIC GROUP, INC.","10880 WILSHIRE BLVD Ste 1000",30
"$150,000-350,000","AMERICAL MANAGEMENT CO., INC.","10940 Wilshire Blvd. 1960",15
"$150,000-350,000","AMERICAN COLLEGE EDUCATION INK","10880 WILSHIRE BLVD STE 122",30
"$150,000-350,000","AMI ASSET MANAGEMENT CORPORATION","10866 WILSHIRE BLVD",15
"$150,000-350,000","AP ORIGINAL LLC","1100 GLENDON AVE SUITE 2000",16
"$150,000-350,000","ARMOR GUYS INC.","10990 WILSHIRE BLVD STE 1410",18
"$150,000-350,000","ASI/SILICA MACHINERY, LLC","515 Loring  AVE",20
"$150,000-350,000","BARNEYS WESTWOOD, LP","1037 S. BROXTON AVE",33
"$150,000-350,000","BAUM ORTHODONTIC ASSOCIATES","10921 Wilshire Blvd 804",10
"$150,000-350,000","BEVERLY HILLS STERLING CLEANERS INC","1600 WESTWOOD BLVD",20
"$150,000-350,000","BIG MAN MEDIA, INC.","WILSHIRE BLVD",18
"$150,000-350,000","BLENDED STRATEGY GROUP, LLC","1100 GLENDON AVE Suite 1220",17
"$150,000-350,000","BLUE ELAN RECORDS, LLC","10880 WILSHIRE BLVD 2000",11
"$150,000-350,000","BONDED FILMS, LLC","10433 Wilshire Blvd Suite 707",12
"$150,000-350,000","BRUIN BIOMETRICS, LLC.","10877 Wilshire Blvd., Suite 1600",17
"$150,000-350,000","C. 2K ENTERTAINMENT INC","1067 GAYLEY AVE",12
"$150,000-350,000","CALFUND LLC","1633 WESTWOOD BLVD",200
"$150,000-350,000","CAMBRIA/HOTEL INVESTORS, LLC","10850 WILSHIRE BLVD STE 1050",23
"$150,000-350,000","CAMINO INDUSTRIES LLC","1073 Glendon Avenue",13
"$150,000-350,000","CAPRI PROPERTIES, A CALIFORNIA CORPORATION","1508 wyton drive",12
"$150,000-350,000","CENTURY INVESTMENT HOLDINGS LLC DBA CARRIAGE TRADE CLEANERS OR CARRIAGE","1600 Westwood Blvd",25
"$150,000-350,000","CHABAD OF CALIFORNIA","741 Gayley Avenue",45
"$150,000-350,000","CMNTY RCRDS, LLC","10877 Wilshire Blvd, Suite 1550",2
"$150,000-350,000","CRENOVATE INC","10940 WILSHIRE BLVD STE 1600",25
"$150,000-350,000","DBA AMA PROJECT MANAGEMENT","10940 WILSHIRE BLVD SUITE 1950",NA
"$150,000-350,000","DC ARCHITECTS, INC.","969 HILGARD AVE Unit 708",18
"$150,000-350,000","DIDDY RIESE COOKIES, INC.","926 Broxton Avenue",NA
"$150,000-350,000","DREAMVILLE RECORDS, LLC","10960 WILSHIRE BLVD",10
"$150,000-350,000","DYLAN RUGA","1100 GLENDON AVE",10
"$150,000-350,000","EMPORIUM THAI CUISINE, LLC","1275 WESTWOOD BLVD",22
"$150,000-350,000","ENGLISH LANGUAGE CENTER INC","10850 Wilshire Blvd Ste 210",130
