LoanRange,BusinessName,Address,JobsRetained,long,lat
a $5-10 million,"WOOD, SMITH, HENNING & BERMAN LLP",10960 WILSHIRE BLVD Fl 18,,-118.445973,34.057997
b $2-5 million,"ARMAND HAMMER ART MUSEUM AND CULTURAL CENTER, INC.",10899 WILSHIRE BLVD,173.0,-118.44376,34.05906
b $2-5 million,GREEN HASSON & JANKS LLP,10990 WILSHIRE BLVD.,146.0,-118.447776,34.05768
b $2-5 million,IRONGATE AZREP BW LLC,10877 WILSHIRE BLVD Suite 2300,324.0,-118.44254,34.05934
b $2-5 million,"LAMONICA'S PIZZA DOUGH INTERNATIONAL, LLC",1066 Gayley Ave,163.0,-118.44686,34.06093
b $2-5 million,"MICHELMAN & ROBINSON, LLP",10880 WILSHIRE BLVD FL 19,116.0,-118.44283,34.05885
b $2-5 million,PACREP HOLDINGS LLC,"10877 Wilshire Blvd, Suite 2300",285.0,-118.44254,34.05934
b $2-5 million,SINAI TEMPLE,10400 Wilshire Blvd,487.0,-118.42904,34.0666
b $2-5 million,SINGER LEWAK LLP,"10960 WILSHIRE BLVD, #700",291.0,-90.1301892,30.0054017
b $2-5 million,UNITED MEDICAL IMAGING INC,1762 WESTWOOD BLVD #230,445.0,-118.437533,34.050676
b $2-5 million,WAIKIKI INVESTORS LLC,10877 Wilshire Blvd Suite 2300,324.0,-118.44254,34.05934
c $1-2 million,"DMAI, INC.",10940 Wilshire Blvd Ste 1100,68.0,-118.4452,34.05822
c $1-2 million,"DRINKS HOLDINGS, INC.",10900 Wilshire Blvd. Suite 1600,62.0,-118.44419,34.05848
c $1-2 million,ENTERTAINMENT INDUSTRY FOUNDATION,10880 WILSHIRE BLVD STE 1400,63.0,-118.44283,34.05885
c $1-2 million,JACOBY & MEYERS ATTORNEYS LLP,10900 WILSHIRE BLVD 15th Floor,136.0,-118.44419,34.05848
c $1-2 million,"MAC FOODS GROUP, LLC",10960 Wilshire Blvd,375.0,-118.44673,34.057044
c $1-2 million,MAR VISTA ENTERTAINMENT LLC,10877 Wilshire Boulevard,63.0,-118.44254,34.05934
c $1-2 million,"ORIGINATE, INC",10850 WILSHIRE BLVD STE 600,48.0,-118.441394,34.059227
c $1-2 million,SUNBIT INC,10940 WILSHIRE BLVD STE 1850,,-118.4452,34.05822
"d $350,000-1 million","A MI JAPANESE RESTAURANT, INC",1051 BROXTON AVE,59.0,-118.44651,34.061561
"d $350,000-1 million","AD.NET, INC.",1100 GLENDON AVE Suite 1200,27.0,-118.44418,34.06074
"d $350,000-1 million","ARIXA CAPITAL ADVISORS, LLC",10960 WILSHIRE BLVD,23.0,-118.44673,34.057044
"d $350,000-1 million",BACKSTAGE EMPLOYMENT & REFERRAL INC.,c/o T&L 10866 Wilshire Blvd. Ste 1100,54.0,-118.442,34.05907
"d $350,000-1 million","BEMEL, ROSS & AVEDON LLP",10880 WILSHIRE BLVD Suite 1000,26.0,-118.44283,34.05885
"d $350,000-1 million","BERGMAN DACEY GOLDSMITH, A PROFESSIONAL LAW CORPORATION",10880 WILSHIRE BLVD,20.0,-118.442926,34.058731
"d $350,000-1 million",CAPPELLO GLOBAL LLC,"10990 Wilshire Blvd., Suite 1200",60.0,-118.44711,34.0577
"d $350,000-1 million","CLEMENTINE FOODS, LLC",1751 Ensley Avenue,75.0,-118.420874,34.060289
"d $350,000-1 million","CORDAY PRODUCTIONS, INC.",WILSHIRE BLVD,199.0,-118.3039615,34.0626745
"d $350,000-1 million",COUNTRY CLUB HOTEL LLC,10850 Wilshire Blvd,80.0,-118.441394,34.059227
"d $350,000-1 million","DE CASTRO, WEST, CHODOROW, MENDLER & GLICKFELD, INC.",10960 WILSHIRE BLVD STE 1400,25.0,-118.445973,34.057997
"d $350,000-1 million",FORD E C INC,10850 WILSHIRE BLVD. SUITE 380,,-118.441394,34.059227
"d $350,000-1 million","FRANTIC, INC",10990 WILSHIRE BLVD FL 8,23.0,-118.44711,34.0577
"d $350,000-1 million","FRESH CORN GRILL, INC.",1266 WESTWOOD BLVD,0.0,-63.866364,44.734582
"d $350,000-1 million","FRESHER CORN GRILL, INC., A CALIFORNIA CORPORATION",8714 Santa Monica Blvd #100,0.0,-118.380291,34.086909
"d $350,000-1 million",FRESHLUNCHES INC,1738 kelton ave,85.0,-118.440281,34.050785
"d $350,000-1 million","GAME PLAY NETWORK, INC","10866 Wilshire Blvd, Suite 700",37.0,-118.442,34.05907
"d $350,000-1 million","GEFFEN PLAYHOUSE, INC.",10886 LE CONTE AVE,69.0,-118.44437,34.06349
