Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2003,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,10678,13920,24598,7,Football,113,,,,113,0,14377,1624549,0,0,1624549,,,,,,17231998,,17231998,,,,17231998,0,17231998,11503287,,11503287,,,,11503287,0,11503287
2004,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,10349,13656,24005,7,Football,106,,,,106,0,24541,2601365,0,0,2601365,,,,,,18483173,,18483173,,,,18483173,0,18483173,12741535,,12741535,,,,12741535,0,12741535
2005,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,10327,13525,23852,7,Football,120,,,,120,0,20627,2475228,0,0,2475228,,,,,,19601767,,19601767,,,,19601767,0,19601767,13458173,,13458173,,,,13458173,0,13458173
2006,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11103,14329,25432,7,Football,111,,,,111,0,40128,4454238,0,0,4454238,,,,,,23539593,,23539593,,,,23539593,0,23539593,16872615,,16872615,,,,16872615,0,16872615
2007,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11072,13900,24972,7,Football,115,,,,115,0,35060,4031948,0,0,4031948,,,,,,28174046,,28174046,,,,28174046,0,28174046,16803190,,16803190,,,,16803190,0,16803190
2008,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11374,14255,25629,7,Football,115,,,,115,0,32405,3726569,0,0,3726569,,,,,,26640759,,26640759,,,,26640759,0,26640759,18390148,,18390148,,,,18390148,0,18390148
2009,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11348,14424,25772,7,Football,125,,,,125,0,29739,3717338,0,0,3717338,,,,,,22298856,,22298856,,,,22298856,0,22298856,15261681,,15261681,,,,15261681,0,15261681
2010,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11378,14056,25434,7,Football,128,,,,128,0,29694,3800846,0,0,3800846,,,,,,23017910,,23017910,,,,23017910,0,23017910,17913658,,17913658,,,,17913658,0,17913658
2011,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,11935,14541,26476,7,Football,108,,,,108,0,34103,3683121,0,0,3683121,,,,,,25168004,,25168004,,,,25168004,0,25168004,19193346,,19193346,,,,19193346,0,19193346
2012,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12307,15058,27365,7,Football,124,,,,124,0,29295,3632621,0,0,3632621,,,,,,35656834,,35656834,,,,35656834,0,35656834,20149375,,20149375,,,,20149375,0,20149375
2013,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12514,15563,28077,7,Football,136,,,,136,0,48570,6605478,0,0,6605478,,,,,,30348286,,30348286,,,,30348286,0,30348286,24092213,,24092213,,,,24092213,0,24092213
2014,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12793,16234,29027,7,Football,123,,,,123,0,65451,8050416,0,0,8050416,,,,,,44727001,,44727001,,,,44727001,0,44727001,26858792,,26858792,,,,26858792,0,26858792
2015,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12685,16315,29000,7,Football,110,,,,110,0,70209,7722965,0,0,7722965,,,,,,38548482,,38548482,,,,38548482,0,38548482,26735958,,26735958,,,,26735958,0,26735958
2016,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,13088,17241,30329,7,Football,109,,,,109,0,62462,6808309,0,0,6808309,,,,,,39953277,,39953277,,,,39953277,0,39953277,27320771,,27320771,,,,27320771,0,27320771
2017,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12930,17520,30450,7,Football,122,,,,122,0,74265,9060305,0,0,9060305,,,,,,39891547,,39891547,,,,39891547,0,39891547,46765107,,46765107,,,,46765107,0,46765107
2018,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12998,18002,31000,7,Football,116,,,,116,0,69061,8011063,0,0,8011063,,,,,,41288698,,41288698,,,,41288698,0,41288698,35463068,,35463068,,,,35463068,0,35463068
2019,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12819,18144,30963,7,Football,128,,,,128,0,58208,7450628,0,0,7450628,,,,,,37548589,,37548589,,,,37548589,0,37548589,32311479,,32311479,,,,32311479,0,32311479
2020,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12808,18260,31068,7,Football,130,,,,130,0,26205,3406663,0,0,3406663,,,,,,25941456,,25941456,,,,25941456,0,25941456,25941456,,25941456,,,,25941456,0,25941456
2021,110662,131500,University of California-Los Angeles,CA,1,,1,NCAA,12595,18890,31485,7,Football,130,,,,130,0,35131,4567071,0,0,4567071,,,,,,42872878,,42872878,,,,42872878,0,42872878,36989740,,36989740,,,,36989740,0,36989740
