Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2003,123961,00132800,University of Southern California,CA,1,,1,NCAA,7707,7980,15687,7,Football,116,,,,116,0,32745,3798426,0,0,3798426,,,,,,26244364,,26244364,,,,26244364,0,26244364,15377942,,15377942,,,,15377942,0,15377942
2004,123961,00132800,University of Southern California,CA,1,,1,NCAA,7738,8038,15776,7,Football,118,,,,118,0,40993,4837189,0,0,4837189,,,,,,29266694,,29266694,,,,29266694,0,29266694,16694449,,16694449,,,,16694449,0,16694449
2005,123961,00132800,University of Southern California,CA,1,,1,NCAA,7870,8202,16072,7,Football,107,,,,107,0,57684,6172147,0,0,6172147,,,,,,27777249,,27777249,,,,27777249,0,27777249,17219167,,17219167,,,,17219167,0,17219167
2006,123961,00132800,University of Southern California,CA,1,,1,NCAA,8310,8419,16729,7,Football,109,,,,109,0,55397,6038327,0,0,6038327,,,,,,31705207,,31705207,,,,31705207,0,31705207,18699944,,18699944,,,,18699944,0,18699944
2007,123961,00132800,University of Southern California,CA,1,,1,NCAA,7791,7809,15600,7,Football,109,,,,109,0,79933,8712687,0,0,8712687,,,,,,28595881,,28595881,,,,28595881,0,28595881,20963700,,20963700,,,,20963700,0,20963700
2008,123961,00132800,University of Southern California,CA,1,,1,NCAA,7826,8013,15839,7,Football,106,,,,106,0,72941,7731753,0,0,7731753,,,,,,35203483,,35203483,,,,35203483,0,35203483,21370573,,21370573,,,,21370573,0,21370573
2009,123961,00132800,University of Southern California,CA,1,,1,NCAA,7921,8063,15984,7,Football,108,,,,108,0,63177,6823126,0,0,6823126,,,,,,29080117,,29080117,,,,29080117,0,29080117,20820468,,20820468,,,,20820468,0,20820468
2010,123961,00132800,University of Southern California,CA,1,,1,NCAA,8122,8441,16563,7,Football,107,,,,107,0,53279,5700822,0,0,5700822,,,,,,31148724,,31148724,,,,31148724,0,31148724,19423723,,19423723,,,,19423723,0,19423723
2011,123961,00132800,University of Southern California,CA,1,,1,NCAA,8145,8472,16617,7,Football,108,,,,108,0,67942,7337780,0,0,7337780,,,,,,34410822,,34410822,,,,34410822,0,34410822,23123733,,23123733,,,,23123733,0,23123733
2012,123961,00132800,University of Southern California,CA,1,,1,NCAA,8588,8909,17497,7,Football,110,,,,110,0,71744,7891804,0,0,7891804,,,,,,43809684,,43809684,,,,43809684,0,43809684,23049962,,23049962,,,,23049962,0,23049962
2013,123961,00132800,University of Southern California,CA,1,,1,NCAA,8664,8914,17578,7,Football,104,,,,104,0,103818,10797079,0,0,10797079,,,,,,44841874,,44841874,,,,44841874,0,44841874,30275084,,30275084,,,,30275084,0,30275084
2014,123961,00132800,University of Southern California,CA,1,,1,NCAA,8821,9077,17898,7,Football,112,,,,112,0,91554,10254029,0,0,10254029,,,,,,45886944,,45886944,,,,45886944,0,45886944,30575240,,30575240,,,,30575240,0,30575240
2015,123961,00132800,University of Southern California,CA,1,,1,NCAA,8818,9197,18015,7,Football,109,,,,109,0,97649,10643688,0,0,10643688,,,,,,51240237,,51240237,,,,51240237,0,51240237,31186065,,31186065,,,,31186065,0,31186065
2016,123961,00132800,University of Southern California,CA,1,,1,NCAA,8687,9383,18070,7,Football,107,,,,107,0,100468,10750045,0,0,10750045,,,,,,59837839,,59837839,,,,59837839,0,59837839,30184975,,30184975,,,,30184975,0,30184975
2017,123961,00132800,University of Southern California,CA,1,,1,NCAA,8903,9562,18465,7,Football,110,,,,110,0,114984,12648219,0,0,12648219,,,,,,60171935,,60171935,,,,60171935,0,60171935,32949542,,32949542,,,,32949542,0,32949542
2018,123961,00132800,University of Southern California,CA,1,,1,NCAA,9240,9807,19047,7,Football,116,,,,116,0,73926,8575465,0,0,8575465,,,,,,50046008,,50046008,,,,50046008,0,50046008,32124522,,32124522,,,,32124522,0,32124522
2019,123961,00132800,University of Southern California,CA,1,,1,NCAA,9333,10116,19449,7,Football,118,,,,118,0,87727,10351768,0,0,10351768,,,,,,53380160,,53380160,,,,53380160,0,53380160,36363652,,36363652,,,,36363652,0,36363652
2020,123961,00132800,University of Southern California,CA,1,,1,NCAA,8909,9651,18560,7,Football,133,,,,133,0,68092,9056275,0,0,9056275,,,,,,29432107,,29432107,,,,29432107,0,29432107,29357314,,29357314,,,,29357314,0,29357314
2021,123961,00132800,University of Southern California,CA,1,,1,NCAA,9702,10408,20110,7,Football,131,,,,131,0,24800,3248778,0,0,3248778,,,,,,69910492,,69910492,,,,69910492,0,69910492,67655498,,67655498,,,,67655498,0,67655498
