Year,School,Overall Wins,Conference Wins,Total Expenses,Total Revenue,Net Revenue,,@color:#18a1cd,@color:#c71e1d
2003,UCLA,6,4,11503287,17231998,5728711,"11503287,6,12741535,6@color:#18a1cd",,
2004,UCLA,6,4,12741535,18483173,5741638,"12741535,6,13458173,10@color:#18a1cd",,
2005,UCLA,10,6,13458173,19601767,6143594,"13458173,10,16872615,7@color:#18a1cd",,
2006,UCLA,7,5,16872615,23539593,6666978,"16872615,7,16803190,6@color:#18a1cd",,
2007,UCLA,6,5,16803190,28174046,11370856,"16803190,6,18390148,4@color:#18a1cd",,
2008,UCLA,4,3,18390148,26640759,8250611,"18390148,4,15261681,7@color:#18a1cd",,
2009,UCLA,7,3,15261681,22298856,7037175,"15261681,7,17913658,4@color:#18a1cd",,
2010,UCLA,4,2,17913658,23017910,5104252,"17913658,4,19193346,6@color:#18a1cd",,
2011,UCLA,6,5,19193346,25168004,5974658,"19193346,6,20149375,9@color:#18a1cd",,
2012,UCLA,9,6,20149375,35656834,15507459,"20149375,9,24092213,10@color:#18a1cd",,
2013,UCLA,10,6,24092213,30348286,6256073,"24092213,10,26858792,10@color:#18a1cd",,
2014,UCLA,10,6,26858792,44727001,17868209,"26858792,10,26735958,8@color:#18a1cd",,
2015,UCLA,8,5,26735958,38548482,11812524,"26735958,8,27320771,4@color:#18a1cd",,
2016,UCLA,4,2,27320771,39953277,12632506,"27320771,4,46765107,6@color:#18a1cd",,
2017,UCLA,6,4,46765107,39891547,-6873560,"46765107,6,35463068,3@color:#18a1cd",,
2018,UCLA,3,3,35463068,41288698,5825630,"35463068,3,32311479,4@color:#18a1cd",,
2019,UCLA,4,4,32311479,37548589,5237110,"32311479,4,25941456,3@color:#18a1cd",,
2020,UCLA,3,3,25941456,25941456,0,"25941456,3,36989740,8@color:#18a1cd",,
2021,UCLA,8,6,36989740,42872878,5883138,,,
2003,USC,12,7,15377942,26244364,10866422,"15377942,12,16694449,13@color:#c71e1d",,
2004,USC,13,8,16694449,29266694,12572245,"16694449,13,17219167,12@color:#c71e1d",,
2005,USC,12,8,17219167,27777249,10558082,"17219167,12,18699944,11@color:#c71e1d",,
2006,USC,11,7,18699944,31705207,13005263,"18699944,11,20963700,11@color:#c71e1d",,
2007,USC,11,7,20963700,28595881,7632181,"20963700,11,21370573,12@color:#c71e1d",,
2008,USC,12,8,21370573,35203483,13832910,"21370573,12,20820468,9@color:#c71e1d",,
2009,USC,9,5,20820468,29080117,8259649,"20820468,9,19423723,8@color:#c71e1d",,
2010,USC,8,5,19423723,31148724,11725001,"19423723,8,23123733,10@color:#c71e1d",,
2011,USC,10,7,23123733,34410822,11287089,"23123733,10,23049962,7@color:#c71e1d",,
2012,USC,7,5,23049962,43809684,20759722,"23049962,7,30275084,10@color:#c71e1d",,
2013,USC,10,6,30275084,44841874,14566790,"30275084,10,30575240,9@color:#c71e1d",,
2014,USC,9,6,30575240,45886944,15311704,"30575240,9,31186065,8@color:#c71e1d",,
2015,USC,8,6,31186065,51240237,20054172,"31186065,8,30184975,10@color:#c71e1d",,
2016,USC,10,7,30184975,59837839,29652864,"30184975,10,32949542,11@color:#c71e1d",,
2017,USC,11,8,32949542,60171935,27222393,"32949542,11,32124522,5@color:#c71e1d",,
2018,USC,5,4,32124522,50046008,17921486,"32124522,5,36363652,8@color:#c71e1d",,
2019,USC,8,7,36363652,53380160,17016508,"36363652,8,29357314,5@color:#c71e1d",,
2020,USC,5,5,29357314,29432107,74793,"29357314,5,67655498,4@color:#c71e1d",,
2021,USC,4,3,67655498,69910492,2254994,,,
