"overall_rating","easiness_rating","workload_rating","clarity_rating","helpfulness_rating","reviews_count","first_name","last_name","class_code","class_title"
5,4.6388888888888889,4.4444444444444444,5,5,36,"Miles","Chen","STATS 10","Introduction to Statistical Reasoning"
4.7894736842105263,4.3157894736842105,4.4210526315789474,4.5789473684210526,4.7368421052631579,90,"Thomas","Gillespie","GEOG 5","People and the Earth's Ecosystems"
4.6666666666666667,3.9444444444444444,4.1666666666666667,4.5555555555555556,4.6666666666666667,18,"Georgiana","Galateanu","ROMANIA 101A","Elementary Romanian"
4.5555555555555556,4,4.1111111111111111,3.6666666666666667,4.1111111111111111,22,"Hung-hsiang","Chou","CHIN 50","Chinese Civilization"
4.2,4.1,4.1,4,4.7,16,"Kenneth","Burrell","ETHNOMU M111","Ellingtonia"
3.5,3.7,4.1,3.3,3.3,15,"P","Rutenberg","MUSIC 15","Art of Listening"
3,4.0833333333333333,4,3.4166666666666667,3.5,28,"Robert","Romero","CHICANO 10A","Introduction to Chicana/Chicano Studies: History and Culture"
4.5,3.5,4,4.25,4.75,23,"Will","Conley","MATH 3A","Calculus for Life Sciences Students"
4.4444444444444444,3.9444444444444444,3.9444444444444444,4.3888888888888889,4.3888888888888889,18,"Georgiana","Galateanu","ROMANIA 187A","Advanced Tutorial Instruction in Romanian"
4.4666666666666667,3.5333333333333333,3.9333333333333333,4.5333333333333333,4.6,17,"Will","Conley","MATH 31A","Differential and Integral Calculus"
4.6923076923076923,3.7692307692307692,3.9230769230769231,4.3846153846153846,4.6923076923076923,48,"Ian","Mclean","ASTR 3","Nature of Universe"
4.4545454545454545,3.7272727272727273,3.9090909090909091,4.3636363636363636,4.2727272727272727,18,"Michael","Sproul","ECON 2","Principles of Economics"
4.8,4,3.9,4.8,4.6,18,"David","Jewitt","EPS SCI 9","Solar System and Planets"
4.7333333333333333,3.9333333333333333,3.8666666666666667,4.8,4.8666666666666667,15,"Matthew","Lafferty","MATH 31B","Integration and Infinite Series"
3.3333333333333333,3.5,3.8333333333333333,2.8333333333333333,2.3333333333333333,17,"Ameera","Chowdhury","MATH 3C","Probability for Life Sciences Students"
3.5,3.5,3.8333333333333333,3.5,3.6666666666666667,21,"Bernadine","Wisnieski","MIMG 6","Introduction to Microbiology"
4.6,4.6,3.8,4.6,4.8,19,"Alan","Garfinkel","PHYSCI 135","Dynamical Systems Modeling of Physiological Processes"
4.6,3.4,3.8,4,4.6,17,"Gilles","Peltzer","EPS SCI 8","Earthquakes"
4,3.5,3.75,3.5,4.25,15,"Robert","Winter","ART&ARC 10","Arts Encounters: Exploring Arts Literacy in 21st Century"
4.6111111111111111,3.4444444444444444,3.7222222222222222,4.5,4.6111111111111111,22,"Keith","Fink","COMM ST 167","Sex, Politics, and Race: Free Speech on Campus"
4,3.2857142857142857,3.7142857142857143,4,3.8571428571428571,15,"Adriana","Galvan","PSYCH 160","Genetics of Human Cognition and Behavior"
4.9,3.7,3.7,4.8,4.8,15,"Will","Conley","MATH 32A","Calculus of Several Variables"
4.6666666666666667,3.6666666666666667,3.6666666666666667,4.5,4.5,15,"Erzsebet","Dobos","SPAN 25","Advanced Spanish and Composition"
4.6666666666666667,3.5,3.6666666666666667,4.1666666666666667,3.8333333333333333,15,"Gerald","Wilson","ETHNOMU 120A","Development of Jazz"
4.5,3.25,3.6666666666666667,4.5,4.5,21,"Jean-Luc","Margot","EPS SCI 3","Astrobiology"
4.0909090909090909,3.9090909090909091,3.6363636363636364,4.2727272727272727,3.8181818181818182,61,"Charley","Harrison","ETHNOMU 50A","Jazz in American Culture: Late 19th Century through 1940s"
4.9230769230769231,3.6153846153846154,3.6153846153846154,4.7692307692307692,4.6923076923076923,16,"Alexandr","Sherstov","COM SCI 181","Introduction to Formal Languages and Automata Theory"
3.8,4.1,3.6,4.1,3.3,46,"Charley","Harrison","ETHNOMU 50B","Jazz in American Culture: 1940s to Present"
4.3181818181818182,3.3181818181818182,3.5909090909090909,4.5454545454545455,4.1363636363636364,44,"Michael","Sproul","ECON 1","Principles of Economics"
4.75,3.75,3.5833333333333333,4.3333333333333333,4.6666666666666667,23,"Keith","Fink","COMM ST M172","Free Speech in Workplace"
3.6428571428571429,2.9285714285714286,3.5714285714285714,3.4285714285714286,3.7142857142857143,21,"Jared","Wong","PSYCH 15","Introductory Psychobiology"
4.7,3.5,3.5,4.6,4.4,16,"Scott","Johnson","PSYCH 133E","Perceptual Development"
4,3.5833333333333333,3.4583333333333333,4.25,4.1666666666666667,41,"Jared","Wong","PSYCH 10","Introductory Psychology"
3.3636363636363636,3.8181818181818182,3.4545454545454545,2.4545454545454545,2.6363636363636364,20,"Jesse","Ruskin","ETHNOMU 25","Global Pop"
3.5555555555555556,3.2222222222222222,3.4444444444444444,4.1111111111111111,3.8888888888888889,18,"Greg","Schachner","ANTHRO 8","Archaeology: Introduction"
3.5625,2.5625,3.4375,3.4375,3.5,36,"John","Agnew","GEOG 4","Globalization: Regional Development and World Economy"
4,3.2857142857142857,3.4285714285714286,3.4285714285714286,3.2857142857142857,36,"Dahlia","Zaidel","PSYCH 10","Introductory Psychology"
3.5714285714285714,3.2857142857142857,3.4285714285714286,3.2857142857142857,3.5714285714285714,15,"Michael","Hall","MATH 3A","Calculus for Life Sciences Students"
3.5714285714285714,2.7142857142857143,3.4285714285714286,3.1428571428571429,3.4285714285714286,22,"Michael","Lofchie","POL SCI 50","Introduction to Comparative Politics"
4.5714285714285714,3.1428571428571429,3.4285714285714286,4.5714285714285714,4.4285714285714286,19,"Thomas","Gillespie","GEOG 111","Forest Ecosystems"
3.6666666666666667,3.4166666666666667,3.4166666666666667,3.9166666666666667,4,17,"Cynthia","Lebow","POL SCI 145A","Public Law and Judicial Process: Anglo-American Legal System"
4.5294117647058824,3.3529411764705882,3.4117647058823529,4.1764705882352941,4.4117647058823529,17,"Michael","Andrews","MATH 31A","Differential and Integral Calculus"
3.2,3.4,3.4,3.2,2.6,19,"Jinyong","Hahn","ECON 41","Statistics for Economists"
4.6,3.2,3.4,4.8,4.2,58,"Neil","Garg","CHEM 14D","Organic Reactions and Pharmaceuticals"
3.7,3.6,3.4,3.6,4.3,15,"Tara","Prescott","ENGCOMP 3","English Composition, Rhetoric, and Language"
3.4615384615384615,2.9230769230769231,3.3846153846153846,3,3.0769230769230769,15,"Erkao","Bao","MATH 31B","Integration and Infinite Series"
3.5,3.25,3.375,3.375,3.4375,16,"Omer","Ben Neria","MATH 33A","Linear Algebra and Applications"
4.3684210526315789,3.3684210526315789,3.3684210526315789,4.2631578947368421,4.5789473684210526,22,"Julie","Smurda","PSYCH 135","Social Psychology"
4.3571428571428571,3.5,3.3571428571428571,4.3571428571428571,4.7142857142857143,24,"James","Schopf","EPS SCI 16","Major Events in History of Life"
3.8333333333333333,3.5833333333333333,3.3333333333333333,3.5,3.5,24,"Dominique","Sportiche","LING 1","Introduction to Study of Language"
4.6666666666666667,3.8333333333333333,3.3333333333333333,4.6666666666666667,4.1666666666666667,17,"Jean-Luc","Margot","EPS SCI 9","Solar System and Planets"
3.7777777777777778,3,3.3333333333333333,3.8888888888888889,4,19,"Jenessa","Shapiro","PSYCH 135","Social Psychology"
3.9166666666666667,3.5416666666666667,3.3333333333333333,3.9583333333333333,3.6666666666666667,101,"Joseph","Esdin","PHYSCI 5","Issues in Human Physiology: Diet and Exercise"
4.7,3.5,3.3,4.6,4.6,28,"Teofilo","Ruiz","HIST 20","World History to A.D. 600"
3,3.2857142857142857,3.2857142857142857,1.7142857142857143,2,15,"Raffi","Kassabian","COMM ST 101","Freedom of Communication"
4.7142857142857143,3.1428571428571429,3.2857142857142857,4.5714285714285714,4.7142857142857143,18,"Thomas","Gillespie","GEOG 113","Humid Tropics"
3.7777777777777778,3.3333333333333333,3.2777777777777778,3.7777777777777778,3.9444444444444444,20,"Randall","Rojas","ECON 2","Principles of Economics"
3.1612903225806452,2.5806451612903226,3.2580645161290323,2.7741935483870968,3.2258064516129032,40,"Adi","Jaffe","PSYCH 100A","Psychological Statistics"
3.5,2.75,3.25,2.5,2,22,"Alexander","Julius","PHILOS 6","Introduction to Political Philosophy"
4.0625,3.5,3.25,3.8125,3.9375,43,"Juliet","Williams","GENDER 10","Introduction to Women's Studies: Feminist Perspectives on Women and Society"
4.25,3.5,3.25,4.25,4.25,20,"Keith","Kaiser","PHILOS 2","Introduction to Philosophy of Religion"
3.25,3.625,3.25,3.5,3.125,19,"Kerri","Johnson","COMM ST 113","Nonverbal Communication and Body Language"
4.3125,3.5,3.25,4.3125,4.25,58,"Mark","Jepson","SOCIOL 1","Introductory Sociology"
4.4705882352941176,3.7647058823529412,3.2352941176470588,4,4.0588235294117647,73,"Patrick","Wen","SCAND 50","Introduction to Scandinavian Literatures and Cultures"
3.7777777777777778,3.2222222222222222,3.2222222222222222,3.4444444444444444,3.5555555555555556,20,"Akram","Almohalwas","STATS 13","Introduction to Statistical Methods for Life and Health Sciences"
3.5555555555555556,3.2222222222222222,3.2222222222222222,3.4444444444444444,4.5555555555555556,18,"Mostafa","El Alaoui","PHYSICS 1A","Physics for Scientists and Engineers: Mechanics"
4.15625,3.1875,3.21875,4.25,4.03125,100,"Steven","Hardinger","CHEM 14C","Structure of Organic Molecules"
3.8571428571428571,3.1428571428571429,3.2142857142857143,3.9285714285714286,3.9285714285714286,21,"Jean","Turner","ASTR 3","Nature of Universe"
3.3939393939393939,2.9393939393939394,3.2121212121212121,3.0909090909090909,3.3333333333333333,69,"Russell","Schuh","LING 1","Introduction to Study of Language"
4.5384615384615385,3.1794871794871795,3.2051282051282051,4.5384615384615385,4.6153846153846154,71,"Jay","Phelan","LIFESCI 15","Life: Concepts and Issues"
3.8,3.2666666666666667,3.2,3.2,3.6666666666666667,17,"Demetri","Brizolis","MATH 31A","Differential and Integral Calculus"
3.9090909090909091,3.7272727272727273,3.1818181818181818,3.8181818181818182,3.6363636363636364,17,"Chris","Tausanovitch","POL SCI 40","Introduction to American Politics"
3.8181818181818182,3.3181818181818182,3.1818181818181818,3.9090909090909091,4.0454545454545455,24,"Randall","Rojas","ECON 1","Principles of Economics"
3.1666666666666667,3.5,3.1666666666666667,2.3333333333333333,4.5,16,"Shanna","Shaked","PHYSICS 6B","Physics for Life Sciences Majors: Waves, Electricity, and Magnetism"
4.2105263157894737,3.6315789473684211,3.1578947368421053,4.1052631578947368,3.7894736842105263,31,"C","Throop","ANTHRO 9","Culture and Society"
4.0714285714285714,2.9285714285714286,3.1428571428571429,4,4,30,"Maurizio","Mazzocco","ECON 11","Microeconomic Theory"
4.4,3.5333333333333333,3.1333333333333333,4.2,4.4,15,"Zhao","Li","CHEM 20B","Chemical Energetics and Change"
3.25,2.875,3.125,3.125,3.75,20,"Akram","Almohalwas","STATS 10","Introduction to Statistical Reasoning"
2.5,2.625,3.125,3,3.125,24,"Joseph","Manson","ANTHRO 7","Human Evolution"
2.9,3,3.1,2.3,4.6,18,"Carlos","Mechoso","A&O SCI 1","Climate Change: From Puzzles to Policy"
4.0909090909090909,3.0909090909090909,3.0909090909090909,4.3636363636363636,4.2727272727272727,25,"John","Papadopoulos","CLASSIC 51A","Art and Archaeology of Ancient Greece"
2.9166666666666667,3,3.0833333333333333,3,2.9166666666666667,15,"Neil","Malamuth","COMM ST M159","Pornography and Evolution"
4.2142857142857143,2.7142857142857143,3.0714285714285714,4.3571428571428571,4.4285714285714286,21,"Mark","Jepson","SOCIOL 102","Contemporary Sociological Theory"
4.5,2.4285714285714286,3.0714285714285714,4.5,4.1428571428571429,20,"Tiffany","Cvrkel","MCD BIO 60","Biomedical Ethics"
3.4117647058823529,3.4117647058823529,3.0588235294117647,3.1176470588235294,3.8235294117647059,53,"Aradhna","Tripati","EPS SCI 15","Blue Planet: Introduction to Oceanography"
4.625,2.625,3,4.625,4.625,21,"Asim","Dasgupta","MIMG 102","Introductory Virology"
3.3333333333333333,2.3333333333333333,3,3.5,3.3333333333333333,18,"Darnell","Hunt","SOCIOL 1","Introductory Sociology"
4.6,2.6,3,4.6,4.4,18,"Frederick","Park","MATH 32A","Calculus of Several Variables"
4,3.3333333333333333,3,4,3.8888888888888889,18,"Gregory","Bryant","COMM ST 126","Evolution of Interpersonal Communication"
4,2.3333333333333333,3,3.6666666666666667,3.3333333333333333,19,"Hank","Schlinger","PSYCH 10","Introductory Psychology"
3.9,2.9,3,3.8,3.9,15,"John","Agnew","GEOG 152","Cities of Europe"
3.8,2.8,3,3.2,3.8,21,"John","Mccumber","GERMAN 56","Figures Who Changed World"
3.9444444444444444,2.6111111111111111,3,3.8888888888888889,3.7777777777777778,31,"John","Papadopoulos","CLASSIC 10","Discovering Greeks"
4.5,3,3,4.6,4.6,15,"Lia","Brozgal","FRNCH 41","French Cinema and Culture"
4.4444444444444444,3.2222222222222222,3,3.6666666666666667,4.4444444444444444,15,"Liangcheng","Chief","CHIN 1","Elementary Modern Chinese"
4.5,3,3,4.6666666666666667,4.8333333333333333,17,"Mark","Huppin","COMM ST 146","Evolution of Mass Media Images"
4.5714285714285714,3.1428571428571429,3,4.2857142857142857,4.2857142857142857,30,"Paige","Greene","MATH 1","Precalculus"
4.0833333333333333,3,3,4.0833333333333333,4.5833333333333333,35,"Paige","Greene","MATH 3A","Calculus for Life Sciences Students"
