,date,county,state,fips,cases,deaths
1031,2020-03-10,Alachua,Florida,12001.0,1,0
1200,2020-03-11,Alachua,Florida,12001.0,1,0
1409,2020-03-12,Alachua,Florida,12001.0,2,0
1675,2020-03-13,Alachua,Florida,12001.0,3,0
1997,2020-03-14,Alachua,Florida,12001.0,3,0
2379,2020-03-15,Alachua,Florida,12001.0,4,0
2814,2020-03-16,Alachua,Florida,12001.0,4,0
3297,2020-03-17,Alachua,Florida,12001.0,6,0
3854,2020-03-18,Alachua,Florida,12001.0,7,0
4519,2020-03-19,Alachua,Florida,12001.0,11,0
5298,2020-03-20,Alachua,Florida,12001.0,15,0
6225,2020-03-21,Alachua,Florida,12001.0,25,0
7261,2020-03-22,Alachua,Florida,12001.0,35,0
8407,2020-03-23,Alachua,Florida,12001.0,37,0
9654,2020-03-24,Alachua,Florida,12001.0,37,0
11031,2020-03-25,Alachua,Florida,12001.0,46,0
12585,2020-03-26,Alachua,Florida,12001.0,53,0
14265,2020-03-27,Alachua,Florida,12001.0,60,0
16060,2020-03-28,Alachua,Florida,12001.0,68,0
17964,2020-03-29,Alachua,Florida,12001.0,72,0
19958,2020-03-30,Alachua,Florida,12001.0,80,0
22049,2020-03-31,Alachua,Florida,12001.0,87,0
24221,2020-04-01,Alachua,Florida,12001.0,92,0
26461,2020-04-02,Alachua,Florida,12001.0,95,0
28758,2020-04-03,Alachua,Florida,12001.0,110,0
31118,2020-04-04,Alachua,Florida,12001.0,116,0
33525,2020-04-05,Alachua,Florida,12001.0,123,0
35973,2020-04-06,Alachua,Florida,12001.0,133,0
38462,2020-04-07,Alachua,Florida,12001.0,139,0
41003,2020-04-08,Alachua,Florida,12001.0,144,0
43569,2020-04-09,Alachua,Florida,12001.0,154,0
46167,2020-04-10,Alachua,Florida,12001.0,167,0
48797,2020-04-11,Alachua,Florida,12001.0,174,0
51457,2020-04-12,Alachua,Florida,12001.0,183,0
54138,2020-04-13,Alachua,Florida,12001.0,187,0
56831,2020-04-14,Alachua,Florida,12001.0,195,0
399,2020-03-01,Alameda,California,6001.0,1,0
426,2020-03-02,Alameda,California,6001.0,1,0
459,2020-03-03,Alameda,California,6001.0,2,0
494,2020-03-04,Alameda,California,6001.0,2,0
533,2020-03-05,Alameda,California,6001.0,2,0
583,2020-03-06,Alameda,California,6001.0,3,0
657,2020-03-07,Alameda,California,6001.0,3,0
752,2020-03-08,Alameda,California,6001.0,3,0
