"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - BIANCHI, D.",0.33,0.149,0.223,0.053,0.021,0.128,0.011,0.011,0.074,0,0,0,0
"A&O SCI 101 - KOK, J.F.",0.129,0.194,0.065,0.161,0.065,0.129,0.032,0.097,0.097,0.032,0,0,0
"A&O SCI 103 - STEWART, A.L.",0.184,0.163,0.102,0.122,0.082,0.184,0,0.041,0.122,0,0,0,0
"A&O SCI 1L - BIANCHI, D.",0.111,0.056,0.667,0.056,0,0.056,0,0.056,0,0,0,0,0
"A&O SCI 2 - LEW, J.K.",0.109,0.04,0,0.396,0.059,0.059,0.178,0.02,0.05,0.02,0,0.01,0.059
"A&O SCI 200A - CHAMECKI, M.",0.421,0.053,0.105,0.053,0.158,0.211,0,0,0,0,0,0,0
"A&O SCI 200B - CHEN, G.",0.375,0.312,0,0.125,0,0.188,0,0,0,0,0,0,0
"A&O SCI 270 - SAIDE PERALTA, P.",0,0,0,0,0,1,0,0,0,0,0,0,0
"A&O SCI 2L - LEW, J.K.",0.167,0,0,0.389,0.056,0.111,0.222,0.056,0,0,0,0,0
"A&O SCI 3 - LEW, J.K.",0.222,0,0,0.333,0.074,0.074,0.111,0,0.074,0.074,0,0,0.037
"A&O SCI C160 - LIOU, K.",0.364,0.364,0.273,0,0,0,0,0,0,0,0,0,0
"A&O SCI M203A - LI, Q.",0.765,0,0.235,0,0,0,0,0,0,0,0,0,0
"AERO ST 140A - PLASCENCIA, K.",0.231,0.231,0.462,0,0.077,0,0,0,0,0,0,0,0
"AERO ST 1A - LISCOMBE, J.R.",1,0,0,0,0,0,0,0,0,0,0,0,0
"AERO ST 20A - LISCOMBE, J.R.",1,0,0,0,0,0,0,0,0,0,0,0,0
"AF AMER 1 - HUNTER, M.",0.424,0.068,0.277,0.062,0.051,0.051,0.011,0.011,0.023,0.011,0,0.011,0
"AF AMER 105B - HUDSON, P.J.",0.212,0.182,0.273,0.03,0.061,0.121,0,0,0.121,0,0,0,0
"AF AMER 188A - BONNER, L.D.",0.405,0.216,0.189,0.027,0,0.108,0,0.027,0,0,0.027,0,0
"AF AMER 188A - DUE, T.P.",0.172,0.125,0.578,0.031,0,0.094,0,0,0,0,0,0,0
"AF AMER 188A - EDU, U.F.",0.161,0.129,0.613,0.032,0,0,0.065,0,0,0,0,0,0
"AF AMER 188A - LYTLE HER0NDEZ, K",0.444,0,0.444,0,0.056,0.056,0,0,0,0,0,0,0
"AF AMER C191 - EDU, U.F.",0.071,0,0.857,0,0,0,0.071,0,0,0,0,0,0
"AF AMER C291 - BROWN, S.D.",0.636,0,0.364,0,0,0,0,0,0,0,0,0,0
"AF AMER C291 - LACAYO, C.O.",1,0,0,0,0,0,0,0,0,0,0,0,0
"AF AMER M104A - YARBOROUGH, R.A.",0.13,0.261,0,0.087,0.087,0.174,0.174,0.043,0,0.043,0,0,0
"AF AMER M120 - ALLEN, W.R.",0.29,0.226,0.097,0.161,0.032,0.194,0,0,0,0,0,0,0
"AF AMER M200B - HUDSON, P.J.",0.875,0.062,0,0,0,0.062,0,0,0,0,0,0,0
"AF AMER M5 - HUNTER, M.",0.393,0.167,0.372,0.021,0,0.026,0.004,0.004,0.013,0,0,0,0
"AM IND 202 - MITHLO, N.M.",0.667,0.083,0.083,0,0,0.083,0,0,0.083,0,0,0,0
"AM IND M10 - ERNEST, M.A.",0.713,0.006,0.225,0.013,0.006,0.019,0.006,0,0.006,0,0,0,0.006
"AN N EA 10W - SMOAK, J.D.",0.295,0.295,0,0.158,0.011,0.179,0.042,0,0.011,0,0,0,0.011
"AN N EA 15W - COONEY, K.M.",0.424,0.183,0.143,0.094,0.036,0.067,0.018,0,0.013,0,0,0,0.022
"AN N EA C177 - WINNERMAN, J.P.",0.222,0.333,0.111,0,0,0.333,0,0,0,0,0,0,0
"AN N EA M50A - BURKE, A.A.",0.177,0.129,0.355,0.097,0.065,0.065,0,0.032,0.032,0.032,0,0,0.016
"AN N EA M60 - SHAYEGAN, M.R.",0.321,0.143,0.179,0.107,0.071,0,0,0.071,0,0.036,0.036,0,0.036
"ANTHRO 110 - GUPTA-AGARWAL, S.",0.261,0.196,0.065,0.13,0.065,0.174,0,0,0.022,0,0,0,0.087
"ANTHRO 116S - ACABADO, S.B.",0.267,0.022,0.667,0.044,0,0,0,0,0,0,0,0,0
"ANTHRO 119 - LI, M.",0.889,0.028,0.028,0.028,0,0.028,0,0,0,0,0,0,0
"ANTHRO 124S - SNYDER, J.K.",0.122,0.13,0.104,0.174,0.104,0.122,0.087,0.026,0.009,0.035,0,0.009,0.078
"ANTHRO 124T - MANSON, J.H.",0.278,0.074,0.019,0.13,0.093,0.093,0.074,0.093,0.093,0.019,0,0,0.037
"ANTHRO 129 - BIGHAM, A.W.",0.341,0.073,0.293,0,0.073,0.146,0.049,0,0.024,0,0,0,0
"ANTHRO 130 - BOUM, A.",0.609,0.19,0.138,0.006,0.006,0.023,0,0,0,0,0.006,0.011,0.011
"ANTHRO 138P - FISKE, A.P.",0.721,0.108,0.027,0.054,0.018,0.045,0,0,0.009,0,0.009,0,0.009
"ANTHRO 139 - ANTOINE, K.E.",0.429,0.122,0.224,0.041,0.02,0.102,0,0,0.041,0,0,0.02,0
"ANTHRO 139 - GARRO, L.C.",0.127,0.073,0.036,0.164,0.036,0.091,0.164,0.055,0.091,0.091,0,0,0.073
"ANTHRO 139 - SPEED, S.E.",0.42,0.217,0.174,0.043,0.014,0.072,0.014,0,0,0,0,0.014,0.029
"ANTHRO 141 - LOYD, H.M.",0.61,0.051,0.271,0.017,0.034,0.017,0,0,0,0,0,0,0
"ANTHRO 151 - MITSUHARA, T.",0.318,0.409,0.136,0.114,0,0.023,0,0,0,0,0,0,0
"ANTHRO 154P - EDMONDS, R.B.",0.256,0.256,0.047,0.093,0.047,0.14,0.023,0.023,0.047,0,0.047,0,0.023
"ANTHRO 159 - DEBENPORT, E.K.",0.65,0,0.25,0.05,0,0.05,0,0,0,0,0,0,0
"ANTHRO 169 - BRANTINGHAM, P.J.",0.077,0.154,0.051,0.167,0.12,0.179,0.047,0.026,0.124,0.009,0,0.03,0.017
"ANTHRO 191HC - MIYAKE, L.R.",0.538,0.462,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 197 - ACABADO, S.B.",0,0,1,0,0,0,0,0,0,0,0,0,0
"ANTHRO 2 - SMITH, M.L.",0.218,0.121,0.211,0.093,0.08,0.142,0.024,0.038,0.031,0.014,0.007,0.007,0.014
"ANTHRO 200 - BARRETT, H.C.",1,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 202A - WOOD, B.M.",0.917,0,0.083,0,0,0,0,0,0,0,0,0,0
"ANTHRO 203A - LEVINE, N.",0.882,0.118,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO 204A - DEBENPORT, E.K.",0.833,0,0.167,0,0,0,0,0,0,0,0,0,0
"ANTHRO 253 - KROSKRITY, P.V.",0.7,0,0.3,0,0,0,0,0,0,0,0,0,0
"ANTHRO 3 - YAN, Y.",0.197,0.224,0.02,0.133,0.065,0.259,0.027,0.01,0.061,0,0,0,0.003
"ANTHRO 4 - MENDOZA-DENTON, N",0.292,0.138,0.505,0.016,0.003,0.03,0,0,0.01,0.003,0,0,0.003
"ANTHRO C117 - WAKE, T.A.",0.615,0.385,0,0,0,0,0,0,0,0,0,0,0
"ANTHRO M166Q - BOUM, A.",0.324,0.405,0.081,0.027,0.027,0.135,0,0,0,0,0,0,0
"ANTHRO M67W - YARBROUGH, L.B.",0.347,0.102,0.102,0.143,0.061,0.082,0,0.041,0.061,0,0.02,0,0.041
"ARABIC 102A - HAMZA, A.T.",0.308,0.192,0.346,0.077,0,0,0,0,0.077,0,0,0,0
"ARABIC 103A - HAMZA, A.T.",0.333,0.333,0.25,0,0,0,0,0,0,0,0,0,0.083
"ARABIC 1A - AHMAD, A.M.",0.345,0.052,0.431,0.086,0,0.034,0,0,0.034,0.017,0,0,0
"ARABIC M171 - BOUM, A.",0.429,0.214,0.143,0.071,0.071,0.071,0,0,0,0,0,0,0
"ARCH&UD 122 - BARKAN, K.R.",0.368,0.368,0,0.105,0,0.158,0,0,0,0,0,0,0
"ARCH&UD 131 - OSMAN, M.",0.105,0.368,0,0.105,0.105,0.316,0,0,0,0,0,0,0
"ARCH&UD 141 - JIMENEZ INIESTA, D",0.333,0.111,0.148,0.111,0,0.296,0,0,0,0,0,0,0
"ARCH&UD 220 - KOERNER, J.",0.921,0.026,0.053,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - AMU0TEGUI, J.C.",0.585,0.208,0,0.094,0,0.094,0,0,0,0,0,0,0.019
"ARCH&UD 289 - BILSEL, C.",0.632,0.105,0.053,0.053,0,0.158,0,0,0,0,0,0,0
"ARCH&UD 289 - CONWAY, M.J.",0.25,0.333,0,0,0.167,0.25,0,0,0,0,0,0,0
"ARCH&UD 289 - CUFF, D.",0.826,0.174,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - ENNEMOSER, B.",0.312,0.5,0,0,0,0.188,0,0,0,0,0,0,0
"ARCH&UD 289 - FRANKEL, R.E.",0.5,0.222,0.278,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - SHAFFER, G.",0.211,0.421,0,0.105,0,0.263,0,0,0,0,0,0,0
"ARCH&UD 289 - SU, N.",0.4,0,0,0.2,0,0.4,0,0,0,0,0,0,0
"ARCH&UD 290 - OSMAN, M.",0.364,0.273,0,0.091,0.091,0.182,0,0,0,0,0,0,0
"ARCH&UD 30 - OSMAN, M.",0.239,0.337,0.012,0.166,0.092,0.092,0.018,0.012,0.031,0,0,0,0
"ARCH&UD 401 - ENNEMOSER, B.",0.267,0.733,0,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 401 - HULJICH, G.",0.3,0.3,0,0,0,0.4,0,0,0,0,0,0,0
"ARCH&UD 401 - I0BA, J.N.",0,0.5,0,0.111,0,0.389,0,0,0,0,0,0,0
"ARCH&UD 401 - LAI, Y.",0.7,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0
"ARCH&UD 401 - LYNN, G.S.",0.25,0.25,0,0,0,0.5,0,0,0,0,0,0,0
"ARCH&UD 401 - REFUERZO, B.J.",0.917,0,0,0,0,0.083,0,0,0,0,0,0,0
"ARCH&UD 401 - SANDMEIER, N.",0,0.235,0.176,0.235,0,0.353,0,0,0,0,0,0,0
