"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - DRAKE, J.",0.727,0,0.182,0.091,0,0,0,0,0,0,0,0,0
"A&O SCI 1L - DRAKE, J.",1,0,0,0,0,0,0,0,0,0,0,0,0
"A&O SCI 2 - GONZALEZ, D.H.",0.125,0.438,0.188,0,0,0.062,0.188,0,0,0,0,0,0
"A&O SCI M105 - LEINWEBER, A.",0.182,0.318,0.136,0.091,0,0,0.045,0,0.136,0,0,0.045,0.045
"AF AMER 1 - PIERRE, J.",0.641,0.016,0.234,0.055,0.008,0.023,0.008,0,0.016,0,0,0,0
"AF AMER 188A - GREEN, C.D.",0.359,0,0.641,0,0,0,0,0,0,0,0,0,0
"AF AMER 188A - KEEL, T.D.",0.286,0.143,0.286,0,0,0.143,0,0,0.143,0,0,0,0
"AF AMER 6 - STREETER, C.A.",0.408,0.078,0.417,0.019,0.01,0.068,0,0,0,0,0,0,0
"AF AMER C191 - EDU, U.F.",0.083,0,0.75,0,0,0,0.083,0,0.083,0,0,0,0
"AF AMER M107 - AVIDAN, L.J.",0.304,0.174,0.478,0,0,0.043,0,0,0,0,0,0,0
"AF AMER M150D - BROWN, S.D.",0.2,0.1,0.5,0.033,0,0.167,0,0,0,0,0,0,0
"AN N EA 10W - DANIELSON, A.",0.143,0.333,0.048,0,0.048,0.19,0.048,0,0.048,0,0.048,0,0.095
"AN N EA 10W - KAROLL, A.B.",0.9,0,0,0,0,0,0,0,0,0,0,0,0.1
"AN N EA 10W - SAMUELS, A.D.",0.571,0.214,0.143,0.071,0,0,0,0,0,0,0,0,0
"AN N EA 10W - SCHNIEDEWIND, W.M.",0.455,0.273,0,0.091,0,0.152,0,0,0.03,0,0,0,0
"AN N EA 15W - COONEY, K.M.",0.408,0.153,0.294,0.035,0.012,0.071,0.004,0.008,0.008,0,0.004,0,0.004
"AN N EA 166 - COONEY, K.M.",0.091,0.273,0.364,0.091,0,0.182,0,0,0,0,0,0,0
"ANTHRO 1 - SNYDER, J.K.",0.372,0.128,0.321,0.026,0.013,0.077,0.038,0,0.026,0,0,0,0
"ANTHRO 110 - BOUM, A.",0.767,0.116,0.07,0,0.023,0.023,0,0,0,0,0,0,0
"ANTHRO 124S - SNYDER, J.K.",0.375,0.188,0.271,0,0,0.146,0,0,0,0,0,0,0.021
"ANTHRO 126P - RASHIDI, J.S.",0.308,0.308,0.077,0,0.077,0.154,0,0,0.077,0,0,0,0
"ANTHRO 132 - BOUM, A.",0.567,0.067,0.367,0,0,0,0,0,0,0,0,0,0
"ANTHRO 133 - KIM, M.K.",0.475,0.082,0,0.213,0,0.131,0.082,0,0,0.016,0,0,0
"ANTHRO 135 - BOUM, A.",0.727,0.121,0.121,0.03,0,0,0,0,0,0,0,0,0
"ANTHRO 137P - BOUM, A.",0,0.077,0.923,0,0,0,0,0,0,0,0,0,0
"ANTHRO 138P - BOUM, A.",0.63,0.185,0.148,0,0,0,0,0,0,0,0,0,0.037
"ANTHRO 142P - BOUM, A.",0.722,0,0.278,0,0,0,0,0,0,0,0,0,0
"ANTHRO 143 - BOUM, A.",0.263,0.158,0.421,0.053,0,0.105,0,0,0,0,0,0,0
"ANTHRO 146 - KIM, M.K.",0.465,0.116,0,0.233,0,0.07,0.047,0,0.023,0.023,0,0,0.023
"ANTHRO 153 - BOUM, A.",0.312,0,0.438,0,0,0.25,0,0,0,0,0,0,0
"ANTHRO 3 - BOUM, A.",0.286,0.089,0.625,0,0,0,0,0,0,0,0,0,0
"ANTHRO 4 - BOUM, A.",0.5,0.034,0.293,0.017,0,0.086,0,0,0,0,0.034,0,0.034
"ARABIC 1A - COOPERSON, M.D.",0.8,0,0.2,0,0,0,0,0,0,0,0,0,0
"ARABIC 1B - COOPERSON, M.D.",0.111,0.111,0.333,0.111,0.111,0.111,0,0,0,0,0,0,0.111
"ARABIC 1C - COOPERSON, M.D.",0.75,0,0.25,0,0,0,0,0,0,0,0,0,0
"ARABIC M107 - SAYEED, A.",0.333,0.222,0.111,0.222,0,0.111,0,0,0,0,0,0,0
"ARCH&UD 10B - OSMAN, M.",0.5,0.143,0.357,0,0,0,0,0,0,0,0,0,0
"ARCH&UD 289 - FEGHALI, Y.",0.592,0.245,0.143,0,0,0,0,0,0,0,0,0,0.02
"ARCH&UD 289 - MAYMIND, A.",0.429,0.245,0,0.102,0.041,0.163,0.02,0,0,0,0,0,0
"ARCH&UD 401 - ENNEMOSER, B.",0.25,0.625,0.021,0,0,0.083,0,0,0,0,0,0,0.021
"ARCH&UD CM153 - WELLS, W.R.",0.933,0.067,0,0,0,0,0,0,0,0,0,0,0
"ART 133 - LOWE, N.R.",0.643,0,0.357,0,0,0,0,0,0,0,0,0,0
"ART HIS 132 - MUKHOPADHYAY, S.",0.545,0.091,0.273,0,0,0,0,0,0.091,0,0,0,0
"ART HIS 154D - KUMAR, A.M.",0.556,0.111,0.333,0,0,0,0,0,0,0,0,0,0
"ART HIS C117B - THOMSON, H.M.",0.357,0.214,0,0.143,0,0.286,0,0,0,0,0,0,0
"ART HIS C120 - AMIN, A.",0.143,0,0.786,0,0,0,0,0,0,0,0,0,0.071
"ART HIS C128C - ROTTMAN, Z.D.",0.182,0.045,0.545,0.091,0.045,0.045,0,0,0,0,0,0,0.045
"ART HIS C142B - ROSENBLUM, B.T.",0.286,0.286,0,0.095,0,0.143,0.048,0,0.095,0.048,0,0,0
"ART HIS M110A - COONEY, K.M.",0.286,0.19,0.429,0.095,0,0,0,0,0,0,0,0,0
"ASIA AM 10 - DEGUZMAN, J.",0.843,0.098,0,0.02,0,0.039,0,0,0,0,0,0,0
"ASIA AM 130A - KAO, J.",0.809,0.085,0.043,0,0,0,0.021,0,0.021,0,0,0,0.021
"ASIA AM 30W - WELTY, L.",0.706,0.118,0,0.059,0.059,0.059,0,0,0,0,0,0,0
"ASIA AM 50W - NUBLA, G.M.",0.471,0.118,0.176,0.176,0,0.059,0,0,0,0,0,0,0
"ASIA AM M129 - DO, A.H.",0.033,0,0.933,0,0,0.017,0,0,0.017,0,0,0,0
"ASIAN 30 - CHAN, A.",0.4,0,0.2,0.2,0.05,0.1,0,0,0.05,0,0,0,0
"ASIAN M60W - HAYES, M.R.",0.652,0.197,0,0.061,0,0.045,0,0,0.015,0,0,0,0.03
"ASIAN M60W - YUN, S.H.",0.528,0.111,0.361,0,0,0,0,0,0,0,0,0,0
"ASL 8 - CLAY, L.J.",0.571,0.071,0.071,0.071,0,0.071,0.071,0.071,0,0,0,0,0
"ASL 8 - LEWIS, B.J.",0.318,0.091,0.409,0.045,0,0.091,0,0,0.045,0,0,0,0
"ASTR 5 - MASHIAN, N.",0.217,0.217,0.087,0.065,0.065,0.13,0.043,0.022,0.065,0,0,0,0.087
"BIOSTAT 100A - LEE, M.L.",0.802,0.016,0.024,0.103,0.008,0.032,0.016,0,0,0,0,0,0
"BMD RES 5HA - CLARK, I.E.",0.938,0.062,0,0,0,0,0,0,0,0,0,0,0
"C&EE 103 - RUTER, M.",0.75,0.031,0.156,0.031,0.031,0,0,0,0,0,0,0,0
"C&EE 148 - AHLBERG, E.",0.222,0.111,0.222,0.111,0.222,0.111,0,0,0,0,0,0,0
"C&EE M20 - GAO, E.X.",0.354,0.1,0.454,0.015,0.015,0.038,0.008,0.008,0,0,0,0,0.008
"CHEM 101 - BOIT, T.B.",0.178,0.089,0.467,0.044,0.022,0.156,0.044,0,0,0,0,0,0
"CHEM 14A - OW, F.P.",0.382,0.188,0.257,0.056,0.021,0.035,0.007,0.007,0.021,0.007,0.007,0.007,0.007
"CHEM 14A - PRADO, J.R.",0.45,0.2,0.2,0,0,0.15,0,0,0,0,0,0,0
"CHEM 14B - COUREY, A.J.",0.417,0.139,0.028,0.111,0.028,0.083,0.111,0.028,0.056,0,0,0,0
"CHEM 14B - OW, F.P.",0.392,0.157,0.176,0.049,0.049,0.059,0.01,0.02,0.039,0.039,0.01,0,0
"CHEM 14BL - HE0RY, M.M.",0.862,0.022,0,0.043,0.014,0.051,0,0,0.007,0,0,0,0
"CHEM 14BL - PANG, J.W.",0.913,0.008,0,0.043,0.004,0,0.02,0.004,0,0,0,0,0.008
"CHEM 14C - PHAM, H.V.",0.564,0.134,0.122,0.041,0.012,0.081,0.023,0.006,0.012,0,0,0,0.006
"CHEM 14CL - HE0RY, M.M.",0.901,0.031,0,0.015,0.008,0.015,0.008,0.023,0,0,0,0,0
"CHEM 14CL - PANG, J.W.",0.949,0.006,0,0.013,0,0,0.025,0,0.006,0,0,0,0
"CHEM 153A - GOBER, J.W.",0.604,0.113,0.113,0.019,0.019,0.038,0.019,0.019,0.057,0,0,0,0
"CHEM 153A - JARRETT, D.A.",0.315,0.099,0.477,0.027,0.018,0.036,0,0.018,0,0,0.009,0,0
"CHEM 153A - PATA00N, A.",0.412,0.136,0.312,0.01,0.01,0.106,0,0,0,0,0,0,0.015
"CHEM 153B - CHANFREAU, G.",0.375,0.25,0.188,0,0.062,0.125,0,0,0,0,0,0,0
"CHEM 153B - HE, C.",0.594,0.094,0.094,0.031,0.062,0.125,0,0,0,0,0,0,0
"CHEM 153C - GOBER, J.W.",0.312,0.062,0,0.125,0.062,0.125,0,0,0.25,0,0,0,0.062
"CHEM 153L - JARRETT, D.A.",0.259,0.333,0.019,0.074,0.056,0.13,0.019,0.056,0.037,0,0,0,0.019
"CHEM 17 - JARRETT, D.A.",0.308,0.231,0.154,0.115,0,0.077,0.077,0,0,0,0,0,0.038
"CHEM 20A - WINCHELL, K.A.",0.556,0.159,0.016,0.19,0.032,0.016,0.016,0,0,0,0,0,0.016
"CHEM 30A - HARRAN, P.G.",0.231,0.154,0.231,0,0.077,0.154,0.077,0,0.077,0,0,0,0
"CHEM 30A - REILLY, A.J.",0.161,0.194,0.032,0.065,0.065,0.258,0,0,0.097,0.032,0.032,0,0.065
"CHEM 30B - REILLY, A.J.",0.319,0.22,0.088,0.066,0.033,0.099,0.066,0.033,0.033,0.011,0,0.033,0
"CHEM 30B - ZINKE, P.W.",0,0,0.333,0.238,0.048,0,0.286,0,0,0,0,0.048,0.048
"CHEM 88A - CORBIN, B.",0.419,0.032,0,0.355,0.065,0.065,0,0,0.065,0,0,0,0
"CHEM 96 - CORBIN, B.",0.406,0.062,0,0.344,0.062,0.062,0,0,0.062,0,0,0,0
"CHICANO 100SL - GONZALEZ, O.O.",0.826,0.087,0.087,0,0,0,0,0,0,0,0,0,0
"CHICANO 10A - BLACK, C.V.",0.324,0.324,0.118,0.059,0,0.176,0,0,0,0,0,0,0
"CHICANO 10A - GASPAR DE ALBA, A.",0.455,0.424,0,0,0,0.061,0,0.03,0,0,0,0,0.03
"CHICANO 10B - BARRETO, M.A.",0.6,0.1,0.033,0.067,0.033,0.1,0,0,0.033,0.033,0,0,0
"CHICANO 151 - VERCHES, R.L.",0.387,0.29,0.065,0.065,0.032,0.161,0,0,0,0,0,0,0
"CHICANO 166 - VERBERA, G.",0.12,0.04,0.52,0.08,0,0.24,0,0,0,0,0,0,0
"CHICANO 188 - CARPIO, G.G.",0.273,0.091,0.545,0.091,0,0,0,0,0,0,0,0,0
"CHICANO 191 - VALENZUELA, A.",0.907,0.056,0.019,0.019,0,0,0,0,0,0,0,0,0
"CHICANO C107 - ABREGO, L.J.",0.312,0.25,0.062,0.156,0.062,0.062,0,0.031,0.062,0,0,0,0
"CHICANO CM106 - CASAS, R.P.",0.552,0,0.31,0.069,0,0.034,0,0,0,0,0,0,0.034
"CHICANO M102 - DEL REAL VIRAMONTE",0.763,0.184,0.026,0.026,0,0,0,0,0,0,0,0,0
"CHICANO M108A - FRANCISCO CRISTOBA",0.368,0,0.579,0,0,0.053,0,0,0,0,0,0,0
"CHICANO M114 - BLACKWELL, M.S.",0.273,0.227,0,0.045,0,0.318,0,0,0.045,0,0,0,0.091
"CHICANO M126 - ROMERO, R.C.",0.5,0.25,0,0,0,0.083,0,0,0,0,0,0,0.167
"CHICANO M155A - ORTIZ, V.",0.583,0.042,0.333,0,0.042,0,0,0,0,0,0,0,0
"CHIN 1 - WANG, Y.",0.115,0,0.885,0,0,0,0,0,0,0,0,0,0
"CHIN 10 - ZHOU, Y.",0.3,0.4,0.2,0,0,0.1,0,0,0,0,0,0,0
"CHIN 180 - LI, W.",0.567,0.067,0.133,0.133,0.067,0,0,0.033,0,0,0,0,0
"CHIN 2 - WANG, Y.",0.25,0.036,0.571,0.036,0.036,0.036,0,0,0.036,0,0,0,0
"CHIN 3 - WANG, Y.",0.333,0.061,0.485,0,0.03,0.03,0,0,0.03,0,0.03,0,0
"CHIN C120 - CARTER, E.B.",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHIN M60 - HSU, P.W.",0.462,0.308,0,0.077,0,0,0,0,0.077,0,0,0,0.077
"CLASSIC 10 - BECKELHYMER, S.D.",0.556,0.222,0,0.056,0.056,0.111,0,0,0,0,0,0,0
"CLASSIC 185 - BECKELHYMER, S.D.",0.467,0.133,0.133,0,0,0.067,0,0.067,0.067,0,0,0.067,0
"CLASSIC 30 - BECKELHYMER, S.D.",0.486,0.27,0.081,0.054,0,0.081,0,0,0,0,0,0,0.027
"COM HLT 48 - HERMAN, D.R.",0.5,0.167,0.125,0,0,0.208,0,0,0,0,0,0,0
"COM HLT 48 - MUTH, N.D.",0.438,0.062,0.333,0,0.042,0.083,0,0,0,0.021,0,0.021,0
"COM LIT 4CW - KING, K.C.",0.571,0.357,0,0,0,0,0,0,0,0,0,0,0.071
"COM LIT 4DW - KING, K.C.",0.211,0.316,0,0.105,0.053,0.263,0,0,0.053,0,0,0,0
"COM SCI 111 - REIHER, P.L.",0.114,0.182,0,0.159,0.114,0.136,0,0.023,0.045,0,0,0.023,0.205
"COM SCI 180 - BURGIN, M.",0.453,0,0,0.312,0,0,0.219,0,0,0,0,0,0.016
"COM SCI 181 - BURGIN, M.",0.5,0,0,0.365,0,0,0.108,0,0,0,0,0,0.027
"COM SCI 31 - STAHL, H.A.",0.359,0.055,0.25,0.055,0.023,0.102,0.016,0.023,0.016,0.023,0.008,0,0.07
"COM SCI 32 - AMBROSIO, E.O.",0.323,0.146,0.062,0.146,0.115,0.083,0.042,0.01,0,0,0.021,0,0.052
"COM SCI 33 - GHAFORYFARD, P.",0.287,0.218,0.126,0.069,0.092,0.069,0.011,0.023,0.023,0.034,0.011,0,0.034
"COM SCI M51A - GHAFORYFARD, P.",0.37,0.296,0.173,0.074,0.012,0.025,0,0,0.025,0.012,0,0,0.012
"COMM 1 - MILLER, T.E.",0.524,0.238,0.143,0,0,0.095,0,0,0,0,0,0,0
"COMM 10 - SUMAN, M.W.",0.097,0.208,0,0.236,0.125,0.181,0.069,0.028,0.014,0,0.014,0.014,0.014
"COMM 100 - BRYANT, G.A.",0.214,0,0.762,0.024,0,0,0,0,0,0,0,0,0
"COMM 105 - ARBABZADAH, N.",0.545,0.091,0.091,0.091,0,0.182,0,0,0,0,0,0,0
"COMM 109 - PETERSON, S.M.",0.136,0.227,0.136,0.091,0.045,0.364,0,0,0,0,0,0,0
"COMM 110 - KICENSKI, K.K.",0.188,0.188,0,0.438,0.062,0.062,0,0.062,0,0,0,0,0
"COMM 114 - SUMAN, M.W.",0.105,0.211,0.105,0.105,0.158,0.211,0,0,0.105,0,0,0,0
"COMM 120 - BATES, C.G.",0.386,0.14,0.316,0.035,0.035,0.035,0.035,0,0.018,0,0,0,0
"COMM 140 - SUMAN, M.W.",0.071,0.214,0.071,0.071,0.214,0.071,0,0,0.286,0,0,0,0
"COMM 148 - FERAMISCO, C.",0.4,0.309,0.036,0.073,0.018,0.127,0,0,0.036,0,0,0,0
"COMM 156 - PETERSON, S.M.",0.308,0.192,0.038,0.115,0.077,0.115,0,0.077,0.038,0,0,0.038,0
"COMM 157 - PETERSON, S.M.",0.381,0.048,0.143,0.19,0.095,0.095,0,0,0,0,0,0,0.048
"COMM 166 - PETERSON, S.M.",0.2,0.2,0.1,0.3,0,0.1,0,0,0,0,0,0,0.1
"COMM M113 - JOHNSON, K.",0.4,0,0.4,0.1,0,0.1,0,0,0,0,0,0,0
"COMPTNG 10A - ANDREWS, M.J.",0.596,0.193,0.053,0.035,0.018,0.035,0.018,0.018,0.018,0,0,0,0.018
"DANCE 11 - FROOT, D.",0.886,0.029,0.086,0,0,0,0,0,0,0,0,0,0
"DESMA 10 - MOORE, J.F.",0.147,0.029,0.794,0.029,0,0,0,0,0,0,0,0,0
"DESMA 160 - LERCHIN, B.W.",0.444,0.222,0.167,0,0.056,0.111,0,0,0,0,0,0,0
"DESMA 161 - O'NEILL, B.D.",0.462,0.231,0.154,0,0,0.154,0,0,0,0,0,0,0
"DESMA 21 - JIANG, Y.",0.529,0.176,0.294,0,0,0,0,0,0,0,0,0,0
"DESMA 24 - SABAGHIAN, H.",0.067,0,0.867,0,0,0,0.067,0,0,0,0,0,0
"DESMA 25 - COONEY, E.J.",0.8,0,0.2,0,0,0,0,0,0,0,0,0,0
"DGT HUM 101 - SANDERS, A.",0.885,0,0.115,0,0,0,0,0,0,0,0,0,0
"DGT HUM 150 - CHO, S.",0.455,0.182,0.182,0,0,0.182,0,0,0,0,0,0,0
"DIS STD 101W - MEITZENHEIMER, B.A",0.9,0,0,0,0,0.05,0,0,0,0,0,0,0.05
"DIS STD 101W - SOLONE, C.J.",0.474,0,0.526,0,0,0,0,0,0,0,0,0,0
"DIS STD 101W - THORNTON, B.E.",0.205,0,0.744,0.051,0,0,0,0,0,0,0,0,0
"DIS STD M121 - MEITZENHEIMER, B.A",0.222,0.111,0.667,0,0,0,0,0,0,0,0,0,0
"DIS STD M139 - TARLETON, C.E.",0.923,0,0.077,0,0,0,0,0,0,0,0,0,0
"DIS STD M148 - SCHOTTMILLER, C.D.",0.615,0,0,0.154,0.077,0,0,0,0,0,0,0,0.154
"EC ENGR 100 - DARABI, H.",0.195,0.146,0.195,0.073,0.073,0.244,0,0,0.049,0,0,0,0.024
"EC ENGR 102 - SHOARINEJAD, K.",0.125,0.25,0.375,0.125,0,0,0,0,0,0,0,0.125,0
"EC ENGR 205A - LAUB, A.J.",0.462,0,0,0.538,0,0,0,0,0,0,0,0,0
"EC ENGR 232E - ROYCHOWDHURY, V.P.",0.81,0,0.143,0,0,0.048,0,0,0,0,0,0,0
"EC ENGR 235A - DOLECEK, L.",0.571,0.143,0.286,0,0,0,0,0,0,0,0,0,0
"EC ENGR 3 - BRIGGS, D.M.",0.385,0.115,0.308,0.115,0,0.038,0,0,0,0,0,0,0.038
"ECON 1 - BATISTA, J.A.",0.14,0.243,0.075,0.121,0.084,0.215,0.028,0.019,0.037,0.028,0,0,0.009
"ECON 1 - EUN, D.",0.18,0.2,0.06,0.1,0,0.2,0.06,0,0.1,0.04,0,0,0.06
"ECON 1 - ROJAS, R.R.",0.323,0.146,0.25,0.052,0.042,0.115,0.01,0.031,0.021,0,0,0,0.01
"ECON 101 - GUANZIROLI, T.",0.132,0.094,0.094,0.17,0.132,0.17,0.057,0.038,0.094,0.019,0,0,0
"ECON 101 - YASUI, Y.",0.121,0.152,0.106,0.152,0.152,0.197,0.045,0,0.045,0,0,0,0.03
"ECON 102 - ATKESON, A.G.",0.172,0.284,0.069,0.121,0,0.241,0.112,0,0,0,0,0,0
"ECON 102 - SHINDE, S.",0.115,0.115,0.094,0.177,0.031,0.229,0.094,0.042,0.062,0,0,0.01,0.031
"ECON 103 - ROJAS, F.",0.123,0.105,0.053,0.193,0.158,0.193,0,0,0.158,0,0,0,0.018
"ECON 103 - ZHANG, L.",0.222,0.131,0.192,0.101,0.101,0.152,0.03,0.03,0.03,0,0,0,0.01
"ECON 103L - ROJAS, F.",0.123,0.105,0.053,0.193,0.158,0.193,0,0,0.158,0,0,0,0.018
"ECON 103L - ZHANG, L.",0.222,0.131,0.192,0.101,0.101,0.152,0.03,0.03,0.03,0,0,0,0.01
"ECON 106F - LINDSAY, D.C.",0.379,0.138,0,0.172,0.034,0.172,0.034,0.034,0.034,0,0,0,0
"ECON 106F - MCDEVITT, E.P.",0.409,0,0.182,0.182,0.091,0.045,0.045,0,0.045,0,0,0,0
"ECON 106G - ZUNIGA SEMI0RIO,",0.4,0.15,0.4,0,0,0.05,0,0,0,0,0,0,0
"ECON 11 - BARONE, V.",0.24,0.178,0.034,0.192,0.103,0.205,0,0,0.048,0,0,0,0
"ECON 11 - IKUDO, A.",0.198,0.086,0.052,0.25,0.095,0.06,0.103,0.069,0.078,0,0,0,0.009
"ECON 111 - OSEI TWUMASI, O.I.",0.278,0.167,0.167,0.222,0,0.111,0,0,0.056,0,0,0,0
"ECON 122 - MCDEVITT, E.P.",0.078,0.196,0.098,0.078,0.118,0.157,0.098,0.039,0.078,0.02,0,0,0.039
"ECON 134 - MCDEVITT, E.P.",0.241,0.103,0.149,0.253,0.057,0.092,0.034,0.011,0.057,0,0,0,0
"ECON 160 - MCDEVITT, E.P.",0.222,0.089,0.133,0.178,0.067,0.133,0.044,0,0.133,0,0,0,0
"ECON 165 - SURRO, C.J.",0.658,0.053,0.211,0.026,0,0.026,0,0,0.026,0,0,0,0
"ECON 2 - PAPAC, A.J.",0.162,0.162,0.108,0.162,0.081,0.216,0,0,0.108,0,0,0,0
"ECON 2 - SURRO, C.J.",0.152,0.065,0.098,0.185,0.098,0.25,0.033,0.011,0.087,0,0,0.022,0
"ECON 41 - PONOMAREV, K.",0.116,0.14,0.099,0.182,0.107,0.124,0.041,0.041,0.083,0.066,0,0,0
"ECON 41 - XU, Z.",0.2,0.305,0.095,0.124,0.067,0.067,0.01,0,0.133,0,0,0,0
"ECON 5 - OSEI TWUMASI, O.I.",0.32,0.12,0.34,0.08,0.02,0.06,0,0,0.02,0,0,0,0.04
"EDUC 120 - CORTES, A.E.",0.324,0.27,0.243,0.081,0,0.054,0,0,0,0,0,0,0.027
"EDUC 127 - MITCHELL, K.",0.773,0.091,0.091,0,0,0.045,0,0,0,0,0,0,0
"EDUC 129 - PURDY, W.C.",0.778,0,0,0,0,0.167,0,0,0,0,0,0,0.056
"EDUC 133 - BLACKSTOCK-BERNSTE",0.316,0.158,0.263,0,0.053,0.158,0.053,0,0,0,0,0,0
"EDUC 187 - HUH, C.R.",0.591,0.273,0,0,0,0.091,0,0,0.045,0,0,0,0
"EDUC 187 - OMWAMI, E.S.",0.722,0,0.278,0,0,0,0,0,0,0,0,0,0
"EDUC 191A - HARRISON, O.C.",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
"EDUC 191C - HARRISON, O.C.",0,0.125,0,0.125,0,0.5,0,0.125,0,0,0.125,0,0
"EDUC 405A - KIM, J.W.",1,0,0,0,0,0,0,0,0,0,0,0,0
"EDUC 406 - LOPEZ, E.F.",1,0,0,0,0,0,0,0,0,0,0,0,0
