"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"A&O SCI 1 - BIANCHI, D.",0.212,0.313,0.141,0.121,0.051,0.02,0.071,0.01,0.01,NA,NA,NA,NA
"A&O SCI 101 - KOK, J.F.",0.065,0.129,0.194,0.129,0.161,0.065,0.097,0.032,0.097,NA,0.032,NA,NA
"A&O SCI 103 - STEWART, A.L.",0.102,0.184,0.163,0.184,0.122,0.082,0.122,NA,0.041,NA,NA,NA,NA
"A&O SCI 1L - BIANCHI, D.",0.632,0.105,0.053,0.053,0.053,NA,NA,NA,0.053,NA,NA,NA,NA
"A&O SCI 2 - LEW, J.K.",NA,0.092,0.033,0.05,0.333,0.05,0.042,0.15,0.017,0.008,0.017,NA,0.05
"A&O SCI 200A - CHAMECKI, M.",0.105,0.421,0.053,0.211,0.053,0.158,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 200B - CHEN, G.",NA,0.375,0.312,0.188,0.125,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - SAIDE PERALTA, P.",NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2L - LEW, J.K.",NA,0.143,NA,0.095,0.333,0.048,NA,0.19,0.048,NA,NA,NA,NA
"A&O SCI 3 - LEW, J.K.",NA,0.222,NA,0.074,0.333,0.074,0.074,0.111,NA,NA,0.074,NA,0.037
"A&O SCI C160 - LIOU, K.",0.25,0.333,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M203A - LI, Q.",0.235,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 140A - PLASCENCIA, K.",0.462,0.231,0.231,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1A - LISCOMBE, J.R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1A - LISCOMBE, J.R. LEC 2",NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 20A - LISCOMBE, J.R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST A - PLASCENCIA, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 1 - HUNTER, M.",0.268,0.41,0.066,0.049,0.06,0.049,0.022,0.011,0.011,0.011,0.011,NA,NA
"AF AMER 105B - HUDSON, P.J.",0.257,0.2,0.171,0.114,0.029,0.057,0.114,NA,NA,NA,NA,NA,NA
