"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - SEIBT, U.",0.318,0.182,0.182,0.068,0.045,0.091,NA,0.045,0.023,NA,NA,NA,0.045
"A&O SCI 102 - FU, R.",0.66,0.08,0.2,0.02,NA,0.02,NA,0.02,NA,NA,NA,NA,NA
"A&O SCI 107 - TRIPATI, R.E.",0.291,0.215,0.177,0.038,0.051,0.152,0.013,0.013,0.025,0.013,NA,NA,0.013
"A&O SCI 112 - NEELIN, J.D.",0.7,0.15,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 130 - STEWART, A.L.",0.25,NA,0.333,0.083,0.083,0.167,0.083,NA,NA,NA,NA,NA,NA
"A&O SCI 141 - LI, Q.",0.067,NA,0.867,NA,NA,0.044,0.022,NA,NA,NA,NA,NA,NA
"A&O SCI 1L - SEIBT, U.",0.143,0.143,0.571,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2 - STUTZ, J.P.",0.194,0.21,0.21,0.081,0.032,0.097,0.048,0.016,0.081,0.016,NA,NA,0.016
"A&O SCI 212A - CHAMECKI, M.",0.444,0.222,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 238 - TREUDE, T.I.",0.583,0.167,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 245 - KOK, J.F.",0.615,0.077,0.231,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - STEWART, A.L.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2L - STUTZ, J.P.",NA,0.556,NA,NA,0.111,0.333,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M100 - LEW, J.K.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
