"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - PICAZO, M.",0.191,0.147,NA,0.257,0.051,0.147,0.103,0.022,0.051,NA,0.007,NA,0.022
"A&O SCI 104 - SAIDE PERALTA, P.",0.19,0.228,0.076,0.127,0.076,0.114,0.076,0.025,0.038,0.013,0.013,0.025,NA
"A&O SCI 145 - LI, Q.",0.455,0.091,0.364,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 188 - PAULSON, S.E.",0.333,0.167,NA,0.25,0.083,0.167,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 1L - PICAZO, M.",0.32,0.16,0.26,0.14,0.02,0.08,0.02,NA,NA,NA,NA,NA,NA
"A&O SCI 2 - LEW, J.K.",0.171,0.057,0.029,0.4,0.057,0.114,0.029,NA,0.029,0.086,NA,NA,0.029
"A&O SCI 202 - MCWILLIAMS, J.C.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 203B - STUTZ, J.P.",0.929,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - MITCHELL, J.L.",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 3 - CHAMECKI, M.",0.722,0.038,NA,0.051,0.038,0.063,0.025,0.038,0.013,0.013,NA,NA,NA
"A&O SCI 3L - CHAMECKI, M.",0.862,0.034,NA,NA,0.069,NA,NA,0.034,NA,NA,NA,NA,NA
"A&O SCI M105 - BIANCHI, D.",0.183,0.207,0.037,0.098,0.061,0.293,NA,0.012,0.061,0.012,NA,0.024,0.012
"AERO ST 140B - PLASCENCIA, K.",0.154,0.231,0.538,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA
"AERO ST 1B - LISCOMBE, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - DUE, T.P.",0.205,0.114,0.591,0.011,0.045,0.023,NA,0.011,NA,NA,NA,NA,NA
"AF AMER 188A - GOYAL, Y.",0.381,0.286,NA,0.048,NA,0.095,0.048,NA,0.143,NA,NA,NA,NA
"AF AMER 188A - KEEL, T.D.",0.192,0.115,0.192,NA,0.115,0.154,NA,NA,0.154,NA,NA,NA,0.077
"AF AMER 188A - LYTLE HERNANDEZ, K",0.688,0.25,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - ODINGA, S.O.",0.419,NA,0.516,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - SALLEY, R.J.",0.1,0.2,NA,0.167,0.267,0.067,0.067,NA,0.033,NA,0.033,NA,0.067
"AF AMER 188A - SMYTHE, S.",0.205,0.205,0.154,0.128,0.051,0.051,0.103,0.026,0.026,NA,NA,NA,0.051
"AF AMER 241 - GREEN, C.D.",0.167,0.167,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 241 - SMYTHE, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
