"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - DRAKE, J.",0.615,NA,0.154,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 1L - DRAKE, J.",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2 - GONZALEZ, D.H.",0.118,0.412,0.176,NA,NA,0.059,0.176,NA,NA,NA,NA,NA,NA
"A&O SCI M105 - LEINWEBER, A.",0.182,0.318,0.136,0.091,NA,NA,0.045,NA,0.136,NA,NA,0.045,0.045
"AF AMER 1 - PIERRE, J.",0.582,0.014,0.213,0.05,0.007,0.021,0.007,NA,0.014,NA,NA,NA,NA
"AF AMER 188A - GREEN, C.D.",0.359,NA,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - KEEL, T.D.",0.286,0.143,0.286,NA,NA,0.143,NA,NA,0.143,NA,NA,NA,NA
"AF AMER 6 - STREETER, C.A.",0.408,0.078,0.417,0.019,0.01,0.068,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - EDU, U.F.",0.083,NA,0.75,NA,NA,NA,0.083,NA,0.083,NA,NA,NA,NA
"AF AMER M107 - AVIDAN, L.J.",0.292,0.167,0.458,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"AF AMER M150D - BROWN, S.D.",0.182,0.091,0.455,0.03,NA,0.152,NA,NA,NA,NA,NA,NA,NA
"AN N EA 10W - DANIELSON, A.",0.143,0.333,0.048,NA,0.048,0.19,0.048,NA,0.048,NA,0.048,NA,0.095
"AN N EA 10W - KAROLL, A.B.",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"AN N EA 10W - SAMUELS, A.D.",0.533,0.2,0.133,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA 10W - SCHNIEDEWIND, W.M.",0.5,0.227,NA,0.136,NA,0.045,NA,NA,0.045,NA,NA,NA,NA
"AN N EA 10W - SCHNIEDEWIND, W.M. LEC 4",0.286,0.286,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"AN N EA 15W - COONEY, K.M.",0.459,0.139,0.164,0.049,0.025,0.066,0.008,0.008,0.016,NA,NA,NA,0.008
"AN N EA 15W - COONEY, K.M. LEC 2",0.329,0.151,0.377,0.021,NA,0.068,NA,0.007,NA,NA,0.007,NA,NA
"AN N EA 166 - COONEY, K.M.",0.091,0.273,0.364,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 1 - SNYDER, J.K.",0.367,0.127,0.316,0.025,0.013,0.076,0.038,NA,0.025,NA,NA,NA,NA
"ANTHRO 110 - BOUM, A.",0.767,0.116,0.07,NA,0.023,0.023,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 124S - SNYDER, J.K.",0.367,0.184,0.265,NA,NA,0.143,NA,NA,NA,NA,NA,NA,0.02
"ANTHRO 126P - RASHIDI, J.S.",0.267,0.267,0.067,NA,0.067,0.133,NA,NA,0.067,NA,NA,NA,NA
"ANTHRO 132 - BOUM, A.",0.531,0.062,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 133 - KIM, M.K.",0.426,0.074,NA,0.191,NA,0.118,0.074,NA,NA,0.015,NA,NA,NA
"ANTHRO 135 - BOUM, A.",0.706,0.118,0.118,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 137P - BOUM, A.",NA,0.075,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 138P - BOUM, A.",0.607,0.179,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036
"ANTHRO 142P - BOUM, A.",0.684,NA,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 143 - BOUM, A.",0.217,0.13,0.348,0.043,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 146 - KIM, M.K.",0.465,0.116,NA,0.233,NA,0.07,0.047,NA,0.023,0.023,NA,NA,0.023
"ANTHRO 153 - BOUM, A.",0.278,NA,0.389,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - BOUM, A.",0.262,0.082,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 4 - BOUM, A.",0.492,0.034,0.288,0.017,NA,0.085,NA,NA,NA,NA,0.034,NA,0.034
"ARABIC 1A - COOPERSON, M.D.",0.667,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1B - COOPERSON, M.D.",0.083,0.083,0.25,0.083,0.083,0.083,NA,NA,NA,NA,NA,NA,0.083
"ARABIC 1C - COOPERSON, M.D.",0.6,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC M107 - SAYEED, A.",0.3,0.2,0.1,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 10B - OSMAN, M.",0.412,0.118,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FEGHALI, Y.",0.592,0.245,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
"ARCH&UD 289 - MAYMIND, A.",0.429,0.245,NA,0.102,0.041,0.163,0.02,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",0.245,0.612,0.02,NA,NA,0.082,NA,NA,NA,NA,NA,NA,0.02
"ARCH&UD CM153 - WELLS, W.R.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - LOWE, N.R.",0.643,NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - GAGALKA, J.K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - GAGALKA, J.K. LEC 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - HEILBRON, A.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - HEILBRON, A.P. LEC 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - HEILBRON, A.P. LEC 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - JACKSON, R.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 70 - MOLE, O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 132 - MUKHOPADHYAY, S.",0.5,0.083,0.25,NA,NA,NA,NA,NA,0.083,NA,NA,NA,NA
"ART HIS 154D - KUMAR, A.M.",0.5,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS C117B - THOMSON, H.M.",0.357,0.214,NA,0.143,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"ART HIS C120 - AMIN, A.",0.143,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071
"ART HIS C128C - ROTTMAN, Z.D.",0.174,0.043,0.522,0.087,0.043,0.043,NA,NA,NA,NA,NA,NA,0.043
"ART HIS C142B - ROSENBLUM, B.T.",0.273,0.273,NA,0.091,NA,0.136,0.045,NA,0.091,0.045,NA,NA,NA
"ART HIS M110A - COONEY, K.M.",0.286,0.19,0.429,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
