"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"A&O SCI 1 - PICAZO, M.",NA,0.171,0.132,0.132,0.23,0.046,0.046,0.092,0.02,NA,NA,0.007,0.02
"A&O SCI 104 - SAIDE PERALTA, P.",0.076,0.19,0.228,0.114,0.127,0.076,0.038,0.076,0.025,0.025,0.013,0.013,NA
"A&O SCI 145 - LI, Q.",0.364,0.455,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 188 - PAULSON, S.E.",NA,0.333,0.167,0.167,0.25,0.083,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 1L - PICAZO, M.",0.255,0.314,0.157,0.078,0.137,0.02,NA,0.02,NA,NA,NA,NA,NA
"A&O SCI 2 - LEW, J.K.",0.019,0.113,0.038,0.075,0.264,0.038,0.019,0.019,NA,NA,0.057,NA,0.019
"A&O SCI 202 - MCWILLIAMS, J.C.",NA,0.632,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 203B - STUTZ, J.P.",NA,0.867,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - MITCHELL, J.L.",NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 3 - CHAMECKI, M.",NA,0.655,0.034,0.057,0.046,0.034,0.011,0.023,0.034,NA,0.011,NA,NA
"A&O SCI 3L - CHAMECKI, M.",NA,0.833,0.033,NA,NA,0.067,NA,NA,0.033,NA,NA,NA,NA
"A&O SCI M105 - BIANCHI, D.",0.037,0.183,0.207,0.293,0.098,0.061,0.061,NA,0.012,0.024,0.012,NA,0.012
"AERO ST 140B - PLASCENCIA, K.",0.538,0.154,0.231,NA,NA,NA,NA,NA,0.077,NA,NA,NA,NA
"AERO ST 1B - LISCOMBE, J.R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
