"ENROLLMENT","CLASS","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_CD","TITLE","ENROL_TERM","LG_numeric","PERCENTAGE"
"19F","A&O SCI 1 - BIANCHI, D.","1","A+",21,99,"1","Climate Change: From Puzzles to Policy","255",12,0.212
"19F","A&O SCI 1 - BIANCHI, D.","1","A",31,99,"1","Climate Change: From Puzzles to Policy","255",11,0.313
"19F","A&O SCI 1 - BIANCHI, D.","1","A-",14,99,"1","Climate Change: From Puzzles to Policy","255",10,0.141
"19F","A&O SCI 1 - BIANCHI, D.","1","B+",12,99,"1","Climate Change: From Puzzles to Policy","255",9,0.121
"19F","A&O SCI 1 - BIANCHI, D.","1","B",5,99,"1","Climate Change: From Puzzles to Policy","255",8,0.051
"19F","A&O SCI 1 - BIANCHI, D.","1","B-",2,99,"1","Climate Change: From Puzzles to Policy","255",7,0.02
"19F","A&O SCI 1 - BIANCHI, D.","1","C+",7,99,"1","Climate Change: From Puzzles to Policy","255",6,0.071
"19F","A&O SCI 1 - BIANCHI, D.","1","C",1,99,"1","Climate Change: From Puzzles to Policy","255",5,0.01
"19F","A&O SCI 1 - BIANCHI, D.","1","C-",1,99,"1","Climate Change: From Puzzles to Policy","255",4,0.01
"19F","A&O SCI 1 - BIANCHI, D.","1","P",5,99,"1","Climate Change: From Puzzles to Policy","255",-1,0.051
"19F","A&O SCI 1L - BIANCHI, D.","1","A+",12,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",12,0.632
"19F","A&O SCI 1L - BIANCHI, D.","1","A",2,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",11,0.105
"19F","A&O SCI 1L - BIANCHI, D.","1","A-",1,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",10,0.053
"19F","A&O SCI 1L - BIANCHI, D.","1","B+",1,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",9,0.053
"19F","A&O SCI 1L - BIANCHI, D.","1","B",1,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",8,0.053
"19F","A&O SCI 1L - BIANCHI, D.","1","C-",1,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",4,0.053
"19F","A&O SCI 1L - BIANCHI, D.","1","P",1,19,"1","Climate Change: From Puzzles to Policy--Laboratory","255",-1,0.053
"19F","A&O SCI 2 - LEW, J.K.","1","A",11,120,"1","Air Pollution","255",11,0.092
"19F","A&O SCI 2 - LEW, J.K.","1","A-",4,120,"1","Air Pollution","255",10,0.033
"19F","A&O SCI 2 - LEW, J.K.","1","B+",6,120,"1","Air Pollution","255",9,0.05
"19F","A&O SCI 2 - LEW, J.K.","1","B",40,120,"1","Air Pollution","255",8,0.333
"19F","A&O SCI 2 - LEW, J.K.","1","B-",6,120,"1","Air Pollution","255",7,0.05
"19F","A&O SCI 2 - LEW, J.K.","1","C+",5,120,"1","Air Pollution","255",6,0.042
"19F","A&O SCI 2 - LEW, J.K.","1","C",18,120,"1","Air Pollution","255",5,0.15
"19F","A&O SCI 2 - LEW, J.K.","1","C-",2,120,"1","Air Pollution","255",4,0.017
"19F","A&O SCI 2 - LEW, J.K.","1","D+",1,120,"1","Air Pollution","255",3,0.008
"19F","A&O SCI 2 - LEW, J.K.","1","D",2,120,"1","Air Pollution","255",2,0.017
"19F","A&O SCI 2 - LEW, J.K.","1","F",6,120,"1","Air Pollution","255",0,0.05
"19F","A&O SCI 2 - LEW, J.K.","1","NP",4,120,"1","Air Pollution","255",-2,0.033
"19F","A&O SCI 2 - LEW, J.K.","1","P",15,120,"1","Air Pollution","255",-1,0.125
"19F","A&O SCI 2L - LEW, J.K.","1","A",3,21,"1","Air Pollution Laboratory","255",11,0.143
"19F","A&O SCI 2L - LEW, J.K.","1","B+",2,21,"1","Air Pollution Laboratory","255",9,0.095
"19F","A&O SCI 2L - LEW, J.K.","1","B",7,21,"1","Air Pollution Laboratory","255",8,0.333
"19F","A&O SCI 2L - LEW, J.K.","1","B-",1,21,"1","Air Pollution Laboratory","255",7,0.048
"19F","A&O SCI 2L - LEW, J.K.","1","C",4,21,"1","Air Pollution Laboratory","255",5,0.19
"19F","A&O SCI 2L - LEW, J.K.","1","C-",1,21,"1","Air Pollution Laboratory","255",4,0.048
"19F","A&O SCI 2L - LEW, J.K.","1","P",3,21,"1","Air Pollution Laboratory","255",-1,0.143
"19F","A&O SCI 3 - LEW, J.K.","1","A",6,27,"1","Introduction to Atmospheric Environment","255",11,0.222
"19F","A&O SCI 3 - LEW, J.K.","1","B+",2,27,"1","Introduction to Atmospheric Environment","255",9,0.074
"19F","A&O SCI 3 - LEW, J.K.","1","B",9,27,"1","Introduction to Atmospheric Environment","255",8,0.333
"19F","A&O SCI 3 - LEW, J.K.","1","B-",2,27,"1","Introduction to Atmospheric Environment","255",7,0.074
"19F","A&O SCI 3 - LEW, J.K.","1","C+",2,27,"1","Introduction to Atmospheric Environment","255",6,0.074
"19F","A&O SCI 3 - LEW, J.K.","1","C",3,27,"1","Introduction to Atmospheric Environment","255",5,0.111
"19F","A&O SCI 3 - LEW, J.K.","1","D",2,27,"1","Introduction to Atmospheric Environment","255",2,0.074
"19F","A&O SCI 3 - LEW, J.K.","1","F",1,27,"1","Introduction to Atmospheric Environment","255",0,0.037
"19F","A&O SCI 101 - KOK, J.F.","1","A+",2,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",12,0.065
"19F","A&O SCI 101 - KOK, J.F.","1","A",4,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",11,0.129
"19F","A&O SCI 101 - KOK, J.F.","1","A-",6,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",10,0.194
"19F","A&O SCI 101 - KOK, J.F.","1","B+",4,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",9,0.129
"19F","A&O SCI 101 - KOK, J.F.","1","B",5,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",8,0.161
"19F","A&O SCI 101 - KOK, J.F.","1","B-",2,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",7,0.065
"19F","A&O SCI 101 - KOK, J.F.","1","C+",3,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",6,0.097
"19F","A&O SCI 101 - KOK, J.F.","1","C",1,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",5,0.032
"19F","A&O SCI 101 - KOK, J.F.","1","C-",3,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",4,0.097
"19F","A&O SCI 101 - KOK, J.F.","1","D",1,31,"1","Fundamentals of Atmospheric Dynamics and Thermodynamics","255",2,0.032
"19F","A&O SCI 103 - STEWART, A.L.","1","A+",5,49,"1","Physical Oceanography","255",12,0.102
"19F","A&O SCI 103 - STEWART, A.L.","1","A",9,49,"1","Physical Oceanography","255",11,0.184
"19F","A&O SCI 103 - STEWART, A.L.","1","A-",8,49,"1","Physical Oceanography","255",10,0.163
"19F","A&O SCI 103 - STEWART, A.L.","1","B+",9,49,"1","Physical Oceanography","255",9,0.184
"19F","A&O SCI 103 - STEWART, A.L.","1","B",6,49,"1","Physical Oceanography","255",8,0.122
"19F","A&O SCI 103 - STEWART, A.L.","1","B-",4,49,"1","Physical Oceanography","255",7,0.082
"19F","A&O SCI 103 - STEWART, A.L.","1","C+",6,49,"1","Physical Oceanography","255",6,0.122
"19F","A&O SCI 103 - STEWART, A.L.","1","C-",2,49,"1","Physical Oceanography","255",4,0.041
"19F","A&O SCI C160 - LIOU, K.","1","A+",3,12,"1","Remote Sensing of Atmosphere and Oceans","255",12,0.25
"19F","A&O SCI C160 - LIOU, K.","1","A",4,12,"1","Remote Sensing of Atmosphere and Oceans","255",11,0.333
"19F","A&O SCI C160 - LIOU, K.","1","A-",4,12,"1","Remote Sensing of Atmosphere and Oceans","255",10,0.333
"19F","A&O SCI C160 - LIOU, K.","1","I",1,12,"1","Remote Sensing of Atmosphere and Oceans","255",0,0.083
"19F","A&O SCI 200A - CHAMECKI, M.","1","A+",2,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",12,0.105
"19F","A&O SCI 200A - CHAMECKI, M.","1","A",8,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",11,0.421
"19F","A&O SCI 200A - CHAMECKI, M.","1","A-",1,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",10,0.053
"19F","A&O SCI 200A - CHAMECKI, M.","1","B+",4,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",9,0.211
"19F","A&O SCI 200A - CHAMECKI, M.","1","B",1,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",8,0.053
"19F","A&O SCI 200A - CHAMECKI, M.","1","B-",3,19,"1","Introduction to Atmospheric and Oceanic Fluid","255",7,0.158
"19F","A&O SCI 200B - CHEN, G.","1","A",6,16,"1","Introduction to Dynamics of Earth System","255",11,0.375
"19F","A&O SCI 200B - CHEN, G.","1","A-",5,16,"1","Introduction to Dynamics of Earth System","255",10,0.312
"19F","A&O SCI 200B - CHEN, G.","1","B+",3,16,"1","Introduction to Dynamics of Earth System","255",9,0.188
"19F","A&O SCI 200B - CHEN, G.","1","B",2,16,"1","Introduction to Dynamics of Earth System","255",8,0.125
"19F","A&O SCI M203A - LI, Q.","1","A+",4,17,"1","Introduction to Atmospheric Chemistry","255",12,0.235
"19F","A&O SCI M203A - LI, Q.","1","A",13,17,"1","Introduction to Atmospheric Chemistry","255",11,0.765
"19F","A&O SCI 270 - SAIDE PERALTA, P.","1","B+",3,43,"1","Seminar: Atmospheric Sciences","255",9,0.07
"19F","A&O SCI 270 - SAIDE PERALTA, P.","1","S",40,43,"1","Seminar: Atmospheric Sciences","255",0,0.93
"19F","AERO ST A - PLASCENCIA, K.","1","P",51,51,"1","Leadership Laboratory","255",-1,1
"19F","AERO ST 1A - LISCOMBE, J.R.","1","A",10,10,"1","Heritage and Values","255",11,1
"19F","AERO ST 1A - LISCOMBE, J.R. LEC 2","2","A",10,11,"1","Heritage and Values","255",11,0.909
"19F","AERO ST 1A - LISCOMBE, J.R. LEC 2","2","S",1,11,"1","Heritage and Values","255",0,0.091
"19F","AERO ST 20A - LISCOMBE, J.R.","2","A",10,10,"1","Team and Leadership Fundamentals","255",11,1
"19F","AERO ST 140A - PLASCENCIA, K.","1","A+",6,13,"1","National Security Affairs/Preparation for Active Duty","255",12,0.462
"19F","AERO ST 140A - PLASCENCIA, K.","1","A",3,13,"1","National Security Affairs/Preparation for Active Duty","255",11,0.231
"19F","AERO ST 140A - PLASCENCIA, K.","1","A-",3,13,"1","National Security Affairs/Preparation for Active Duty","255",10,0.231
"19F","AERO ST 140A - PLASCENCIA, K.","1","B-",1,13,"1","National Security Affairs/Preparation for Active Duty","255",7,0.077
"19F","AF AMER 1 - HUNTER, M.","1","A+",49,183,"1","Introduction to Black Studies","255",12,0.268
"19F","AF AMER 1 - HUNTER, M.","1","A",75,183,"1","Introduction to Black Studies","255",11,0.41
"19F","AF AMER 1 - HUNTER, M.","1","A-",12,183,"1","Introduction to Black Studies","255",10,0.066
"19F","AF AMER 1 - HUNTER, M.","1","B+",9,183,"1","Introduction to Black Studies","255",9,0.049
"19F","AF AMER 1 - HUNTER, M.","1","B",11,183,"1","Introduction to Black Studies","255",8,0.06
"19F","AF AMER 1 - HUNTER, M.","1","B-",9,183,"1","Introduction to Black Studies","255",7,0.049
"19F","AF AMER 1 - HUNTER, M.","1","C+",4,183,"1","Introduction to Black Studies","255",6,0.022
"19F","AF AMER 1 - HUNTER, M.","1","C",2,183,"1","Introduction to Black Studies","255",5,0.011
"19F","AF AMER 1 - HUNTER, M.","1","C-",2,183,"1","Introduction to Black Studies","255",4,0.011
"19F","AF AMER 1 - HUNTER, M.","1","D+",2,183,"1","Introduction to Black Studies","255",3,0.011
"19F","AF AMER 1 - HUNTER, M.","1","D",2,183,"1","Introduction to Black Studies","255",2,0.011
"19F","AF AMER 1 - HUNTER, M.","1","I",3,183,"1","Introduction to Black Studies","255",0,0.016
"19F","AF AMER 1 - HUNTER, M.","1","P",3,183,"1","Introduction to Black Studies","255",-1,0.016
"19F","AF AMER M5 - HUNTER, M.","1","A+",87,235,"1","Social Organization of Black Communities","255",12,0.37
"19F","AF AMER M5 - HUNTER, M.","1","A",92,235,"1","Social Organization of Black Communities","255",11,0.391
"19F","AF AMER M5 - HUNTER, M.","1","A-",39,235,"1","Social Organization of Black Communities","255",10,0.166
"19F","AF AMER M5 - HUNTER, M.","1","B+",6,235,"1","Social Organization of Black Communities","255",9,0.026
"19F","AF AMER M5 - HUNTER, M.","1","B",5,235,"1","Social Organization of Black Communities","255",8,0.021
"19F","AF AMER M5 - HUNTER, M.","1","C+",3,235,"1","Social Organization of Black Communities","255",6,0.013
"19F","AF AMER M5 - HUNTER, M.","1","C",1,235,"1","Social Organization of Black Communities","255",5,0.004
"19F","AF AMER M5 - HUNTER, M.","1","C-",1,235,"1","Social Organization of Black Communities","255",4,0.004
"19F","AF AMER M5 - HUNTER, M.","1","I",1,235,"1","Social Organization of Black Communities","255",0,0.004
"19F","AF AMER 19 - TURNER, P.A.","1","P",14,14,"1","Fiat Lux Freshman Seminars","255",-1,1
"19F","AF AMER 19 - ALEXANDER, C.J.","2","P",13,13,"1","Fiat Lux Freshman Seminars","255",-1,1
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","A",3,23,"1","Early African American Literature","255",11,0.13
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","A-",6,23,"1","Early African American Literature","255",10,0.261
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","B+",4,23,"1","Early African American Literature","255",9,0.174
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","B",2,23,"1","Early African American Literature","255",8,0.087
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","B-",2,23,"1","Early African American Literature","255",7,0.087
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","C",4,23,"1","Early African American Literature","255",5,0.174
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","C-",1,23,"1","Early African American Literature","255",4,0.043
"19F","AF AMER M104A - YARBOROUGH, R.A.","1","D",1,23,"1","Early African American Literature","255",2,0.043
"19F","AF AMER 105B - HUDSON, P.J.","1","A+",9,35,"1","Issues in Pan-African Biography and Autobiography","255",12,0.257
"19F","AF AMER 105B - HUDSON, P.J.","1","A",7,35,"1","Issues in Pan-African Biography and Autobiography","255",11,0.2
"19F","AF AMER 105B - HUDSON, P.J.","1","A-",6,35,"1","Issues in Pan-African Biography and Autobiography","255",10,0.171
"19F","AF AMER 105B - HUDSON, P.J.","1","B+",4,35,"1","Issues in Pan-African Biography and Autobiography","255",9,0.114
"19F","AF AMER 105B - HUDSON, P.J.","1","B",1,35,"1","Issues in Pan-African Biography and Autobiography","255",8,0.029
"19F","AF AMER 105B - HUDSON, P.J.","1","B-",2,35,"1","Issues in Pan-African Biography and Autobiography","255",7,0.057
"19F","AF AMER 105B - HUDSON, P.J.","1","C+",4,35,"1","Issues in Pan-African Biography and Autobiography","255",6,0.114
"19F","AF AMER 105B - HUDSON, P.J.","1","I",2,35,"1","Issues in Pan-African Biography and Autobiography","255",0,0.057
"19F","AF AMER M120 - ALLEN, W.R.","1","A+",3,35,"1","Race, Inequality, and Public Policy","255",12,0.086
"19F","AF AMER M120 - ALLEN, W.R.","1","A",9,35,"1","Race, Inequality, and Public Policy","255",11,0.257
"19F","AF AMER M120 - ALLEN, W.R.","1","A-",7,35,"1","Race, Inequality, and Public Policy","255",10,0.2
"19F","AF AMER M120 - ALLEN, W.R.","1","B+",6,35,"1","Race, Inequality, and Public Policy","255",9,0.171
"19F","AF AMER M120 - ALLEN, W.R.","1","B",5,35,"1","Race, Inequality, and Public Policy","255",8,0.143
"19F","AF AMER M120 - ALLEN, W.R.","1","B-",1,35,"1","Race, Inequality, and Public Policy","255",7,0.029
"19F","AF AMER M120 - ALLEN, W.R.","1","I",4,35,"1","Race, Inequality, and Public Policy","255",0,0.114
"19F","AF AMER 188A - EDU, U.F.","2","A+",19,31,"1","Special Courses in African American Studies","255",12,0.613
"19F","AF AMER 188A - EDU, U.F.","2","A",5,31,"1","Special Courses in African American Studies","255",11,0.161
"19F","AF AMER 188A - EDU, U.F.","2","A-",4,31,"1","Special Courses in African American Studies","255",10,0.129
"19F","AF AMER 188A - EDU, U.F.","2","B",1,31,"1","Special Courses in African American Studies","255",8,0.032
"19F","AF AMER 188A - EDU, U.F.","2","C",2,31,"1","Special Courses in African American Studies","255",5,0.065
"19F","AF AMER 188A - DUE, T.P.","3","A+",37,65,"1","Special Courses in African American Studies","255",12,0.569
"19F","AF AMER 188A - DUE, T.P.","3","A",11,65,"1","Special Courses in African American Studies","255",11,0.169
"19F","AF AMER 188A - DUE, T.P.","3","A-",8,65,"1","Special Courses in African American Studies","255",10,0.123
"19F","AF AMER 188A - DUE, T.P.","3","B+",6,65,"1","Special Courses in African American Studies","255",9,0.092
"19F","AF AMER 188A - DUE, T.P.","3","B",2,65,"1","Special Courses in African American Studies","255",8,0.031
"19F","AF AMER 188A - DUE, T.P.","3","P",1,65,"1","Special Courses in African American Studies","255",-1,0.015
"19F","AF AMER 188A - LYTLE HERNANDEZ, K","4","A+",8,18,"1","Special Courses in African American Studies","255",12,0.444
"19F","AF AMER 188A - LYTLE HERNANDEZ, K","4","A",8,18,"1","Special Courses in African American Studies","255",11,0.444
"19F","AF AMER 188A - LYTLE HERNANDEZ, K","4","B+",1,18,"1","Special Courses in African American Studies","255",9,0.056
"19F","AF AMER 188A - LYTLE HERNANDEZ, K","4","B-",1,18,"1","Special Courses in African American Studies","255",7,0.056
"19F","AF AMER 188A - BONNER, L.D.","6","A+",7,37,"1","Special Courses in African American Studies","255",12,0.189
"19F","AF AMER 188A - BONNER, L.D.","6","A",15,37,"1","Special Courses in African American Studies","255",11,0.405
"19F","AF AMER 188A - BONNER, L.D.","6","A-",8,37,"1","Special Courses in African American Studies","255",10,0.216
"19F","AF AMER 188A - BONNER, L.D.","6","B+",4,37,"1","Special Courses in African American Studies","255",9,0.108
"19F","AF AMER 188A - BONNER, L.D.","6","B",1,37,"1","Special Courses in African American Studies","255",8,0.027
"19F","AF AMER 188A - BONNER, L.D.","6","C-",1,37,"1","Special Courses in African American Studies","255",4,0.027
"19F","AF AMER 188A - BONNER, L.D.","6","D-",1,37,"1","Special Courses in African American Studies","255",1,0.027
"19F","AF AMER C191 - EDU, U.F.","2","A+",12,14,"1","Variable Topics Research Seminars: Afro-American Studies","255",12,0.857
"19F","AF AMER C191 - EDU, U.F.","2","A",1,14,"1","Variable Topics Research Seminars: Afro-American Studies","255",11,0.071
"19F","AF AMER C191 - EDU, U.F.","2","C",1,14,"1","Variable Topics Research Seminars: Afro-American Studies","255",5,0.071
"19F","AF AMER M200B - HUDSON, P.J.","1","A",14,16,"1","Political Economy of Race","255",11,0.875
