"ENROLLMENT","CLASS","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_CD","TITLE","ENROL_TERM","LG_numeric","PERCENTAGE"
191,"A&O SCI 2 - LEW, J.K.",1,"A",4,32,1,"Air Pollution",253,11,0.125
191,"A&O SCI 2 - LEW, J.K.",1,"A-",3,32,1,"Air Pollution",253,10,0.094
191,"A&O SCI 2 - LEW, J.K.",1,"B+",2,32,1,"Air Pollution",253,9,0.062
191,"A&O SCI 2 - LEW, J.K.",1,"B",6,32,1,"Air Pollution",253,8,0.188
191,"A&O SCI 2 - LEW, J.K.",1,"C+",1,32,1,"Air Pollution",253,6,0.031
191,"A&O SCI 2 - LEW, J.K.",1,"C",3,32,1,"Air Pollution",253,5,0.094
191,"A&O SCI 2 - LEW, J.K.",1,"C-",1,32,1,"Air Pollution",253,4,0.031
191,"A&O SCI 2 - LEW, J.K.",1,"D",2,32,1,"Air Pollution",253,2,0.062
191,"A&O SCI 2 - LEW, J.K.",1,"NP",2,32,1,"Air Pollution",253,0,0.062
191,"A&O SCI 2 - LEW, J.K.",1,"P",7,32,1,"Air Pollution",253,4,0.219
191,"A&O SCI 2 - LEW, J.K.",1,"S",1,32,1,"Air Pollution",253,0,0.031
191,"AF AMER 1 - PIERRE, J.",1,"A+",15,131,1,"Introduction to Black Studies",253,12,0.115
191,"AF AMER 1 - PIERRE, J.",1,"A",58,131,1,"Introduction to Black Studies",253,11,0.443
191,"AF AMER 1 - PIERRE, J.",1,"A-",13,131,1,"Introduction to Black Studies",253,10,0.099
191,"AF AMER 1 - PIERRE, J.",1,"B+",5,131,1,"Introduction to Black Studies",253,9,0.038
191,"AF AMER 1 - PIERRE, J.",1,"B",10,131,1,"Introduction to Black Studies",253,8,0.076
191,"AF AMER 1 - PIERRE, J.",1,"B-",5,131,1,"Introduction to Black Studies",253,7,0.038
191,"AF AMER 1 - PIERRE, J.",1,"C+",2,131,1,"Introduction to Black Studies",253,6,0.015
191,"AF AMER 1 - PIERRE, J.",1,"C",3,131,1,"Introduction to Black Studies",253,5,0.023
191,"AF AMER 1 - PIERRE, J.",1,"C-",2,131,1,"Introduction to Black Studies",253,4,0.015
191,"AF AMER 1 - PIERRE, J.",1,"D+",1,131,1,"Introduction to Black Studies",253,3,0.008
191,"AF AMER 1 - PIERRE, J.",1,"D",1,131,1,"Introduction to Black Studies",253,2,0.008
191,"AF AMER 1 - PIERRE, J.",1,"F",5,131,1,"Introduction to Black Studies",253,0,0.038
191,"AF AMER 1 - PIERRE, J.",1,"P",10,131,1,"Introduction to Black Studies",253,4,0.076
191,"AF AMER 1 - PIERRE, J.",1,"S",1,131,1,"Introduction to Black Studies",253,0,0.008
191,"AF AMER 6 - STREETER, C.A.",2,"A",10,102,1,"Trends in Black Intellectual Thought",253,11,0.098
