"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"20F","A&O SCI","1","1","A+",17,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,4
"20F","A&O SCI","1","1","A",22,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,4
"20F","A&O SCI","1","1","A-",12,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,3.7
"20F","A&O SCI","1","1","B+",9,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,3.3
"20F","A&O SCI","1","1","B",6,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,3
"20F","A&O SCI","1","1","B-",3,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,2.7
"20F","A&O SCI","1","1","C+",2,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,2.3
"20F","A&O SCI","1","1","C",2,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,2
"20F","A&O SCI","1","1","D+",1,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,1.3
"20F","A&O SCI","1","1","D-",1,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,0.7
"20F","A&O SCI","1","1","F",1,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,0
"20F","A&O SCI","1","1","P",20,96,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy",260,-1
"20F","A&O SCI","1L","1","A+",12,24,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy--Laboratory",260,4
"20F","A&O SCI","1L","1","A",7,24,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy--Laboratory",260,4
"20F","A&O SCI","1L","1","B+",2,24,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy--Laboratory",260,3.3
"20F","A&O SCI","1L","1","B",2,24,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy--Laboratory",260,3
"20F","A&O SCI","1L","1","P",1,24,"NEELIN, J.D.",1,"Climate Change: From Puzzles to Policy--Laboratory",260,-1
"20F","A&O SCI","2","1","A+",1,28,"LEW, J.K.",1,"Air Pollution",260,4
"20F","A&O SCI","2","1","A",3,28,"LEW, J.K.",1,"Air Pollution",260,4
"20F","A&O SCI","2","1","A-",5,28,"LEW, J.K.",1,"Air Pollution",260,3.7
"20F","A&O SCI","2","1","B",1,28,"LEW, J.K.",1,"Air Pollution",260,3
"20F","A&O SCI","2","1","B-",1,28,"LEW, J.K.",1,"Air Pollution",260,2.7
"20F","A&O SCI","2","1","C+",3,28,"LEW, J.K.",1,"Air Pollution",260,2.3
"20F","A&O SCI","2","1","C",3,28,"LEW, J.K.",1,"Air Pollution",260,2
"20F","A&O SCI","2","1","C-",1,28,"LEW, J.K.",1,"Air Pollution",260,1.7
"20F","A&O SCI","2","1","D+",1,28,"LEW, J.K.",1,"Air Pollution",260,1.3
"20F","A&O SCI","2","1","D-",1,28,"LEW, J.K.",1,"Air Pollution",260,0.7
"20F","A&O SCI","2","1","F",1,28,"LEW, J.K.",1,"Air Pollution",260,0
"20F","A&O SCI","2","1","I",1,28,"LEW, J.K.",1,"Air Pollution",260,0
"20F","A&O SCI","2","1","NP",2,28,"LEW, J.K.",1,"Air Pollution",260,-2
"20F","A&O SCI","2","1","P",4,28,"LEW, J.K.",1,"Air Pollution",260,-1
"20F","A&O SCI","3","1","A",56,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,4
"20F","A&O SCI","3","1","A-",9,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,3.7
"20F","A&O SCI","3","1","B+",2,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,3.3
"20F","A&O SCI","3","1","B",2,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,3
"20F","A&O SCI","3","1","B-",3,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,2.7
"20F","A&O SCI","3","1","C",1,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,2
"20F","A&O SCI","3","1","NP",1,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,-2
"20F","A&O SCI","3","1","P",10,84,"CHAMECKI, M.",1,"Introduction to Atmospheric Environment",260,-1
