"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"20S","A&O SCI","1","1","A+",8,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",12
"20S","A&O SCI","1","1","A",14,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",11
"20S","A&O SCI","1","1","A-",8,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",10
"20S","A&O SCI","1","1","B+",4,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",9
"20S","A&O SCI","1","1","B",3,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",8
"20S","A&O SCI","1","1","B-",2,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",7
"20S","A&O SCI","1","1","C+",1,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",6
"20S","A&O SCI","1","1","C-",2,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",4
"20S","A&O SCI","1","1","F",2,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",0
"20S","A&O SCI","1","1","P",15,59,"SEIBT, U.","1","Climate Change: From Puzzles to Policy","257",-1
"20S","A&O SCI","1L","1","A+",8,19,"SEIBT, U.","1","Climate Change: From Puzzles to Policy--Laboratory","257",12
"20S","A&O SCI","1L","1","A",2,19,"SEIBT, U.","1","Climate Change: From Puzzles to Policy--Laboratory","257",11
"20S","A&O SCI","1L","1","A-",2,19,"SEIBT, U.","1","Climate Change: From Puzzles to Policy--Laboratory","257",10
"20S","A&O SCI","1L","1","B-",2,19,"SEIBT, U.","1","Climate Change: From Puzzles to Policy--Laboratory","257",7
"20S","A&O SCI","1L","1","P",5,19,"SEIBT, U.","1","Climate Change: From Puzzles to Policy--Laboratory","257",-1
"20S","A&O SCI","2","1","A+",13,93,"STUTZ, J.P.","1","Air Pollution","257",12
"20S","A&O SCI","2","1","A",12,93,"STUTZ, J.P.","1","Air Pollution","257",11
"20S","A&O SCI","2","1","A-",13,93,"STUTZ, J.P.","1","Air Pollution","257",10
"20S","A&O SCI","2","1","B+",6,93,"STUTZ, J.P.","1","Air Pollution","257",9
"20S","A&O SCI","2","1","B",5,93,"STUTZ, J.P.","1","Air Pollution","257",8
"20S","A&O SCI","2","1","B-",2,93,"STUTZ, J.P.","1","Air Pollution","257",7
"20S","A&O SCI","2","1","C+",5,93,"STUTZ, J.P.","1","Air Pollution","257",6
"20S","A&O SCI","2","1","C",3,93,"STUTZ, J.P.","1","Air Pollution","257",5
"20S","A&O SCI","2","1","C-",1,93,"STUTZ, J.P.","1","Air Pollution","257",4
"20S","A&O SCI","2","1","D",1,93,"STUTZ, J.P.","1","Air Pollution","257",2
"20S","A&O SCI","2","1","F",1,93,"STUTZ, J.P.","1","Air Pollution","257",0
"20S","A&O SCI","2","1","NP",3,93,"STUTZ, J.P.","1","Air Pollution","257",-2
"20S","A&O SCI","2","1","P",28,93,"STUTZ, J.P.","1","Air Pollution","257",-1
"20S","A&O SCI","2L","1","A-",5,13,"STUTZ, J.P.","1","Air Pollution Laboratory","257",10
"20S","A&O SCI","2L","1","B+",3,13,"STUTZ, J.P.","1","Air Pollution Laboratory","257",9
"20S","A&O SCI","2L","1","B-",1,13,"STUTZ, J.P.","1","Air Pollution Laboratory","257",7
"20S","A&O SCI","2L","1","P",4,13,"STUTZ, J.P.","1","Air Pollution Laboratory","257",-1
"20S","A&O SCI","M100","1","A",8,10,"LEW, J.K.","1","Earth and Its Environment","257",11
"20S","A&O SCI","M100","1","A-",2,10,"LEW, J.K.","1","Earth and Its Environment","257",10
"20S","A&O SCI","102","1","A+",10,50,"FU, R.","1","Climate Change and Climate Modeling","257",12
"20S","A&O SCI","102","1","A",33,50,"FU, R.","1","Climate Change and Climate Modeling","257",11
"20S","A&O SCI","102","1","A-",4,50,"FU, R.","1","Climate Change and Climate Modeling","257",10
"20S","A&O SCI","102","1","B+",1,50,"FU, R.","1","Climate Change and Climate Modeling","257",9
"20S","A&O SCI","102","1","B",1,50,"FU, R.","1","Climate Change and Climate Modeling","257",8
"20S","A&O SCI","102","1","C-",1,50,"FU, R.","1","Climate Change and Climate Modeling","257",4
"20S","A&O SCI","107","1","A+",14,91,"TRIPATI, R.E.","1","Biological Oceanography","257",12
"20S","A&O SCI","107","1","A",23,91,"TRIPATI, R.E.","1","Biological Oceanography","257",11
"20S","A&O SCI","107","1","A-",17,91,"TRIPATI, R.E.","1","Biological Oceanography","257",10
"20S","A&O SCI","107","1","B+",12,91,"TRIPATI, R.E.","1","Biological Oceanography","257",9
"20S","A&O SCI","107","1","B",3,91,"TRIPATI, R.E.","1","Biological Oceanography","257",8
"20S","A&O SCI","107","1","B-",4,91,"TRIPATI, R.E.","1","Biological Oceanography","257",7
"20S","A&O SCI","107","1","C+",2,91,"TRIPATI, R.E.","1","Biological Oceanography","257",6
"20S","A&O SCI","107","1","C",1,91,"TRIPATI, R.E.","1","Biological Oceanography","257",5
"20S","A&O SCI","107","1","C-",1,91,"TRIPATI, R.E.","1","Biological Oceanography","257",4
"20S","A&O SCI","107","1","D",1,91,"TRIPATI, R.E.","1","Biological Oceanography","257",2
"20S","A&O SCI","107","1","F",1,91,"TRIPATI, R.E.","1","Biological Oceanography","257",0
"20S","A&O SCI","107","1","P",12,91,"TRIPATI, R.E.","1","Biological Oceanography","257",-1
"20S","A&O SCI","112","1","A",14,23,"NEELIN, J.D.","1","Climate Change Assessment","257",11
"20S","A&O SCI","112","1","A-",3,23,"NEELIN, J.D.","1","Climate Change Assessment","257",10
"20S","A&O SCI","112","1","B+",3,23,"NEELIN, J.D.","1","Climate Change Assessment","257",9
"20S","A&O SCI","112","1","P",3,23,"NEELIN, J.D.","1","Climate Change Assessment","257",-1
"20S","A&O SCI","130","1","A+",4,13,"STEWART, A.L.","1","California's Ocean","257",12
"20S","A&O SCI","130","1","A",3,13,"STEWART, A.L.","1","California's Ocean","257",11
"20S","A&O SCI","130","1","B+",2,13,"STEWART, A.L.","1","California's Ocean","257",9
