"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
201,"A&O SCI","1",2,"A+",4,26,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy",258,12
201,"A&O SCI","1",2,"A",16,26,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy",258,11
201,"A&O SCI","1",2,"B",2,26,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy",258,8
201,"A&O SCI","1",2,"P",4,26,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy",258,-1
201,"A&O SCI","1L",2,"A",9,10,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy--Laboratory",258,11
201,"A&O SCI","1L",2,"P",1,10,"DRAKE, J.",1,"Climate Change: From Puzzles to Policy--Laboratory",258,-1
201,"A&O SCI","2",1,"A+",3,17,"GONZALEZ, D.H.",1,"Air Pollution",258,12
201,"A&O SCI","2",1,"A",2,17,"GONZALEZ, D.H.",1,"Air Pollution",258,11
201,"A&O SCI","2",1,"A-",7,17,"GONZALEZ, D.H.",1,"Air Pollution",258,10
201,"A&O SCI","2",1,"B+",1,17,"GONZALEZ, D.H.",1,"Air Pollution",258,9
201,"A&O SCI","2",1,"C",3,17,"GONZALEZ, D.H.",1,"Air Pollution",258,5
201,"A&O SCI","2",1,"P",1,17,"GONZALEZ, D.H.",1,"Air Pollution",258,-1
201,"A&O SCI","M105",1,"A+",3,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,12
201,"A&O SCI","M105",1,"A",4,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,11
201,"A&O SCI","M105",1,"A-",7,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,10
201,"A&O SCI","M105",1,"B",2,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,8
201,"A&O SCI","M105",1,"C+",3,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,6
201,"A&O SCI","M105",1,"C",1,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,5
201,"A&O SCI","M105",1,"D+",1,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,3
201,"A&O SCI","M105",1,"F",1,22,"LEINWEBER, A.",1,"Introduction to Chemical Oceanography",258,0
201,"AF AMER","1",1,"A+",30,141,"PIERRE, J.",1,"Introduction to Black Studies",258,12
201,"AF AMER","1",1,"A",82,141,"PIERRE, J.",1,"Introduction to Black Studies",258,11
201,"AF AMER","1",1,"A-",2,141,"PIERRE, J.",1,"Introduction to Black Studies",258,10
201,"AF AMER","1",1,"B+",3,141,"PIERRE, J.",1,"Introduction to Black Studies",258,9
201,"AF AMER","1",1,"B",7,141,"PIERRE, J.",1,"Introduction to Black Studies",258,8
201,"AF AMER","1",1,"B-",1,141,"PIERRE, J.",1,"Introduction to Black Studies",258,7
201,"AF AMER","1",1,"C+",2,141,"PIERRE, J.",1,"Introduction to Black Studies",258,6
201,"AF AMER","1",1,"C",1,141,"PIERRE, J.",1,"Introduction to Black Studies",258,5
201,"AF AMER","1",1,"I",1,141,"PIERRE, J.",1,"Introduction to Black Studies",258,0
201,"AF AMER","1",1,"NP",1,141,"PIERRE, J.",1,"Introduction to Black Studies",258,-2
201,"AF AMER","1",1,"P",11,141,"PIERRE, J.",1,"Introduction to Black Studies",258,-1
201,"AF AMER","6",1,"A+",43,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,12
201,"AF AMER","6",1,"A",42,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,11
201,"AF AMER","6",1,"A-",8,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,10
201,"AF AMER","6",1,"B+",7,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,9
201,"AF AMER","6",1,"B",2,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,8
201,"AF AMER","6",1,"B-",1,103,"STREETER, C.A.",1,"Trends in Black Intellectual Thought",258,7
201,"AF AMER","M107",1,"A+",11,24,"AVIDAN, L.J.",1,"Cultural History of Rap",258,12
201,"AF AMER","M107",1,"A",7,24,"AVIDAN, L.J.",1,"Cultural History of Rap",258,11
201,"AF AMER","M107",1,"A-",4,24,"AVIDAN, L.J.",1,"Cultural History of Rap",258,10
201,"AF AMER","M107",1,"B+",1,24,"AVIDAN, L.J.",1,"Cultural History of Rap",258,9
201,"AF AMER","M107",1,"P",1,24,"AVIDAN, L.J.",1,"Cultural History of Rap",258,-1
201,"AF AMER","M150D",1,"A+",15,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,12
201,"AF AMER","M150D",1,"A",6,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,11
201,"AF AMER","M150D",1,"A-",3,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,10
201,"AF AMER","M150D",1,"B+",5,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,9
201,"AF AMER","M150D",1,"B",1,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,8
201,"AF AMER","M150D",1,"I",3,33,"BROWN, S.D.",1,"Recent African American Urban History: Funk Music and Politics of Black Popular Culture",258,0
201,"AF AMER","188A",1,"A+",25,39,"GREEN, C.D.",1,"Special Courses in African American Studies",258,12
201,"AF AMER","188A",1,"A",14,39,"GREEN, C.D.",1,"Special Courses in African American Studies",258,11
201,"AF AMER","188A",2,"A+",4,14,"KEEL, T.D.",1,"Special Courses in African American Studies",258,12
201,"AF AMER","188A",2,"A",4,14,"KEEL, T.D.",1,"Special Courses in African American Studies",258,11
201,"AF AMER","188A",2,"A-",2,14,"KEEL, T.D.",1,"Special Courses in African American Studies",258,10
201,"AF AMER","188A",2,"B+",2,14,"KEEL, T.D.",1,"Special Courses in African American Studies",258,9
201,"AF AMER","188A",2,"C+",2,14,"KEEL, T.D.",1,"Special Courses in African American Studies",258,6
201,"AF AMER","C191",1,"A+",9,12,"EDU, U.F.",1,"Variable Topics Research Seminars: Afro-American Studies",258,12
201,"AF AMER","C191",1,"A",1,12,"EDU, U.F.",1,"Variable Topics Research Seminars: Afro-American Studies",258,11
201,"AF AMER","C191",1,"C+",1,12,"EDU, U.F.",1,"Variable Topics Research Seminars: Afro-American Studies",258,6
201,"AF AMER","C191",1,"C",1,12,"EDU, U.F.",1,"Variable Topics Research Seminars: Afro-American Studies",258,5
201,"AN N EA","10W",1,"A+",2,15,"SAMUELS, A.D.",1,"Jerusalem: Holy City",258,12
201,"AN N EA","10W",1,"A",8,15,"SAMUELS, A.D.",1,"Jerusalem: Holy City",258,11
201,"AN N EA","10W",1,"A-",3,15,"SAMUELS, A.D.",1,"Jerusalem: Holy City",258,10
201,"AN N EA","10W",1,"B",1,15,"SAMUELS, A.D.",1,"Jerusalem: Holy City",258,8
201,"AN N EA","10W",1,"P",1,15,"SAMUELS, A.D.",1,"Jerusalem: Holy City",258,-1
201,"AN N EA","10W",2,"A",11,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,11
201,"AN N EA","10W",2,"A-",5,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,10
201,"AN N EA","10W",2,"B+",1,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,9
201,"AN N EA","10W",2,"B",3,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,8
201,"AN N EA","10W",2,"C+",1,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,6
201,"AN N EA","10W",2,"P",1,22,"SCHNIEDEWIND, W.M.",3,"Jerusalem: Holy City",258,-1
201,"AN N EA","10W",3,"A+",1,21,"DANIELSON, A.",1,"Jerusalem: Holy City",258,12
201,"AN N EA","10W",3,"A",3,21,"DANIELSON, A.",1,"Jerusalem: Holy City",258,11
201,"AN N EA","10W",3,"A-",7,21,"DANIELSON, A.",1,"Jerusalem: Holy City",258,10
