"ENROLLMENT","CLASS","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_CD","TITLE","ENROL_TERM","LG_numeric","PERCENTAGE"
"20W","A&O SCI 1 - PICAZO, M.",1,"A",26,152,1,"Climate Change: From Puzzles to Policy","256",11,0.171
"20W","A&O SCI 1 - PICAZO, M.",1,"A-",20,152,1,"Climate Change: From Puzzles to Policy","256",10,0.132
"20W","A&O SCI 1 - PICAZO, M.",1,"B+",20,152,1,"Climate Change: From Puzzles to Policy","256",9,0.132
"20W","A&O SCI 1 - PICAZO, M.",1,"B",35,152,1,"Climate Change: From Puzzles to Policy","256",8,0.23
"20W","A&O SCI 1 - PICAZO, M.",1,"B-",7,152,1,"Climate Change: From Puzzles to Policy","256",7,0.046
"20W","A&O SCI 1 - PICAZO, M.",1,"C+",7,152,1,"Climate Change: From Puzzles to Policy","256",6,0.046
"20W","A&O SCI 1 - PICAZO, M.",1,"C",14,152,1,"Climate Change: From Puzzles to Policy","256",5,0.092
"20W","A&O SCI 1 - PICAZO, M.",1,"C-",3,152,1,"Climate Change: From Puzzles to Policy","256",4,0.02
"20W","A&O SCI 1 - PICAZO, M.",1,"D-",1,152,1,"Climate Change: From Puzzles to Policy","256",1,0.007
"20W","A&O SCI 1 - PICAZO, M.",1,"F",3,152,1,"Climate Change: From Puzzles to Policy","256",0,0.02
"20W","A&O SCI 1 - PICAZO, M.",1,"NP",2,152,1,"Climate Change: From Puzzles to Policy","256",-2,0.013
"20W","A&O SCI 1 - PICAZO, M.",1,"P",14,152,1,"Climate Change: From Puzzles to Policy","256",-1,0.092
"20W","A&O SCI 1L - PICAZO, M.",1,"A+",13,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",12,0.255
"20W","A&O SCI 1L - PICAZO, M.",1,"A",16,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",11,0.314
"20W","A&O SCI 1L - PICAZO, M.",1,"A-",8,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",10,0.157
"20W","A&O SCI 1L - PICAZO, M.",1,"B+",4,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",9,0.078
"20W","A&O SCI 1L - PICAZO, M.",1,"B",7,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",8,0.137
"20W","A&O SCI 1L - PICAZO, M.",1,"B-",1,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",7,0.02
"20W","A&O SCI 1L - PICAZO, M.",1,"C",1,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",5,0.02
"20W","A&O SCI 1L - PICAZO, M.",1,"P",1,51,1,"Climate Change: From Puzzles to Policy--Laboratory","256",-1,0.02
"20W","A&O SCI 2 - LEW, J.K.",1,"A+",1,53,1,"Air Pollution","256",12,0.019
"20W","A&O SCI 2 - LEW, J.K.",1,"A",6,53,1,"Air Pollution","256",11,0.113
"20W","A&O SCI 2 - LEW, J.K.",1,"A-",2,53,1,"Air Pollution","256",10,0.038
"20W","A&O SCI 2 - LEW, J.K.",1,"B+",4,53,1,"Air Pollution","256",9,0.075
"20W","A&O SCI 2 - LEW, J.K.",1,"B",14,53,1,"Air Pollution","256",8,0.264
