CITY/COMMUNITY**,Rate**,Total Cases
City of Agoura Hills,95.77,20
City of Alhambra,36.9,32
City of Arcadia,32.9,19
City of Artesia,--,--
City of Avalon,0,0
City of Azusa,35.97,18
City of Baldwin Park,23.45,18
City of Bell,96.33,35
City of Bell Gardens,53.4,23
City of Bellflower,61.75,48
City of Beverly Hills,205.68,71
City of Bradbury,0,0
City of Burbank,89.57,96
City of Calabasas,94.56,23
City of Carson,120.41,113
City of Cerritos,59.92,30
City of Claremont,27.41,10
City of Commerce,--,--
City of Compton,54.05,54
City of Covina,71.38,35
City of Cudahy,82.15,20
City of Culver City,77.76,31
City of Diamond Bar,31.3,18
City of Downey,82.27,94
City of Duarte,36.34,8
City of El Monte,22.17,26
City of El Segundo,59.57,10
City of Gardena,86.45,53
City of Glendale,105.57,218
City of Glendora,34.11,18
City of Hawaiian Gardens,--,--
City of Hawthorne,72.08,64
City of Hermosa Beach,86.43,17
City of Hidden Hills,0,0
City of Huntington Park,65.56,39
City of Industry,--,--
City of Inglewood,92.44,105
City of Irwindale,0,0
City of La Canada Flintridge,82.15,17
City of La Habra Heights,--,--
City of La Mirada,42.34,21
City of La Puente,44.23,18
City of La Verne,24.04,8
City of Lakewood,49.77,40
City of Lancaster,48.9,79
City of Lawndale,71.4,24
City of Lomita,86.83,18
City of Lynwood,88.83,64
City of Malibu,108.02,14
City of Manhattan Beach,147.23,53
City of Maywood,89.13,25
City of Monrovia,30.93,12
City of Montebello,71.46,46
City of Monterey Park,46.58,29
City of Norwalk,64.11,69
City of Palmdale,55.36,88
City of Palos Verdes Estates,236.65,32
City of Paramount,64.26,36
City of Pico Rivera,80.89,52
City of Pomona,28.86,45
City of Rancho Palos Verdes,84.22,36
City of Redondo Beach,117.91,81
City of Rolling Hills,--,--
City of Rolling Hills Estates,110.93,9
City of Rosemead,21.68,12
City of San Dimas,49.25,17
City of San Fernando,73.14,18
City of San Gabriel,31.74,13
City of San Marino,37.66,5
City of Santa Clarita,58.98,130
City of Santa Fe Springs,27.23,5
City of Santa Monica,95.19,88
City of Sierra Madre,--,--
City of Signal Hill,--,--
City of South El Monte,--,--
City of South Gate,89.65,88
City of South Pasadena,46.06,12
City of Temple City,30.17,11
City of Torrance,83.74,125
City of Vernon,0,0
City of Walnut,39.3,12
City of West Covina,24.02,26
City of West Hollywood,273.33,101
City of Westlake Village,71.77,6
City of Whittier,50.32,44
Los Angeles,93.63,3787
Los Angeles - Adams-Normandie,182.88,15
Los Angeles - Alsace,40.18,5
Los Angeles - Angelino Heights,--,--
Los Angeles - Arleta,66.92,23
Los Angeles - Atwater Village,54.55,8
Los Angeles - Baldwin Hills,89.96,28
Los Angeles - Bel Air,249.14,21
Los Angeles - Beverly Crest,207.58,26
Los Angeles - Beverlywood,144.23,19
Los Angeles - Boyle Heights,61,53
Los Angeles - Brentwood,171.22,53
Los Angeles - Brookside,0,0
Los Angeles - Cadillac-Corning,--,--
Los Angeles - Canoga Park,96.49,63
Los Angeles - Carthay,194.95,28
Los Angeles - Central,92.33,36
Los Angeles - Century City,187.62,24
Los Angeles - Century Palms/Cove,77,26
Los Angeles - Chatsworth,94.44,35
Los Angeles - Cheviot Hills,119.94,11
Los Angeles - Chinatown,--,--
Los Angeles - Cloverdale/Cochran,75.59,11
Los Angeles - Country Club Park,138.59,21
Los Angeles - Crenshaw District,94.01,13
Los Angeles - Crestview,307.88,35
Los Angeles - Del Rey,103.55,31
Los Angeles - Downtown,87.25,24
Los Angeles - Eagle Rock,85.88,34
Los Angeles - East Hollywood,126.34,37
Los Angeles - Echo Park,70.15,10
Los Angeles - El Sereno,83.72,35
Los Angeles - Elysian Park,87.54,5
Los Angeles - Elysian Valley,78.65,8
Los Angeles - Encino,108.47,49
Los Angeles - Exposition,0,0
Los Angeles - Exposition Park,95.73,43
Los Angeles - Faircrest Heights,--,--
Los Angeles - Figueroa Park Square,80.27,7
Los Angeles - Florence-Firestone,88.52,42
Los Angeles - Glassell Park,164.54,52
Los Angeles - Gramercy Place,74.32,8
Los Angeles - Granada Hills,72.18,42
Los Angeles - Green Meadows,65.1,14
Los Angeles - Hancock Park,264.1,45
Los Angeles - Harbor City,79.12,23
Los Angeles - Harbor Gateway,68.81,30
Los Angeles - Harbor Pines,0,0
Los Angeles - Harvard Heights,88.72,16
Los Angeles - Harvard Park,63.27,24
Los Angeles - Highland Park,55.8,27
Los Angeles - Historic Filipinotown,136.99,19
Los Angeles - Hollywood,161.16,110
Los Angeles - Hollywood Hills,156.28,46
Los Angeles - Hyde Park,56.06,16
Los Angeles - Jefferson Park,--,--
Los Angeles - Koreatown,90.92,47
Los Angeles - Lafayette Square,131.61,6
Los Angeles - Lake Balboa,73.45,31
Los Angeles - Lakeview Terrace,121.83,16
Los Angeles - Leimert Park,150.97,23
Los Angeles - Lincoln Heights,46.02,15
Los Angeles - Little Armenia,361.37,29
Los Angeles - Little Bangladesh,98.79,28
Los Angeles - Little Tokyo,--,--
Los Angeles - Longwood,--,--
Los Angeles - Los Feliz,97.19,21
Los Angeles - Manchester Square,--,--
Los Angeles - Mandeville Canyon,--,--
Los Angeles - Mar Vista,80.05,34
Los Angeles - Marina Peninsula,183.49,8
Los Angeles - Melrose,247.12,192
Los Angeles - Mid-city,153.03,23
Los Angeles - Miracle Mile,105.64,19
Los Angeles - Mission Hills,66.32,16
Los Angeles - Mt. Washington,49.7,12
Los Angeles - North Hills,63.34,39
Los Angeles - North Hollywood,74.63,113
Los Angeles - Northridge,53.01,37
Los Angeles - Pacific Palisades,145.6,31
Los Angeles - Pacoima,63.65,49
Los Angeles - Palisades Highlands,--,--
Los Angeles - Palms,141.3,62
Los Angeles - Panorama City,77.08,58
Los Angeles - Park La Brea,66.27,9
Los Angeles - Pico-Union,112.33,47
Los Angeles - Playa Del Rey,--,--
Los Angeles - Playa Vista,91.35,10
Los Angeles - Porter Ranch,78.68,28
Los Angeles - Rancho Park,137.2,9
Los Angeles - Regent Square,--,--
Los Angeles - Reseda,80.92,62
Los Angeles - Reseda Ranch,150.99,7
Los Angeles - Reynier Village,118.26,5
Los Angeles - San Pedro,49.98,39
Los Angeles - Shadow Hills,157.59,7
Los Angeles - Sherman Oaks,82.52,72
Los Angeles - Silverlake,161.06,71
Los Angeles - South Carthay,188.77,20
Los Angeles - South Park,94.83,36
Los Angeles - St Elmo Village,--,--
Los Angeles - Studio City,98.04,22
Los Angeles - Sun Valley,53.35,28
Los Angeles - Sunland,147,30
Los Angeles - Sycamore Square,0,0
Los Angeles - Sylmar,110.44,91
Los Angeles - Tarzana,142.51,44
Los Angeles - Temple-Beaudry,121.57,48
Los Angeles - Thai Town,91.75,9
Los Angeles - Toluca Lake,80.42,7
Los Angeles - Toluca Terrace,0,0
Los Angeles - Toluca Woods,--,--
Los Angeles - Tujunga,53.94,15
Los Angeles - University Hills,0,0
Los Angeles - University Park,87.41,24
Los Angeles - Valley Glen,103.28,31
Los Angeles - Valley Village,133.5,33
Los Angeles - Van Nuys,78.33,73
Los Angeles - Venice,100.34,34
Los Angeles - Vermont Knolls,93.02,16
Los Angeles - Vermont Square,182.84,14
Los Angeles - Vermont Vista,50.99,21
Los Angeles - Vernon Central,67.31,35
Los Angeles - Victoria Park,202.41,17
Los Angeles - View Heights,--,--
Los Angeles - Watts,56.24,24
Los Angeles - Wellington Square,--,--
Los Angeles - West Adams,123.05,34
Los Angeles - West Hills,51.79,21
Los Angeles - West Los Angeles,90.34,34
Los Angeles - West Vernon,98.8,53
Los Angeles - Westchester,60.07,31
Los Angeles - Westlake,80.87,48
Los Angeles - Westwood,60.99,33
Los Angeles - Wholesale District,47.05,17
Los Angeles - Wilmington,49.57,28
Los Angeles - Wilshire Center,79.73,40
Los Angeles - Winnetka,83.03,43
Los Angeles - Woodland Hills,91.1,62
Unincorporated - Acton,62.73,5
Unincorporated - Agua Dulce,--,--
Unincorporated - Altadena,77.95,34
Unincorporated - Anaverde,0,0
Unincorporated - Angeles National Forest,0,0
Unincorporated - Arcadia,--,--
Unincorporated - Athens-Westmont,80.11,34
Unincorporated - Athens Village,102.1,5
Unincorporated - Avocado Heights,--,--
Unincorporated - Azusa,--,--
Unincorporated - Bassett,--,--
Unincorporated - Bouquet Canyon,--,--
Unincorporated - Bradbury,0,0
