Facility Name,Address,Type,Total Beds,Emergency Medical Service Level(1),Initial License Year,long,lat
City of Hope Helford Clinical Research Hospital,"1500 E Duarte Rd
Duarte 91010",Cancer Medical / Surgical,217,None,1946,-117.96778,34.13198
"USC Kenneth Norris, Jr. Cancer Hospital","1441 Eastlake Ave
Los Angeles 90033",Cancer Medical / Surgical,60,None,1983,-118.206313,34.061179
American Recovery Center,"2180 W Valley Blvd
Pomona 91768",Chemical Dependency (Alcohol/Drug),50,,1987,-117.790624,34.06067
Tom Redgate Memorial Recovery Center,"1775 Chestnut St
Long Beach 90813",Chemical Dependency (Alcohol/Drug),63,,1983,-118.19644,33.78846
Kindred Hospital - South Bay,"1246 W 155th St
Gardena 90247",General Acute Long-Term Care,54,None,1957,-118.297401,33.890004
Adventist Health Glendale Medical Center,"1509 Wilson Terrace
Glendale 91206",General Medical-Surgical,515,Basic,1946,-118.230007,34.150808
Adventist Health White Memorial Medical Center,"1720 Cesar E Chavez Ave
Los Angeles 90033",General Medical-Surgical,353,Basic,1946,-118.21669,34.05052
Alhambra Hospital Medical Center,"100 S Raymond Ave
Alhambra 91801",General Medical-Surgical,144,Basic,1946,-118.144098,34.090485
Antelope Valley Hospital,"1600 W Ave J
Lancaster 93534",General Medical-Surgical,420,Basic,1955,-118.15701,34.68927
Barlow Respiratory Hospital,"2000 Stadium Way
Los Angeles 90026",General Medical-Surgical,105,None,1946,-118.248473,34.07595
Beverly Hospital,"309 W Beverly Blvd
Montebello 90640",General Medical-Surgical,202,Basic,1946,-118.100636,34.015016
California Hospital Medical Center - Los Angeles,"1401 S Grand Ave
Los Angeles 90015",General Medical-Surgical,318,Basic,1946,-118.26568,34.03723
Catalina Island Medical Center,"100 Falls Canyon Rd
Avalon 90704",General Medical-Surgical,12,Standby,1946,-118.33078,33.339241
Cedars Sinai Medical Center,"8700 Beverly Blvd
Los Angeles 90048",General Medical-Surgical,886,Basic,1955,-118.380004,34.076545
Cedars-Sinai Marina Del Rey Hospital,"4650 Lincoln Blvd
Marina Del Rey 90292",General Medical-Surgical,133,Basic,1970,-118.440031,33.981738
Centinela Hospital Medical Center,"555 E Hardy St
Inglewood 90301",General Medical-Surgical,362,Basic,1946,-118.34827,33.95076
Coast Plaza Hospital,"13100 S Studebaker Rd
Norwalk 90650",General Medical-Surgical,117,Basic,1958,-118.09845,33.91255
College Medical Center,"2776 Pacific Ave
Long Beach 90806",General Medical-Surgical,121,Basic,1956,-118.19305,33.807327
College Medical Center Hawthorne Campus,"13300 Hawthorne Blvd
Hawthorne 90250",General Medical-Surgical,64,None,2014,-118.351763,33.911637
"College Medical Center
South Campus D/P APH","1725 Pacific Ave
Long Beach 90813",General Medical-Surgical,36,None,2002,-118.194127,33.788473
