FACID,FACNAME,FAC_FDR,ICU_BEDS,COUNTY_NAME,GAC_BEDS,NPI,FAC_TYPE_CODE,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL
60000027,LAC/HARBOR UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,44.0,LOS ANGELES,270,1295757938,GACH,NON-LTC,415,1000 W CARSON ST,TORRANCE,90502,2004.0,"MCKENZIE, KIMBERLY",JREES@DHS.LACOUNTY.GOV,(310) 328-9624,(310) 222-2345,200,6,ORANGE,Y,60000129.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2020-05-01,2021-04-30,COUNTY,33.83154,-118.294551,"(-118.294551,33.83154)",106191227.0,1000,W CARSON ST,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,
60000028,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,GENERAL ACUTE CARE HOSPITAL,8.0,LOS ANGELES,50,1336156363,GACH,NON-LTC,158,7601 IMPERIAL HWY,DOWNEY,90242,3456.0,"OROZCO, JORGE",LZMARTINEZ@DHS.LACOUNTY.GOV,(562) 803-0056,(562) 385-7022,200,6,ORANGE,Y,60000161.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2020-01-23,2020-03-30,COUNTY,33.9291,-118.158001,"(-118.158001,33.9291)",106191306.0,7601,IMPERIAL HWY,19,LOS ANGELES,6037,,,,,
60000035,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",GENERAL ACUTE CARE HOSPITAL,20.0,LOS ANGELES,93,1114367497,GACH,NON-LTC,131,1680 EAST 120TH STREET,LOS ANGELES,90059,3019.0,"BATCHLOR, ELAINE E",,,(424) 338-8000,200,6,ORANGE,Y,60000132.0,MARTIN LUTHER KING JR HEALTHCARE CORPORATION,,2020-03-01,2021-02-28,NONPROFIT CORP,33.924325,-118.24436,"(-118.24436,33.924325)",106191230.0,1680,EAST 120TH STREET,19,LOS ANGELES,6037,YES,,,,
60000038,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,42.0,LOS ANGELES,200,1285845982,GACH,NON-LTC,303,14445 OLIVE VIEW DR,SYLMAR,91342,1437.0,"MAASS, JUDITH",AVILLARRUZ@DHS.LACOUNTY.GOV,(747) 210-3300,(818) 364-1555,200,6,ORANGE,Y,60000133.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1959-11-20,2019-10-21,2020-05-07,COUNTY,34.32593,-118.445531,"(-118.445531,34.32593)",106191231.0,14445,OLIVE VIEW DR,19,LOS ANGELES,6037,YES,,,,
60000040,LAC+USC MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,130.0,LOS ANGELES,343,1093728743,GACH,NON-LTC,600,1200 N STATE ST,LOS ANGELES,90033,1029.0,"OROZCO, JORGE",JOROZCO@DHS.LACOUNTY.GOV,(323) 441-8030,(310) 943-5400,200,6,ORANGE,Y,60000130.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2020-04-01,2021-03-31,COUNTY,34.05963,-118.208281,"(-118.208281,34.05963)",106191228.0,1200,N STATE ST,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,
930000002,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,28.0,LOS ANGELES,207,1114081056,GACH,NON-LTC,318,1401 S GRAND AVE,LOS ANGELES,90015,3010.0,"MORAN, ALINA",JULIE.SPRENGEL@DIGNITYHEALTH.ORG,(213) 765-4078,(213) 748-2411,200,93,LA ACUTE/ANCILLARY,Y,930000024.0,DIGNITY COMMUNITY CARE,1946-01-01,2020-01-01,2020-12-31,NONPROFIT CORP,34.03742,-118.265901,"(-118.265901,34.03742)",106190125.0,1401,S GRAND AVE,19,LOS ANGELES,6037,YES,,LEVEL II,,
930000004,CEDARS-SINAI MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,126.0,LOS ANGELES,624,1639172372,GACH,NON-LTC,889,8700 BEVERLY BOULEVARD,LOS ANGELES,90048,1804.0,"PRISELAC, THOMAS",KARINA.MOORE@CSHS.ORG,(323) 866-7888,(323) 866-7828,200,93,LA ACUTE/ANCILLARY,Y,930000110.0,CEDARS-SINAI MEDICAL CENTER,1955-08-15,2019-11-06,2020-11-05,NONPROFIT CORP,34.07519,-118.380621,"(-118.380621,34.07519)",106190555.0,8700,BEVERLY BOULEVARD,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,
930000005,ALHAMBRA HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,6.0,LOS ANGELES,88,1588793574,GACH,NON-LTC,118,100 S RAYMOND AVE,ALHAMBRA,91801,3166.0,"LAI, IRIS",INFO@ALHAMBRAHOSPITAL.COM,(626) 656-6049,(626) 458-4770,200,93,LA ACUTE/ANCILLARY,Y,930000005.0,"ALHAMBRA HOSPITAL MEDICAL CENTER, L.P.",1946-01-01,2019-11-28,2020-11-27,PARTNERSHIP,34.09019,-118.143951,"(-118.143951,34.09019)",106190017.0,100,S RAYMOND AVE,19,LOS ANGELES,6037,,,,,
930000008,ANTELOPE VALLEY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,21.0,LOS ANGELES,251,1366419517,GACH,NON-LTC,390,1600 W AVENUE J,LANCASTER,93534,,"MIRAZBEGIAN, EDWARD",ADMINISTRATION@AVHOSPITAL.ORG,(661) 949-5510,(661) 949-5000,200,93,LA ACUTE/ANCILLARY,Y,930000008.0,ANTELOPE VALLEY HEALTHCARE DISTRICT,1955-09-27,2019-11-01,2020-10-31,HEALTH CARE DISTRICT,34.68839,-118.158001,"(-118.158001,34.68839)",106190034.0,1600,W AVENUE J,19,LOS ANGELES,6037,YES,,LEVEL II,,
930000012,BEVERLY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,12.0,LOS ANGELES,134,1184628919,GACH,NON-LTC,202,309 W BEVERLY BLVD,MONTEBELLO,90640,4308.0,"CHENG, ALICE",ACHENG@BEVERLY.ORG,(323) 725-4338,(323) 725-4257,200,93,LA ACUTE/ANCILLARY,Y,930000389.0,BEVERLY COMMUNITY HOSPITAL ASSOCIATION,1986-05-01,2020-05-01,2021-04-30,NONPROFIT CORP,34.01525,-118.100621,"(-118.100621,34.01525)",106190081.0,309,W BEVERLY BLVD,19,LOS ANGELES,6037,YES,,,,
930000015,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,GENERAL ACUTE CARE HOSPITAL,10.0,LOS ANGELES,245,,GACH,NON-LTC,311,3828 DELMAS TER,CULVER CITY,90232,2713.0,"KLEPIN, MICHAEL R",SEAN.FOWLER@SCHOSPITALS.COM,(310) 202-4141,(310) 840-7089,200,93,LA ACUTE/ANCILLARY,Y,930000066.0,"SOUTHERN CALIFORNIA HEALTHCARE SYSTEM, INC.",1963-02-08,2020-02-25,2021-02-24,PROFIT CORP,34.02258,-118.397691,"(-118.397691,34.02258)",106190110.0,3828,DELMAS TER,19,LOS ANGELES,6037,YES,,,,
930000017,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,GENERAL ACUTE CARE HOSPITAL,5.0,LOS ANGELES,85,,GACH,NON-LTC,112,9542 ARTESIA BLVD,BELLFLOWER,90706,6511.0,"HERNANDEZ, HECTOR",JLINHARES.BMC@PACIFICHEALTHCORP.COM,(562) 925-4413,(562) 925-8355,200,93,LA ACUTE/ANCILLARY,Y,930000039.0,"ALTA LOS ANGELES HOSPITALS, INC.",1957-10-24,2020-03-15,2021-03-14,PROFIT CORP,33.87435,-118.129451,"(-118.129451,33.87435)",106190066.0,9542,ARTESIA BLVD,19,LOS ANGELES,6037,YES,,,,
930000020,CASA COLINA HOSPITAL,GENERAL ACUTE CARE HOSPITAL,6.0,LOS ANGELES,25,1952777245,GACH,NON-LTC,99,255 E BONITA AVE,POMONA,91767,1923.0,"KAPLAN, STEPHANIE",DSCHULTZ@CASACOLINA.ORG,(909) 596-0153,(909) 596-7733,200,93,LA ACUTE/ANCILLARY,Y,930000026.0,CASA COLINA HOSPITAL AND CENTERS FOR HEALTHCARE,1961-02-28,2019-11-01,2020-10-31,NONPROFIT CORP,34.09799,-117.746941,"(-117.746941,34.09799)",106190137.0,255,E BONITA AVE,19,LOS ANGELES,6037,,,,,
