GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,LE,Prop_prsc,Prop_3rdg,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,No_libr,Prop_empl,Prop_emsu,Prop_vote,Rte_resp,Prop_PA,Prop_groc,Prop_60mi,No_farm,No_EBT,Prop_foin,No_CalF,Rte_CalF,Prop_FRPM,Prop_obse,Prop_DM,Rte_coin,Rte_brin,Prop_smok,Rte_luca,Rte_COPD,Rte_CVD,Prop_hbu1,Prop_hbu2,Prop_ownr,Prop_rentr,No_hless,Prop_asth,Rte_crim,Rte_hom,Rte_alco,Propt_envi,No_gasw,Rte_te17,Rte_te19,Prop_LBW,Rte_IMR,Prop_1stt,Prop_depr,Rte_suic,Rte_UOD,Rte_syin,Rte_goin,Rte_hiv,Prop_uinC,Prop_uinA,Prop_duinC,Prop_duinA,Propt_HPI,Rte_mein,Rte_cein,Rte_luin,Prop_fru,Prop_bev,Prop_hyp,Prop_marj,Prop_HI,Prop_grad,Prop_trua
Alhambra,86705,0.1831,0.6504,0.1665,0.0133,0.3435,0.0913,0.5498,0.0014,0.0007,0.1303,0.3356,0.5021,0.2112,84.55,0.665,0.5353,0.1934,0.228,0.2497,0.3289,53582,1,0.94,0.385,0.6235,0.7706,0.2731,0.5239,0.111,1,1,**,"15,799",0.3300,0.6598,0.1358,0.1040,45.7963,125.9019,0.1272,25.4872,21.7535,170.914,0.447,0.232,0.404,0.596,64,0.0449,168,**,12,6,2,2.1042,9.1180,0.0815,3.1022,0.8614,0.0523,7,3,14,66,208,0.0598,0.207,0.0929,0.2291,43.3,**,**,34.6,0.2,0.2,0.2,0.1,0.0,1.0,0.1
Altadena,42525,0.2072,0.6221,0.1707,0.2374,0.2905,0.4129,0.0553,0.0019,0.002,0.0988,0.2281,0.2021,0.0379,82.11,0.74,0.3942,0.105,0.1397,0.2918,0.4635,86050,2,0.92,0.7335,0.736,1.0975,0.3482,0.4524,0.12,1,1,**,-,-,0.559,0.2441,0.1358,38.3670,189.2143,0.1129,25.2189,28.4887,211.035,0.401,0.193,0.719,0.281,58,0.0915,162,**,6,62,0,3.9610,7.6173,0.0703,**,0.8859,0.1099,10,8,19,119,330,0.0333,0.1745,0.0660,0.0924,75.5,33.8,**,35.3,0.1,0.3,0.3,0.2,0.1,0.9,0.4
Arcadia,56992,0.1794,0.6389,0.1817,0.0115,0.125,0.2304,0.6315,0.0014,0.0003,0.0774,0.2042,0.4877,0.1888,85.42,0.675,0.7927,0.0789,0.1601,0.243,0.518,79934,1,0.941,0.5691,0.6271,1.9654,0.2662,0.511,0.131,0,0,**,"6,638",0.1800,0.2066,0.0570,0.0819,32.9547,145.2497,0.1285,22.5416,22.0580,173.371,0.402,0.214,0.596,0.404,12,**,146,**,19,27,2,**,**,0.059,**,0.8588,0.0493,9,**,8,46,56,0.0564,0.1245,0.1232,0.1876,73.4,22.0,**,29.5,0.1,0.2,0.2,0,0.0,1.0,0.1
Azusa,49479,0.2507,0.6538,0.0956,0.0292,0.6838,0.1938,0.0895,0.0024,0.0013,0.1636,0.3935,0.3082,0.1156,81.16,0.439,0.339,0.2232,0.2932,0.2873,0.1962,53135,1,0.927,0.6201,0.6569,1.0168,0.3759,0.5997,0.121,0,0,0.2006,"8,868",0.5800,0.806,0.2607,0.1198,31.3309,134.9485,0.1174,34.8652,33.1891,218.754,0.474,0.24,0.527,0.473,55,0.0660,354,6,14,48,0,3.5084,9.2802,0.0681,**,0.881,0.0895,8,**,27,116,196,0.0708,0.2404,0.1117,0.1918,34.2,**,**,29.7,0.1,0.4,0.2,0.1,0.0,0.9,0
Baldwin Park,74438,0.2623,0.633,0.1047,0.0099,0.7934,0.0432,0.1514,0.0012,0.0008,0.1591,0.4116,0.4453,0.1908,82.99,0.47,0.3227,0.374,0.317,0.1962,0.1128,51742,1,0.898,0.5712,0.6318,0.3406,0.3164,0.5444,0.125,1,1,0.2531,"14,206",0.7400,0.8729,0.2652,0.1307,43.8584,110.0378,0.1045,28.2446,31.2708,195.522,0.498,0.227,0.572,0.428,111,0.0904,391,5,10,9,0,7.3997,20.1220,0.0856,4.1881,0.8827,0.0544,**,5,21,98,171,0.0582,0.3259,0.0704,0.1874,22.3,**,**,26.5,0.1,0.4,0.3,0.1,0.0,1.0,0.4
Bell,36595,0.2893,0.6249,0.0857,0.0061,0.9286,0.0569,0.0063,0.002,0,0.2588,0.6647,0.4271,0.2669,85.13,0.516,0.3996,0.526,0.2014,0.1999,0.0726,37269,1,0.898,0.5668,0.5949,0.179,0.3109,0.84,0.109,0,0,**,"9,999",0.6200,0.8783,0.2578,0.1154,**,83.4336,0.1007,14.3564,24.8039,185.426,0.61,0.289,0.276,0.724,477,0.0900,637,**,13,45,8,7.1903,20.7412,0.0547,6.0196,0.8531,0.0755,**,**,28,96,238,0.0956,0.3944,0.0917,0.2622,10.4,**,**,**,0.1,0.4,0.2,0.1,0.0,0.9,0.4
Bell Gardens,42817,0.3026,0.6274,0.07,0.005,0.9584,0.028,0.0055,0.0022,0.0008,0.2693,0.6934,0.4291,0.2324,82.04,0.387,0.2544,0.5573,0.2447,0.1444,0.0536,37882,1,0.91,0.5962,0.6262,1.6529,0.2853,0.6476,0.088,0,0,**,"13,611",0.5700,0.8616,0.2860,0.1225,**,97.3729,0.0787,22.6937,31.7055,213.819,0.603,0.299,0.229,0.771,104,0.0708,362,7,14,53,1,8.6491,23.2702,0.0567,5.3696,0.8629,0.0983,**,**,28,141,249,0.1189,0.4379,0.0830,0.2766,4.1,**,**,**,0.1,0.4,0.2,0.1,0.0,0.9,0.2
Bellflower,76057,0.2529,0.6383,0.1088,0.1507,0.5185,0.1939,0.1258,0.0031,0.008,0.161,0.411,0.2921,0.1100,79.97,0.502,0.3391,0.2239,0.2887,0.3211,0.1663,48823,1,0.921,0.5926,0.6212,0.5783,0.3432,0.6473,0.118,1,1,0.2101,"16,288",0.6100,0.8131,0.2469,0.1252,34.1840,125.1093,0.1236,32.3806,44.7159,245.325,0.506,0.252,0.392,0.608,241,0.1210,515,6,12,58,6,5.9556,17.0547,0.0669,2.2706,0.8343,0.0631,8,7,27,180,228,0.0747,0.2479,0.0846,0.1491,27.9,14.7,**,39.3,0.2,0.5,0.4,0.1,0.0,1.0,0.1
Beverly Hills,34652,0.1574,0.6406,0.2021,0.0209,0.0591,0.8212,0.0976,0.0009,0.0003,0.0801,0.1604,0.3841,0.1077,86.4,0.865,0.7148,0.0505,0.128,0.2106,0.6109,97327,1,0.926,0.7946,0.6971,2.6984,0.4601,0.7074,0.049,1,1,0.1682,"3,124",0.2200,0.081,**,**,32.9537,193.4906,0.1013,22.7174,13.5569,138.562,0.461,0.261,0.412,0.588,16,0.0680,306,**,46,43,34,**,**,0.0734,**,0.9444,0.1924,8,**,28,178,661,0.0463,0.1136,**,0.1591,88.1,51.2,**,34.5,0.2,0.1,0.4,0.2,0.0,1.0,0.2
Burbank,104692,0.182,0.6683,0.1497,0.0249,0.2551,0.5918,0.1256,0.0018,0.0007,0.092,0.1665,0.3399,0.0977,82.38,0.646,0.6266,0.1133,0.1816,0.3219,0.3831,66076,3,0.924,0.7382,0.6991,8.2215,0.3791,0.6632,0.091,1,1,0.1494,"12,924",0.4500,0.3271,0.1746,0.0714,44.6239,169.5883,0.1367,32.2028,28.5550,201.684,0.47,0.237,0.407,0.593,167,0.0598,201,**,22,5,3,**,3.5168,0.0731,2.9756,0.8618,0.099,8,6,22,99,268,0.0554,0.1817,0.1022,0.149,62.2,20.3,**,42.7,0.2,0.3,0.2,0.2,0.0,1.0,0.2
