r0,week,healthy,infected,recovered,total_cases
1,0,32346,1,0,1
1,1,32345.02,0.98,1,1.98
1,2,32344.05,0.97,1.98,2.95
1,3,32343.16,0.89,2.95,3.8400000000000003
1,4,32342.3,0.86,3.84,4.7
1,5,32341.34,0.96,4.7,5.66
1,6,32340.35,0.99,5.66,6.65
1,7,32339.36,0.99,6.65,7.640000000000001
1,8,32338.22,1.14,7.64,8.78
1,9,32337.05,1.17,8.78,9.95
1,10,32335.78,1.27,9.95,11.219999999999999
1,11,32334.42,1.36,11.22,12.58
2,0,32346,1,0,1
2,1,32343.98,2.02,1,3.02
2,2,32339.86,4.12,3.02,7.140000000000001
2,3,32331.46,8.4,7.14,15.54
2,4,32314.18,17.28,15.54,32.82
2,5,32278.82,35.36,32.82,68.18
2,6,32208.34,70.48,68.18,138.66000000000003
2,7,32068.46,139.88,138.66,278.53999999999996
2,8,31792.96,275.5,278.54,554.04
2,9,31263.44,529.52,554.04,1083.56
2,10,30278.65,984.79,1083.56,2068.35
2,11,28568.98,1709.67,2068.35,3778.02
2.5,0,32346,1,0,1
2.5,1,32343.29,2.71,1,3.71
2.5,2,32336.63,6.66,3.71,10.370000000000001
2.5,3,32319.44,17.19,10.37,27.560000000000002
2.5,4,32275.17,44.27,27.56,71.83
2.5,5,32166.79,108.38,71.83,180.20999999999998
2.5,6,31900.6,266.19,180.21,446.4
2.5,7,31250.29,650.31,446.4,1096.71
2.5,8,29737.69,1512.6,1096.71,2609.31
2.5,9,26532.65,3205.04,2609.31,5814.35
2.5,10,20927.34,5605.31,5814.35,11419.66
2.5,11,13852.01,7075.33,11419.66,18494.989999999998
3,0,32346,1,0,1
3,1,32342.98,3.02,1,4.02
3,2,32334.23,8.75,4.02,12.77
3,3,32307.94,26.29,12.77,39.06
3,4,32229.47,78.47,39.06,117.53
3,5,31997.1,232.37,117.53,349.9
3,6,31316,681.1,349.9,1031
3,7,29415.24,1900.76,1031,2931.76
3,8,24766.47,4648.77,2931.76,7580.530000000001
3,9,16377.47,8389,7580.53,15969.529999999999
3,10,7672.84,8704.63,15969.53,24674.16
3,11,3096.73,4576.11,24674.16,29250.27
4,0,32346,1,0,1
4,1,32341.87,4.13,1,5.13
4,2,32325.57,16.3,5.13,21.43
4,3,32261.09,64.48,21.43,85.91
4,4,32004.79,256.3,85.91,342.21000000000004
4,5,31006.1,998.69,342.21,1340.9
4,6,27417.24,3588.86,1340.9,4929.76
4,7,17730.55,9686.69,4929.76,14616.45
4,8,5455.97,12274.58,14616.45,26891.03
4,9,835.85,4620.12,26891.03,31511.149999999998
4,10,241.97,593.88,31511.15,32105.030000000002
4,11,205.79,36.18,32105.03,32141.21
5.7,0,32346,1,0,1
5.7,1,32340.62,5.38,1,6.38
5.7,2,32310.46,30.16,6.38,36.54
5.7,3,32138.85,171.61,36.54,208.15
5.7,4,31179.64,959.21,208.15,1167.3600000000001
5.7,5,26327.81,4851.83,1167.36,6019.19
5.7,6,11092.54,15235.27,6019.19,21254.46
5.7,7,736.78,10355.76,21254.46,31610.22
5.7,8,332.1,404.68,31610.22,32014.9
5.7,9,330.8,1.3,32014.9,32016.2
5.7,10,330.8,0,32016.2,32016.2
5.7,11,330.8,0,32016.2,32016.2
