Department Name,Abbrev,Major Name,Abbrev_major,Code,Div,School
African American Studies,AF AMER,African American Studies BA,AFR AMER,008V,SS,LS
American Indian Studies,AM IND,American Indian Studies BA,AMER IND,30,SS,LS
Anthropology,ANTHRO,Anthropology BA,ANTHRO,64,SS,LS
Anthropology,ANTHRO,Anthropology BS,ANTH-BS,65,SS,LS
Architecture and Urban Design,ARCH&UD,Architectural Studies BA,ARCH STD,00A1,AA,AA
Art,ART,Art BA,ART,90,AA,AA
Art History,ART HIS,Art History BA,ART HIST,93,HU,LS
Arts and Architecture-General,AA-GEN,Individual Field of Concentration BA,IND FLD,453,AA,AA
Asian American Studies,ASIA AM,Asian American Studies BA,ASIA AM,100,SS,LS
Asian Languages and Cultures,ASIA LC,Asian Humanities BA,ASIA HUM,442,HU,LS
Asian Languages and Cultures,ASIA LC,Asian Languages and Linguistics BA,ASIAN LL,00CW,HU,LS
Asian Languages and Cultures,ASIA LC,Asian Religions BA,ASIA REL,443,HU,LS
Asian Languages and Cultures,ASIA LC,Chinese BA,CHINESE,162,HU,LS
Asian Languages and Cultures,ASIA LC,Japanese BA,JAPANESE,480,HU,LS
Asian Languages and Cultures,ASIA LC,Korean BA,KOREAN,818,HU,LS
Atmospheric and Oceanic Sciences,A&O SCI,Atmospheric and Oceanic Sciences BS,A&O SCIS,002E,PS,LS
Atmospheric and Oceanic Sciences,A&O SCI,Atmospheric and Oceanic Sciences/Mathematics BS,AOS/MATH,0.00E+00,PS,LS
Atmospheric and Oceanic Sciences,A&O SCI,"Atmospheric, Oceanic, and Environmental Sciences BS (pre-18W)",AO&ES,589,PS,LS
Atmospheric and Oceanic Sciences,A&O SCI,Climate Science BS,CLMT SCI,00DQ,PS,LS
Bioengineering,BIOENGR,Bioengineering BS,BIOENGR,288,EN,EN
Chemical and Biomolecular Engineering,CHM&BE,Chemical Engineering BS,CHM ENGR,294,EN,EN
Chemistry and Biochemistry,CHEM,Biochemistry BS,BIOCHEM,111,PS,LS
Chemistry and Biochemistry,CHEM,Chemistry BS,CHEM,153,PS,LS
Chemistry and Biochemistry,CHEM,Chemistry/Materials Science BS,CHEM-MAT,155,PS,LS
Chemistry and Biochemistry,CHEM,General Chemistry BS,GEN CHEM,158,PS,LS
Chicana and Chicano Studies,CHICANO,Chicana and Chicano Studies BA,CHN STDS,626,SS,LS
Civil and Environmental Engineering,C&EE,Civil Engineering BS,CIV ENGR,300,EN,EN
Classics,CLASSIC,Classical Civilization BA,CLAS CIV,169,HU,LS
Classics,CLASSIC,Greek BA,GREEK,414,HU,LS
