dept,Department,School,headcount,Diversity - LS,Diversity - A&A,AH,Sci,SC,Writing
African American Studies,AF AMER,LS,94,11,8,4,0,4,0
American Indian Studies,AM IND,LS,18,7,1,0,0,1,0
Anthropology,ANTHRO,LS,456,14,16,1,1,3,2
Architecture and Urban Design,ARCH&UD,AA,47,0,0,2,0,2,0
Art,ART,AA,211,3,6,3,0,0,0
Art History,ART HIS,LS,133,0,5,11,0,6,0
Asian American Studies,ASIA AM,LS,49,19,5,2,0,8,5
Asian Languages and Cultures,ASIA LC,LS,187,10,4,20,0,9,3
Atmospheric and Oceanic Sciences,A&O SCI,LS,48,0,0,0,8,0,0
Bioengineering,BIOENGR,EN,293,0,0,0,0,0,0
Cesar E. Chavez Department of Chicana and Chicano Studies,CHICANO,LS,219,17,11,3,0,1,0
Chemical and Biomolecular Engineering,CHM&BE,EN,323,0,0,0,0,0,0
Chemistry and Biochemistry,CHEM,LS,1270,0,0,0,9,0,0
Civil and Environmental Engineering,C&EE,EN,328,0,0,0,1,0,0
Classics,CLASSIC,LS,22,4,0,13,0,5,2
Communication,COMM / COMM ST,LS,477,5,6,1,3,4,2
Comparative Literature,COM LIT,LS,55,6,6,13,0,2,8
Computational and Systems Biology,C&S BIO,LS,184,0,0,0,0,0,0
Computer Science,COM SCI,EN,1262,0,0,0,0,0,0
Design | Media Arts,DESMA,AA,166,0,1,2,0,1,0
"Earth, Planetary, and Space Sciences",EPS SCI,LS,67,2,0,0,12,0,0
Ecology and Evolutionary Biology,EE BIOL,LS,2027,2,0,0,6,0,0
Economics,ECON,LS,2669,1,0,0,0,1,0
Electrical and Computer Engineering,EC ENGR,EN,673,0,0,0,0,0,0
Engineering - General,ENGR,EN,136,0,0,0,1,1,
English,ENGL,LS,831,17,4,33,,2,8
Environmental Science,ENVIRON,LS,366,2,,2,5,4,1
Ethnomusicology,ETHNMUS,LS,53,6,30,17,,2,
"Film, Television, and Digital Media",FTV&DM,TF,87,1,2,12,,,
French and Francophone Studies,FR FRNC,LS,30,3,,5,,1,1
Gender Studies,GEN STD,LS,188,25,8,2,,2,1
Geography,GEOG,LS,259,,3,,5,4,
Germanic Languages,GERMAN,LS,5,,1,10,,3,
Global Jazz Studies,GJ STDS,MU,33,4,9,6,,,
Global Studies,GLBL ST,LS,192,3,1,,,1,
History,HIST,LS,709,40,13,6,,44,2
Humanities - General,HU-GEN,LS,216,,,,,,
Institute for Society and Genetics,SOC GEN,LS,628,10,1,3,9,8,2
Integrative Biology and Physiology,INT B&P,LS,689,,,,,,
International and Area Studies,I A STD,LS,77,3,4,3,,5,1
International Development Studies,INTL DV,LS,254,1,1,,,1,
Italian,ITALIAN,LS,5,3,,6,,3,
LABOR STUDIES,LBR STD,LS,13,9,4,3,,4,1
Letters and Science - General,,LS,5,,,,,,
LETTERS AND SCIENCE-GENERAL,LS-GEN,LS,207,,,,,,
Life Sciences - General,LF-GEN,LS,241,1,,,6,,
Limited,MATH/AO,LS,5,,,,,,
Linguistics,LING,LS,422,2,5,12,1,3,5
Materials Science and Engineering,MAT SCI,EN,143,,,,,,
Mathematics,MATH,LS,1612,,,,,,
Mathematics/Economics,MATH/EC,LS,272,,,,,,
Mechanical and Aerospace Engineering,MECH&AE,EN,799,,,,,,
"Microbiology, Immunology, and Molecular Genetics",MIMG,LS,557,,,,2,,
"Molecular, Cell, and Developmental Biology",MCD BIO,LS,872,2,,1,3,1,
Music,MUSC,MU,206,,1,1,,,
Musicology,MUSCLG,MU,36,7,6,33,,5,1
Near Eastern Languages and Cultures,NR EAST,LS,36,8,7,20,,16,6
Neuroscience,NEUROSC,LS,797,1,,,2,,
Nursing,NURSING,NS,194,,,,2,,1
Philosophy,PHILOS,LS,308,5,1,15,1,1,1
Physical Sciences - General,PS-GEN,LS,128,,,,,,
Physics and Astronomy,PHY&AST,LS,514,,,,16,,
Political Science,POL SCI,LS,1941,4,18,,,6,
Psychology,PSYCH,LS,3778,11,1,,3,,
PUBLIC AFFAIRS SCHOOLWIDE,PUB AFF,PA,46,6,1,,,6,
Scandinavian Section,SCAND,LS,5,4,,5,,1,3
Slavic Languages and Literatures,SEEELC,LS,12,5,3,11,,5,2
Social Sciences - General,SS-GEN,LS,383,,,,,,
Sociology,SOCIOL,LS,1473,14,3,,3,8,1
Spanish and Portuguese,SPAN,LS,142,3,3,5,,2,
Statistics,STATS,LS,496,1,,,2,1,
Study of Religion,RELIGN,LS,24,8,10,11,,10,2
Theater,THEATER,TF,266,1,1,5,,1,
Undeclared,UNDECLARED,LS,157,,,,,,
World Arts and Cultures/Dance,WAC/DAN,AA,221,8,15,6,,5,1
