year,app,admit,enrolled,freshmen_transfer,course
2000,1522,164,47,freshmen,CS
2001,1873,128,30,freshmen,CS
2002,1207,152,37,freshmen,CS
2003,946,142,48,freshmen,CS
2004,611,138,43,freshmen,CS
2005,518,107,31,freshmen,CS
2006,539,123,38,freshmen,CS
2007,603,155,71,freshmen,CS
2008,720,188,57,freshmen,CS
2009,740,186,50,freshmen,CS
2010,734,184,51,freshmen,CS
2011,1000,250,70,freshmen,CS
2012,1568,224,47,freshmen,CS
2013,2149,270,51,freshmen,CS
2014,3335,276,50,freshmen,CS
2015,4219,507,98,freshmen,CS
2016,5251,543,81,freshmen,CS
2017,5946,581,112,freshmen,CS
2018,7115,567,137,freshmen,CS
2000,593,65,30,transfer,CS
2001,745,111,59,transfer,CS
2002,723,98,59,transfer,CS
2003,468,66,35,transfer,CS
2004,321,44,23,transfer,CS
2005,233,34,19,transfer,CS
2006,162,44,17,transfer,CS
2007,164,61,26,transfer,CS
2008,228,48,22,transfer,CS
2009,198,25,11,transfer,CS
2010,249,47,23,transfer,CS
2011,338,27,11,transfer,CS
2012,401,19,10,transfer,CS
2013,501,6,2,transfer,CS
2014,640,36,20,transfer,CS
2015,836,31,13,transfer,CS
2016,1110,59,32,transfer,CS
2017,1295,69,40,transfer,CS
2018,1502,114,72,transfer,CS
2000,1874,282,84,freshmen,CSE
2001,2308,248,48,freshmen,CSE
2002,1705,287,80,freshmen,CSE
2003,1309,263,72,freshmen,CSE
2004,1066,239,70,freshmen,CSE
2005,916,198,55,freshmen,CSE
2006,970,219,71,freshmen,CSE
2007,1018,258,91,freshmen,CSE
2008,1180,211,37,freshmen,CSE
2009,1168,295,82,freshmen,CSE
2010,1011,277,72,freshmen,CSE
2011,1259,313,77,freshmen,CSE
2012,1843,260,57,freshmen,CSE
2013,2208,307,56,freshmen,CSE
2014,2697,337,58,freshmen,CSE
2015,3022,450,102,freshmen,CSE
2016,3320,364,107,freshmen,CSE
2017,3666,427,99,freshmen,CSE
2018,3275,377,104,freshmen,CSE
2000,325,95,45,transfer,CSE
2001,341,102,43,transfer,CSE
2002,342,79,42,transfer,CSE
2003,256,66,31,transfer,CSE
2004,184,58,25,transfer,CSE
2005,142,48,19,transfer,CSE
2006,110,32,13,transfer,CSE
2007,105,37,20,transfer,CSE
2008,131,49,19,transfer,CSE
2009,123,21,8,transfer,CSE
2010,170,51,19,transfer,CSE
2011,202,29,8,transfer,CSE
2012,208,34,13,transfer,CSE
2013,224,10,1,transfer,CSE
2014,308,37,13,transfer,CSE
2015,315,35,17,transfer,CSE
2016,355,51,25,transfer,CSE
2017,374,45,14,transfer,CSE
2018,331,71,29,transfer,CSE
