Subject,CatalogNo,Name,GE,MedianA,MedianGPA,TotClasses,ClassSize
A&O SCI,0001,CLIMATE CHANGE,Scientific Inquiry-Physical Sciences,0.34,2.77,10,150
A&O SCI,0002,AIR POLLUTION,Scientific Inquiry-Physical Sciences,0.32,2.64,11,169
A&O SCI,0003,INTR-ATMOS ENVIRMNT,Scientific Inquiry-Physical Sciences,0.3,2.79,6,65
AF AMER,0006,BLACK INTLCTL THGHT,Society and Culture-Historical Analysis,0.57,3.21,2,42
AFRO-AM,0006,BLACK INTLCTL THGHT,Society and Culture-Historical Analysis,0.47,3.21,3,55
AN N EA,0010W,JERUSALEM-HOLY CITY,Society and Culture-Historical Analysis,0.59,3.33,24,26
AN N EA,0015,WMN&PWR-ANCNT WORLD,Society and Culture-Historical Analysis,0.63,3.33,4,155
AN N EA,0030,SCIENCE-ARCHAEOLOGY,Scientific Inquiry-Life Sciences,0.88,3.48,1,72
ANTHRO,0007,HUMAN EVOLUTION,Scientific Inquiry-Life Sciences,0.34,2.7,10,252
ANTHRO,0008,ARCHAEOLOGY-INTRO,Society and Culture-Historical Analysis,0.36,2.75,11,222
ANTHRO,0009,CULTURE AND SOCIETY,Society and Culture-Social Analysis,0.39,3.04,10,226
ANTHRO,0033,CULTURE&COMMUNICATN,Society and Culture-Social Analysis,0.58,3.25,10,264
APPLING,0010W,LANGUAGE IN ACTION,Arts and Humanities-Philosophical and Linguistic Analysis,0.54,3.37,1,59
APPLING,0030W,LANG&SOCL INTERACTN,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,3.51,12,18
APPLING,0040,LANGUAGE AND GENDER,Arts and Humanities-Philosophical and Linguistic Analysis,0.25,2.86,2,64
APPLING,0040W,LANGUAGE AND GENDER,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,3.32,12,21
APPLING,0101W,LANG LEARNING&TCHNG,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,3.68,11,19
ARCHEOL,0030,SCIENCE-ARCHAEOLOGY,Scientific Inquiry-Life Sciences,0.92,3.74,1,94
ART,0031A,MODERNISM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.54,3.36,4,68
ART,0031B,MODERNISM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.51,3.38,3,73
