day_of_week,hour,wooden_n_people,bfit_n_people,traffic_ratio,category
1.0,0,9.0,19.0,0.47,1.0
1.0,1,0.0,0.0,-1.0,0.0
1.0,2,0.0,0.0,-1.0,0.0
1.0,3,0.0,0.0,-1.0,0.0
1.0,4,0.0,0.0,-1.0,0.0
1.0,5,52.0,0.0,0.0,1.0
1.0,6,63.0,48.0,1.31,1.0
1.0,7,79.0,53.0,1.49,2.0
1.0,8,85.0,53.0,1.6,2.0
1.0,9,99.0,55.0,1.8,2.0
1.0,10,113.0,60.0,1.88,2.0
1.0,11,120.0,58.0,2.07,3.0
1.0,12,118.0,50.0,2.36,3.0
1.0,13,119.0,50.0,2.38,3.0
1.0,14,150.0,66.0,2.27,3.0
1.0,15,174.0,83.0,2.1,3.0
1.0,16,202.0,96.0,2.1,3.0
1.0,17,204.0,94.0,2.17,3.0
1.0,18,189.0,78.0,2.42,3.0
1.0,19,184.0,78.0,2.36,3.0
1.0,20,147.0,79.0,1.86,2.0
1.0,21,119.0,95.0,1.25,1.0
1.0,22,81.0,75.0,1.08,1.0
1.0,23,32.0,39.0,0.82,1.0
5.0,0,12.0,16.0,0.75,1.0
5.0,1,0.0,1.0,0.0,1.0
5.0,2,0.0,0.0,-1.0,0.0
5.0,3,0.0,0.0,-1.0,0.0
5.0,4,0.0,0.0,-1.0,0.0
5.0,5,40.0,24.0,1.67,2.0
5.0,6,46.0,37.0,1.24,1.0
5.0,7,61.0,38.0,1.61,2.0
5.0,8,61.0,40.0,1.52,2.0
5.0,9,73.0,42.0,1.74,2.0
5.0,10,98.0,52.0,1.88,2.0
5.0,11,103.0,48.0,2.15,3.0
5.0,12,118.0,46.0,2.57,3.0
5.0,13,138.0,47.0,2.94,3.0
5.0,14,141.0,60.0,2.35,3.0
5.0,15,166.0,77.0,2.16,3.0
5.0,16,167.0,86.0,1.94,2.0
5.0,17,161.0,94.0,1.71,2.0
5.0,18,128.0,95.0,1.35,1.0
5.0,19,106.0,67.0,1.58,2.0
5.0,20,81.0,42.0,1.93,2.0
5.0,21,44.0,0.0,0.0,1.0
5.0,22,0.0,0.0,-1.0,0.0
5.0,23,0.0,0.0,-1.0,0.0
6.0,0,1.0,0.0,0.0,1.0
6.0,1,0.0,0.0,-1.0,0.0
6.0,2,0.0,0.0,-1.0,0.0
6.0,3,0.0,0.0,-1.0,0.0
6.0,4,0.0,0.0,-1.0,0.0
6.0,5,0.0,0.0,-1.0,0.0
6.0,6,0.0,0.0,-1.0,0.0
6.0,7,0.0,0.0,-1.0,0.0
6.0,8,65.0,0.0,0.0,1.0
6.0,9,77.0,62.0,1.24,1.0
6.0,10,86.0,52.0,1.65,2.0
6.0,11,91.0,50.0,1.82,2.0
6.0,12,85.0,43.0,1.98,2.0
6.0,13,92.0,44.0,2.09,3.0
6.0,14,98.0,49.0,2.0,3.0
6.0,15,108.0,71.0,1.52,2.0
6.0,16,93.0,72.0,1.29,1.0
6.0,17,97.0,54.0,1.8,2.0
6.0,18,95.0,0.0,0.0,1.0
6.0,19,36.0,0.0,0.0,1.0
6.0,20,0.0,0.0,-1.0,0.0
6.0,21,0.0,0.0,-1.0,0.0
6.0,22,0.0,0.0,-1.0,0.0
6.0,23,0.0,0.0,-1.0,0.0
7.0,0,2.0,0.0,0.0,1.0
7.0,1,0.0,0.0,-1.0,0.0
7.0,2,0.0,0.0,-1.0,0.0
7.0,3,0.0,0.0,-1.0,0.0
7.0,4,0.0,0.0,-1.0,0.0
7.0,5,0.0,0.0,-1.0,0.0
7.0,6,0.0,0.0,-1.0,0.0
7.0,7,0.0,0.0,-1.0,0.0
7.0,8,59.0,0.0,0.0,1.0
7.0,9,68.0,56.0,1.21,1.0
7.0,10,70.0,48.0,1.46,2.0
7.0,11,71.0,43.0,1.65,2.0
7.0,12,76.0,40.0,1.9,2.0
7.0,13,78.0,38.0,2.05,3.0
7.0,14,86.0,41.0,2.1,3.0
7.0,15,98.0,59.0,1.66,2.0
7.0,16,78.0,65.0,1.2,1.0
7.0,17,88.0,83.0,1.06,1.0
7.0,18,91.0,63.0,1.44,2.0
7.0,19,74.0,60.0,1.23,1.0
7.0,20,73.0,68.0,1.07,1.0
7.0,21,51.0,63.0,0.81,1.0
7.0,22,16.0,32.0,0.5,1.0
7.0,23,0.0,0.0,-1.0,0.0
