day_of_week,hour,n_people,n_people_rel,category,facility
1.0,0,19.0,0.2443794072008014,2.0,bfit
1.0,1,1.0,0.013199505018561803,1.0,bfit
1.0,2,0.0,0.0,0.0,bfit
1.0,3,0.0,0.0,0.0,bfit
1.0,4,0.0,0.0,0.0,bfit
1.0,5,38.0,0.4995187680461982,3.0,bfit
1.0,6,48.0,0.6310540424797765,4.0,bfit
1.0,7,53.0,0.7043659429650369,4.0,bfit
1.0,8,53.0,0.7049027586931328,4.0,bfit
1.0,9,55.0,0.7311554037582486,4.0,bfit
1.0,10,60.0,0.7929361185540907,4.0,bfit
1.0,11,58.0,0.7659737150100773,4.0,bfit
1.0,12,50.0,0.6623897945290466,4.0,bfit
1.0,13,50.0,0.6643214294098118,4.0,bfit
1.0,14,66.0,0.8755135097068005,4.0,bfit
1.0,15,83.0,1.09782631617572,4.0,bfit
1.0,16,96.0,1.2716063024937176,4.0,bfit
1.0,17,94.0,1.2423209129657637,4.0,bfit
1.0,18,78.0,1.0299790973028384,4.0,bfit
1.0,19,78.0,1.0257354479641796,4.0,bfit
1.0,20,79.0,1.0449279793798776,4.0,bfit
1.0,21,95.0,1.2512179441919575,4.0,bfit
1.0,22,75.0,0.9840171534108011,4.0,bfit
1.0,23,39.0,0.5186629030823109,3.0,bfit
5.0,0,16.0,0.21119208029698885,2.0,bfit
5.0,1,1.0,0.013199505018561803,1.0,bfit
5.0,2,0.0,0.0,0.0,bfit
5.0,3,0.0,0.0,0.0,bfit
5.0,4,1.0,0.013199505018561803,1.0,bfit
5.0,5,24.0,0.31238828543929603,2.0,bfit
5.0,6,37.0,0.49081317345336384,3.0,bfit
5.0,7,38.0,0.5015811907053486,3.0,bfit
5.0,8,40.0,0.5320415869020296,3.0,bfit
5.0,9,42.0,0.5584405969391532,3.0,bfit
5.0,10,52.0,0.687728056351733,4.0,bfit
5.0,11,48.0,0.6318839966578176,4.0,bfit
5.0,12,46.0,0.6102232704735111,4.0,bfit
5.0,13,47.0,0.6173306962527366,4.0,bfit
5.0,14,60.0,0.7896603877354599,4.0,bfit
5.0,15,77.0,1.0217770679753355,4.0,bfit
5.0,16,86.0,1.1341420850564257,4.0,bfit
5.0,17,94.0,1.243939559163083,4.0,bfit
5.0,18,95.0,1.2554759965732054,4.0,bfit
5.0,19,67.0,0.8838591629736962,4.0,bfit
5.0,20,42.0,0.5481676790061549,3.0,bfit
5.0,21,2.0,0.02199917503093634,1.0,bfit
5.0,22,0.0,0.0,0.0,bfit
5.0,23,0.0,0.0,0.0,bfit
6.0,0,0.0,0.0,0.0,bfit
6.0,1,0.0,0.0,0.0,bfit
6.0,2,0.0,0.0,0.0,bfit
6.0,3,0.0,0.0,0.0,bfit
6.0,4,0.0,0.0,0.0,bfit
6.0,5,0.0,0.0,0.0,bfit
6.0,6,1.0,0.013199505018561803,1.0,bfit
6.0,7,8.0,0.11087584215591915,1.0,bfit
6.0,8,40.0,0.5315800657475345,3.0,bfit
6.0,9,62.0,0.8180125677719517,4.0,bfit
6.0,10,52.0,0.6820933404186532,4.0,bfit
6.0,11,50.0,0.6564078171392896,4.0,bfit
6.0,12,43.0,0.5696628481695094,3.0,bfit
6.0,13,44.0,0.5747135833757585,3.0,bfit
6.0,14,49.0,0.643565055499608,4.0,bfit
6.0,15,71.0,0.9393053165911683,4.0,bfit
6.0,16,72.0,0.9450132106532492,4.0,bfit
6.0,17,54.0,0.7134018188603641,4.0,bfit
6.0,18,2.0,0.02199917503093634,1.0,bfit
6.0,19,0.0,0.0,0.0,bfit
6.0,20,0.0,0.0,0.0,bfit
6.0,21,0.0,0.0,0.0,bfit
6.0,22,0.0,0.0,0.0,bfit
6.0,23,0.0,0.0,0.0,bfit
7.0,0,0.0,0.0,0.0,bfit
7.0,1,0.0,0.0,0.0,bfit
7.0,2,0.0,0.0,0.0,bfit
7.0,3,0.0,0.0,0.0,bfit
7.0,4,0.0,0.0,0.0,bfit
7.0,5,0.0,0.0,0.0,bfit
7.0,6,0.0,0.0,0.0,bfit
7.0,7,8.0,0.10823594115220678,1.0,bfit
7.0,8,35.0,0.4597827581465695,3.0,bfit
7.0,9,56.0,0.7341778737351403,4.0,bfit
7.0,10,48.0,0.6335762408909665,4.0,bfit
7.0,11,43.0,0.5616736740793272,3.0,bfit
7.0,12,40.0,0.5319043779101527,3.0,bfit
7.0,13,38.0,0.5012244473264685,3.0,bfit
7.0,14,41.0,0.5377061518087808,3.0,bfit
7.0,15,59.0,0.7848628753344826,4.0,bfit
7.0,16,65.0,0.8579678262065172,4.0,bfit
7.0,17,83.0,1.091316218498949,4.0,bfit
7.0,18,63.0,0.8271689811632063,4.0,bfit
7.0,19,60.0,0.7888024199092534,4.0,bfit
7.0,20,68.0,0.8943984600577478,4.0,bfit
7.0,21,63.0,0.8357926577753334,4.0,bfit
7.0,22,32.0,0.42781925089573847,3.0,bfit
7.0,23,1.0,0.01759934002474907,1.0,bfit
1.0,0,9.0,0.058391508577063815,1.0,wooden
1.0,1,1.0,0.00799314872966029,1.0,wooden
1.0,2,1.0,0.00913502711961176,1.0,wooden
1.0,3,1.0,0.0068512703397088206,1.0,wooden
1.0,4,37.0,0.2513731087639166,2.0,wooden
1.0,5,52.0,0.3574797112678928,2.0,wooden
1.0,6,63.0,0.43155515413018347,3.0,wooden
1.0,7,79.0,0.542671631003213,3.0,wooden
1.0,8,85.0,0.5798069739615284,3.0,wooden
1.0,9,99.0,0.6760044185729002,4.0,wooden
1.0,10,113.0,0.7767488870543395,4.0,wooden
1.0,11,120.0,0.8190675755859226,4.0,wooden
