hour,minute,avg_n_people,avg_n_people_rel,is_open,week,day,facility
0,0.0,55.0,0.12,open,Weeks 1 to 3,Monday to Thursday,wooden
0,10.0,42.0,0.09,open,Weeks 1 to 3,Monday to Thursday,wooden
0,20.0,31.0,0.07,open,Weeks 1 to 3,Monday to Thursday,wooden
0,30.0,22.0,0.05,open,Weeks 1 to 3,Monday to Thursday,wooden
0,40.0,16.0,0.03,open,Weeks 1 to 3,Monday to Thursday,wooden
0,50.0,11.0,0.02,open,Weeks 1 to 3,Monday to Thursday,wooden
1,0.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
1,10.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
1,20.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
1,30.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
1,40.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
1,50.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,0.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,10.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,20.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,30.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,40.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
2,50.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,0.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,10.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,20.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,30.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,40.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
3,50.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,0.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,10.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,20.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,30.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,40.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
4,50.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
5,0.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
5,10.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
5,20.0,0.0,0.0,closed,Weeks 1 to 3,Monday to Thursday,wooden
5,30.0,44.0,0.1,open,Weeks 1 to 3,Monday to Thursday,wooden
