day_of_week,hour,avg_n_people,avg_n_people_rel,category,facility
1.0,0,0.0,0.256,2.0,bfit
1.0,1,0.0,0.0,0.0,bfit
1.0,2,0.0,0.0,0.0,bfit
1.0,3,0.0,0.0,0.0,bfit
1.0,4,0.0,0.0,0.0,bfit
1.0,5,0.0,0.0,0.0,bfit
1.0,6,22.0,0.138,1.0,bfit
1.0,7,49.0,0.306,2.0,bfit
1.0,8,56.0,0.35,2.0,bfit
1.0,9,62.0,0.388,2.0,bfit
1.0,10,67.0,0.419,3.0,bfit
1.0,11,70.0,0.438,3.0,bfit
1.0,12,63.0,0.394,2.0,bfit
1.0,13,56.0,0.35,2.0,bfit
1.0,14,65.0,0.406,3.0,bfit
1.0,15,80.0,0.5,3.0,bfit
1.0,16,112.0,0.7,4.0,bfit
1.0,17,128.0,0.8,4.0,bfit
1.0,18,122.0,0.762,4.0,bfit
1.0,19,101.0,0.631,4.0,bfit
1.0,20,104.0,0.65,4.0,bfit
1.0,21,123.0,0.769,4.0,bfit
1.0,22,122.0,0.762,4.0,bfit
1.0,23,96.0,0.6,3.0,bfit
5.0,0,45.0,0.281,2.0,bfit
5.0,1,0.0,0.0,0.0,bfit
5.0,2,0.0,0.0,0.0,bfit
5.0,3,0.0,0.0,0.0,bfit
5.0,4,0.0,0.0,0.0,bfit
5.0,5,0.0,0.0,0.0,bfit
5.0,6,15.0,0.094,1.0,bfit
5.0,7,31.0,0.194,1.0,bfit
5.0,8,39.0,0.244,2.0,bfit
5.0,9,45.0,0.281,2.0,bfit
5.0,10,56.0,0.35,2.0,bfit
5.0,11,66.0,0.412,3.0,bfit
5.0,12,63.0,0.394,2.0,bfit
5.0,13,57.0,0.356,2.0,bfit
5.0,14,61.0,0.381,2.0,bfit
5.0,15,83.0,0.519,3.0,bfit
5.0,16,111.0,0.694,4.0,bfit
5.0,17,131.0,0.819,4.0,bfit
5.0,18,119.0,0.744,4.0,bfit
5.0,19,93.0,0.581,3.0,bfit
5.0,20,95.0,0.594,3.0,bfit
5.0,21,55.0,0.344,2.0,bfit
5.0,22,0.0,0.0,0.0,bfit
5.0,23,0.0,0.0,0.0,bfit
6.0,0,0.0,0.0,0.0,bfit
6.0,1,0.0,0.0,0.0,bfit
6.0,2,0.0,0.0,0.0,bfit
6.0,3,0.0,0.0,0.0,bfit
6.0,4,0.0,0.0,0.0,bfit
6.0,5,0.0,0.0,0.0,bfit
6.0,6,0.0,0.0,0.0,bfit
6.0,7,0.0,0.0,0.0,bfit
6.0,8,33.0,0.206,2.0,bfit
6.0,9,62.0,0.388,2.0,bfit
6.0,10,74.0,0.462,3.0,bfit
6.0,11,72.0,0.45,3.0,bfit
6.0,12,67.0,0.419,3.0,bfit
6.0,13,57.0,0.356,2.0,bfit
6.0,14,53.0,0.331,2.0,bfit
6.0,15,65.0,0.406,3.0,bfit
6.0,16,83.0,0.519,3.0,bfit
6.0,17,103.0,0.644,4.0,bfit
6.0,18,124.0,0.775,4.0,bfit
6.0,19,113.0,0.706,4.0,bfit
6.0,20,0.0,0.0,0.0,bfit
6.0,21,0.0,0.0,0.0,bfit
6.0,22,0.0,0.0,0.0,bfit
6.0,23,0.0,0.0,0.0,bfit
7.0,0,0.0,0.0,0.0,bfit
7.0,1,0.0,0.0,0.0,bfit
7.0,2,0.0,0.0,0.0,bfit
7.0,3,0.0,0.0,0.0,bfit
7.0,4,0.0,0.0,0.0,bfit
7.0,5,0.0,0.0,0.0,bfit
7.0,6,0.0,0.0,0.0,bfit
7.0,7,0.0,0.0,0.0,bfit
7.0,8,22.0,0.138,1.0,bfit
7.0,9,47.0,0.294,2.0,bfit
7.0,10,62.0,0.388,2.0,bfit
7.0,11,63.0,0.394,2.0,bfit
7.0,12,58.0,0.362,2.0,bfit
7.0,13,50.0,0.312,2.0,bfit
7.0,14,49.0,0.306,2.0,bfit
7.0,15,59.0,0.369,2.0,bfit
7.0,16,76.0,0.475,3.0,bfit
7.0,17,91.0,0.569,3.0,bfit
7.0,18,90.0,0.562,3.0,bfit
7.0,19,76.0,0.475,3.0,bfit
7.0,20,74.0,0.462,3.0,bfit
7.0,21,84.0,0.525,3.0,bfit
7.0,22,84.0,0.525,3.0,bfit
7.0,23,60.0,0.375,2.0,bfit
1.0,0,22.0,0.053,1.0,wooden
1.0,1,0.0,0.0,0.0,wooden
1.0,2,0.0,0.0,0.0,wooden
1.0,3,0.0,0.0,0.0,wooden
1.0,4,0.0,0.0,0.0,wooden
1.0,5,10.0,0.024,1.0,wooden
1.0,6,45.0,0.108,1.0,wooden
1.0,7,84.0,0.202,2.0,wooden
1.0,8,105.0,0.253,2.0,wooden
1.0,9,125.0,0.301,2.0,wooden
1.0,10,152.0,0.366,2.0,wooden
1.0,11,175.0,0.422,3.0,wooden
1.0,12,195.0,0.47,3.0,wooden
1.0,13,172.0,0.414,3.0,wooden
1.0,14,206.0,0.496,3.0,wooden
1.0,15,240.0,0.578,3.0,wooden
1.0,16,306.0,0.737,4.0,wooden
1.0,17,344.0,0.829,4.0,wooden
1.0,18,323.0,0.778,4.0,wooden
1.0,19,301.0,0.725,4.0,wooden
1.0,20,280.0,0.675,4.0,wooden
1.0,21,234.0,0.564,3.0,wooden
1.0,22,180.0,0.434,3.0,wooden
1.0,23,112.0,0.27,2.0,wooden
5.0,0,30.0,0.072,1.0,wooden
5.0,1,0.0,0.0,0.0,wooden
5.0,2,0.0,0.0,0.0,wooden
5.0,3,0.0,0.0,0.0,wooden
5.0,4,0.0,0.0,0.0,wooden
5.0,5,8.0,0.019,1.0,wooden
5.0,6,34.0,0.082,1.0,wooden
5.0,7,59.0,0.142,1.0,wooden
5.0,8,92.0,0.222,2.0,wooden
5.0,9,111.0,0.267,2.0,wooden
5.0,10,145.0,0.349,2.0,wooden
5.0,11,176.0,0.424,3.0,wooden
5.0,12,211.0,0.508,3.0,wooden
5.0,13,239.0,0.576,3.0,wooden
5.0,14,243.0,0.586,3.0,wooden
5.0,15,267.0,0.643,4.0,wooden
5.0,16,293.0,0.706,4.0,wooden
5.0,17,274.0,0.66,4.0,wooden
5.0,18,220.0,0.53,3.0,wooden
5.0,19,180.0,0.434,3.0,wooden
5.0,20,150.0,0.361,2.0,wooden
5.0,21,75.0,0.181,1.0,wooden
5.0,22,0.0,0.0,0.0,wooden
5.0,23,0.0,0.0,0.0,wooden
6.0,0,0.0,0.0,0.0,wooden
6.0,1,0.0,0.0,0.0,wooden
6.0,2,0.0,0.0,0.0,wooden
6.0,3,0.0,0.0,0.0,wooden
6.0,4,0.0,0.0,0.0,wooden
6.0,5,0.0,0.0,0.0,wooden
6.0,6,0.0,0.0,0.0,wooden
6.0,7,0.0,0.0,0.0,wooden
6.0,8,0.0,0.0,0.0,wooden
6.0,9,92.0,0.222,2.0,wooden
6.0,10,125.0,0.301,2.0,wooden
6.0,11,118.0,0.284,2.0,wooden
6.0,12,115.0,0.277,2.0,wooden
6.0,13,113.0,0.272,2.0,wooden
6.0,14,124.0,0.299,2.0,wooden
6.0,15,132.0,0.318,2.0,wooden
6.0,16,145.0,0.349,2.0,wooden
6.0,17,166.0,0.4,2.0,wooden
6.0,18,153.0,0.369,2.0,wooden
6.0,19,68.0,0.164,1.0,wooden
6.0,20,0.0,0.0,0.0,wooden
6.0,21,0.0,0.0,0.0,wooden
