day_of_week,hour,n_people,n_people_rel,category,facility
1.0,0,0.0,0.24,2.0,bfit
1.0,1,0.0,0.0,0.0,bfit
1.0,2,0.0,0.0,0.0,bfit
1.0,3,0.0,0.0,0.0,bfit
1.0,4,0.0,0.0,0.0,bfit
1.0,5,0.0,0.0,0.0,bfit
1.0,6,22.0,0.147,1.0,bfit
1.0,7,47.0,0.313,2.0,bfit
1.0,8,53.0,0.353,2.0,bfit
1.0,9,58.0,0.387,2.0,bfit
1.0,10,63.0,0.42,3.0,bfit
1.0,11,64.0,0.427,3.0,bfit
1.0,12,61.0,0.407,3.0,bfit
1.0,13,52.0,0.347,2.0,bfit
1.0,14,61.0,0.407,3.0,bfit
1.0,15,75.0,0.5,3.0,bfit
1.0,16,103.0,0.687,4.0,bfit
1.0,17,118.0,0.787,4.0,bfit
1.0,18,113.0,0.753,4.0,bfit
1.0,19,93.0,0.62,4.0,bfit
1.0,20,96.0,0.64,4.0,bfit
1.0,21,115.0,0.767,4.0,bfit
1.0,22,113.0,0.753,4.0,bfit
1.0,23,88.0,0.587,3.0,bfit
5.0,0,40.0,0.267,2.0,bfit
5.0,1,0.0,0.0,0.0,bfit
5.0,2,0.0,0.0,0.0,bfit
5.0,3,0.0,0.0,0.0,bfit
5.0,4,0.0,0.0,0.0,bfit
5.0,5,0.0,0.0,0.0,bfit
5.0,6,17.0,0.113,1.0,bfit
5.0,7,29.0,0.193,1.0,bfit
5.0,8,36.0,0.24,2.0,bfit
5.0,9,41.0,0.273,2.0,bfit
5.0,10,51.0,0.34,2.0,bfit
5.0,11,61.0,0.407,3.0,bfit
5.0,12,57.0,0.38,2.0,bfit
5.0,13,51.0,0.34,2.0,bfit
5.0,14,56.0,0.373,2.0,bfit
5.0,15,77.0,0.513,3.0,bfit
5.0,16,104.0,0.693,4.0,bfit
5.0,17,121.0,0.807,4.0,bfit
5.0,18,110.0,0.733,4.0,bfit
5.0,19,85.0,0.567,3.0,bfit
5.0,20,89.0,0.593,3.0,bfit
5.0,21,48.0,0.32,2.0,bfit
5.0,22,0.0,0.0,0.0,bfit
5.0,23,0.0,0.0,0.0,bfit
6.0,0,0.0,0.0,0.0,bfit
6.0,1,0.0,0.0,0.0,bfit
6.0,2,0.0,0.0,0.0,bfit
6.0,3,0.0,0.0,0.0,bfit
6.0,4,0.0,0.0,0.0,bfit
6.0,5,0.0,0.0,0.0,bfit
6.0,6,0.0,0.0,0.0,bfit
6.0,7,0.0,0.0,0.0,bfit
6.0,8,32.0,0.213,2.0,bfit
6.0,9,59.0,0.393,2.0,bfit
6.0,10,69.0,0.46,3.0,bfit
6.0,11,69.0,0.46,3.0,bfit
6.0,12,61.0,0.407,3.0,bfit
