day_of_week,hour,avg_n_people,avg_n_people_rel,category,is_open,facility
1.0,0,12.0,0.0678,1.0,open,bfit
1.0,1,3.0,0.0169,1.0,open,bfit
1.0,2,0.0,0.0,0.0,closed,bfit
1.0,3,0.0,0.0,0.0,closed,bfit
1.0,4,0.0,0.0,0.0,closed,bfit
1.0,5,0.0,0.0,0.0,closed,bfit
1.0,6,23.0,0.1299,1.0,open,bfit
1.0,7,52.0,0.2938,2.0,open,bfit
1.0,8,58.0,0.3277,3.0,open,bfit
1.0,9,63.0,0.3559,3.0,open,bfit
1.0,10,65.0,0.3672,3.0,open,bfit
1.0,11,70.0,0.3955,3.0,open,bfit
1.0,12,67.0,0.3785,3.0,open,bfit
1.0,13,60.0,0.339,3.0,open,bfit
1.0,14,66.0,0.3729,3.0,open,bfit
1.0,15,82.0,0.4633,4.0,open,bfit
1.0,16,106.0,0.5989,4.0,open,bfit
1.0,17,122.0,0.6893,5.0,open,bfit
1.0,18,118.0,0.6667,5.0,open,bfit
1.0,19,99.0,0.5593,4.0,open,bfit
1.0,20,110.0,0.6215,5.0,open,bfit
1.0,21,131.0,0.7401,5.0,open,bfit
1.0,22,137.0,0.774,5.0,open,bfit
1.0,23,99.0,0.5593,4.0,open,bfit
2.0,0,52.0,0.2938,2.0,open,bfit
2.0,1,23.0,0.1299,1.0,open,bfit
2.0,2,0.0,0.0,0.0,closed,bfit
2.0,3,0.0,0.0,0.0,closed,bfit
2.0,4,0.0,0.0,0.0,closed,bfit
2.0,5,0.0,0.0,0.0,closed,bfit
2.0,6,21.0,0.1186,1.0,open,bfit
2.0,7,43.0,0.2429,2.0,open,bfit
2.0,8,50.0,0.2825,2.0,open,bfit
2.0,9,57.0,0.322,3.0,open,bfit
2.0,10,58.0,0.3277,3.0,open,bfit
2.0,11,65.0,0.3672,3.0,open,bfit
2.0,12,60.0,0.339,3.0,open,bfit
2.0,13,54.0,0.3051,3.0,open,bfit
2.0,14,62.0,0.3503,3.0,open,bfit
2.0,15,72.0,0.4068,3.0,open,bfit
2.0,16,107.0,0.6045,5.0,open,bfit
2.0,17,126.0,0.7119,5.0,open,bfit
2.0,18,119.0,0.6723,5.0,open,bfit
2.0,19,97.0,0.548,4.0,open,bfit
2.0,20,100.0,0.565,4.0,open,bfit
2.0,21,131.0,0.7401,5.0,open,bfit
2.0,22,128.0,0.7232,5.0,open,bfit
2.0,23,98.0,0.5537,4.0,open,bfit
3.0,0,54.0,0.3051,3.0,open,bfit
3.0,1,21.0,0.1186,1.0,open,bfit
3.0,2,0.0,0.0,0.0,closed,bfit
3.0,3,0.0,0.0,0.0,closed,bfit
3.0,4,0.0,0.0,0.0,closed,bfit
3.0,5,0.0,0.0,0.0,closed,bfit
3.0,6,23.0,0.1299,1.0,open,bfit
3.0,7,47.0,0.2655,2.0,open,bfit
3.0,8,52.0,0.2938,2.0,open,bfit
3.0,9,56.0,0.3164,3.0,open,bfit
3.0,10,59.0,0.3333,3.0,open,bfit
3.0,11,59.0,0.3333,3.0,open,bfit
3.0,12,57.0,0.322,3.0,open,bfit
3.0,13,46.0,0.2599,2.0,open,bfit
3.0,14,54.0,0.3051,3.0,open,bfit
3.0,15,68.0,0.3842,3.0,open,bfit
3.0,16,96.0,0.5424,4.0,open,bfit
3.0,17,114.0,0.6441,5.0,open,bfit
3.0,18,114.0,0.6441,5.0,open,bfit
3.0,19,94.0,0.5311,4.0,open,bfit
3.0,20,98.0,0.5537,4.0,open,bfit
3.0,21,114.0,0.6441,5.0,open,bfit
3.0,22,119.0,0.6723,5.0,open,bfit
3.0,23,98.0,0.5537,4.0,open,bfit
4.0,0,57.0,0.322,3.0,open,bfit
4.0,1,25.0,0.1412,1.0,open,bfit
4.0,2,0.0,0.0,0.0,closed,bfit
4.0,3,0.0,0.0,0.0,closed,bfit
4.0,4,0.0,0.0,0.0,closed,bfit
4.0,5,0.0,0.0,0.0,closed,bfit
4.0,6,17.0,0.096,1.0,open,bfit
4.0,7,37.0,0.209,2.0,open,bfit
4.0,8,44.0,0.2486,2.0,open,bfit
4.0,9,50.0,0.2825,2.0,open,bfit
4.0,10,58.0,0.3277,3.0,open,bfit
4.0,11,61.0,0.3446,3.0,open,bfit
4.0,12,55.0,0.3107,3.0,open,bfit
4.0,13,46.0,0.2599,2.0,open,bfit
4.0,14,58.0,0.3277,3.0,open,bfit
4.0,15,73.0,0.4124,3.0,open,bfit
4.0,16,101.0,0.5706,4.0,open,bfit
4.0,17,111.0,0.6271,5.0,open,bfit
4.0,18,105.0,0.5932,4.0,open,bfit
4.0,19,88.0,0.4972,4.0,open,bfit
4.0,20,85.0,0.4802,4.0,open,bfit
4.0,21,97.0,0.548,4.0,open,bfit
4.0,22,92.0,0.5198,4.0,open,bfit
4.0,23,72.0,0.4068,3.0,open,bfit
5.0,0,44.0,0.2486,2.0,open,bfit
5.0,1,21.0,0.1186,1.0,open,bfit
5.0,2,0.0,0.0,0.0,closed,bfit
5.0,3,0.0,0.0,0.0,closed,bfit
5.0,4,0.0,0.0,0.0,closed,bfit
5.0,5,0.0,0.0,0.0,closed,bfit
5.0,6,14.0,0.0791,1.0,open,bfit
5.0,7,28.0,0.1582,2.0,open,bfit
5.0,8,34.0,0.1921,2.0,open,bfit
5.0,9,41.0,0.2316,2.0,open,bfit
5.0,10,54.0,0.3051,3.0,open,bfit
5.0,11,62.0,0.3503,3.0,open,bfit
5.0,12,58.0,0.3277,3.0,open,bfit
5.0,13,52.0,0.2938,2.0,open,bfit
5.0,14,58.0,0.3277,3.0,open,bfit
5.0,15,80.0,0.452,4.0,open,bfit
5.0,16,111.0,0.6271,5.0,open,bfit
5.0,17,127.0,0.7175,5.0,open,bfit
5.0,18,114.0,0.6441,5.0,open,bfit
5.0,19,88.0,0.4972,4.0,open,bfit
5.0,20,88.0,0.4972,4.0,open,bfit
5.0,21,65.0,0.3672,3.0,open,bfit
5.0,22,0.0,0.0,0.0,closed,bfit
5.0,23,0.0,0.0,0.0,closed,bfit
6.0,0,0.0,0.0,0.0,closed,bfit
6.0,1,0.0,0.0,0.0,closed,bfit
6.0,2,0.0,0.0,0.0,closed,bfit
6.0,3,0.0,0.0,0.0,closed,bfit
6.0,4,0.0,0.0,0.0,closed,bfit
6.0,5,0.0,0.0,0.0,closed,bfit
6.0,6,0.0,0.0,0.0,closed,bfit
6.0,7,0.0,0.0,0.0,closed,bfit
6.0,8,34.0,0.1921,2.0,open,bfit
6.0,9,60.0,0.339,3.0,open,bfit
6.0,10,70.0,0.3955,3.0,open,bfit
6.0,11,68.0,0.3842,3.0,open,bfit
6.0,12,62.0,0.3503,3.0,open,bfit
6.0,13,53.0,0.2994,2.0,open,bfit
6.0,14,53.0,0.2994,2.0,open,bfit
6.0,15,60.0,0.339,3.0,open,bfit
6.0,16,82.0,0.4633,4.0,open,bfit
6.0,17,103.0,0.5819,4.0,open,bfit
6.0,18,120.0,0.678,5.0,open,bfit
6.0,19,108.0,0.6102,5.0,open,bfit
6.0,20,56.0,0.3164,3.0,open,bfit
6.0,21,0.0,0.0,0.0,closed,bfit
6.0,22,0.0,0.0,0.0,closed,bfit
6.0,23,0.0,0.0,0.0,closed,bfit
7.0,0,0.0,0.0,0.0,closed,bfit
7.0,1,0.0,0.0,0.0,closed,bfit
7.0,2,0.0,0.0,0.0,closed,bfit
7.0,3,0.0,0.0,0.0,closed,bfit
7.0,4,0.0,0.0,0.0,closed,bfit
7.0,5,0.0,0.0,0.0,closed,bfit
7.0,6,0.0,0.0,0.0,closed,bfit
7.0,7,0.0,0.0,0.0,closed,bfit
7.0,8,26.0,0.1469,1.0,open,bfit
7.0,9,47.0,0.2655,2.0,open,bfit
7.0,10,59.0,0.3333,3.0,open,bfit
7.0,11,60.0,0.339,3.0,open,bfit
7.0,12,53.0,0.2994,2.0,open,bfit
7.0,13,46.0,0.2599,2.0,open,bfit
7.0,14,46.0,0.2599,2.0,open,bfit
7.0,15,57.0,0.322,3.0,open,bfit
7.0,16,72.0,0.4068,3.0,open,bfit
7.0,17,92.0,0.5198,4.0,open,bfit
7.0,18,89.0,0.5028,4.0,open,bfit
7.0,19,72.0,0.4068,3.0,open,bfit
7.0,20,71.0,0.4011,3.0,open,bfit
7.0,21,80.0,0.452,4.0,open,bfit
7.0,22,91.0,0.5141,4.0,open,bfit
7.0,23,66.0,0.3729,3.0,open,bfit
1.0,0,1.0,0.0022,1.0,open,wooden
1.0,1,0.0,0.0,0.0,closed,wooden
1.0,2,0.0,0.0,0.0,closed,wooden
1.0,3,0.0,0.0,0.0,closed,wooden
1.0,4,0.0,0.0,0.0,closed,wooden
1.0,5,59.0,0.1283,1.0,open,wooden
1.0,6,104.0,0.2261,2.0,open,wooden
1.0,7,136.0,0.2957,2.0,open,wooden
1.0,8,144.0,0.313,3.0,open,wooden
1.0,9,140.0,0.3043,3.0,open,wooden
1.0,10,163.0,0.3543,3.0,open,wooden
1.0,11,202.0,0.4391,3.0,open,wooden
1.0,12,275.0,0.5978,4.0,open,wooden
1.0,13,216.0,0.4696,4.0,open,wooden
1.0,14,224.0,0.487,4.0,open,wooden
1.0,15,244.0,0.5304,4.0,open,wooden
1.0,16,326.0,0.7087,5.0,open,wooden
1.0,17,420.0,0.913,5.0,open,wooden
1.0,18,356.0,0.7739,5.0,open,wooden
1.0,19,326.0,0.7087,5.0,open,wooden
1.0,20,312.0,0.6783,5.0,open,wooden
1.0,21,246.0,0.5348,4.0,open,wooden
1.0,22,186.0,0.4043,3.0,open,wooden
