hour,minute,avg_n_people,week,day,facility,avg_n_people_rel
0,0,48.0,Weeks 1 to 3,Monday to Thursday,wooden,0.108
0,10,36.0,Weeks 1 to 3,Monday to Thursday,wooden,0.081
0,20,25.0,Weeks 1 to 3,Monday to Thursday,wooden,0.056
0,30,17.0,Weeks 1 to 3,Monday to Thursday,wooden,0.038
0,40,11.0,Weeks 1 to 3,Monday to Thursday,wooden,0.025
0,50,7.0,Weeks 1 to 3,Monday to Thursday,wooden,0.016
1,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,30,45.0,Weeks 1 to 3,Monday to Thursday,wooden,0.101
