hour,minute,n_people,week,day,facility,n_people_rel
0,0,48.0,Weeks 1 to 3,Monday to Thursday,wooden,0.108
0,10,37.0,Weeks 1 to 3,Monday to Thursday,wooden,0.083
0,20,25.0,Weeks 1 to 3,Monday to Thursday,wooden,0.056
0,30,17.0,Weeks 1 to 3,Monday to Thursday,wooden,0.038
0,40,11.0,Weeks 1 to 3,Monday to Thursday,wooden,0.025
0,50,7.0,Weeks 1 to 3,Monday to Thursday,wooden,0.016
1,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
1,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
2,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
3,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,30,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,40,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
4,50,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,0,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,10,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,20,0.0,Weeks 1 to 3,Monday to Thursday,wooden,0.0
5,30,45.0,Weeks 1 to 3,Monday to Thursday,wooden,0.101
5,40,60.0,Weeks 1 to 3,Monday to Thursday,wooden,0.135
5,50,72.0,Weeks 1 to 3,Monday to Thursday,wooden,0.162
6,0,87.0,Weeks 1 to 3,Monday to Thursday,wooden,0.196
6,10,96.0,Weeks 1 to 3,Monday to Thursday,wooden,0.216
6,20,100.0,Weeks 1 to 3,Monday to Thursday,wooden,0.225
6,30,102.0,Weeks 1 to 3,Monday to Thursday,wooden,0.229
6,40,105.0,Weeks 1 to 3,Monday to Thursday,wooden,0.236
6,50,117.0,Weeks 1 to 3,Monday to Thursday,wooden,0.263
7,0,131.0,Weeks 1 to 3,Monday to Thursday,wooden,0.294
7,10,143.0,Weeks 1 to 3,Monday to Thursday,wooden,0.321
7,20,151.0,Weeks 1 to 3,Monday to Thursday,wooden,0.339
7,30,157.0,Weeks 1 to 3,Monday to Thursday,wooden,0.353
7,40,159.0,Weeks 1 to 3,Monday to Thursday,wooden,0.357
7,50,161.0,Weeks 1 to 3,Monday to Thursday,wooden,0.362
8,0,156.0,Weeks 1 to 3,Monday to Thursday,wooden,0.351
8,10,155.0,Weeks 1 to 3,Monday to Thursday,wooden,0.348
8,20,154.0,Weeks 1 to 3,Monday to Thursday,wooden,0.346
8,30,151.0,Weeks 1 to 3,Monday to Thursday,wooden,0.339
8,40,146.0,Weeks 1 to 3,Monday to Thursday,wooden,0.328
8,50,151.0,Weeks 1 to 3,Monday to Thursday,wooden,0.339
9,0,153.0,Weeks 1 to 3,Monday to Thursday,wooden,0.344
9,10,154.0,Weeks 1 to 3,Monday to Thursday,wooden,0.346
9,20,165.0,Weeks 1 to 3,Monday to Thursday,wooden,0.371
9,30,163.0,Weeks 1 to 3,Monday to Thursday,wooden,0.366
9,40,162.0,Weeks 1 to 3,Monday to Thursday,wooden,0.364
9,50,182.0,Weeks 1 to 3,Monday to Thursday,wooden,0.409
10,0,193.0,Weeks 1 to 3,Monday to Thursday,wooden,0.434
10,10,194.0,Weeks 1 to 3,Monday to Thursday,wooden,0.436
10,20,190.0,Weeks 1 to 3,Monday to Thursday,wooden,0.427
10,30,184.0,Weeks 1 to 3,Monday to Thursday,wooden,0.413
10,40,183.0,Weeks 1 to 3,Monday to Thursday,wooden,0.411
10,50,218.0,Weeks 1 to 3,Monday to Thursday,wooden,0.49
11,0,232.0,Weeks 1 to 3,Monday to Thursday,wooden,0.521
11,10,225.0,Weeks 1 to 3,Monday to Thursday,wooden,0.506
11,20,216.0,Weeks 1 to 3,Monday to Thursday,wooden,0.485
11,30,208.0,Weeks 1 to 3,Monday to Thursday,wooden,0.467
11,40,213.0,Weeks 1 to 3,Monday to Thursday,wooden,0.479
11,50,244.0,Weeks 1 to 3,Monday to Thursday,wooden,0.548
12,0,285.0,Weeks 1 to 3,Monday to Thursday,wooden,0.64
12,10,285.0,Weeks 1 to 3,Monday to Thursday,wooden,0.64
12,20,292.0,Weeks 1 to 3,Monday to Thursday,wooden,0.656
12,30,275.0,Weeks 1 to 3,Monday to Thursday,wooden,0.618
12,40,256.0,Weeks 1 to 3,Monday to Thursday,wooden,0.575
12,50,244.0,Weeks 1 to 3,Monday to Thursday,wooden,0.548
13,0,239.0,Weeks 1 to 3,Monday to Thursday,wooden,0.537
13,10,225.0,Weeks 1 to 3,Monday to Thursday,wooden,0.506
13,20,212.0,Weeks 1 to 3,Monday to Thursday,wooden,0.476
13,30,203.0,Weeks 1 to 3,Monday to Thursday,wooden,0.456
13,40,200.0,Weeks 1 to 3,Monday to Thursday,wooden,0.449
13,50,238.0,Weeks 1 to 3,Monday to Thursday,wooden,0.535
14,0,257.0,Weeks 1 to 3,Monday to Thursday,wooden,0.578
14,10,254.0,Weeks 1 to 3,Monday to Thursday,wooden,0.571
14,20,247.0,Weeks 1 to 3,Monday to Thursday,wooden,0.555
14,30,236.0,Weeks 1 to 3,Monday to Thursday,wooden,0.53
14,40,224.0,Weeks 1 to 3,Monday to Thursday,wooden,0.503
14,50,229.0,Weeks 1 to 3,Monday to Thursday,wooden,0.515
15,0,239.0,Weeks 1 to 3,Monday to Thursday,wooden,0.537
15,10,248.0,Weeks 1 to 3,Monday to Thursday,wooden,0.557
15,20,276.0,Weeks 1 to 3,Monday to Thursday,wooden,0.62
15,30,281.0,Weeks 1 to 3,Monday to Thursday,wooden,0.631
15,40,290.0,Weeks 1 to 3,Monday to Thursday,wooden,0.652
15,50,339.0,Weeks 1 to 3,Monday to Thursday,wooden,0.762
16,0,371.0,Weeks 1 to 3,Monday to Thursday,wooden,0.834
16,10,365.0,Weeks 1 to 3,Monday to Thursday,wooden,0.82
16,20,358.0,Weeks 1 to 3,Monday to Thursday,wooden,0.804
16,30,345.0,Weeks 1 to 3,Monday to Thursday,wooden,0.775
