movies and shows filmed @ ucla,,,,,,,,,
Movies_name,Movies_url,Movies_releaseDate,Movies_genre,Movies_runTime,Movies_movieRating,Movies_movieStars,Movies_votes,Movies_rating,
Buffy the Vampire Slayer,https://www.imdb.com/title/tt0118276/?ref_=adv_li_tt,1997,"Action, Drama, Fantasy",44 min,TV-14,"Stars: Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head","131,400",8.2,-1997
Gilmore Girls,https://www.imdb.com/title/tt0238784/?ref_=adv_li_tt,2000,"Comedy, Drama",44 min,TV-PG,"Stars: Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson","101,721",8.1,-2000
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt,1972,"Crime, Drama",175 min,R,"Stars: Marlon Brando, Al Pacino, James Caan, Diane Keaton","1,631,268",9.2,-1972
CSI: Crime Scene Investigation,https://www.imdb.com/title/tt0247082/?ref_=adv_li_tt,2000,"Crime, Drama, Mystery",60 min,TV-14,"Stars: Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda","77,208",7.6,-2000
7th Heaven,https://www.imdb.com/title/tt0115083/?ref_=adv_li_tt,1996,"Comedy, Drama, Family",60 min,TV-G,"Stars: Stephen Collins, Catherine Hicks, Jessica Biel, Beverley Mitchell","24,157",5.2,-1996
Angels & Demons,https://www.imdb.com/title/tt0808151/?ref_=adv_li_tt,2009,"Action, Mystery, Thriller",138 min,PG-13,"Stars: Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård","275,000",6.7,-2009
The Graduate,https://www.imdb.com/title/tt0061722/?ref_=adv_li_tt,1967,"Comedy, Drama, Romance",106 min,PG,"Stars: Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels","254,690",8,-1967
Legally Blonde,https://www.imdb.com/title/tt0250494/?ref_=adv_li_tt,2001,"Comedy, Romance",96 min,PG-13,"Stars: Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis","187,036",6.3,-2001
Old School,https://www.imdb.com/title/tt0302886/?ref_=adv_li_tt,2003,Comedy,88 min,R,"Stars: Luke Wilson, Vince Vaughn, Will Ferrell, Jeremy Piven","216,168",7.1,-2003
Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=adv_li_tt,2000,"Biography, Drama",131 min,R,"Stars: Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick","175,927",7.3,-2000
No Strings Attached,https://www.imdb.com/title/tt1411238/?ref_=adv_li_tt,2011,"Comedy, Romance",108 min,R,"Stars: Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes","214,676",6.2,-2011
