major name ,avg_gpa
AEROSPACE ENGINEERING,3.275111
AFRICAN AMERICAN STUDIES,3.208989
AFRICAN AND MIDDLE EASTERN STUDIES,3.548963
AMERICAN INDIAN STUDIES,3.23488
AMERICAN LITERATURE & CULTURE,3.338276
ANCIENT NEAR EAST AND EGYPTOLOGY,3.596766
ANTHROPOLOGY,3.211891
APPLIED LINGUISTICS,3.23243
APPLIED MATHEMATICS,3.297506
ARABIC,3.55783
ARCHITECTURAL STUDIES,3.56344
ART,3.57643
ART HISTORY,3.422679
ASIAN AMERICAN STUDIES,3.216106
ASIAN HUMANITIES,3.253866
ASIAN STUDIES,3.080565
ASTROPHYSICS,3.183257
ATMOSPHERIC AND OCEANIC SCIENCES,3.145463
BIOCHEMISTRY,3.33238
BIOENGINEERING,3.429058
BIOLOGY,3.258254
BIOPHYSICS,3.181971
BUSINESS ECONOMICS,3.638428
CHEMICAL ENGINEERING,3.31672
CHEMISTRY,3.14105
CHEMISTRY - MATERIAL SCIENCE,3.205274
CHICANA & CHICANO STUDIES,3.230968
CHINESE,3.377477
CIVIL ENGINEERING,3.29263
CLASSICAL CIVILIZATION,3.354669
COGNITIVE SCIENCE,3.396081
COMMUNICATION STUDIES,3.613212
COMPARATIVE LITERATURE,3.476342
COMPUTATIONAL & SYSTEMS BIOLOGY,3.422118
COMPUTER SCIENCE,3.314917
COMPUTER SCIENCE & ENGINEERING,3.263148
DANCE,3.569648
DESIGN MEDIA ARTS,3.514052
EARTH AND ENVIRONMENTAL SCIENCE,2.92777
"ECOLOGY, BEHAVIOR & EVOLUTION",3.454207
ECONOMICS,3.304422
ELECTRICAL ENGINEERING,3.257127
ENGINEERING GEOLOGY,3.103513
ENGLISH,3.417019
ENVIRONMENTAL SCIENCE,3.32353
ETHNOMUSICOLOGY,3.521821
EUROPEAN STUDIES,3.317965
FILM & TELEVISION,3.693754
FINANCIAL ACTUARIAL MATHEMATICS,3.403222
FRENCH,3.488856
FRENCH & LINGUISTICS,3.266941
GENDER STUDIES,3.303294
GEOGRAPHY,3.140905
GEOGRAPHY/ENVIRONMENTAL STUDIES,3.260011
GEOLOGY,3.129579
GEOPHYSICS,3.253755
GERMAN,3.522918
GLOBAL STUDIES,3.577001
HISTORY,3.394519
HUMAN BIOLOGY AND SOCIETY,3.578885
INTERNATIONAL DEVELOPMENT STUDIES,3.356746
IRANIAN STUDIES,3.551207
ITALIAN,3.428812
ITALIAN & SPECIAL FIELD,3.574653
JAPANESE,3.357339
JEWISH STUDIES,3.67058
KOREAN,3.287257
LATIN-AMERICAN STUDIES,3.192913
LINGUISTICS,3.313826
LINGUISTICS & ANTHROPOLOGY,3.25646
LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.390207
LINGUISTICS & COMPUTER SCIENCE,3.230531
LINGUISTICS & FRENCH,3.445378
LINGUISTICS & PHILOSOPHY,3.305356
LINGUISTICS & PSYCHOLOGY,3.118706
LINGUISTICS & SPANISH,3.231196
MARINE BIOLOGY,3.408196
MATERIALS ENGINEERING,3.286067
MATHEMATIC OF COMPUTATION,3.28739
MATHEMATICS,3.328094
MATHEMATICS - APPLIED SCIENCE,3.299171
MATHEMATICS FOR TEACHING,3.218311
MATHEMATICS/ECONOMICS,3.283454
MECHANICAL ENGINEERING,3.329075
MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.418271
MIDDLE EASTERN STUDIES,3.565917
"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.492989
MUSIC,3.506416
MUSICOLOGY,3.452479
NEUROSCIENCE,3.426535
NURSING - FOUR YEAR PROGRAM,3.474291
PHILOSOPHY,3.300749
PHYSICS,3.320313
PHYSIOLOGICAL SCIENCE,3.520738
POLITICAL SCIENCE,3.362709
PORTUGUESE,3.452532
PSYCHOBIOLOGY,3.393523
PSYCHOLOGY,3.384202
RUSSIAN LANGUAGE & LITERATURE,3.457762
RUSSIAN STUDIES,3.682243
SOCIOLOGY,3.200476
SPANISH,3.318885
SPANISH & LINGUISTICS,3.265283
SPANISH / PORTUGUESE,3.379464
SPANISH AND COMMUNITY AND CULTURE,3.252821
STATISTICS,3.338161
STUDY OF RELIGION,3.338153
THEATER,3.471465
WORLD ARTS & CULTURE,3.531405
