,CLASS,A+_x,A_x,A-_x,B+_x,B_x,B-_x,C+_x,C_x,C-_x,D+_x,D_x,D-_x,F_x,A+_y,A_y,A-_y,B+_y,B_y,B-_y,C+_y,C_y,C-_y,D+_y,D_y,D-_y,F_y
0,All Classes,0.10309517,0.35152027,0.1702966,0.12183674,0.10739977,0.04862543,0.03022326,0.03110901,0.01371677,0.00432116,0.00677147,0.00206124,0.0090231,0.16148227,0.45117517,0.14633401,0.09202175,0.0709398,0.02804866,0.01419788,0.01627219,0.00614856,0.00228092,0.00309081,0.00103302,0.00697498
1,"A&O SCI 1 - BIANCHI, D.",0.223,0.33,0.149,0.128,0.053,0.021,0.074,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2382,"A&O SCI 1 - NEELIN, J.D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.289,0.158,0.118,0.079,0.039,0.026,0.026,0,0.013,0,0.013,0.013
2,"A&O SCI 101 - KOK, J.F.",0.065,0.129,0.194,0.129,0.161,0.065,0.097,0.032,0.097,0,0.032,0,0,0.097,0.129,0.065,0.29,0.129,0.032,0.065,0.032,0.129,0,0.032,0,0
3,"A&O SCI 103 - STEWART, A.L.",0.102,0.184,0.163,0.184,0.122,0.082,0.122,0,0.041,0,0,0,0,0.174,0.203,0.13,0.087,0.145,0.058,0.043,0.072,0.029,0,0,0.014,0.043
4,"A&O SCI 1L - BIANCHI, D.",0.667,0.111,0.056,0.056,0.056,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,"A&O SCI 1L - NEELIN, J.D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.522,0.304,0,0.087,0.087,0,0,0,0,0,0,0,0
5,"A&O SCI 2 - LEW, J.K.",0,0.109,0.04,0.059,0.396,0.059,0.05,0.178,0.02,0.01,0.02,0,0.059,0.048,0.143,0.238,0,0.048,0.048,0.143,0.143,0.048,0.048,0,0.048,0.048
6,"A&O SCI 200A - CHAMECKI, M.",0.105,0.421,0.053,0.211,0.053,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"A&O SCI 200B - CHEN, G.",0,0.375,0.312,0.188,0.125,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0
2384,"A&O SCI 270 - MITCHELL, J.L.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,"A&O SCI 270 - SAIDE PERALTA, P.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"A&O SCI 2L - LEW, J.K.",0,0.167,0,0.111,0.389,0.056,0,0.222,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385,"A&O SCI 3 - CHAMECKI, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767,0.123,0.027,0.027,0.041,0,0.014,0,0,0,0,0
10,"A&O SCI 3 - LEW, J.K.",0,0.222,0,0.074,0.333,0.074,0.074,0.111,0,0,0.074,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,"A&O SCI 3L - CHAMECKI, M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727,0.091,0.045,0.045,0.045,0,0.045,0,0,0,0,0
2387,"A&O SCI C111 - BORTNIK, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.143,0.214,0.143,0.286,0,0,0,0,0,0,0,0
11,"A&O SCI C160 - LIOU, K.",0.273,0.364,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,"A&O SCI C204 - BORTNIK, J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.412,0.235,0,0.059,0,0,0,0,0,0,0,0
2389,"A&O SCI M106 - XUE, Y.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.444,0,0,0,0,0,0,0,0
