class,difference,department,Class_Cap
"Mgmt 122 - Kumar, N.T.",1.114478714,other,"MGMT 122 - Kumar, N.T."
"Wl Arts Cm140 - Shorter, D.D.",1.082627273,humanities,"WL ARTS CM140 - Shorter, D.D."
"Span 7a - Bermudez Castro, C",1.06993007,humanities,"SPAN 7A - Bermudez Castro, C"
"Math 170e - Nguyen, H.D.",1.059281259,physical,"MATH 170E - Nguyen, H.D."
"Ec Engr 170a - Jalali, B.",0.89591982,engineering,"EC ENGR 170A - Jalali, B."
"Physci 147 - Glanzman, D.l.",0.863766667,life_science,"PHYSCI 147 - Glanzman, D.l."
"Psych 118 - Blaisdell, A.P.",0.854,social,"PSYCH 118 - Blaisdell, A.P."
"Chem 14d - Pham, H.V.",0.831945291,life_science,"CHEM 14D - Pham, H.V."
"Sociol 20 - Rossi, G.",0.814343114,social,"SOCIOL 20 - Rossi, G."
"Com Sci M51a - Korf, R.E.",0.808201301,engineering,"COM SCI M51A - Korf, R.E."
"Math 105a - Dallas, H.J.",0.745513972,physical,"MATH 105A - Dallas, H.J."
"Math 31al - Conley, W.J.",0.738374126,physical,"MATH 31AL - Conley, W.J."
"Physics 5b - Bauer, D.J.",0.716800652,physical,"PHYSICS 5B - Bauer, D.J."
"Esl 301 - Hualpa, L.D.",0.672827273,other,"ESL 301 - Hualpa, L.D."
"Art 31a - Vikram, A.",0.667586625,humanities,"ART 31A - Vikram, A."
"Math 115a - Arant, T.J.",0.659776677,physical,"MATH 115A - Arant, T.J."
"Japan 4 - Menjo, S.",0.658066134,humanities,"JAPAN 4 - Menjo, S."
"Mimg 101 - Hill, K.L.",0.650750751,life_science,"MIMG 101 - Hill, K.L."
"Mcd Bio M175a - Chandler, S.H.",0.641738462,life_science,"MCD BIO M175A - Chandler, S.H."
"Sociol M176 - Rossman, G.",0.6391,social,"SOCIOL M176 - Rossman, G."
"MATH 156 - Haddock, J.",0.637861723,,"MATH 156 - Haddock, J."
"ENGL 109 - CHEUNG, K.",0.6372,,"ENGL 109 - CHEUNG, K."
"AF AMER M104A - YARBOROUGH, R.A.",0.621321321,,"AF AMER M104A - YARBOROUGH, R.A."
"SOCIOL 173 - ROSSMAN, G.",0.614691508,,"SOCIOL 173 - ROSSMAN, G."
"EPS SCI 9 - YOUNG, E.D.",0.61134012,,"EPS SCI 9 - YOUNG, E.D."
"PHYSICS 1C - CORBIN, B.",0.6084,,"PHYSICS 1C - CORBIN, B."
"PSYCH 101 - MCAULIFFE, S.P.",0.605827706,,"PSYCH 101 - MCAULIFFE, S.P."
"MATH 31B - MORENO, A.J.",0.6034,,"MATH 31B - MORENO, A.J."
"NURSING 54B - BATES-JENSEN, B.M.",0.595279279,,"NURSING 54B - BATES-JENSEN, B.M."
"LGBTQS 181 - MORRIS, M.B.",0.593806194,,"LGBTQS 181 - MORRIS, M.B."
"CH ENGR 101A - EISLER, C.N.",0.583191984,,"CH ENGR 101A - EISLER, C.N."
"ENGCOMP 2 - HITCHNER, T.A.",0.582349051,,"ENGCOMP 2 - HITCHNER, T.A."
"COM SCI 31 - SMALLBERG, D.A.",0.582302082,,"COM SCI 31 - SMALLBERG, D.A."
"GJ STDS 122A - HARRISON, C.A.",0.562307692,,"GJ STDS 122A - HARRISON, C.A."
"PSYCH 10 - CLARK, C.M.",0.554371029,,"PSYCH 10 - CLARK, C.M."
"CHEM 14BL - RUSSELL, A.A.",0.547534848,,"CHEM 14BL - RUSSELL, A.A."
"ASTR 4 - MALKAN, M.A.",0.540714367,,"ASTR 4 - MALKAN, M.A."
"ENGL 120 - HUEHLS, M.A.",0.522467133,,"ENGL 120 - HUEHLS, M.A."
"ENGL M102A - LING, J.",0.513186813,,"ENGL M102A - LING, J."
"PSYCH 10 - PAQUETTE-SMITH, M.",0.51279442,,"PSYCH 10 - PAQUETTE-SMITH, M."
"MECH&AE 102 - SANTOS, V.",0.504627758,,"MECH&AE 102 - SANTOS, V."
"MAT SCI 110L - GOORSKY, M.S.",0.504602384,,"MAT SCI 110L - GOORSKY, M.S."
"C&EE 150 - MARGULIS, S.A.",0.502588816,,"C&EE 150 - MARGULIS, S.A."
"MATH 32A - SPAAS, P.",0.502097902,,"MATH 32A - SPAAS, P."
"LIFESCI 7A - MCEVOY, M.M.",0.496993407,,"LIFESCI 7A - MCEVOY, M.M."
"ENGCOMP 3D - MEHDIZADEH, N.",0.496176523,,"ENGCOMP 3D - MEHDIZADEH, N."
"BIOENGR C105 - DEMING, T.J.",0.4907,,"BIOENGR C105 - DEMING, T.J."
"PHYSCI 107 - FRISCIA, A.R.",0.490561339,,"PHYSCI 107 - FRISCIA, A.R."
"MECH&AE 161A - DAVOYAN, A.R.",0.48992359,,"MECH&AE 161A - DAVOYAN, A.R."
"MIMG 168 - CAMPBELL, D.A.",0.484697824,,"MIMG 168 - CAMPBELL, D.A."
"PHYSICS 5A - LANCASTER, J.A.",0.484048651,,"PHYSICS 5A - LANCASTER, J.A."
"PSYCH 127A - CHAVIRA, D.A.",0.483083083,,"PSYCH 127A - CHAVIRA, D.A."
"C&EE ST 91 - GALATEANU, G.",0.474282318,,"C&EE ST 91 - GALATEANU, G."
"COMPTNG 10A - LINDSTROM, M.R.",0.473104973,,"COMPTNG 10A - LINDSTROM, M.R."
"JAPAN 1 - KAWANISHI, Y.",0.468122066,,"JAPAN 1 - KAWANISHI, Y."
"MGMT 127A - KLEIN, G.L.",0.461994611,,"MGMT 127A - KLEIN, G.L."
"EE BIOL 151A - GORLITSKY, L.E.",0.4608,,"EE BIOL 151A - GORLITSKY, L.E."
"PSYCH 100B - FIRSTENBERG, I.",0.456594157,,"PSYCH 100B - FIRSTENBERG, I."
"C&EE 243A - WALLACE, J.W.",0.4547,,"C&EE 243A - WALLACE, J.W."
"COMM M147 - ROSSMAN, G.",0.453517518,,"COMM M147 - ROSSMAN, G."
"EC ENGR 113 - ALWAN, A.A.",0.4509,,"EC ENGR 113 - ALWAN, A.A."
"POL SCI 120B - CHATTERJEE, S.",0.44352016,,"POL SCI 120B - CHATTERJEE, S."
"PSYCH 135 - LIEBERMAN, M.D.",0.442383916,,"PSYCH 135 - LIEBERMAN, M.D."
"PSYCH 85 - KELLMAN, P.",0.442311988,,"PSYCH 85 - KELLMAN, P."
"ENGL 10B - MAKDISI, S.",0.434265734,,"ENGL 10B - MAKDISI, S."
"ENGL 181A - DIMURO, J.A.",0.433990909,,"ENGL 181A - DIMURO, J.A."
"MCD BIO 60 - GALLAGHER, K.J.",0.43018883,,"MCD BIO 60 - GALLAGHER, K.J."
"ENGCOMP 3 - DEUEL, N.A.",0.425851703,,"ENGCOMP 3 - DEUEL, N.A."
"COM SCI 152B - SARRAFZADEH, M.",0.418981019,,"COM SCI 152B - SARRAFZADEH, M."
"POL SCI 114A - TROJAN, C.",0.417938323,,"POL SCI 114A - TROJAN, C."
"ENGCOMP 3 - CHRISTENSEN, T.S.",0.4152,,"ENGCOMP 3 - CHRISTENSEN, T.S."
"POL SCI 145B - LEBOW, C.C.",0.412087912,,"POL SCI 145B - LEBOW, C.C."
"HIST 121D - FRANK, S.",0.411170193,,"HIST 121D - FRANK, S."
"COMM 151 - GROELING, T.J.",0.408407393,,"COMM 151 - GROELING, T.J."
"ARABIC 103A - HAMZA, A.T.",0.402332332,,"ARABIC 103A - HAMZA, A.T."
"STATS 100A - WU, Y.",0.396232533,,"STATS 100A - WU, Y."
"THEATER 14A - ROSE, R.S.",0.396211489,,"THEATER 14A - ROSE, R.S."
"HLT POL 239A - ANDERSON, D.M.",0.389392308,,"HLT POL 239A - ANDERSON, D.M."
"I A STD 191 - LEE, Y.B.",0.389115185,,"I A STD 191 - LEE, Y.B."
"SPAN 100A - KIM, J.",0.386379289,,"SPAN 100A - KIM, J."
"PHILOS M175 - JOHNSON, M.C.",0.384,,"PHILOS M175 - JOHNSON, M.C."
"C&EE 141 - PITHEY, K.C.",0.380793968,,"C&EE 141 - PITHEY, K.C."
"MAT SCI 130 - BALONIS, M.",0.3795,,"MAT SCI 130 - BALONIS, M."
"NEURO M202 - DE BIASE, L.M.",0.374885986,,"NEURO M202 - DE BIASE, L.M."
"ARCH&UD 131 - OSMAN, M.",0.374574575,,"ARCH&UD 131 - OSMAN, M."
"AF AMER 105B - HUDSON, P.J.",0.370184116,,"AF AMER 105B - HUDSON, P.J."
"DANCE C184 - HORWITZ, A.M.",0.368495486,,"DANCE C184 - HORWITZ, A.M."
"ART 1A - WILLIAMS, J.S.",0.364887912,,"ART 1A - WILLIAMS, J.S."
"CHEM 125 - KOPELEVICH, M.",0.3615,,"CHEM 125 - KOPELEVICH, M."
"MATH 174E - TAYLOR, D.W.",0.357081081,,"MATH 174E - TAYLOR, D.W."
"CHIN 4A - YAO, Y.",0.348863636,,"CHIN 4A - YAO, Y."
"LIFESCI 7C - HSIAO, E.Y.",0.3478,,"LIFESCI 7C - HSIAO, E.Y."
"LIFESCI 15 - PHELAN, J.P.",0.346823237,,"LIFESCI 15 - PHELAN, J.P."
"MECH&AE M270A - M'CLOSKEY, R.T.",0.346154755,,"MECH&AE M270A - M'CLOSKEY, R.T."
"KOREA 100A - YOON, J.E.",0.343508844,,"KOREA 100A - YOON, J.E."
"ENGL M101B - LITTLE, A.L.",0.343,,"ENGL M101B - LITTLE, A.L."
"ENGCOMP 2 - SAMUELSON, M.G.",0.338153538,,"ENGCOMP 2 - SAMUELSON, M.G."
"EPS SCI M71 - AURNOU, J.M.",0.3375,,"EPS SCI M71 - AURNOU, J.M."
"NURSING 152A - DIXON, E.L.",0.332143856,,"NURSING 152A - DIXON, E.L."
"EDUC 407 - SANDOVAL, W.A.",0.332132132,,"EDUC 407 - SANDOVAL, W.A."
"C&EE C239 - MAZZONI, S.",0.327922512,,"C&EE C239 - MAZZONI, S."
"FRNCH 6 - DENIE HIGNEY, L.M.",0.32781982,,"FRNCH 6 - DENIE HIGNEY, L.M."
"ARCH&UD 401 - HULJICH, G.",0.3271,,"ARCH&UD 401 - HULJICH, G."
"STATS 100A - SANCHEZ, J.",0.3262,,"STATS 100A - SANCHEZ, J."
"SPAN 170 - TOBIN, S.C.",0.322330775,,"SPAN 170 - TOBIN, S.C."
"BIOENGR CM178 - KASKO, A.M.",0.322047047,,"BIOENGR CM178 - KASKO, A.M."
"DANCE C106A - WODOBODE, A.",0.3217,,"DANCE C106A - WODOBODE, A."
"PHYSICS 131 - WANG, S.",0.321378621,,"PHYSICS 131 - WANG, S."
"CHICANO 171 - SANTA A0, O.",0.320683521,,"CHICANO 171 - SANTA A0, O."
"COM HLT 281B - SHAFIR, S.C.",0.319839679,,"COM HLT 281B - SHAFIR, S.C."
"PSYCH 132B - ADELMAN, H.S.",0.319737363,,"PSYCH 132B - ADELMAN, H.S."
"ASL 4 - LEWIS, B.J.",0.318429371,,"ASL 4 - LEWIS, B.J."
"EC ENGR 3 - BRIGGS, D.M.",0.317967768,,"EC ENGR 3 - BRIGGS, D.M."
"ITALIAN 1 - LAVAGNINO, C.G.",0.316075924,,"ITALIAN 1 - LAVAGNINO, C.G."
"STATS 10 - CHA, M.",0.315425726,,"STATS 10 - CHA, M."
"ENGCOMP 3 - FALLOWS, R.J.",0.314961053,,"ENGCOMP 3 - FALLOWS, R.J."
"NEUROSC 10 - BABIEC, W.E.",0.314489203,,"NEUROSC 10 - BABIEC, W.E."
"PHYSCI C144 - GOMEZ-PINILLA, F.",0.314185914,,"PHYSCI C144 - GOMEZ-PINILLA, F."
"ENVIRON 140 - BOYD, W.C.",0.31251041,,"ENVIRON 140 - BOYD, W.C."
"NEUROSC M135 - BABIEC, W.E.",0.310510911,,"NEUROSC M135 - BABIEC, W.E."
"MATH 180 - MORENO, A.J.",0.31048951,,"MATH 180 - MORENO, A.J."
"MECH&AE 166A - SEPULVEDA, A.E.",0.308111808,,"MECH&AE 166A - SEPULVEDA, A.E."
"AF AMER 188A - BONNER, L.D.",0.307818919,,"AF AMER 188A - BONNER, L.D."
"LAW 364 - ZIFFREN, K.",0.305050505,,"LAW 364 - ZIFFREN, K."
"CH ENGR 104B - SIMONETTI, D.A.",0.3048,,"CH ENGR 104B - SIMONETTI, D.A."
"COM SCI 35L - EGGERT, P.R.",0.303626547,,"COM SCI 35L - EGGERT, P.R."
"ENGL 136 - KEVORKIAN, K.K.",0.3,,"ENGL 136 - KEVORKIAN, K.K."
"DESMA 101 - HUHTAMO, E.I.",0.2993,,"DESMA 101 - HUHTAMO, E.I."
"CHEM C273 - LIU, C.",0.297202797,,"CHEM C273 - LIU, C."
"FRNCH 5 - DENIE HIGNEY, L.M.",0.294569231,,"FRNCH 5 - DENIE HIGNEY, L.M."
"LIFESCI 107 - PHAM, H.D.",0.291080191,,"LIFESCI 107 - PHAM, H.D."
"DANCE 6 - WODOBODE, A.",0.290813914,,"DANCE 6 - WODOBODE, A."
"PHYSICS 112 - BROWN, S.",0.289261489,,"PHYSICS 112 - BROWN, S."
"STATS 13 - ZANONTIAN, L.A.",0.288309351,,"STATS 13 - ZANONTIAN, L.A."
"PHILOS 6 - GALLAGHER, K.J.",0.288,,"PHILOS 6 - GALLAGHER, K.J."
