class,difference,department,Class_Cap
"Stats 100A - Sanchez, J.",1.1421,physical,"STATS 100A - Sanchez, J."
"Anthro 132 - Boum, A.",1.109290709,social,"ANTHRO 132 - Boum, A."
"Econ 106G - Zuniga Seminario,",1.068,social,"ECON 106G - Zuniga Seminario,"
"Mgmt 120A - Lu, M.",0.997315497,other,"MGMT 120A - Lu, M."
"Math110A - Ouellette, K.R.",0.97745491,physical,"MATH110A - Ouellette, K.R."
"Ling 185A - Mayer, C.J.",0.977427582,life_science,"LING 185A - Mayer, C.J."
"Intl Dv 130 - Lofchie, M.F.",0.9612,social,"INTL DV 130 - Lofchie, M.F."
"Eps Sci 15 - Drake, J.",0.896148649,physical,"EPS SCI 15 - Drake, J."
"Chem 14C - Pham, H.V.",0.877692578,life_science,"CHEM 14C - Pham, H.V."
"Physics 5A - Bauer, D.J.",0.871528472,physical,"PHYSICS 5A - Bauer, D.J."
"Anthro 153 - Boum, A.",0.870554446,social,"ANTHRO 153 - Boum, A."
"Com sci 31 - Stahl, H.A.",0.8468,engineering,"COM SCI 31 - Stahl, H.A."
"Intl Dv 1 - Anjum, E.",0.8411,social,"INTL DV 1 - Anjum, E."
"Com sci 180 - Burgin, M.",0.837251251,engineering,"COM SCI 180 - Burgin, M."
"Mgmt 1A - Woo, E.A.",0.817200901,other,"MGMT 1A - Woo, E.A."
"Math 33B - Salazar, R.",0.811388611,physical,"MATH 33B - Salazar, R."
"Hist 97M - Woods, D.L.",0.807107107,social,"HIST 97M - Woods, D.L."
"Econ 106F - Lindsay, D.C.",0.795269725,social,"ECON 106F - Lindsay, D.C."
"Comm 114 - Suman, M.W.",0.7761,social,"COMM 114 - Suman, M.W."
"Italian 1 - Tognozzi, E.A.",0.754643287,humanities,"ITALIAN 1 - Tognozzi, E.A."
"PSYCH 129F - Lee, S.S.",0.741473526,social,"PSYCH 129F - Lee, S.S."
"MGMT 127B - GARDNER TRELOAR, J",0.7379,,"MGMT 127B - GARDNER TRELOAR, J"
"ASIA AM 50W - NUBLA, G.M.",0.719527772,,"ASIA AM 50W - NUBLA, G.M."
"COM SCI 181 - BURGIN, M.",0.712,,"COM SCI 181 - BURGIN, M."
"C&EE 103 - RUTER, M.",0.710827811,,"C&EE 103 - RUTER, M."
"PSYCH 116 - GRISHAM, W.E.",0.669024169,,"PSYCH 116 - GRISHAM, W.E."
"COM SCI 32 - AMBROSIO, E.O.",0.6639,,"COM SCI 32 - AMBROSIO, E.O."
"CHEM 14BL - HE0RY, M.M.",0.662462462,,"CHEM 14BL - HE0RY, M.M."
"NEUROSC 10 - BABIEC, W.E.",0.653634041,,"NEUROSC 10 - BABIEC, W.E."
"CHEM 14BL - PANG, J.W.",0.640327872,,"CHEM 14BL - PANG, J.W."
"MATH 177 - OZEL, E.",0.64,,"MATH 177 - OZEL, E."
"ECON 1 - ROJAS, R.R.",0.6342,,"ECON 1 - ROJAS, R.R."
"CHEM 153B - HE, C.",0.62606008,,"CHEM 153B - HE, C."
"CHEM 14CL - PANG, J.W.",0.611937912,,"CHEM 14CL - PANG, J.W."
"PSYCH 100A - BLAKE, A.B.",0.610681618,,"PSYCH 100A - BLAKE, A.B."
"ART HIS M110A - COONEY, K.M.",0.6028,,"ART HIS M110A - COONEY, K.M."
