State,UCB,UCD,UCI,UCLA,UCM,UCR,UCSD,UCSB,UCSC,UC,Registered Voters (10/5/2016),2008 turnout,Current 538 margin (P),2016 expected turnout,Margin 2016 P,% margin P,How many times more competitive state is than CA,Percentage of vote each person contributes,How much each vote contributes to winning,UCB P,UCD P,UCI P,UCLA P,UCM P,UCR P,UCSD P,UCSB P,UCSC P,UC
Arizona,119,87,32,153,1,7,,,,399,"3,400,611",77.70%,-1.70%,"2,641,935","-44,913",-0.0022%,-58,0.00004%,5,0.00450%,0.00329%,0.00121%,0.00579%,0.00004%,0.00026%,,,,0.01510%
Colorado,106,78,16,107,0,,,,,307,"3,125,319",91.70%,5.00%,"2,865,292","143,265",0.0007%,18,0.00003%,5,0.00370%,0.00272%,0.00056%,0.00373%,0.00000%,,,,,0.01071%
Florida,176,78,20,181,0,7,,,,462,"12,479,284",75.20%,2.00%,"9,384,422","187,688",0.0005%,14,0.00001%,2,0.00188%,0.00083%,0.00021%,0.00193%,0.00000%,0.00007%,,,,0.00492%
Iowa,17,24,2,10,0,0,,,,53,"2,144,075",72.10%,-0.20%,"1,545,878","-3,092",-0.0323%,-844,0.00006%,9,0.00110%,0.00155%,0.00013%,0.00065%,0.00000%,0.00000%,,,,0.00343%
Missouri,27,24,6,49,1,,,,,107,"4,231,748",69.40%,-7.70%,"2,936,833","-226,136",-0.0004%,-12,0.00003%,5,0.00092%,0.00082%,0.00020%,0.00167%,0.00003%,,,,,0.00364%
Nevada,58,79,58,128,0,6,,,,329,"1,386,550",79.90%,2.90%,"1,107,853","32,128",0.0031%,81,0.00009%,13,0.00524%,0.00713%,0.00524%,0.01155%,0.00000%,0.00054%,,,,0.02970%
New Hampshire,9,11,5,15,0,0,,,,40,"916,652",75.10%,5.90%,"688,406","40,616",0.0025%,64,0.00015%,21,0.00131%,0.00160%,0.00073%,0.00218%,0.00000%,0.00000%,,,,0.00581%
North Carolina,44,41,2,39,0,,,,,126,"6,749,460",69.50%,1.10%,"4,690,875","51,600",0.0019%,51,0.00002%,3,0.00094%,0.00087%,0.00004%,0.00083%,0.00000%,,,,,0.00269%
Ohio,52,51,2,59,0,,,,,164,"8,031,063",70.00%,0.40%,"5,619,335","22,477",0.0045%,116,0.00002%,3,0.00093%,0.00091%,0.00004%,0.00105%,0.00000%,,,,,0.00292%
Pennsylvania,110,86,12,136,0,7,,,,351,"8,513,978",68.70%,5.70%,"5,849,103","333,399",0.0003%,8,0.00002%,2,0.00188%,0.00147%,0.00021%,0.00233%,0.00000%,0.00012%,,,,0.00600%
California,718,559,155,877,2,27,0,0,0,"2,338","18,251,826.00",79.40%,18.00%,"14,495,600","2,609,208",0.00%,1,0.00001%,1,0.00495%,0.00386%,0.00107%,0.00605%,0.00001%,0.00019%,,,,0.01613%
