State,UCB,UCD,UCI,UCLA,UCM,UCR,UC,Registered Voters (10/5/2016),2008 turnout,Current 538 margin (P),2016 expected turnout,Margin 2016 P,% margin P,How many times more competitive state is than CA,Percentage of vote each person contributes,How much more each vote contributes to winning than in CA,UCB P,UCD P,UCI P,UCLA P,UCM P,UCR P,UC P
Arizona,119,87,32,153,1,7,399,"3,400,611",77.70,-1.60,"2,642,275","-42,276",-0.00237,-85,0.00004,5,0.00450,0.00329,0.00121,0.00579,0.00004,0.00026,0.01510
Colorado,106,78,16,107,0,,307,"3,125,319",91.70,4.10,"2,865,918","117,503",0.00085,30,0.00003,5,0.00370,0.00272,0.00056,0.00373,0.00000,,0.01071
Florida,176,78,20,181,0,7,462,"12,479,284",75.20,0.10,"9,384,422","9,384",0.01066,381,0.00001,2,0.00188,0.00083,0.00021,0.00193,0.00000,0.00007,0.00492
Iowa,17,24,2,10,0,0,53,"2,144,075",72.10,-1.30,"1,545,878","-20,096",-0.00498,-178,0.00006,9,0.00110,0.00155,0.00013,0.00065,0.00000,0.00000,0.00343
Missouri,27,24,6,49,1,,107,"4,231,748",69.40,-8.10,"2,936,833","-237,883",-0.00042,-15,0.00003,5,0.00092,0.00082,0.00020,0.00167,0.00003,,0.00364
Nevada,58,79,58,128,0,6,329,"1,386,550",79.90,1.20,"1,107,853","13,294",0.00752,269,0.00009,13,0.00524,0.00713,0.00524,0.01155,0.00000,0.00054,0.02970
New Hampshire,9,11,5,15,0,0,40,"916,652",75.10,4.60,"688,406","31,667",0.00316,113,0.00015,21,0.00131,0.00160,0.00073,0.00218,0.00000,0.00000,0.00581
North Carolina,44,41,2,39,0,,126,"6,749,460",69.50,0.70,"4,690,875","32,836",0.00305,109,0.00002,3,0.00094,0.00087,0.00004,0.00083,0.00000,,0.00269
Ohio,52,51,2,59,0,,164,"8,031,063",70.00,-1.10,"5,621,744","-61,839",-0.00162,-58,0.00002,3,0.00093,0.00091,0.00004,0.00105,0.00000,,0.00292
Pennsylvania,110,86,12,136,0,7,351,"8,513,978",68.70,4.60,"5,849,103","269,059",0.00037,13,0.00002,2,0.00188,0.00147,0.00021,0.00233,0.00000,0.00012,0.00600
California,718,559,155,877,2,27,"2,338","18,251,826.00",79.40,24.70,"14,491,950","3,579,512",0.00003,1,0.00001,1,0.00495,0.00386,0.00107,0.00605,0.00001,0.00019,0.01613
