State,UCB,UCD,UCI,UCLA,UCM,UCR,UC,Registered Voters (10/5/2016),2008 turnout,Current 538 margin (P),2016 expected turnout,Margin 2016 P,% margin P,How many times more competitive state is than CA,Percentage of vote each person contributes,How much more each vote contributes to winning than in CA,UCB P,UCD P,UCI P,UCLA P,UCM P,UCR P,UC P
Arizona,119,87,32,153,1,7,399,3400611,0.7769,-0.083,2641935,-219281,-0.00000456,-66,0.00000038,5,0.0000450,0.0000329,0.0000121,0.0000579,0.0000004,0.0000026,0.0001510
Colorado,106,78,16,107,0,,307,3125319,0.9168,0.116,2865292,332374,0.00000301,44,0.00000035,5,0.0000370,0.0000272,0.0000056,0.0000373,0.0000000,,0.0001071
Florida,176,78,20,181,0,7,462,12479284,0.752,-0.05,9384422,-469221,-0.00000213,-31,0.00000011,2,0.0000188,0.0000083,0.0000021,0.0000193,0.0000000,0.0000007,0.0000492
Iowa,17,24,2,10,0,0,53,2144075,0.721,-0.136,1545878,-210239,-0.00000476,-69,0.00000065,9,0.0000110,0.0000155,0.0000013,0.0000065,0.0000000,0.0000000,0.0000343
Missouri,27,24,6,49,1,,107,4231748,0.694,0.002,2936833,5874,0.00017025,2468,0.00000034,5,0.0000092,0.0000082,0.0000020,0.0000167,0.0000003,,0.0000364
Nevada,58,79,58,128,0,6,329,1386550,0.799,0.011,1107853,12186,0.00008206,1189,0.00000090,13,0.0000524,0.0000713,0.0000524,0.0001155,0.0000000,0.0000054,0.0002970
New Hampshire,9,11,5,15,0,0,40,916652,0.751,0.005,688406,3442,0.00029053,4211,0.00000145,21,0.0000131,0.0000160,0.0000073,0.0000218,0.0000000,0.0000000,0.0000581
North Carolina,44,41,2,39,0,,126,6749460,0.695,-0.013,4690875,-60981,-0.00001640,-238,0.00000021,3,0.0000094,0.0000087,0.0000004,0.0000083,0.0000000,,0.0000269
Ohio,52,51,2,59,0,,164,8031063,0.6997,-0.115,5619335,-646223,-0.00000155,-22,0.00000018,3,0.0000093,0.0000091,0.0000004,0.0000105,0.0000000,,0.0000292
Pennsylvania,110,86,12,136,0,7,351,8513978,0.687,0.017,5849103,99435,0.00001006,146,0.00000017,2,0.0000188,0.0000147,0.0000021,0.0000233,0.0000000,0.0000012,0.0000600
California,718,559,155,877,2,27,2338,18251826,0.7942,1,14495600,14495600,0.00000007,1,0.00000007,1,0.0000495,0.0000386,0.0000107,0.0000605,0.0000001,0.0000019,0.0001613
