,word,count
0,professor,414
1,questions,326
2,final,216
3,exams,215
4,material,179
5,easy,168
6,tests,168
7,time,168
8,hours,168
9,good,167
10,points,161
11,midterm,155
12,recommend,153
13,great,147
14,office,144
15,launchpad,140
16,helpful,136
17,hard,133
18,make,131
19,best,126
20,grade,125
21,definitely,124
22,credit,122
23,exam,121
24,difficult,111
25,extra,111
26,need,109
27,midterms,108
28,every,107
29,overall,106
30,problems,105
31,way,104
32,help,103
33,first,98
34,concepts,98
35,study,96
36,slides,95
37,understand,91
38,practice,91
39,taking,91
40,people,90
41,professors,90
42,think,90
43,ta,90
44,course,89
45,review,88
46,dr.,88
47,interesting,87
48,want,85
49,clicker,85
50,could,84
51,textbook,83
52,engaging,81
53,work,81
54,notes,81
55,always,80
56,learn,80
57,ucla,80
58,super,79
59,online,78
60,learning,76
61,reading,76
62,answer,74
63,everything,73
64,’,72
65,long,68
66,physics,68
67,amazing,68
68,never,68
69,quizzes,68
70,extremely,67
71,cares,66
72,question,66
73,test,66
74,homework,65
75,chemistry,64
76,problem,63
77,highly,63
78,week,62
79,2,60
80,little,60
81,still,59
82,ever,59
83,paper,58
84,clear,58
85,anish,57
86,feel,57
87,readings,56
88,read,55
89,sessions,55
90,give,55
91,'',54
92,student,54
93,teaching,54
94,classes,54
95,``,54
96,group,53
97,say,53
98,fair,53
99,chem,53
100,understanding,53
101,bit,52
102,lecturer,52
103,better,52
104,two,51
105,worksheets,51
106,ask,51
107,far,51
108,grading,50
109,quite,49
110,put,48
111,honestly,48
112,content,47
113,ge,47
114,funny,47
115,studying,47
116,nice,45
117,guy,45
118,bad,44
119,enough,44
120,learned,44
121,times,44
122,thought,44
123,'m,44
124,participation,43
125,especially,43
126,resources,43
127,teacher,42
128,information,42
129,everyone,42
130,series,42
131,since,41
132,stuff,40
133,fun,40
134,ap,40
135,high,39
136,man,39
137,effort,39
138,said,39
139,found,39
140,genuinely,38
141,weekly,38
142,worth,38
143,probably,37
144,10,37
145,important,37
146,based,37
147,100,37
148,miss,36
149,able,36
150,...,36
151,kind,36
152,succeed,36
153,second,36
154,challenging,36
155,sometimes,35
156,gave,35
157,something,35
158,basically,35
159,possible,35
160,try,35
161,answers,35
162,graded,35
163,end,35
164,14d,35
165,short,34
166,taken,34
167,different,34
168,grades,34
169,fine,34
170,'d,34
171,attention,33
172,assignments,33
173,tough,33
174,come,33
175,part,32
176,went,32
177,wants,32
178,major,32
179,*,32
180,pay,32
181,given,31
182,email,31
183,thing,31
184,bio,31
185,harder,31
186,classroom,31
187,back,31
188,truly,31
189,multiple,31
190,attend,31
191,amount,30
192,teaches,30
193,see,30
194,3,30
195,easier,29
196,enjoyed,29
197,average,29
198,anything,29
199,?,29
200,use,29
201,subject,29
202,although,29
203,write,29
204,day,28
205,least,28
206,anyone,28
207,person,28
208,often,28
209,general,28
210,topics,28
211,school,28
212,useful,28
213,due,28
214,almost,28
215,love,27
216,point,27
217,around,27
218,1,27
219,posts,27
220,felt,27
221,life,27
222,says,26
223,experience,26
224,ended,26
225,7a,26
226,choice,26
227,getting,26
228,top,26
229,completely,26
230,right,26
231,free,25
232,similar,25
233,reviews,25
234,phase,25
235,matter,24
236,--,24
237,ls,24
238,memorization,24
239,essay,24
240,flipped,24
241,already,24
242,straightforward,24
243,required,24
244,literally,24
245,section,24
246,score,24
247,doable,23
248,tas,23
249,whole,23
250,boring,23
251,clearly,23
252,taught,23
253,goes,23
254,absolutely,23
255,finals,22
256,..,22
257,memorize,22
258,practical,22
259,find,22
260,fall,22
261,explains,22
262,book,22
263,organic,22
264,discussions,22
265,knows,22
266,used,22
267,individual,22
268,a.,22
269,la,22
270,opportunities,22
271,rather,21
272,4,21
273,history,21
274,opinion,21
275,either,21
276,organized,21
277,50,21
278,essays,21
279,tell,21
280,assigned,21
281,behind,21
282,provides,21
283,instead,21
284,half,20
285,prepare,20
286,explain,20
287,change,20
288,mandatory,20
289,keep,20
290,b,20
291,heard,20
292,annoying,20
293,details,20
294,1b,20
295,making,20
296,usually,20
297,passionate,20
298,>,20
299,looking,19
300,quiz,19
301,talk,19
302,loved,19
303,seems,19
304,personally,19
305,20,19
306,examples,19
307,knowledge,19
308,full,19
309,easily,19
310,prof,19
311,seem,19
312,explaining,19
313,show,19
314,focus,19
315,ochem,19
316,tries,19
317,throughout,19
318,las,19
319,ccle,19
320,30,19
321,advice,19
322,format,19
323,background,18
324,style,18
325,nothing,18
326,ls7a,18
327,simple,18
328,advantage,18
329,ones,18
330,without,18
331,trying,18
332,new,18
333,another,18
334,straight,18
335,someone,18
336,favorite,17
337,mind,17
338,key,17
339,attendance,17
340,teach,17
341,total,17
342,days,17
343,studied,17
344,weeks,17
345,reason,17
346,cool,17
347,solving,17
348,awesome,17
349,topic,17
350,job,17
351,tricky,17
352,look,17
353,entire,17
354,ton,17
355,done,17
356,provided,17
357,sections,17
358,posted,17
359,using,17
360,chance,16
361,theater,16
362,takes,16
363,helps,16
364,wrong,16
365,available,16
366,please,16
367,came,16
368,thinking,16
369,workload,16
370,must,16
371,care,16
372,confusing,16
373,biology,16
374,fact,16
375,concept,16
376,curve,16
377,5,16
378,na,16
379,quickly,16
380,7,16
381,kinda,16
382,specific,15
383,selling,15
384,year,15
385,jokes,15
386,stay,15
387,certain,15
388,],15
389,success,15
390,yes,15
391,memorizing,15
392,might,15
393,spend,15
394,complete,15
395,[,15
396,interested,15
397,real,15
398,maybe,15
399,last,15
400,single,15
401,summer,15
402,application,15
403,world,15
404,minutes,15
405,waste,15
406,helped,15
407,stress,15
408,materials,15
409,simply,15
410,generous,15
411,scores,15
412,lab,14
413,groups,14
414,finish,14
415,expect,14
416,willing,14
417,comes,14
418,open,14
419,prepared,14
420,means,14
421,offers,14
422,else,14
423,text,14
424,unless,14
425,sets,14
426,confused,14
427,mostly,14
428,etc,14
429,iclicker,14
430,offered,14
431,hardest,14
432,asked,14
433,thoroughly,14
434,set,14
435,covered,14
436,partial,14
437,analysis,14
438,scheme,14
439,gon,14
440,covid,14
441,fairly,14
442,relevant,14
443,lots,14
444,clc,14
445,mean,13
446,absolute,13
447,necessary,13
448,approach,13
449,protected,13
450,low,13
451,8,13
452,order,13
453,approachable,13
454,believe,13
455,ls7,13
456,terms,13
457,let,13
458,accommodating,13
459,outside,13
460,enjoy,13
461,excellent,13
462,liked,13
463,braybrook,13
464,others,13
465,c,13
466,incredibly,13
467,relatively,13
468,ca,13
469,wo,13
470,shows,13
471,strong,13
472,reactions,13
473,form,13
474,example,13
475,impossible,12
476,reasonable,12
477,several,12
478,enjoyable,12
479,apply,12
480,written,12
481,hand,12
482,remember,12
483,fast,12
484,away,12
485,a-,12
486,difficulty,12
487,word,12
488,expected,12
489,hour,12
490,old,12
491,beginning,12
492,coming,12
493,rest,12
494,god,12
495,note,12
496,science,12
497,true,12
498,interest,12
499,confident,12
500,previous,12
501,requires,12
502,big,12
503,attending,12
504,three,12
505,caring,12
506,sense,12
507,hands,12
508,ec,11
509,diagrams,11
510,seemed,11
511,huge,11
512,200,11
513,issues,11
514,classics,11
515,reviewing,11
516,reader,11
517,wanted,11
518,answered,11
519,struggling,11
520,prof.,11
521,oh,11
522,testing,11
523,seen,11
524,talks,11
525,tested,11
526,chill,11
527,worry,11
528,portion,11
529,buy,11
530,basic,11
531,video,11
532,start,11
533,15,11
534,videos,11
535,encourages,11
536,cover,11
537,solve,11
538,entertaining,11
539,explained,11
540,useless,11
541,gotten,10
542,facts,10
543,incredible,10
544,okay,10
545,less,10
546,20a,10
547,small,10
548,pages,10
549,teachers,10
550,seriously,10
551,beyond,10
552,giving,10
553,courses,10
554,talking,10
555,skim,10
556,lenient,10
557,despite,10
558,past,10
559,names,10
560,regret,10
561,optional,10
562,detail,10
563,luck,10
564,lowest,10
565,choose,10
566,worked,10
567,mistakes,10
568,figure,10
569,system,10
570,campuswire,10
571,manageable,10
572,glad,10
573,structure,10
574,per,10
575,likes,10
576,college,10
