word,female,male,difference,difference_abs,POLARITY VALUE,POLARITY INTENSITY,POS
homework,0.8623843620969006,0.2668199170805796,-0.595564445016321,0.595564445016321,negative,-0.401,NOUN
easy,1.139392672346208,0.6896268626082673,-0.44976580973794067,0.44976580973794067,positive,0.952,ADJ
math,0.3240474572727748,0.03283937440991749,-0.29120808286285726,0.29120808286285726,positive,0.819,NOUN
physics,0.04181257513197094,0.2791346824842987,0.23732210735232773,0.23732210735232773,positive,0.812,NOUN
lab,0.28223488214080383,0.05746890521735561,-0.2247659769234482,0.2247659769234482,positive,0.824,ADJ
credit,0.2874614540323002,0.5008004597512417,0.21333900571894143,0.21333900571894143,positive,0.802,NOUN
rose,0.20383630376835832,0.0,-0.20383630376835832,0.20383630376835832,positive,0.175,VERB
best,0.3345006010557675,0.5172201469562006,0.18271954590043304,0.18271954590043304,positive,0.86,ADJ
understand,0.5487900486071187,0.37354788391281146,-0.1752421646943072,0.1752421646943072,positive,0.798,ADJ
professors,0.20383630376835832,0.3694429621115718,0.16560665834321348,0.16560665834321348,positive,0.844,NOUN
great,0.43903203888569486,0.6034235047822338,0.16439146589653897,0.16439146589653897,positive,0.834,ADJ
bad,0.3292740291642711,0.1806165592545462,-0.14865746990972492,0.14865746990972492,negative,-0.833,ADJ
chemistry,0.12021115350441647,0.26271499527933995,0.14250384177492348,0.14250384177492348,positive,0.827,NOUN
problem,0.1254377253959128,0.2586100734781003,0.13317234808218747,0.13317234808218747,negative,-0.522,NOUN
funny,0.0627188626979564,0.19293132465826526,0.13021246196030886,0.13021246196030886,positive,0.949,NOUN
follow,0.15157058485339467,0.03283937440991749,-0.11873121044347718,0.11873121044347718,positive,0.14,VERB
clicker,0.24042230700883294,0.34891835310537334,0.1084960460965404,0.1084960460965404,negative,-0.789,NOUN
nice,0.2926880259237966,0.1847214810557859,-0.10796654486801072,0.10796654486801072,positive,0.127,ADJ
confusing,0.17247687241938012,0.06567874881983499,-0.10679812359954513,0.10679812359954513,negative,-0.819,VERB
give,0.12021115350441647,0.22577069906818273,0.10555954556376626,0.10555954556376626,negative,-0.492,ADJ
information,0.06794543458945278,0.17240671565206683,0.10446128106261406,0.10446128106261406,positive,0.516,NOUN
good,0.7892123556159515,0.6855219408070277,-0.10369041480892383,0.10369041480892383,positive,0.386,NOUN
study,0.2926880259237966,0.39407249291900986,0.10138446699521325,0.10138446699521325,positive,0.282,NOUN
prof,0.1777034443108765,0.07799351422355405,-0.09970993008732246,0.09970993008732246,positive,0.241,ADJ
readings,0.1306642972874092,0.22987562086942245,0.09921132358201326,0.09921132358201326,positive,0.819,NOUN
work,0.42857889510270214,0.3324986659004146,-0.09608022920228754,0.09608022920228754,positive,0.957,VERB
weekly,0.2508754507918256,0.1559870284471081,-0.0948884223447175,0.0948884223447175,positive,0.823,ADJ
time,0.7839857837244552,0.6896268626082673,-0.09435892111618782,0.09435892111618782,positive,0.492,NOUN
resources,0.08362515026394188,0.1765116374533065,0.09288648718936462,0.09288648718936462,positive,0.566,NOUN
organic,0.0,0.0903082796272731,0.0903082796272731,0.0903082796272731,positive,0.782,ADJ
practical,0.0,0.0903082796272731,0.0903082796272731,0.0903082796272731,positive,0.302,ADJ
difficult,0.5435634767156222,0.45564631993760524,-0.08791715677801698,0.08791715677801698,negative,-0.854,ADJ
teach,0.156797156744891,0.06978367062107467,-0.08701348612381633,0.08701348612381633,negative,-0.896,NOUN
explain,0.16725030052788376,0.08209843602479372,-0.08515186450309004,0.08515186450309004,positive,0.131,VERB
live,0.10975800972142372,0.024629530807438117,-0.0851284789139856,0.0851284789139856,positive,0.305,ADJ
extra,0.37108660429624213,0.45564631993760524,0.08455971564136311,0.08455971564136311,positive,0.896,NOUN
professor,1.6150107144723775,1.69943762571323,0.08442691124085244,0.08442691124085244,positive,0.885,NOUN
sheet,0.08362515026394188,0.0,-0.08362515026394188,0.08362515026394188,positive,0.18,NOUN
phase,0.02090628756598547,0.10262304503099216,0.0817167574650067,0.0817167574650067,positive,0.812,NOUN
statistics,0.0783985783724455,0.0,-0.0783985783724455,0.0783985783724455,negative,-0.838,NOUN
tough,0.057492290806460046,0.13546241944090964,0.0779701286344496,0.0779701286344496,negative,-0.871,ADJ
essay,0.02090628756598547,0.09851812322975247,0.077611835663767,0.077611835663767,positive,0.782,VERB
finals,0.16725030052788376,0.0903082796272731,-0.07694202090061066,0.07694202090061066,positive,0.812,NOUN
top,0.0313594313489782,0.10672796683223185,0.07536853548325365,0.07536853548325365,positive,0.881,ADJ
helped,0.13589086917890555,0.0615738270185953,-0.07431704216031026,0.07431704216031026,positive,0.389,VERB
learn,0.256102022683322,0.3283937440991749,0.07229172141585288,0.07229172141585288,positive,0.556,VERB
difficulty,0.12021115350441647,0.04925906161487623,-0.07095209188954024,0.07095209188954024,negative,-0.209,NOUN
fun,0.09407829404693462,0.16419687204958744,0.07011857800265282,0.07011857800265282,positive,0.66,NOUN
amazing,0.2090628756598547,0.2791346824842987,0.07007180682444397,0.07007180682444397,positive,0.864,VERB
solving,0.0,0.06978367062107467,0.06978367062107467,0.06978367062107467,positive,0.268,VERB
fine,0.2090628756598547,0.13956734124214934,-0.06949553441770537,0.06949553441770537,positive,0.856,ADJ
linear,0.06794543458945278,0.0,-0.06794543458945278,0.06794543458945278,positive,0.766,ADJ
algebra,0.06794543458945278,0.0,-0.06794543458945278,0.06794543458945278,positive,0.807,NOUN
explanations,0.10453143782992735,0.03694429621115718,-0.06758714161877018,0.06758714161877018,negative,-0.865,NOUN
test,0.20383630376835832,0.2709248388818193,0.06708853511346097,0.06708853511346097,positive,0.849,VERB
passionate,0.0156797156744891,0.08209843602479372,0.06641872035030462,0.06641872035030462,positive,0.493,NOUN
dropped,0.09407829404693462,0.028734452608677807,-0.0653438414382568,0.0653438414382568,negative,-0.794,VERB
problems,0.36586003240474574,0.43101678913016706,0.06515675672542132,0.06515675672542132,negative,-0.487,NOUN
assignment,0.08885172215543825,0.024629530807438117,-0.06422219134800014,0.06422219134800014,positive,0.296,ADJ
complete,0.1254377253959128,0.0615738270185953,-0.06386389837731751,0.06386389837731751,positive,0.889,ADJ
open,0.12021115350441647,0.05746890521735561,-0.06274224828706085,0.06274224828706085,positive,0.916,ADJ
memorization,0.03658600324047458,0.09851812322975247,0.06193211998927789,0.06193211998927789,positive,0.596,NOUN
success,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953,positive,0.897,NOUN
specific,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953,negative,-0.3,ADJ
annoying,0.02090628756598547,0.08209843602479372,0.06119214845880825,0.06119214845880825,negative,-0.194,VERB
possible,0.08362515026394188,0.14367226304338904,0.06004711277944716,0.06004711277944716,positive,0.219,ADJ
memorize,0.0313594313489782,0.0903082796272731,0.0589488482782949,0.0589488482782949,positive,0.518,NOUN
easier,0.1777034443108765,0.11904273223595091,-0.0586607120749256,0.0586607120749256,positive,0.863,ADJ
worst,0.0783985783724455,0.02052460900619843,-0.05787396936624707,0.05787396936624707,negative,-0.841,ADJ
independent,0.057492290806460046,0.0,-0.057492290806460046,0.057492290806460046,positive,0.854,ADJ
partial,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561,positive,0.978,ADJ
hardest,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561,positive,0.303,ADJ
analysis,0.0,0.05746890521735561,0.05746890521735561,0.05746890521735561,positive,0.198,NOUN
advice,0.02090628756598547,0.07799351422355405,0.05708722665756858,0.05708722665756858,positive,0.826,NOUN
focus,0.02090628756598547,0.07799351422355405,0.05708722665756858,0.05708722665756858,positive,0.66,NOUN
make,0.4808446140176659,0.5377447559623989,0.05690014194473303,0.05690014194473303,positive,0.817,VERB
genuinely,0.09930486593843098,0.1559870284471081,0.05668216250867712,0.05668216250867712,positive,0.768,ADV
honestly,0.2508754507918256,0.19703624645950493,-0.05383920433232067,0.05383920433232067,positive,0.148,ADV
protected,0.0,0.05336398341611592,0.05336398341611592,0.05336398341611592,positive,0.862,VERB
recommend,0.5749229080646004,0.6280530355896721,0.053130127525071624,0.053130127525071624,positive,0.875,NOUN
advantage,0.02090628756598547,0.07388859242231435,0.052982304856328884,0.052982304856328884,positive,0.823,NOUN
coronavirus,0.05226571891496368,0.0,-0.05226571891496368,0.05226571891496368,negative,-0.835,NOUN
useful,0.0627188626979564,0.11493781043471123,0.052218947736754825,0.052218947736754825,positive,0.203,ADJ
pandemic,0.08885172215543825,0.03694429621115718,-0.05190742594428108,0.05190742594428108,negative,-0.87,ADJ
come,0.08362515026394188,0.13546241944090964,0.051837269176967765,0.051837269176967765,positive,0.87,NOUN
change,0.0313594313489782,0.08209843602479372,0.05073900467581552,0.05073900467581552,negative,-0.261,NOUN
biology,0.11498458161292009,0.06567874881983499,-0.049305832793085105,0.049305832793085105,negative,-0.815,NOUN
interest,0.0,0.04925906161487623,0.04925906161487623,0.04925906161487623,positive,0.659,NOUN
high,0.2090628756598547,0.16009195024834777,-0.04897092541150694,0.04897092541150694,positive,0.132,ADJ
key,0.02090628756598547,0.06978367062107467,0.0488773830550892,0.0488773830550892,positive,0.847,ADJ
individual,0.04181257513197094,0.0903082796272731,0.04849570449530216,0.04849570449530216,positive,0.169,ADJ
boring,0.04703914702346731,0.09441320142851278,0.047374054405045475,0.047374054405045475,negative,-0.733,NOUN
negative,0.04703914702346731,0.0,-0.04703914702346731,0.04703914702346731,negative,-0.889,ADJ
simple,0.12021115350441647,0.07388859242231435,-0.046322561082102115,0.046322561082102115,positive,0.855,ADJ
application,0.0156797156744891,0.0615738270185953,0.045894111344106196,0.045894111344106196,positive,0.998,NOUN
short,0.09407829404693462,0.13956734124214934,0.045489047195214724,0.045489047195214724,negative,-0.176,ADJ
copy,0.057492290806460046,0.012314765403719058,-0.04517752540274099,0.04517752540274099,positive,0.863,NOUN
encourages,0.0,0.04515413981363655,0.04515413981363655,0.04515413981363655,positive,0.852,NOUN
chill,0.0,0.04515413981363655,0.04515413981363655,0.04515413981363655,positive,0.855,VERB
solve,0.0,0.04515413981363655,0.04515413981363655,0.04515413981363655,positive,0.794,VERB
workload,0.10975800972142372,0.06567874881983499,-0.04407926090158873,0.04407926090158873,negative,-0.88,NOUN
ton,0.02613285945748184,0.06978367062107467,0.04365081116359283,0.04365081116359283,positive,0.842,NOUN
succeed,0.10453143782992735,0.1477771848446287,0.04324574701470135,0.04324574701470135,positive,0.148,VERB
average,0.1620237286363874,0.11904273223595091,-0.04298099640043648,0.04298099640043648,positive,0.903,ADJ
helpful,0.6010557675220822,0.5582693649685974,-0.04278640255348487,0.04278640255348487,negative,-0.836,ADJ
calculus,0.0627188626979564,0.02052460900619843,-0.04219425369175797,0.04219425369175797,positive,0.805,ADJ
completion,0.0627188626979564,0.02052460900619843,-0.04219425369175797,0.04219425369175797,positive,0.804,NOUN
worksheet,0.0627188626979564,0.02052460900619843,-0.04219425369175797,0.04219425369175797,negative,-0.758,NOUN
calculator,0.04181257513197094,0.0,-0.04181257513197094,0.04181257513197094,positive,0.223,NOUN
understandable,0.04181257513197094,0.0,-0.04181257513197094,0.04181257513197094,negative,-0.865,ADJ
partially,0.04181257513197094,0.0,-0.04181257513197094,0.04181257513197094,positive,0.953,ADV
proof,0.04181257513197094,0.0,-0.04181257513197094,0.04181257513197094,negative,-0.62,VERB
cheat,0.04181257513197094,0.0,-0.04181257513197094,0.04181257513197094,negative,-0.578,ADJ
general,0.07317200648094915,0.11493781043471123,0.04176580395376207,0.04176580395376207,negative,-0.853,ADJ
super,0.36586003240474574,0.3242888222979352,-0.04157121010681053,0.04157121010681053,positive,0.767,NOUN
allowed,0.0783985783724455,0.03694429621115718,-0.041454282161288325,0.041454282161288325,positive,0.874,VERB
code,0.057492290806460046,0.016419687204958747,-0.0410726036015013,0.0410726036015013,positive,0.135,ADJ
slide,0.0,0.04104921801239686,0.04104921801239686,0.04104921801239686,positive,0.792,NOUN
likes,0.0,0.04104921801239686,0.04104921801239686,0.04104921801239686,positive,0.588,NOUN
recommended,0.05226571891496368,0.012314765403719058,-0.03995095351124462,0.03995095351124462,positive,0.866,VERB
effort,0.12021115350441647,0.16009195024834777,0.0398807967439313,0.0398807967439313,positive,0.137,NOUN
try,0.10453143782992735,0.14367226304338904,0.03914082521346168,0.03914082521346168,negative,-0.317,NOUN
clear,0.2770083102493075,0.23808546447190182,-0.03892284577740568,0.03892284577740568,positive,0.857,ADJ
student,0.18293001620237287,0.22166577726694306,0.03873576106457019,0.03873576106457019,positive,0.78,NOUN
fall,0.05226571891496368,0.0903082796272731,0.03804256071230942,0.03804256071230942,negative,-0.465,NOUN
terrible,0.057492290806460046,0.02052460900619843,-0.036967681800261616,0.036967681800261616,negative,-0.52,ADJ
respond,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.169,NOUN
standardized,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.79,VERB
module,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.678,NOUN
sucks,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,negative,-0.835,NOUN
discuss,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.833,VERB
offer,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.792,VERB
bacon,0.0,0.03694429621115718,0.03694429621115718,0.03694429621115718,positive,0.797,ADJ
ask,0.17247687241938012,0.20935101186322402,0.036874139443843906,0.036874139443843906,positive,0.504,NOUN
confused,0.09407829404693462,0.05746890521735561,-0.036609388829579,0.036609388829579,negative,-0.329,VERB
queen,0.03658600324047458,0.0,-0.03658600324047458,0.03658600324047458,positive,0.183,ADJ
unclear,0.03658600324047458,0.0,-0.03658600324047458,0.03658600324047458,negative,-0.608,ADJ
explanation,0.03658600324047458,0.0,-0.03658600324047458,0.03658600324047458,positive,0.137,NOUN
late,0.03658600324047458,0.0,-0.03658600324047458,0.03658600324047458,negative,-0.169,ADV
pass,0.03658600324047458,0.0,-0.03658600324047458,0.03658600324047458,positive,0.909,NOUN
relevant,0.02090628756598547,0.05746890521735561,0.036562617651370144,0.036562617651370144,positive,0.835,ADJ
decent,0.07317200648094915,0.03694429621115718,-0.03622771026979198,0.03622771026979198,positive,0.853,NOUN
horrible,0.05226571891496368,0.016419687204958747,-0.03584603171000493,0.03584603171000493,negative,-0.788,ADJ
busy,0.05226571891496368,0.016419687204958747,-0.03584603171000493,0.03584603171000493,negative,-0.88,ADJ
stress,0.02613285945748184,0.0615738270185953,0.03544096756111346,0.03544096756111346,negative,-0.329,NOUN
friends,0.06794543458945278,0.03283937440991749,-0.035106060179535284,0.035106060179535284,positive,0.815,NOUN
prepare,0.04703914702346731,0.08209843602479372,0.03505928900132641,0.03505928900132641,positive,0.113,VERB
mandatory,0.04703914702346731,0.08209843602479372,0.03505928900132641,0.03505928900132641,positive,0.168,ADJ
job,0.10453143782992735,0.06978367062107467,-0.034747767208852684,0.034747767208852684,negative,-0.766,NOUN
available,0.0313594313489782,0.06567874881983499,0.034319317470856786,0.034319317470856786,positive,0.92,ADJ
provides,0.05226571891496368,0.08620335782603342,0.03393763891106974,0.03393763891106974,positive,0.847,VERB
confident,0.0156797156744891,0.04925906161487623,0.03357934594038713,0.03357934594038713,positive,0.984,ADJ
remember,0.0156797156744891,0.04925906161487623,0.03357934594038713,0.03357934594038713,positive,0.992,VERB
group,0.2508754507918256,0.21756085546570336,-0.03331459532612224,0.03331459532612224,positive,0.831,NOUN
cool,0.03658600324047458,0.06978367062107467,0.03319766738060009,0.03319766738060009,positive,0.846,ADJ
passion,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,positive,0.999,NOUN
fail,0.0,0.03283937440991749,0.03283937440991749,0.03283937440991749,negative,-0.15,NOUN
