quarter_taken,year_taken,gender_guess,Overall rating,Easiness rating,Workload rating,Clarity rating,Helpfulness rating,pre_covid,pos_score,neg_score,review_is_positive,upper_div,time_taken
1,2013,Female,4.333333333,3.333333333,3.333333333,4.333333333,4.333333333,1,0.339166667,0.011166667,1,0.666666667,2013.1
1,2013,Male,3.625,2.8125,3,3.6875,3.625,1,0.1985625,0.0496875,0.875,0.1875,2013.1
1,2014,Female,3.882352941,3.411764706,3.352941176,3.823529412,3.882352941,0.941176471,0.162235294,0.036,0.764705882,0.235294118,2014.1
1,2014,Male,3.947368421,3.263157895,3.131578947,3.763157895,3.657894737,0.973684211,0.180973684,0.046315789,0.842105263,0.421052632,2014.1
1,2015,Female,3.887573964,3.24260355,3.059171598,3.923076923,3.917159763,0.99408284,0.170130178,0.046230769,0.828402367,0.266272189,2015.1
1,2015,Male,3.837104072,3.167420814,3.14479638,3.726244344,3.78959276,0.997737557,0.164070136,0.047961538,0.809954751,0.2760181,2015.1
1,2016,Female,3.617142857,3.105714286,2.985714286,3.551428571,3.62,0.997142857,0.157517143,0.051122857,0.8,0.32,2016.1
1,2016,Male,3.865116279,3.160465116,3.110465116,3.71744186,3.760465116,0.995348837,0.166751163,0.050653488,0.829069767,0.259302326,2016.1
1,2017,Female,3.786764706,3.259803922,3.053921569,3.762254902,3.801470588,0.973039216,0.166058824,0.049681373,0.816176471,0.397058824,2017.1
1,2017,Male,3.833161689,3.153450051,3.130792997,3.656024717,3.753861998,0.993820803,0.157603502,0.052989701,0.802265705,0.326467559,2017.1
1,2018,Female,3.794676806,3.323193916,3.127376426,3.760456274,3.836501901,0.963878327,0.168045627,0.051846008,0.838403042,0.317490494,2018.1
1,2018,Male,3.765811966,3.257264957,3.193162393,3.635897436,3.698290598,0.976923077,0.163483761,0.055692308,0.809401709,0.300854701,2018.1
1,2019,Female,3.688711517,3.351197263,3.231470924,3.553021665,3.637400228,0.825541619,0.162489168,0.058795895,0.816419612,0.328392246,2019.1
1,2019,Male,3.838862559,3.171800948,3.20556872,3.716824645,3.880924171,0.82049763,0.167487559,0.056713863,0.844194313,0.245260664,2019.1
1,2020,Female,4.058465286,3.518879415,3.309378806,3.907429963,4.028014616,0.001218027,0.175777101,0.045998782,0.891595615,0.347137637,2020.1
1,2020,Male,3.937673901,3.214802449,3.195325543,3.853088481,3.93934335,0.001669449,0.170668336,0.053816917,0.852531998,0.315525876,2020.1
1,2021,Female,3.880073801,3.433579336,3.333948339,3.747232472,3.929889299,0,0.16850369,0.051902214,0.874538745,0.328413284,2021.1
1,2021,Male,3.828365879,3.2004111,3.340184995,3.69270298,3.821171634,0,0.165086331,0.057559096,0.832476876,0.34635149,2021.1
3,2013,Female,5,4,3.333333333,5,5,1,0.170666667,0.044,1,0.666666667,2013.3
3,2013,Male,3.142857143,2.714285714,2.571428571,2.857142857,3.285714286,1,0.159,0.046,0.714285714,0,2013.3
3,2014,Female,4,3.25,3.25,3.75,3.75,1,0.1345,0.0625,0.75,0.25,2014.3
3,2014,Male,3.826086957,3,2.913043478,3.869565217,4,1,0.180130435,0.076086957,0.739130435,0.47826087,2014.3
3,2015,Female,4.25,3.583333333,3.388888889,4.138888889,4.055555556,1,0.187888889,0.048916667,0.805555556,0.5,2015.3
3,2015,Male,3.767123288,2.945205479,3.123287671,3.739726027,3.767123288,1,0.153849315,0.05130137,0.726027397,0.397260274,2015.3
3,2016,Female,3.617449664,3.154362416,2.986577181,3.523489933,3.604026846,1,0.167409396,0.064503356,0.791946309,0.375838926,2016.3
3,2016,Male,3.674666667,3.093333333,3.149333333,3.576,3.645333333,0.997333333,0.165554667,0.059034667,0.794666667,0.370666667,2016.3
3,2017,Female,3.762931034,3.25,3.081896552,3.642241379,3.797413793,0.99137931,0.167150862,0.056241379,0.806034483,0.431034483,2017.3
3,2017,Male,3.798951049,3.083916084,3.06993007,3.65034965,3.77972028,0.987762238,0.164818182,0.05226049,0.825174825,0.377622378,2017.3
3,2018,Female,3.744444444,3.262962963,3.02962963,3.722222222,3.8,0.996296296,0.15897037,0.057437037,0.774074074,0.511111111,2018.3
3,2018,Male,3.805825243,3.219417476,3.25631068,3.691262136,3.765048544,0.978640777,0.163578641,0.058333981,0.801941748,0.434951456,2018.3
3,2019,Female,3.708762887,3.182989691,3.06185567,3.639175258,3.734536082,0.93814433,0.160319588,0.058507732,0.81185567,0.448453608,2019.3
3,2019,Male,3.807506053,3.199757869,3.196125908,3.663438257,3.778450363,0.943099274,0.165236077,0.056671913,0.823244552,0.429782082,2019.3
3,2020,Female,4.064864865,3.54954955,3.418018018,3.879279279,4.07027027,0.001801802,0.176691892,0.049807207,0.846846847,0.376576577,2020.3
3,2020,Male,4.128597122,3.329136691,3.264388489,3.991007194,4.131294964,0,0.175384892,0.054244604,0.856115108,0.428956835,2020.3
3,2021,Female,3.97689769,3.481848185,3.336633663,3.924092409,4.04950495,0,0.170867987,0.051158416,0.874587459,0.465346535,2021.3
3,2021,Male,3.916540212,3.22306525,3.24430956,3.833080425,3.957511381,0,0.169292868,0.053682853,0.861911988,0.468892261,2021.3
4,2013,Male,1,3,3,2,1,1,0.163,0.053,1,0,2013.4
4,2014,Male,4,3.166666667,3.5,4,4.333333333,1,0.190833333,0.048166667,1,0.5,2014.4
4,2015,Female,4.6,3.2,3.4,4.6,4.6,1,0.1686,0.0154,1,0.6,2015.4
4,2015,Male,4.085714286,2.914285714,3.314285714,4,4.057142857,1,0.2034,0.0444,0.885714286,0.514285714,2015.4
