word,female,male,difference,difference_abs,POLARITY VALUE,POLARITY INTENSITY,POS
homework,0.32346572173827454,0.5088002612291375,0.18533453949086293,0.18533453949086293,negative,-0.401,NOUN
problems,0.17631281066981644,0.35118364219980885,0.17487083152999242,0.17487083152999242,negative,-0.487,NOUN
readings,0.3634529258329642,0.24882703302936837,-0.11462589280359581,0.11462589280359581,positive,0.819,VERB
physics,0.05462867267089916,0.14589479875623113,0.09126612608533197,0.09126612608533197,positive,0.812,NOUN
group,0.17828141148678575,0.09262331197938635,-0.0856580995073994,0.0856580995073994,positive,0.831,NOUN
math,0.09990649146119396,0.18367673731505427,0.08377024585386031,0.08377024585386031,positive,0.819,NOUN
work,0.38227767114523353,0.3037207360047222,-0.07855693514051132,0.07855693514051132,positive,0.957,NOUN
hard,0.4046705054382598,0.47593730082063207,0.0712667953823723,0.0712667953823723,negative,-0.188,ADV
good,0.5488705152812638,0.6197912469400293,0.07092073165876545,0.07092073165876545,positive,0.386,ADJ
problem,0.09867611595058812,0.16295423361797123,0.06427811766738312,0.06427811766738312,negative,-0.522,NOUN
understand,0.2732664009055564,0.3364790373036464,0.06321263639809005,0.06321263639809005,positive,0.798,NOUN
funny,0.06496382695998819,0.12470132906603258,0.05973750210604439,0.05973750210604439,positive,0.949,ADJ
best,0.2437373886510163,0.29660391655319873,0.052866527902182436,0.052866527902182436,positive,0.86,ADV
research,0.12242236330528077,0.07195313783709391,-0.05046922546818686,0.05046922546818686,positive,0.895,NOUN
credit,0.20621093557753825,0.1579305963580723,-0.04828033921946595,0.04828033921946595,positive,0.802,NOUN
extra,0.21076332496677985,0.16525673402875823,-0.04550659093802162,0.04550659093802162,positive,0.896,ADJ
reader,0.059427137162261924,0.10424047314290259,0.04481333598064067,0.04481333598064067,positive,0.754,NOUN
essay,0.16880752005512084,0.12532928372351995,-0.04347823633160089,0.04347823633160089,positive,0.782,NOUN
lab,0.1915694670013288,0.14924389026283041,-0.04232557673849838,0.04232557673849838,positive,0.824,NOUN
sweet,0.06090358777498892,0.018786310169830338,-0.042117277605158585,0.042117277605158585,positive,0.847,ADJ
weekly,0.15367390127466904,0.11266553146419142,-0.04100836981047762,0.04100836981047762,positive,0.823,ADJ
chemistry,0.04355529307544662,0.07870365040508309,0.03514835732963647,0.03514835732963647,positive,0.827,NOUN
difficult,0.32531128500418327,0.36002733695942263,0.03471605195523936,0.03471605195523936,negative,-0.854,ADJ
write,0.19046212904178356,0.15630838015956328,-0.03415374888222028,0.03415374888222028,positive,0.119,ADJ
test,0.17618977311875586,0.21005083292952362,0.03386105981076776,0.03386105981076776,positive,0.849,NOUN
easy,0.709311481864265,0.6756268819016141,-0.03368459996265083,0.03368459996265083,positive,0.952,ADJ
feedback,0.060288400019686,0.027420686710281608,-0.0328677133094044,0.0328677133094044,positive,0.833,NOUN
super,0.24927407844874258,0.21701066371667524,-0.03226341473206734,0.03226341473206734,positive,0.767,ADJ
assignment,0.09572321472513412,0.06358040907059571,-0.032142805654538406,0.032142805654538406,positive,0.296,NOUN
clicker,0.053029184507111575,0.020984151471036112,-0.03204503303607546,0.03204503303607546,negative,-0.789,NOUN
great,0.37686401889856785,0.40733325449013746,0.03046923559156961,0.03046923559156961,positive,0.834,ADJ
short,0.13854028249421724,0.10811286019740801,-0.030427422296809226,0.030427422296809226,negative,-0.176,ADJ
learn,0.24472168905950095,0.274625503541141,0.029903814481640062,0.029903814481640062,positive,0.556,NOUN
loved,0.08858703676362026,0.05881841958464986,-0.029768617178970398,0.029768617178970398,positive,0.607,VERB
workload,0.11024164575028299,0.08137245769940439,-0.028869188050878597,0.028869188050878597,negative,-0.88,ADJ
art,0.04232491756484079,0.014442957122209396,-0.027881960442631394,0.027881960442631394,positive,0.178,NOUN
studies,0.04798464491362764,0.02328665188182312,-0.02469799303180452,0.02469799303180452,negative,-0.78,NOUN
old,0.030390275111964175,0.053847111879541554,0.02345683676757738,0.02345683676757738,negative,-0.587,ADJ
recommend,0.4075003691126532,0.38404660260831436,-0.023453766504338835,0.023453766504338835,positive,0.875,VERB
little,0.17151434617845368,0.19492759159503623,0.023413245416582545,0.023413245416582545,positive,0.989,ADJ
student,0.15047492494709386,0.12946331855197843,-0.02101160639511543,0.02101160639511543,positive,0.78,NOUN
science,0.05758157389635317,0.07755240019968958,0.01997082630333641,0.01997082630333641,positive,0.806,NOUN
honestly,0.14444608494512526,0.12459666995645133,-0.01984941498867393,0.01984941498867393,positive,0.148,ADV
solve,0.014395393474088292,0.034066540168689555,0.019671146694601262,0.019671146694601262,positive,0.794,VERB
harder,0.0732073428810473,0.09272797108896758,0.019520628207920276,0.019520628207920276,negative,-0.949,ADJ
participate,0.04207884246271962,0.022763356333916983,-0.019315486128802635,0.019315486128802635,positive,0.837,NOUN
amazing,0.1282051282051282,0.10905479218363905,-0.019150336021489148,0.019150336021489148,positive,0.864,ADJ
lecturer,0.12180717554997784,0.1408188319415416,0.019011656391563755,0.019011656391563755,positive,0.287,NOUN
cool,0.05032235838377873,0.0688656941044477,0.018543335720668977,0.018543335720668977,positive,0.846,NOUN
say,0.1975983070032974,0.2156500952921193,0.018051788288821896,0.018051788288821896,positive,0.967,VERB
sense,0.05561297307938382,0.07352302448081233,0.017910051401428505,0.017910051401428505,positive,0.875,NOUN
philosophy,0.018455632659087555,0.0361597223603141,0.01770408970122655,0.01770408970122655,negative,-0.862,NOUN
draft,0.026453073478025495,0.00879136520482311,-0.017661708273202383,0.017661708273202383,negative,-0.807,NOUN
knows,0.05548993552832325,0.07252876293979066,0.017038827411467408,0.017038827411467408,positive,0.802,VERB
professors,0.16770018209557558,0.1845663397464947,0.016866157650919117,0.016866157650919117,positive,0.844,NOUN
humor,0.01402628082090654,0.030822107771671502,0.016795826950764963,0.016795826950764963,positive,0.857,NOUN
calculus,0.018824745312269305,0.03542710859324551,0.016602363280976203,0.016602363280976203,positive,0.805,NOUN
pang,0.005536689797726266,0.02192608345726716,0.016389393659540896,0.016389393659540896,negative,-0.943,NOUN
code,0.013288055514543037,0.029042902908790632,0.015754847394247595,0.015754847394247595,positive,0.135,NOUN
improve,0.037403415522417445,0.02171676523810471,-0.015686650284312736,0.015686650284312736,positive,0.895,VERB
generous,0.03555785225650868,0.05091665681126718,0.0153588045547585,0.0153588045547585,positive,0.842,ADJ
smart,0.018824745312269305,0.03417119927827078,0.015346453966001476,0.015346453966001476,positive,0.906,NOUN
learned,0.16290171760421282,0.14756934450953077,-0.01533237309468205,0.01533237309468205,positive,0.774,VERB
helpful,0.31731384418524533,0.30215084936100384,-0.015162994824241494,0.015162994824241494,negative,-0.836,ADJ
real,0.044047443279688965,0.05902773780381231,0.014980294524123347,0.014980294524123347,positive,0.887,ADJ
writer,0.026206998375904327,0.011250854279981957,-0.01495614409592237,0.01495614409592237,positive,0.842,NOUN
issues,0.04097150450317437,0.026060118285725648,-0.014911386217448721,0.014911386217448721,negative,-0.789,NOUN
challenging,0.06434863920468527,0.07906995728861738,0.014721318083932108,0.014721318083932108,positive,0.842,VERB
board,0.02509966041635907,0.039508813866913385,0.014409153450554314,0.014409153450554314,positive,0.826,NOUN
better,0.16536246862542447,0.17969969115096762,0.014337222525543147,0.014337222525543147,positive,0.962,ADV
wanted,0.0580737241005955,0.04379983735974371,-0.01427388674085179,0.01427388674085179,negative,-0.408,VERB
learning,0.17926571189527044,0.16541372269313007,-0.013851989202140369,0.013851989202140369,positive,0.801,VERB
teach,0.08723362370195384,0.1008390520815127,0.01360542837955886,0.01360542837955886,negative,-0.896,NOUN
high,0.09006348737634726,0.10366484804020584,0.013601360663858586,0.013601360663858586,positive,0.132,ADJ
make,0.38953688665780795,0.40309456055209775,0.013557673894289801,0.013557673894289801,positive,0.817,VERB
wonderful,0.03666519021605394,0.02354829965577619,-0.01311689056027775,0.01311689056027775,positive,0.822,ADJ
answer,0.19526059353314631,0.18215918022612648,-0.013101413307019832,0.013101413307019832,positive,0.248,ADJ
help,0.2859392686647965,0.27295095778784134,-0.012988310876955178,0.012988310876955178,positive,0.84,NOUN
impossible,0.03887986613514444,0.051753929687917005,0.012874063552772562,0.012874063552772562,negative,-0.832,ADJ
useful,0.052413996751808654,0.06515029571431412,0.012736298962505464,0.012736298962505464,positive,0.203,ADJ
social,0.03223583837787292,0.01951892393689893,-0.012716914440973993,0.012716914440973993,positive,0.879,ADJ
average,0.1077808947290713,0.12020098735403979,0.012420092624968487,0.012420092624968487,positive,0.903,NOUN
professor,1.3375412175796053,1.3251413159627121,-0.012399901616893194,0.012399901616893194,positive,0.885,NOUN
difficulty,0.03752645307347803,0.049765406605873676,0.012238953532395645,0.012238953532395645,negative,-0.209,NOUN
fair,0.1742211723017865,0.18639787416416617,0.01217670186237968,0.01217670186237968,positive,0.925,ADJ
love,0.08022048329150057,0.06839472811133217,-0.011825755180168401,0.011825755180168401,positive,0.66,VERB
journal,0.01599488163787588,0.004343353047620941,-0.011651528590254938,0.011651528590254938,positive,0.871,NOUN
reilly,0.01168856735075545,0.000209318219162455,-0.011479249131592994,0.011479249131592994,negative,-0.866,NOUN
time,0.6236773463260987,0.6350714769388885,0.011394130612789821,0.011394130612789821,positive,0.492,NOUN
specific,0.057335498794232,0.04594534910615888,-0.011390149688073122,0.011390149688073122,negative,-0.3,ADJ
boring,0.13091195432846106,0.14217940036609758,0.01126744603763652,0.01126744603763652,negative,-0.733,VERB
knowledge,0.06656331512377578,0.07776171841885203,0.01119840329507625,0.01119840329507625,positive,0.801,NOUN
experiment,0.01796348245484522,0.006907501232361015,-0.011055981222484204,0.011055981222484204,positive,0.826,NOUN
tough,0.05844283675377726,0.06949364876193506,0.011050812008157801,0.011050812008157801,negative,-0.871,ADJ
pandemic,0.027068261233328412,0.016065173320718423,-0.01100308791260999,0.01100308791260999,negative,-0.87,ADJ
caring,0.040479354298932034,0.029513868901906156,-0.010965485397025878,0.010965485397025878,positive,0.694,NOUN
finals,0.057704611447413755,0.06860404633049463,0.010899434883080879,0.010899434883080879,positive,0.812,NOUN
beatles,0.011073379595452532,0.000209318219162455,-0.010864061376290077,0.010864061376290077,positive,0.833,VERB
reflection,0.017717407352724052,0.006907501232361015,-0.010809906120363037,0.010809906120363037,positive,0.223,NOUN
greene,0.015256656331512377,0.004500341711992783,-0.010756314619519595,0.010756314619519595,positive,0.857,NOUN
dropped,0.04220188001378021,0.03145006242915886,-0.010751817584621348,0.010751817584621348,negative,-0.794,VERB
useless,0.029775087356661255,0.040241427633981974,0.01046634027732072,0.01046634027732072,negative,-0.973,ADJ
effort,0.11061075840346474,0.10021109742402534,-0.010399660979439396,0.010399660979439396,positive,0.137,NOUN
easier,0.0898174122742261,0.10021109742402534,0.010393685149799242,0.010393685149799242,positive,0.863,ADJ
opinions,0.022392834293026232,0.012035797601841163,-0.01035703669118507,0.01035703669118507,negative,-0.838,NOUN
idea,0.04429351838181013,0.054579725646610136,0.010286207264800007,0.010286207264800007,positive,0.465,NOUN
presentation,0.03937201633938678,0.02919989157316247,-0.010172124766224307,0.010172124766224307,positive,0.627,NOUN
end,0.16622373148284855,0.1761936109799965,0.009969879497147949,0.009969879497147949,negative,-0.485,NOUN
content,0.10728874452482899,0.0973853014653322,-0.009903443059496794,0.009903443059496794,positive,0.996,NOUN
solid,0.022884984497268567,0.03265364218934298,0.009768657692074415,0.009768657692074415,positive,0.859,VERB
disorganized,0.03641911511393277,0.026688072943213015,-0.009731042170719753,0.009731042170719753,negative,-0.815,ADJ
major,0.11774693636497859,0.1274747954699351,0.009727859104956507,0.009727859104956507,positive,0.836,ADJ
rude,0.02608396082484374,0.016431480204252717,-0.009652480620591024,0.009652480620591024,negative,-0.831,NOUN
proposal,0.013780205718785373,0.004134034828458486,-0.009646170890326888,0.009646170890326888,positive,0.544,NOUN
allowed,0.03654215266499335,0.026949720717166083,-0.00959243194782727,0.00959243194782727,positive,0.874,VERB
solving,0.0076283281657561885,0.017059434861740084,0.009431106695983895,0.009431106695983895,positive,0.268,VERB
oral,0.012795905310300705,0.0034014210613898936,-0.009394484248910812,0.009394484248910812,positive,0.779,ADJ
response,0.04269403021802254,0.03338625595641157,-0.009307774261610967,0.009307774261610967,positive,0.638,NOUN
busy,0.02571484817166199,0.016431480204252717,-0.009283367967409271,0.009283367967409271,negative,-0.88,ADJ
basic,0.03297406368423643,0.0422299507160253,0.009255887031788868,0.009255887031788868,positive,0.797,ADJ
helped,0.07037747920665387,0.06122557910501809,-0.00915190010163578,0.00915190010163578,positive,0.389,VERB
median,0.008243515921059107,0.017373412190483765,0.009129896269424658,0.009129896269424658,positive,0.881,ADJ
attend,0.08034352084256115,0.08937887958236829,0.00903535873980714,0.00903535873980714,positive,0.867,NOUN
likes,0.020424233476056892,0.02940920979232493,0.008984976316268038,0.008984976316268038,positive,0.588,NOUN
analysis,0.0399872040946897,0.031083755545624567,-0.008903448549065131,0.008903448549065131,positive,0.198,VERB
partial,0.012795905310300705,0.021664435683314096,0.00886853037301339,0.00886853037301339,positive,0.978,ADJ
cumulative,0.02842167429499483,0.019571253491689544,-0.008850420803305288,0.008850420803305288,positive,0.837,ADJ
prof,0.07025444165559329,0.07901762773382677,0.008763186078233481,0.008763186078233481,positive,0.241,NOUN
lost,0.026945223682267826,0.03568875636719858,0.008743532684930753,0.008743532684930753,negative,-0.907,VERB
look,0.06570205226635169,0.07441262691225276,0.008710574645901067,0.008710574645901067,positive,0.951,NOUN
woo,0.009596928982725529,0.0008896024314404339,-0.008707326551285095,0.008707326551285095,positive,0.771,NOUN
bad,0.22454353068556526,0.21596407262086298,-0.008579458064702283,0.008579458064702283,negative,-0.833,ADJ
completion,0.022392834293026232,0.01381500246472203,-0.008577831828304202,0.008577831828304202,positive,0.804,NOUN
small,0.04835375756680939,0.03982279119565706,-0.008530966371152325,0.008530966371152325,negative,-0.302,ADJ
