,word,Male Count,Female Count,Difference,male,female,Difference %,Abs Difference %
60,guy,3851.0,69.0,3782.0,0.20152111549865356,0.008489591023180275,0.19303152447547328,0.19303152447547328
400,homework,9723.0,2629.0,7094.0,0.5088002612291375,0.32346572173827454,0.18533453949086293,0.18533453949086293
171,problems,6711.0,1433.0,5278.0,0.35118364219980885,0.17631281066981644,0.17487083152999242,0.17487083152999242
259,readings,4755.0,2954.0,1801.0,0.24882703302936837,0.3634529258329642,-0.11462589280359581,0.11462589280359581
623,physics,2788.0,444.0,2344.0,0.14589479875623113,0.05462867267089916,0.09126612608533197,0.09126612608533197
668,paper,4006.0,2429.0,1577.0,0.2096321964911987,0.29885821152615777,-0.08922601503495906,0.08922601503495906
1011,midterms,5265.0,1534.0,3731.0,0.2755151059725814,0.18873960332693537,0.08677550264564601,0.08677550264564601
501,group,1770.0,1449.0,321.0,0.09262331197938635,0.17828141148678575,-0.0856580995073994,0.0856580995073994
36,tests,8285.0,2834.0,5451.0,0.43355036144023495,0.3486884197056942,0.08486194173454076,0.08486194173454076
166,math,3510.0,812.0,2698.0,0.18367673731505427,0.09990649146119396,0.08377024585386031,0.08377024585386031
1097,participation,1590.0,1344.0,246.0,0.08320399211707587,0.16536246862542447,-0.08215847650834861,0.08215847650834861
321,writing,2587.0,1763.0,824.0,0.13537655824331776,0.21691520251980903,-0.08153864427649127,0.08153864427649127
217,dr.,2632.0,1773.0,859.0,0.1377313882088954,0.21814557803041487,-0.08041418982151946,0.08041418982151946
33,final,19485.0,7646.0,11839.0,1.019641375095109,0.9407451154092229,0.0788962596858861,0.0788962596858861
73,work,5804.0,3107.0,2697.0,0.3037207360047222,0.38227767114523353,-0.07855693514051132,0.07855693514051132
265,reading,4914.0,2694.0,2220.0,0.257147432241076,0.3314631625572125,-0.07431573031613647,0.07431573031613647
320,assignments,3548.0,2093.0,1455.0,0.1856652603970976,0.25751759436980165,-0.07185233397270405,0.07185233397270405
227,hard,9095.0,3289.0,5806.0,0.47593730082063207,0.4046705054382598,0.0712667953823723,0.0712667953823723
451,man,1489.0,55.0,1434.0,0.07791870708322388,0.006767065308332103,0.07115164177489178,0.07115164177489178
116,good,11844.0,4461.0,7383.0,0.6197912469400293,0.5488705152812638,0.07092073165876545,0.07092073165876545
3,points,4450.0,2457.0,1993.0,0.2328665188182312,0.30230326295585414,-0.06943674413762294,0.06943674413762294
34,midterm,13751.0,5297.0,8454.0,0.7195837079257297,0.6517299079679119,0.06785379995781782,0.06785379995781782
151,problem,3114.0,802.0,2312.0,0.16295423361797123,0.09867611595058812,0.06427811766738312,0.06427811766738312
190,understand,6430.0,2221.0,4209.0,0.3364790373036464,0.2732664009055564,0.06321263639809005,0.06321263639809005
390,papers,2424.0,1530.0,894.0,0.12684684081244774,0.18824745312269303,-0.061400612310245295,0.061400612310245295
32,grade,9766.0,4645.0,5121.0,0.5110504320851339,0.5715094246764112,-0.060458992591277294,0.060458992591277294
526,funny,2383.0,528.0,1855.0,0.12470132906603258,0.06496382695998819,0.05973750210604439,0.05973750210604439
662,interesting,7167.0,3529.0,3638.0,0.3750459191843288,0.43419951769279985,-0.05915359850847107,0.05915359850847107
329,--,4392.0,2345.0,2047.0,0.2298314046403756,0.2885230572370688,-0.05869165259669318,0.05869165259669318
660,quizzes,4911.0,2563.0,2348.0,0.25699044357670414,0.315345243368276,-0.058354799791571876,0.058354799791571876
238,notes,5806.0,2028.0,3778.0,0.30382539511430345,0.24952015355086374,0.054305241563439716,0.054305241563439716
234,best,5668.0,1981.0,3687.0,0.29660391655319873,0.2437373886510163,0.052866527902182436,0.052866527902182436
832,research,1375.0,995.0,380.0,0.07195313783709391,0.12242236330528077,-0.05046922546818686,0.05046922546818686
612,week,6070.0,2990.0,3080.0,0.3176403975790255,0.36788227767114523,-0.05024188009211972,0.05024188009211972
1277,essays,2313.0,1383.0,930.0,0.1210382602306896,0.17016093311678723,-0.04912267288609763,0.04912267288609763
342,credit,3018.0,1676.0,1342.0,0.1579305963580723,0.20621093557753825,-0.04828033921946595,0.04828033921946595
274,concepts,4892.0,1704.0,3188.0,0.2559961820356825,0.20965598700723462,0.046340195028447856,0.046340195028447856
341,extra,3158.0,1713.0,1445.0,0.16525673402875823,0.21076332496677985,-0.04550659093802162,0.04550659093802162
1414,lavelle,945.0,36.0,909.0,0.04945142927713,0.004429351838181013,0.04502207743894898,0.04502207743894898
1328,reader,1992.0,483.0,1509.0,0.10424047314290259,0.059427137162261924,0.04481333598064067,0.04481333598064067
551,essay,2395.0,1372.0,1023.0,0.12532928372351995,0.16880752005512084,-0.04347823633160089,0.04347823633160089
244,lab,2852.0,1557.0,1295.0,0.14924389026283041,0.1915694670013288,-0.04232557673849838,0.04232557673849838
5464,sweet,359.0,495.0,-136.0,0.018786310169830338,0.06090358777498892,-0.042117277605158585,0.042117277605158585
521,textbook,4836.0,1716.0,3120.0,0.25306572696740814,0.21113243761996162,0.04193328934744653,0.04193328934744653
1015,weekly,2153.0,1249.0,904.0,0.11266553146419142,0.15367390127466904,-0.04100836981047762,0.04100836981047762
680,person,2236.0,1280.0,956.0,0.11700888451181236,0.1574880653575471,-0.04047918084573475,0.04047918084573475
127,exams,10281.0,4052.0,6229.0,0.5380001528023,0.49854815689748516,0.039451995904814796,0.039451995904814796
1355,practice,3648.0,1232.0,2416.0,0.19089821587615896,0.1515822629066391,0.03931595296951987,0.03931595296951987
68,hours,8405.0,3259.0,5146.0,0.4398299080151086,0.40097937890644225,0.03885052910866632,0.03885052910866632
109,curve,2349.0,685.0,1664.0,0.1229221242031517,0.08428072247649983,0.03864140172665187,0.03864140172665187
1223,hw,1488.0,321.0,1167.0,0.07786637752843327,0.039495053890447364,0.038371323637985906,0.038371323637985906
926,chem,1592.0,373.0,1219.0,0.0833086512266571,0.04589300654559771,0.03741564468105938,0.03741564468105938
1413,scerri,752.0,18.0,734.0,0.039351825202541546,0.0022146759190905065,0.03713714928345104,0.03713714928345104
2479,cs,868.0,73.0,795.0,0.04542205355825273,0.00898174122742261,0.03644031233083012,0.03644031233083012
1831,*,2570.0,798.0,1772.0,0.13448695581187733,0.09818396574634577,0.03630299006553156,0.03630299006553156
