"proportions","deptNames","proportions.1","deptNames.1","proportions.2","deptNames.2","proportions.3","deptNames.3","proportions.4","deptNames.4","proportions.5","deptNames.5","proportions.6","deptNames.6","proportions.7","deptNames.7","proportions.8","deptNames.8"
"0.6","AFRICAN AMERICAN STUDIES","0.8","AFRICAN AMERICAN STUDIES","1","Military Science","0.75","AFRICAN AMERICAN STUDIES","0.833333333333333","AFRICAN AMERICAN STUDIES","1","AFRICAN AMERICAN STUDIES","0.9125","AFRICAN AMERICAN STUDIES","0.873684210526316","AFRICAN AMERICAN STUDIES","0.68","AFRICAN AMERICAN STUDIES"
"0.52","Military Science","0.733333333333333","Military Science","0.857142857142857","AFRICAN AMERICAN STUDIES","0.5","Military Science","0.245098039215686","Ethnomusicology","0.222727272727273","Ethnomusicology","0.211618257261411","Ethnomusicology","0.247706422018349","Ethnomusicology","0.219123505976096","Ethnomusicology"
"0.333333333333333","Naval Science","0.25764192139738","Ethnomusicology","0.263392857142857","Ethnomusicology","0.271493212669683","Ethnomusicology","0.194174757281553","Gender Studies","0.159574468085106","Gender Studies","0.147058823529412","Social Welfare","0.147445255474453","Education","0.165","Social Welfare"
"0.262376237623762","Ethnomusicology","0.2","Naval Science","0.170454545454545","Gender Studies","0.21505376344086","Gender Studies","0.139911634756996","Education","0.130434782608696","Education","0.135135135135135","Environmental Health Sciences","0.119047619047619","Environmental Health Sciences","0.145092460881935","Education"
"0.126582278481013","Social Welfare","0.142857142857143","Environmental Health Sciences","0.150354609929078","Education","0.167741935483871","Social Welfare","0.135135135135135","Environmental Health Sciences","0.12568306010929","Social Welfare","0.129909365558912","Education","0.111731843575419","Community Health Sciences","0.137724550898204","Community Health Sciences"
"0.116691285081241","Education","0.115549215406562","Education","0.147727272727273","Social Welfare","0.142215568862275","Education","0.121951219512195","Communication Studies","0.125","Environmental Health Sciences","0.117647058823529","Gender Studies","0.111731843575419","Social Welfare","0.113636363636364","Environmental Health Sciences"
"0.10989010989011","Environmental Health Sciences","0.110497237569061","Social Welfare","0.125","Environmental Health Sciences","0.125","Environmental Health Sciences","0.118343195266272","French and Francophone Studies","0.122641509433962","Epidemiology","0.115384615384615","Epidemiology","0.103092783505155","Inst of Environ Sustainability","0.0875","Epidemiology"
"0.0813008130081301","Public Policy","0.0980392156862745","Epidemiology","0.121951219512195","Communication Studies","0.1171875","Communication Studies","0.104712041884817","Social Welfare","0.0909090909090909","Civil Enviornmental Engr","0.111111111111111","Public Policy","0.0897435897435897","Epidemiology","0.0847457627118644","French and Francophone Studies"
"0.0805687203791469","World Arts Cultures Dance","0.0884955752212389","Public Policy","0.0923076923076923","World Arts Cultures Dance","0.102941176470588","Epidemiology","0.0980392156862745","Epidemiology","0.0900900900900901","Inst of Environ Sustainability","0.0975609756097561","Civil Enviornmental Engr","0.0867507886435331","English","0.0840336134453781","Civil Enviornmental Engr"
"0.0786516853932584","Epidemiology","0.0829187396351575","English","0.0884955752212389","Public Policy","0.0840336134453781","Public Policy","0.0934579439252337","Inst of Environ Sustainability","0.0884955752212389","Public Policy","0.0892857142857143","Inst of Environ Sustainability","0.0854700854700855","Public Policy","0.0829875518672199","Linguistics"
"0.072992700729927","Nursing","0.0794912559618442","Nursing","0.0833333333333333","Epidemiology","0.0806451612903226","English","0.0886699507389163","World Arts Cultures Dance","0.0845070422535211","History","0.0866666666666667","Community Health Sciences","0.0809716599190283","Linguistics","0.0816326530612245","Int Biology Physiology"
"0.068649885583524","Political Science","0.0704225352112676","History","0.0814332247557003","English","0.0746268656716418","History","0.0815660685154976","English","0.0787037037037037","ART","0.0822122571001495","English","0.0806451612903226","Sociology","0.08","Inst of Environ Sustainability"
"0.0684736091298146","History","0.0680272108843537","Political Science","0.0797101449275362","History","0.0717703349282297","Political Science","0.0740740740740741","Public Policy","0.078125","English","0.0813008130081301","Information Studies","0.08","Gender Studies","0.0789889415481833","English"
"0.0672268907563025","English","0.065","World Arts Cultures Dance","0.0700934579439252","Political Science","0.0662251655629139","Health Policy Management","0.0726744186046512","History","0.0775193798449612","Information Studies","0.0718390804597701","ANTHROPOLOGY","0.08","Musicology","0.078125","Public Policy"
"0.0649350649350649","French and Francophone Studies","0.0632911392405063","French and Francophone Studies","0.0681431005110733","Nursing","0.0613496932515337","French and Francophone Studies","0.0678617157490397","Law","0.0675675675675676","Sociology","0.0697674418604651","History","0.0784313725490196","Int Biology Physiology","0.0775862068965517","World Arts Cultures Dance"
"0.0636942675159236","ART","0.061617458279846","Law","0.0671140939597315","Health Policy Management","0.0598802395209581","ART HISTORY","0.0636942675159236","ART HISTORY","0.065359477124183","ART HISTORY","0.0684931506849315","Urban Planning","0.0763358778625954","French and Francophone Studies","0.0753768844221106","Film TV Digital Media"
"0.0571428571428571","ART HISTORY","0.0588235294117647","Gender Studies","0.0641025641025641","French and Francophone Studies","0.0571428571428571","Community Health Sciences","0.0561797752808989","Urban Planning","0.0649350649350649","Community Health Sciences","0.0666666666666667","French and Francophone Studies","0.0732600732600733","Civil Enviornmental Engr","0.0675675675675676","Musicology"
"0.0571428571428571","Health Policy Management","0.0584795321637427","ART","0.0598802395209581","Urban Planning","0.0555555555555556","ART","0.0546448087431694","Community Health Sciences","0.0636132315521628","Law","0.063973063973064","Law","0.0675675675675676","Information Studies","0.064891846921797","Nursing"
"0.05","Gender Studies","0.0584795321637427","Health Policy Management","0.0595238095238095","ART","0.0555555555555556","World Arts Cultures Dance","0.0510204081632653","ART","0.0617283950617284","French and Francophone Studies","0.0579710144927536","Sociology","0.066079295154185","World Arts Cultures Dance","0.0632911392405063","Gender Studies"
"0.0492610837438424","Int Biology Physiology","0.0571428571428571","ART HISTORY","0.0561797752808989","ART HISTORY","0.0523560209424084","Urban Planning","0.0483091787439614","Int Biology Physiology","0.0598802395209581","Urban Planning","0.0577777777777778","World Arts Cultures Dance","0.0645161290322581","Materials Science Engr MSE","0.0625","History"
