ALL,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,666.3,"1,306.30",7.5,310.7,61.3,113.2,,25.1,"1,454.80","1,972.50"
2011,684.2,"1,294.10",8.2,328,67.4,118.7,,17.3,"1,438.70","1,978.30"
2012,700.4,"1,279.50",8.5,341.8,72.2,120.7,,17.7,"1,418.90","1,979.90"
2013,698.1,"1,281.00",13.4,343.2,64.8,121.4,,19.3,"1,417.10","1,979.20"
2014,731.7,"1,305.70",11.8,367.6,67.6,123.2,,24.7,"1,442.60","2,037.40"
2015,757.8,"1,296.20",12,365.4,71.1,129.1,,31.9,"1,444.50","2,053.90"
2016,783.9,"1,319.10",13.8,382.6,76.3,142,1.6,53.6,"1,433.20","2,103.10"
2017,821.3,"1,346.80",14.6,407.5,83.4,141.7,4.3,83,"1,433.60","2,168.10"
2018,878.6,"1,359.20",13.7,428.2,86.6,150.5,5.9,99.9,"1,453.10","2,237.80"
Anderson Graduate School of Management (AGSM),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,17.3,87.50,,,,,,,,
2011,17.1,91.60,,,,,,,,
2012,17.6,92.70,,,,,,,,
2013,16.7,91.50,,,,,,,,
2014,19.7,92.20,,,,,,,,
2015,20.4,88.30,,,,,,,,
2016,24.9,86.60,,,,,,,,
2017,23.4,95.60,,,,,,,,
2018,22.9,93.10,,,,,,,,
Fielding School of Public Health (FSPH),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,44.4,41.90,0,10.8,4.4,4.7,0,1,65.30,86.20
2011,42.5,41.40,0,13.5,4.5,5,0,0.5,60.40,83.90
2012,40.9,39.90,0,12.2,4.3,4,0,0.5,59.70,80.80
2013,41.8,33.60,0,11.3,4.4,4,0,0,55.70,75.40
2014,39.8,33.40,0,10,3,3,0,0,57.20,73.20
2015,36.7,34.10,0,10.5,3.3,3,0,1,53.00,70.80
2016,39.2,35.40,0,12.3,3.8,3,0,1,54.50,74.60
2017,43.9,38.30,0,14,4.4,4,0,2,57.80,82.20
2018,46.6,36.40,0,14,4.7,4.6,0,4.6,55.10,82.90
Graduate School of Education and Info Studies (GSEIS),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,41.8,39.00,0,10.3,7.9,11.8,0,0.5,50.20,80.80
2011,42,39.90,0,11.5,8.1,11.6,0,1,49.70,81.90
2012,43.8,38.60,0,9.8,10.6,12.2,0,1,48.80,82.40
2013,44.7,35.60,0,10.9,9.5,11.6,0,1,47.20,80.20
2014,45,35.70,0,12.2,9.5,11.4,0,1.6,46.10,80.70
2015,44.9,33.00,0,10.2,9.4,11.2,0,2.2,44.80,77.90
2016,45.6,34.10,0,11.1,9.6,12.4,1.6,1,44.00,79.60
2017,49.8,34.40,0,11,11.1,12.5,2.3,1,46.30,84.10
2018,52.7,35.10,0,12.3,11.2,12.6,2.3,1,48.40,87.80
Henry Samueli School of Engineering & Applied Science (HSSEAS),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,22.1,150.10,0,60.1,0,2.4,0,0,109.70,172.20
2011,20.3,150.50,0,61.5,0,2.8,0,0,106.60,170.80
2012,22.9,148.50,0,65.4,0,2.8,0,0,103.20,171.40
2013,21.9,150.70,0.4,63.2,0,1.8,0,0.4,106.90,172.60
2014,21.9,153.50,0.4,63.5,1,1.8,0,0,108.80,175.40
2015,24.8,152.50,0.4,65.6,2,2.6,0,1.2,105.50,177.20
2016,24.6,164.60,0.4,69.4,2,4,0,2.7,110.80,189.20
2017,31.1,164.40,0.4,72.9,2,2.8,0,7,110.30,195.40
2018,30.2,164.50,0.4,75.3,2,2,0,9.2,105.80,194.80
L&S Humanities,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,145.1,166.70,0.3,42.3,6,19.2,0,4.5,239.50,311.80
2011,145.3,164.70,0,43.2,7,19.6,0,2.7,237.50,310.10
2012,160.9,163.80,0,45.4,7,19.5,0,3.3,29.40,324.70
2013,166.3,168.50,0,48.7,7,23.5,0,4.2,251.40,334.80
2014,172,169.30,0,48.6,8.5,23.4,0,7.4,253.40,341.30
2015,181.5,167.80,0,50.8,7.5,26,0,10.6,254.50,349.40
2016,181.2,168.20,0,50.1,8.2,25.2,0,18.1,248.00,349.50
2017,169.7,164.30,0,49.1,9.3,25.7,0,20.7,229.20,334.00
2018,179.4,166.00,0,53.2,9.8,28.6,0,21.5,232.30,345.40
L&S Life Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,51.3,89.50,0,19,4,7.2,0,1.2,109.50,140.80
2011,51.4,91.50,0,19,4,7,0,2,110.90,142.90
2012,51.3,91.30,0,21,4,7,0,0.5,110.10,142.60
2013,57.7,90.10,0,24.3,4,7.8,0,0.5,111.20,147.70
2014,59.6,87.20,0,22,4,8,0,0.5,112.30,146.80
2015,63.2,86.20,0,23.1,4.5,8.3,0,0.5,113.10,149.40
2016,68.3,87.40,0,24.3,5,10.7,0,0.5,115.10,155.60
2017,75.7,88.00,0,24.5,5,11.8,0,1.5,120.90,163.70
2018,84.4,91.90,0,27.8,5,11.8,0,2.5,129.20,176.30
L&S Physical Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,41.7,215.20,0,36.8,1,6.5,0,5.3,207.10,256.80
2011,38.7,211.10,1,38.2,1,6,0,1.7,201.90,249.80
2012,39.7,210.30,0,40.7,1,8,0,0,200.30,250.00
2013,39.2,215.80,0,39.6,1,9.3,0,1,204.10,255.00
2014,44.5,223.20,0,46.3,1,10.8,0,2,207.60,267.70
2015,48.4,225.00,0,49.2,1,10,0,3.5,209.70,273.30
2016,49.3,238.30,0,55.5,2,11,0,10.1,209.00,287.60
2017,51.5,236.30,0,64.2,3,7,0,15,198.60,287.80
2018,54.5,240.30,0,65.7,3,8.5,0,16.5,201.20,294.80
L&S Social Sciences,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,102.8,205.60,3,34,14.7,24.7,0,6,226.00,308.30
2011,115.3,195.50,2,39.5,18.9,29.7,0,5.5,215.30,310.80
2012,111.3,193.60,2.8,39.1,19.2,29.7,0,6.8,207.30,304.90
2013,107.4,194.30,3.3,36.6,16.7,29.5,0,7.5,208.20,301.70
2014,112.2,188.20,3,45.2,15.7,26.8,0,6,203.70,300.40
2015,113.1,192.10,4,37.6,18.7,29.5,0,5.2,210.20,305.20
2016,111.8,186.80,5.5,39.1,19.4,31.3,0,6.5,196.80,298.60
2017,132.7,194.50,6.5,42.6,21.8,32.3,0,15.8,208.30,327.20
2018,137.7,193.10,5.6,47.1,17.9,33.2,1,21.3,204.70,330.80
Luskin School of Public Affairs (LSPA),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,18.2,26.60,0,3.5,3,2.6,0,1,34.70,44.80
2011,19.8,26.10,0,5,3,3.6,0,0,34.30,45.90
2012,21.8,25.30,0.5,5,5.6,3.6,0,0.3,32.20,47.10
2013,19.5,27.00,4.5,4.7,4.6,3.5,0,0,29.20,46.50
2014,20.4,31.50,3.3,6.2,4,4.8,0,0.5,33.10,51.90
2015,20.3,28.60,2.4,6.9,4.3,5,0,1,29.20,48.80
2016,21.5,23.10,2.5,5.9,5,4,0,2.9,24.20,44.50
2017,22.7,28.60,2.5,7.2,4,2.3,0,5,30.20,51.20
2018,26.7,27.40,2,8.5,5.3,3,0,4.5,30.70,54.00
School of Arts & Architecture (SOAA),Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,39.2,88.80,1,14.4,8.5,8.1,,,95.90,128.00
2011,42.7,88.50,1,13.7,8.2,9.6,,,98.80,131.20
2012,39.7,90.30,1,15.5,9,7.8,,1.3,95.40,130.00
2013,41.2,85.40,1,14.4,8.2,7.9,,1,94.10,126.60
2014,44,89.80,1,16.6,8,9.5,,2.3,96.40,133.80
2015,51.5,91.60,1,16.9,7.4,10.4,,2.1,105.40,143.10
2016,55.5,92.80,1.2,18.2,8.2,9,,4.6,107.20,148.30
2017,36,48.30,0,12.4,2.5,5.7,1,1,61.80,84.40
2018,34.5,52.00,0,10,2.8,6,1.7,2.3,63.70,86.50
School of Dentistry,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,29.9,71.40,1,38.4,1.1,5.2,0,0,55.60,101.30
2011,28.4,73.10,1,40,1.1,4.8,0,0,54.60,101.50
2012,33.8,70.50,1,43.9,2.1,6,0,0.4,50.90,104.20
2013,30.7,74.40,1,46.3,2.1,5.7,0,0.1,50.00,105.10
2014,31.4,76.10,1,49.3,2.4,5.5,0,0.1,49.10,107.50
2015,32.1,72.70,1,47.3,1.9,6.6,0,0.3,47.60,104.80
2016,34.2,72.90,1,50.4,1.1,8.2,0,0.3,46.20,107.10
2017,36.6,76.60,1,54.1,1.2,7.9,0,0.8,48.40,113.30
2018,37,72.30,0,52,1.2,8.1,0,0.8,47.30,109.30
School of Law,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total (Race)
2010,25.9,47.80,0,5,3.6,2.4,0,1,61.80,73.70
2011,28.2,49.70,1,5.2,4.8,2,0,1,63.90,77.90
2012,28.5,52.10,1,4,4.5,3.2,0,1,66.90,80.60
2013,26.1,50.20,1,5,3.3,3,0,1,63.00,76.40
2014,26.5,51.60,1,8,5.3,3,0,1,59.90,78.20
