"proportions","deptNames","proportions.1","deptNames.1","proportions.2","deptNames.2","proportions.3","deptNames.3","proportions.4","deptNames.4","proportions.5","deptNames.5","proportions.6","deptNames.6","proportions.7","deptNames.7","proportions.8","deptNames.8"
"1","Minor in Biomedical Research","1","Minor in Biomedical Research","1","Minor in Biomedical Research","0.960629921259842","CHICANA O STUDIES","0.905511811023622","CHICANA O STUDIES","1","Inst for Res on Labor Employment","1","Inst for Res on Labor Employment","1","Lesbian Gay Bisexual Studies","0.919254658385093","CHICANA O STUDIES"
"0.894736842105263","CHICANA O STUDIES","0.91044776119403","CHICANA O STUDIES","0.983333333333333","CHICANA O STUDIES","0.653679653679654","Spanish Portuguese","0.529411764705882","Spanish Portuguese","1","Military Science","1","Lesbian Gay Bisexual Studies","1","Military Science","0.531645569620253","Spanish Portuguese"
"0.633484162895928","Spanish Portuguese","0.62200956937799","Spanish Portuguese","0.602678571428572","Spanish Portuguese","0.5","Minor in Biomedical Research","0.5","Minor in Biomedical Research","0.913669064748201","CHICANA O STUDIES","1","Military Science","0.902597402597403","CHICANA O STUDIES","0.4","Inst for Res on Labor Employment"
"0.5","AMERICAN INDIAN STUDIES","0.5","AMERICAN INDIAN STUDIES","0.5","AMERICAN INDIAN STUDIES","0.4","Naval Science","0.25","Educational Initiatives","0.674418604651163","Spanish Portuguese","0.917808219178082","CHICANA O STUDIES","0.666666666666667","Inst for Res on Labor Employment","0.333333333333333","Minor in Biomedical Research"
"0.2","AFRICAN AMERICAN STUDIES","0.4","Naval Science","0.4","Naval Science","0.167664670658683","Education","0.172774869109948","Social Welfare","0.5","Minor in Biomedical Research","0.607142857142857","Spanish Portuguese","0.631782945736434","Spanish Portuguese","0.256410256410256","Program in Computing"
"0.174298375184638","Education","0.161198288159772","Education","0.201342281879195","Health Policy Management","0.161290322580645","Social Welfare","0.163701067615658","Theater","0.169254658385093","Education","0.333333333333333","Minor in Biomedical Research","0.5","Minor in Biomedical Research","0.174964438122333","Education"
"0.154285714285714","Health Policy Management","0.143646408839779","Social Welfare","0.168794326241135","Education","0.133333333333333","Theater","0.1620029455081","Education","0.163934426229508","Social Welfare","0.181268882175227","Education","0.25","Program in Computing","0.143426294820717","Ethnomusicology"
"0.129032258064516","Theater","0.127272727272727","Theater","0.147727272727273","Social Welfare","0.132450331125828","Health Policy Management","0.136986301369863","Health Policy Management","0.159863945578231","Theater","0.166666666666667","Program in Computing","0.178102189781022","Education","0.113122171945701","Economics"
"0.123809523809524","Comparative Literature","0.122448979591837","Ecology Evol Biology","0.138888888888889","Theater","0.130208333333333","Economics","0.132352941176471","Ethnomusicology","0.159090909090909","Ethnomusicology","0.163265306122449","CHEMICAL AND BIOMOLECULAR ENGINEERING","0.138888888888889","Educational Initiatives","0.109195402298851","Theater"
"0.116279069767442","Ecology Evol Biology","0.116959064327485","Health Policy Management","0.127551020408163","Economics","0.126696832579186","Ethnomusicology","0.123762376237624","Economics","0.125","Health Policy Management","0.147058823529412","Social Welfare","0.13302752293578","Ethnomusicology","0.107142857142857","Molecular Cell Develop Biology MCDB"
"0.102827763496144","Economics","0.11353711790393","Ethnomusicology","0.122448979591837","Ecology Evol Biology","0.113207547169811","Ecology Evol Biology","0.0984848484848485","Comparative Literature","0.102362204724409","Comparative Literature","0.125382262996942","Theater","0.128205128205128","Theater","0.1","AFRICAN AMERICAN STUDIES"
"0.0992555831265509","Sociology","0.112994350282486","Economics","0.108695652173913","Film TV Digital Media","0.0909090909090909","BIOSTATISTICS","0.0869565217391304","BIOSTATISTICS","0.0986547085201794","World Arts Cultures Dance","0.12448132780083","Ethnomusicology","0.110864745011086","Economics","0.1","Social Welfare"
"0.0974025974025974","Film TV Digital Media","0.11","World Arts Cultures Dance","0.102678571428571","Ethnomusicology","0.0824742268041237","Comparative Literature","0.086734693877551","ART","0.0952380952380952","Economics","0.12","Molecular Cell Develop Biology MCDB","0.110294117647059","Molecular Cell Develop Biology MCDB","0.0903614457831325","Ecology Evol Biology"
"0.0947867298578199","World Arts Cultures Dance","0.108333333333333","Comparative Literature","0.0909090909090909","BIOSTATISTICS","0.078740157480315","Film TV Digital Media","0.0842696629213483","Urban Planning","0.0898203592814371","Urban Planning","0.0961538461538461","Economics","0.0986842105263158","Ecology Evol Biology","0.0902255639097744","Writing Program"
