Year,F,M,AI,A,B,L,TW,U,W,T
ALL,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,666.3,"1,306.30",7.5,310.7,61.3,113.2,,25.1,"1,454.80","1,972.50"
2011,684.2,"1,294.10",8.2,328,67.4,118.7,,17.3,"1,438.70","1,978.30"
2012,700.4,"1,279.50",8.5,341.8,72.2,120.7,,17.7,"1,418.90","1,979.90"
2013,698.1,"1,281.00",13.4,343.2,64.8,121.4,,19.3,"1,417.10","1,979.20"
2014,731.7,"1,305.70",11.8,367.6,67.6,123.2,,24.7,"1,442.60","2,037.40"
2015,757.8,"1,296.20",12,365.4,71.1,129.1,,31.9,"1,444.50","2,053.90"
2016,783.9,"1,319.10",13.8,382.6,76.3,142,1.6,53.6,"1,433.20","2,103.10"
2017,821.3,"1,346.80",14.6,407.5,83.4,141.7,4.3,83,"1,433.60","2,168.10"
2018,878.6,"1,359.20",13.7,428.2,86.6,150.5,5.9,99.9,"1,453.10","2,237.80"
AEROSPACE STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,2.00,,,,,,,2.00,2.00
2011,1.00,2.00,,1,,,,,2.00,3.00
2012,,3.00,,,,,,1,2.00,3.00
2013,,3.00,,,,,,1,2.00,3.00
2014,0,0.00,,,,,,0.00,0.00,0.00
2015,,0.00,,0,,0.00,,0.00,0.00,0.00
2016,,0.00,,0,,,,,0.00,0.00
2017,,0.00,,0,,,,,0.00,0.00
2018,,0.00,,0,,0.00,,,0.00,0.00
AFRICAN AMERICAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,1.50,,,1.5,0.5,,,0.50,2.50
2011,2,0.50,,,2,,,,0.50,2.50
2012,2.5,1.00,,,3,,,0.5,,3.50
2013,2,0.00,,,1.5,,,0.5,,2.00
2014,1.5,1.50,,,2.5,,,0.5,,3.00
2015,2,2.00,,,4,,,,,4.00
2016,3.3,4.80,,0.3,7.3,,,0.5,,8.00
2017,4.3,5.30,,0.3,8.3,,0,0.5,0.50,9.50
2018,4.8,5.30,,0.3,6.8,1,1,0.5,,10.00
AMERICAN INDIAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,,,,,0.5,,,0.50,1.00
2011,1,,,,,0.5,,,0.50,1.00
2012,1,,,,,0.5,,,0.50,1.00
2013,0.5,,0.5,,,,,,,0.50
2014,0,,0,,,,,,,0.00
2015,,,,,,,,,,
2016,0.5,,0.5,,,,,,,0.50
2017,1,,0.5,,,,,,0.50,1.00
2018,1,,,,,,,,1.00,1.00
ANDERSON,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,17.3,87.50,,19.3,1,8.5,,0,76.00,104.80
2011,17.1,91.60,,18.3,1,8.3,,,81.10,108.70
2012,17.6,92.70,,17.7,1,8.7,,,82.90,110.30
2013,16.7,91.50,,18.4,1,6.8,,,82.00,108.20
2014,19.7,92.20,,20.4,1,5.5,,1,84.00,111.90
2015,20.4,88.30,,18.6,1,5.5,,1,82.60,108.70
2016,24.9,86.60,,17.4,1,9.5,,1.3,82.20,111.50
2017,23.4,95.60,,15.4,1,10,,0.3,92.40,119.10
