Year,F,M,AI,A,B,L,TW,U,W,T
ALL,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,666.3,1306.3,7.5,310.7,61.3,113.2,0,25.1,1454.8,1972.5
2011,684.2,1294.1,8.2,328,67.4,118.7,0,17.3,1438.7,1978.3
2012,700.4,1279.5,8.5,341.8,72.2,120.7,0,17.7,1418.9,1979.9
2013,698.1,1281,13.4,343.2,64.8,121.4,0,19.3,1417.1,1979.2
2014,731.7,1305.7,11.8,367.6,67.6,123.2,0,24.7,1442.6,2037.4
2015,757.8,1296.2,12,365.4,71.1,129.1,0,31.9,1444.5,2053.9
2016,783.9,1319.1,13.8,382.6,76.3,142,1.6,53.6,1433.2,2103.1
2017,821.3,1346.8,14.6,407.5,83.4,141.7,4.3,83,1433.6,2168.1
2018,878.6,1359.2,13.7,428.2,86.6,150.5,5.9,99.9,1453.1,2237.8
AEROSPACE STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,0.00,2,0.00,0.00,0.00,0.00,0.00,0,2,2.00
2011,1.00,2,0.00,1.00,0.00,0.00,0.00,0,2,3.00
2012,0.00,3,0.00,0.00,0.00,0.00,0.00,1,2,3.00
2013,0.00,3,0.00,0.00,0.00,0.00,0.00,1,2,3.00
2014,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00
2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AFRICAN AMERICAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,1.5,0,0,1.5,0.5,0,0,0.5,2.5
2011,2,0.5,0,0,2,0,0,0,0.5,2.5
2012,2.5,1,0,0,3,0,0,0.5,0,3.5
2013,2,0,0,0,1.5,0,0,0.5,0,2
2014,1.5,1.5,0,0,2.5,0,0,0.5,0,3
2015,2,2,0,0,4,0,0,0,0,4
2016,3.3,4.8,0,0.3,7.3,0,0,0.5,0,8
2017,4.3,5.3,0,0.3,8.3,0,0,0.5,0.5,9.5
2018,4.8,5.3,0,0.3,6.8,1,1,0.5,0,10
AMERICAN INDIAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,1,0,0,0,0,0.5,0,0,0.5,1
2011,1,0,0,0,0,0.5,0,0,0.5,1
2012,1,0,0,0,0,0.5,0,0,0.5,1
2013,0.5,0,0.5,0,0,0,0,0,0,0.5
2014,0,0,0,0,0,0,0,0,0,0
2015,,,,,,,,,,
2016,0.5,0,0.5,0,0,0,0,0,0,0.5
2017,1,0,0.5,0,0,0,0,0,0.5,1
2018,1,0,0,0,0,0,0,0,1,1
ANDERSON,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,17.3,87.5,0,19.3,1,8.5,0,0,76,104.8
2011,17.1,91.6,0,18.3,1,8.3,0,0,81.1,108.7
2012,17.6,92.7,0,17.7,1,8.7,0,0,82.9,110.3
2013,16.7,91.5,0,18.4,1,6.8,0,0,82,108.2
2014,19.7,92.2,0,20.4,1,5.5,0,1,84,111.9
2015,20.4,88.3,0,18.6,1,5.5,0,1,82.6,108.7
2016,24.9,86.6,0,17.4,1,9.5,0,1.3,82.2,111.5
2017,23.4,95.6,0,15.4,1,10,0,0.3,92.4,119.1
2018,22.9,93.1,0,15.2,1.1,9.8,0,1.5,88.5,116
ANTHROPOLOGY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,14.5,17.4,1,3.8,0,2,0,1,24.1,31.9
2011,17.5,18.3,1,4.3,1.5,2,0,1,26,35.8
2012,16.5,15.8,1,3.3,1,2,0,0,25,32.3
2013,16.5,16.3,1,4.3,0,2,0,0,25.5,32.8
2014,17,16.8,1,3.8,0,2,0,0.5,25.5,33.8
2015,17.5,16.3,2,3.8,2,2,0,0,24,33.8
2016,18.5,16.3,2.5,3.8,2.5,2.5,0,0,23.5,34.8
2017,21.5,18.3,2.5,5.3,2,2,0,3,25.5,39.8
2018,19,18.8,2,4.8,2,2,0,3.5,24,37.8
ARCHITECTURE & URBAN DESIGN,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,14.3,0,1,0,1,0,0,18.7,20.7
2011,6.8,15.5,0,2,0,1.4,0,0,18.9,22.3
2012,6.3,17,0,1.6,0.3,1,0,0,20.4,23.4
2013,6.7,15.1,0,1.9,0,1,0,0,18.9,21.8
2014,8.3,17.2,0,3.4,0,1.5,0,1,19.6,25.5
2015,9.8,19.3,0,4.5,0,1,0,1,22.6,29.1
2016,11.7,20.4,0,3.5,0,1,0,3.2,24.4,32.1
2017,10.1,20.7,0,4.4,0,2,0,1,23.3,30.7
2018,8.7,22.2,0,4.3,0,2,0,1,23.6,30.9
ARCHAEOLOGY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0
2016,,,,,,,,,,
2017,,,,,,,,,,
2018,,,,,,,,,,
ART,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,6.3,9.4,0,0.3,1,1,0,0,13.4,15.7
2011,7.3,9.8,0,0,1,1.3,0,0,14.8,17.1
2012,7.3,9.5,0,1,1,1,0,0,13.8,16.8
2013,7,11,0,0.7,1,1,0,0,15.3,18.9
2014,9.6,10,0,0.3,1,1.7,0,0,16.6,19.6
2015,11,10.6,0,0.3,1.7,1.3,0,0,18.3,21.6
2016,10.3,11,0,0.7,1,1,0,0,18.6,21.3
2017,8,9,0,1.3,1,1.3,0,0,13.3,17
2018,8,10.5,0,0,1,1.3,0.7,0,14.1,18.5
ART HISTORY,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,10.7,6.8,0.3,3,1,1,0,0,12.2,17.5
2011,10.7,6.8,0,3.3,1,1,0,0,12.2,17.5
2012,11,6.8,0,3.3,1,1.3,0,0,12.2,17.8
2013,10.2,6.5,0,3.3,1,1,0,0.8,10.5,16.7
2014,10,5.8,0,3.7,1,1,0,0.9,9.2,15.7
2015,9.2,6.1,0,3,1,1,0,0.6,9.7,15.3
2016,9.8,5.2,0,3,0.7,0.8,0,1,9.5,15
2017,9.8,6.3,0,3.3,0.8,0.5,0,1,10.5,16.2
2018,8.8,7.2,0,3.3,0.8,0.5,0,1,10.3,16
ASIAN AMERICAN STUDIES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
2010,5.5,7.3,0,12.8,0,0,0,0,0,12.8
2011,6,7.8,0,13.8,0,0,0,0,0,13.8
2012,6.5,7.5,0,14,0,0,0,0,0,14
2013,5.5,6.5,0,12,0,0,0,0,0,12
2014,8.4,7.5,0,15.9,0,0,0,0,0,15.9
2015,6.5,5.5,0,11.5,0,0,0,0,0.5,12
2016,5,6,0,11,0,0,0,0,0,11
2017,7.5,5.5,0,12.5,0,0,0,0.5,0,13
2018,9,3,0,12,0,0,0,0,0,12
ASIAN LANGUAGES AND CULTURES,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
