name,data
ALL, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115
ANDERSON GRADUATE SCHOOL OF MANAGEMENT (AGSM), 4
BASIC BIOMEDICAL SCIENCES, 83
FIELDING SCHOOL OF PUBLIC HEALTH (FSPH), 13 15 24 47 48 57 58 94 100
GRADUATE SCHOOL OF EDUCATION AND INFO STUDIES (GSEIS), 29 43 62
HENRY SAMUELI SCHOOL OF ENGINEERING & APPLIED SCIENCE (HSSEAS), 13 18 22 27 30 66 80 82
HERB ALPERT SCHOOL OF MUSIC (HASOM), 31 49 87 88
INST OF ENVIORN & SUSTAINABILITY (IOES), 67
INSTITUTE OF AMERICAN CULTURES, 21
INTERNATIONAL INSTITUTE, 71 90
L&S GENERAL, 65
L&S HUMANITIES, 9 11 19 23 26 28 46 52 55 61 73 76 78 88 92 95 102 104 107 109 113
L&S LIFE SCIENCES, 39 41 65 70 77 85 86 91 99
L&S PHYSICAL SCIENCES, 12 19 40 63 68 81 96 98 108
L&S SOCIAL SCIENCES, 1 2 3 5 7 10 16 20 24 42 53 54 56 59 64 69 72 84 89 97 106
L&S UNDERGRADUATE EDUCATION, 44 60
LUSKIN SCHOOL OF PUBLIC AFFAIRS (LSPA), 32 79 101 103 105 111
SCHOOL OF ARTS & ARCHITECTURE (SOAA), 6 8 30 38 49 51 87 112
SCHOOL OF DENTISTRY, 34 35 36 37
SCHOOL OF LAW, 75
SCHOOL OF NURSING, 93
SCHOOL OF THEATER FILM & TELEVISION (STFT), 33 50 110
