"","Department","UnknownChange","NumberOfUnknownIncrease"
"1","ALL","298.01",74.8
"2","ANDERSON","Inf",1.5
"3","ANTHROPOLOGY","250",2.5
"4","ART HISTORY","Inf",1
"5","ATMOSPHERIC AND OCEANIC SCIENCES","Inf",2.5
"6","CHEMISTRY AND BIOCHEMISTRY","Inf",2.5
"7","Community Health Sciences","Inf",0.3
"8","Earth Planetary Space Sciences EPSS","42.86",0.3
"9","Ecology Evol Biology","0",0
"10","Education","100",0.5
"11","Electrical and Computer Engineering","Inf",1
"12","English","Inf",2.5
"13","Environmental Health Sciences","Inf",1
"14","Epidemiology","100",1
"15","Ethnomusicology","Inf",1.7
"16","French and Francophone Studies","-100",-0.6
"17","Gender Studies","200",1
"18","Geography","100",1
"19","Germanic Languages","-90",-9
"20","Health Policy Management","Inf",1.1
"21","History","200",2
"22","Inst for Society Genetics","100",1
"23","Inst for Environ Sustainability","13.33",0.2
"24","Interdepartmental Degree Programs IDPs","Inf",0.5
"25","Law","40",0.4
"26","Linguistics","Inf",1
"27","Materials Science Engr MSE","Inf",1
"28","Mathematics","Inf",4
"29","Mechanical Aerospace Engr MANE","Inf",1.8
"30","Microbiology Immunology Molecular Genetics MIMG","-100",-1
"31","Molecular Cell Develop Biology MCDB","-100",-0.7
"32","Music","Inf",5.2
"33","Musicology","Inf",0.9
"34","Nr Eastern Langs Cultures","33.33",0.5
"35","Nursing","60",0.6
"36","Physics Astronomy","350",7
"37","Political Science","400",4
"38","Public Health","Inf",0.2
"39","Slavic East European Eurasian Langs","Inf",2.9
"40","Social Welfare","Inf",2
"41","Sociology","0",0
"42","Spanish Portuguese","57.14",0.8
"43","Statistics","182.61",4.2
"44","Theater","Inf",1.2
"45","Urban Planning","50",0.5
"46","Writing Program","Inf",6
