date,contribution_receipt_amount
January 2016,24664.85
February 2016,28568.09000000001
March 2016,37751.15
April 2016,22099.95
May 2016,33495.500000000015
June 2016,28850.03
July 2016,53651.60999999997
August 2016,63192.63999999997
September 2016,134588.58000000007
October 2016,74089.25000000007
November 2016,51960.31000000005
December 2016,5796.7
January 2017,7318.9
February 2017,11999.6
March 2017,11121.3
April 2017,20966.05
May 2017,21327.07
June 2017,17703.6
July 2017,7868.690000000104
August 2017,11331.690000000104
September 2017,55883.13000000095
October 2017,28220.729999999247
November 2017,18162.6600000001
December 2017,23043.80999999925
January 2018,10577.880000000103
February 2018,15212.590000000106
March 2018,20559.899999999245
April 2018,14606.4800000001
May 2018,19181.0800000001
June 2018,20276.840000000106
July 2018,27645.95999999925
August 2018,54302.61000000077
September 2018,79086.13000000098
October 2018,185531.03000000468
November 2018,34761.67
December 2018,9220.270000000002
January 2019,6092.760000000001
February 2019,19886.280000000006
March 2019,30256.11
April 2019,19016.84
May 2019,25006.93
June 2019,26339.04
July 2019,20398.700000000008
August 2019,25636.72000000001
September 2019,23003.93
October 2019,19998.93
November 2019,28261.62000000001
December 2019,38478.93999999997
January 2020,25693.83000000001
February 2020,52372.16999999993
March 2020,46439.68999999998
April 2020,34335.03000000001
May 2020,123413.20999999995
June 2020,143368.3799999999
July 2020,144279.07
August 2020,229154.07000000015
September 2020,288385.1200000012
October 2020,300701.1600000003
November 2020,108044.01999999996
December 2020,8792.310000000001
