,committee_name,contribution_receipt_amount,,,
1,ACTBLUE,441971.4,,,
2,BIDEN VICTORY FUND,201469.93,,,
3,BIDEN FOR PRESIDENT,199178.67,,,
4,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,113315.32,,,
5,DCCC,52796,,,
6,DSCC,39087,,,
7,WINRED,33456,,,
8,JON OSSOFF FOR SENATE,33238.22,,,
9,SARA GIDEON FOR MAINE,27176.04,,,
10,MARK KELLY FOR SENATE,25216.89,,,
11,JAIME HARRISON FOR US SENATE,21695.49,,,
12,WARNOCK FOR GEORGIA,21609.42,,,
13,MONTANANS FOR BULLOCK,21530.47,,,
14,BERNIE 2020,21189.41,,,
15,THERESA GREENFIELD FOR IOWA,20660.55,,,
16,HOLD THE HOUSE VICTORY FUND,20000,,,
17,"WARREN FOR PRESIDENT, INC.",18238,,,
18,CAL FOR NC,17660.59,,,
19,THE LINCOLN PROJECT,14265.5,,,
20,KAMALA HARRIS FOR THE PEOPLE,13984,,,
21,MOVEMENT VOTER PAC,10750,,,
22,PETERS FOR MICHIGAN,10714.17,,,
23,FAIR FIGHT,9356.67,,,
24,CISNEROS FOR CONGRESS,9116.67,,,
25,JULIA BROWNLEY FOR CONGRESS,8500,,,
26,HICKENLOOPER FOR COLORADO,8327.18,,,
27,KATIE PORTER FOR CONGRESS,8147.72,,,
28,"AMY MCGRATH FOR SENATE, INC.",7840.88,,,
29,SMP,7561,,,
30,TOM MALINOWSKI FOR CONGRESS,6800,,,
31,PEOPLE FIRST FUTURE,6759.35,,,
32,JUDY CHU FOR CONGRESS,6600,,,
33,"DONALD J. TRUMP FOR PRESIDENT, INC.",6454.5,,,
34,AMY FOR AMERICA,6250,,,
35,DR. AL GROSS FOR U.S. SENATE,5820,,,
36,DEMOCRATIC PARTY OF WISCONSIN,5616.28,,,
37,KEVIN MCCARTHY FOR CONGRESS,5600,,,
38,PEOPLE FOR BEN,5600,,,
39,ANTONE FOR CONGRESS,5100,,,
40,AMERICAN POSSIBILITIES PAC,5000,,,
41,SIERRA CLUB POLITICAL COMMITTEE,5000,,,
42,BENNET FOR AMERICA,4879,,,
43,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,4150,,,
44,DOUG JONES FOR SENATE COMMITTEE,4020.5,,,
45,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,3800,,,
46,"WARREN DEMOCRATS, INC.",3800,,,
47,GOROFF FOR CONGRESS,3775,,,
48,CHRISTY SMITH FOR CONGRESS,3658.37,,,
49,SOUTHERN CALIFORNIA FUND,3600,,,
50,CAROLYN FOR CONGRESS,3550,,,
51,SCHOLTEN4IOWA CAMPAIGN COMMITTEE,3500,,,
52,WIN THE ERA PAC,3298.85,,,
53,STOP REPUBLICANS,3277.5,,,
54,NRSC,3250,,,
55,END CITIZENS UNITED,3244.95,,,
56,LMG PAC,3150,,,
57,DEBBIE FOR CONGRESS,3066.67,,,
58,RASHIDA TLAIB FOR CONGRESS,3056.07,,,
59,COLORADO DEMOCRATIC PARTY,3035.38,,,
60,IOWA DEMOCRATIC PARTY,2800,,,
61,AMMAR CAMPA-NAJJAR FOR CONGRESS,2663,,,
62,NORTH CAROLINA DEMOCRATIC PARTY - FEDERAL,2646.01,,,
63,MOVEON.ORG POLITICAL ACTION,2602.53,,,
64,ARIZONA DEMOCRATIC PARTY,2362.04,,,
65,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2362.04,,,
66,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2362.01,,,
67,NEBRASKA DEMOCRATIC PARTY,2362.01,,,
68,NEVADA STATE DEMOCRATIC PARTY,2362.01,,,
69,DEMOCRATIC PARTY OF VIRGINIA,2361.95,,,
70,OHIO DEMOCRATIC PARTY,2361.95,,,
71,BULLOCK FOR PRESIDENT,2350,,,
72,GEORGIA SENATE VICTORY FUND,2250,,,
73,MJ FOR TEXAS,2150,,,
74,AMERICAN SOLIDARITY PARTY,2105.27,,,
75,KLOBUCHAR FOR MINNESOTA,2050,,,
76,RITA HART FOR IOWA,2016.67,,,
77,FINELLO FOR CONGRESS,2000,,,
78,LATINO VICTORY FUND,2000,,,
79,ILHAN FOR CONGRESS,1987.57,,,
80,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,1975.91,,,
81,HALEY STEVENS FOR CONGRESS,1900,,,
82,EMILY'S LIST,1890,,,
83,CRISTINA FOR TEXAS,1850,,,
84,PENNSYLVANIA DEMOCRATIC PARTY,1838.64,,,
85,GEORGIA FEDERAL ELECTIONS COMMITTEE,1772.02,,,
86,SUSAN WILD FOR CONGRESS,1766.67,,,
87,CHRIS BUBSER FOR CONGRESS,1750,,,
88,MIJENTE PAC,1750,,,
89,SEA CHANGE LEADERSHIP PAC,1750,,,
90,SCHIFF FOR CONGRESS,1679.18,,,
91,NANCY PELOSI FOR CONGRESS,1589,,,
92,HARLEY ROUDA FOR CONGRESS,1566.67,,,
93,CANDACE FOR 24,1535.72,,,
94,CALIFORNIA DEMOCRATIC PARTY,1500,,,
95,JOYCE ELLIOTT FOR CONGRESS,1500,,,
96,KATE FOR CONGRESS,1500,,,
97,TONY CARDENAS FOR CONGRESS,1500,,,
98,PERDUE FOR SENATE,1350,,,
99,NEW HAMPSHIRE DEMOCRATIC PARTY,1335.34,,,
100,CHC BOLD PAC,1311.5,,,
101,HOWIE HAWKINS FOR OUR FUTURE,1289.92,,,
102,DEPASQUALE FOR PA 10,1266.67,,,
103,ASIAN AMERICAN ADVOCACY FUND PAC,1250,,,
104,DR KIM SCHRIER FOR CONGRESS,1250,,,
105,NRCC,1250,,,
106,SUPER STATES 2020,1250,,,
107,THE SQUAD VICTORY FUND,1207,,,
108,CORY 2020,1178,,,
109,AMERICAN GASTROENTEROLOGICAL ASSOCIATION INC. PAC,1100,,,
110,FLIP THE SENATE PAC,1100,,,
111,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,1025,,,
112,CINDY AXNE FOR CONGRESS,1016.67,,,
113,JOSH HARDER FOR CONGRESS,1016.67,,,
114,PEOPLE POWERED ACTION,1015,,,
115,BIDEN ACTION FUND,1000,,,
116,CORA FOR MONTANA,1000,,,
117,CORY BOOKER FOR SENATE,1000,,,
118,DR. CAMERON WEBB FOR CONGRESS,1000,,,
119,ENGEL FOR CONGRESS,1000,,,
120,HATTERSLEY FOR CONGRESS,1000,,,
121,HER TIME PAC,1000,,,
122,MIKE LEVIN FOR CONGRESS,1000,,,
123,NEW SOUTH SUPER PAC,1000,,,
124,PEOPLE FOR GOVERNMENT PAC,1000,,,
125,SCHOLTEN FOR CONGRESS,1000,,,
126,SHERMAN FOR CONGRESS,1000,,,
127,TRICIA ZUNKER FOR WISCONSIN,1000,,,
128,WORKER POWER PAC,1000,,,
129,DITCH FUND,975,,,
130,DEVIN NUNES CAMPAIGN COMMITTEE,900,,,
131,DONNA SHALALA FOR CONGRESS,900,,,
132,PACIFIC PALISADES DEMOCRATIC CLUB CAMPAIGN ACCOUNT,870,,,
133,BRINDISI FOR CONGRESS,866.67,,,
134,MAX ROSE FOR CONGRESS,866.67,,,
135,GEORGIANS FOR KELLY LOEFFLER,850,,,
136,TED LIEU FOR CONGRESS,850,,,
137,CAPA21- FEDERAL,800,,,
138,PAC TO THE FUTURE,785.5,,,
