"","committee_name","contribution_receipt_amount"
"1","ACTBLUE",359123.28
"2","BIDEN FOR PRESIDENT",133628.74
"3","DCCC",98000
"4","DSCC",48421
"5","TRUMP VICTORY",35000
"6","BIDEN VICTORY FUND",30000
"7","DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE",19644.67
"8","MARK KELLY FOR SENATE",18456.09
"9","EMILY'S LIST",12678
"10","WARREN FOR PRESIDENT, INC.",12459.92
"11","WIN THE ERA PAC",11751.37
"12","KATIE PORTER FOR CONGRESS",11600.85
"13","DONALD J. TRUMP FOR PRESIDENT, INC.",8459.3
"14","ROSEN FOR NEVADA",8397.5
"15","NEW WAVE WOMEN",8000
"16","NANCY PELOSI FOR CONGRESS",6946
"17","MIKE SIEGEL FOR CONGRESS",6550
"18","WINRED",6466.76
"19","KAMALA HARRIS FOR THE PEOPLE",6465
"20","JAIME HARRISON FOR US SENATE",6318.5
"21","THERESA GREENFIELD FOR IOWA",6142.8
"22","HARLEY ROUDA FOR CONGRESS",5600
"23","BERNIE 2020",5589.5
"24","MARK TAKANO FOR CONGRESS",5350
"25","SCHIFF FOR CONGRESS",5226.86
"26","KATIE HILL FOR CONGRESS",5000
"27","FRIENDS OF CHERI BUSTOS",4900
"28","DR. AL GROSS FOR U.S. SENATE",4887.5
"29","CASTEN FOR CONGRESS",4700
"30","SMP",4700
"31","PEOPLE POWERED ACTION",4558.78
"32","HEIDI FOR SENATE",4528.03
"33","TAMMY FOR ILLINOIS",4500
"34","ANGIE CRAIG FOR CONGRESS",4342.86
"35","CHRISTY SMITH FOR CONGRESS",4300
"36","REPUBLICAN NATIONAL COMMITTEE",4287.5
"37","BETO FOR TEXAS",4143.54
"38","MJ FOR TEXAS",4041.66
"39","BETSY DIRKSEN LONDRIGAN FOR CONGRESS",3850
"40","CHRIS BUBSER FOR CONGRESS",3850
"41","SCHOLTEN4IOWA CAMPAIGN COMMITTEE",3850
"42","LEANN FOR IOWA",3550
"43","TOM MALINOWSKI FOR CONGRESS",3300
"44","AMY MCGRATH FOR CONGRESS",3250
"45","AMY FOR AMERICA",3133.85
"46","NRCC",3120
"47","LCV VICTORY FUND",3090
"48","BRINDISI FOR CONGRESS",2950
"49","AMY KENNEDY FOR CONGRESS",2800
"50","CAL FOR NC",2800
"51","DR GRACE I. WILLIAMS FOR CONGRESS 2020",2800
"52","KENNEDY FOR MASSACHUSETTS",2800
"53","SARA GIDEON FOR MAINE",2789.18
"54","FINKENAUER FOR CONGRESS",2742.86
"55","CORY 2020",2727
"56","CISNEROS FOR CONGRESS",2600
"57","PEOPLE FOR BEN",2550
"58","MOVEON.ORG POLITICAL ACTION",2505
"59","HIRAL FOR CONGRESS",2500
"60","BREDESEN FOR SENATE",2450
"61","DNC SERVICES CORP./DEM. NAT'L COMMITTEE",2303
